date;signal;ticker;num;price
2016.10.12;SELL;AAPL;94;117.34
2013.06.10;BUY;AAPL;160;62.7
2014.07.23;SELL;AAPL;112;97.19
2015.12.04;BUY;AAPL;92;119.03
2015.09.17;SELL;AAPL;96;113.92
2013.04.29;BUY;AAPL;162;61.45
2015.12.08;BUY;AAPL;92;118.23
2014.04.03;SELL;AAPL;137;76.97
2014.02.10;BUY;AAPL;138;75.57
2016.08.26;BUY;AAPL;99;106.94
2016.04.08;BUY;AAPL;101;108.66
2016.06.15;BUY;AAPL;109;97.14
2016.12.09;BUY;AAPL;96;113.95
2016.09.01;BUY;AAPL;100;106.73
2013.06.27;BUY;AAPL;177;56.25
2015.04.14;BUY;AAPL;85;126.3
2016.07.06;BUY;AAPL;110;95.53
2013.08.14;SELL;AAPL;146;71.21
2016.07.21;SELL;AAPL;107;99.43
2014.01.14;BUY;AAPL;136;78.06
2016.03.18;BUY;AAPL;102;105.92
2014.04.11;BUY;AAPL;143;74.23
2016.06.14;BUY;AAPL;109;97.46
2014.11.12;BUY;AAPL;97;111.25
2015.01.12;BUY;AAPL;98;109.25
2013.03.18;BUY;AAPL;154;65.1
2014.04.15;BUY;AAPL;144;73.99
2016.10.06;BUY;AAPL;97;113.89
2013.11.18;SELL;AAPL;139;74.09
2013.05.09;BUY;AAPL;154;65.25
2015.11.24;BUY;AAPL;92;118.88
2014.07.16;BUY;AAPL;115;94.78
2014.05.21;SELL;AAPL;122;86.62
2015.03.03;BUY;AAPL;84;129.36
2015.05.04;BUY;AAPL;84;128.7
2015.04.02;BUY;AAPL;86;125.32
2016.10.19;SELL;AAPL;94;117.12
2016.08.29;BUY;AAPL;100;106.82
2014.05.23;BUY;AAPL;120;87.73
2015.09.10;BUY;AAPL;97;112.57
2015.11.10;BUY;AAPL;96;116.77
2016.02.08;BUY;AAPL;112;95.01
2014.02.14;BUY;AAPL;135;77.71
2013.11.19;BUY;AAPL;139;74.22
2013.12.13;BUY;AAPL;133;79.2
2014.05.07;BUY;AAPL;126;84.62
2013.08.26;BUY;AAPL;145;71.85
2014.07.10;BUY;AAPL;115;95.04
2016.05.26;BUY;AAPL;106;100.41
2013.09.16;BUY;AAPL;158;64.3
2014.08.15;BUY;AAPL;110;97.98
2015.09.22;SELL;AAPL;97;113.4
2016.10.03;BUY;AAPL;98;112.52
2014.06.12;BUY;AAPL;115;92.29
2014.08.08;BUY;AAPL;114;94.74
2015.06.10;BUY;AAPL;84;128.88
2016.08.11;BUY;AAPL;99;107.93
2016.09.14;BUY;AAPL;98;111.77
2016.09.09;BUY;AAPL;104;103.13
2015.09.18;SELL;AAPL;97;113.45
2015.06.12;BUY;AAPL;85;127.17
2016.03.04;BUY;AAPL;104;103.01
2015.03.16;BUY;AAPL;86;124.95
2015.06.18;BUY;AAPL;84;127.88
2013.06.03;BUY;AAPL;156;64.39
2016.02.25;BUY;AAPL;110;96.76
2013.11.15;BUY;AAPL;137;75.0
2015.09.29;BUY;AAPL;101;109.06
2015.10.23;BUY;AAPL;94;119.08
2015.05.01;BUY;AAPL;84;128.95
2013.12.24;SELL;AAPL;131;81.1
2016.09.23;SELL;AAPL;97;112.71
2015.02.25;BUY;AAPL;84;128.79
2015.01.30;BUY;AAPL;93;117.16
2014.02.07;BUY;AAPL;140;74.24
2014.04.25;SELL;AAPL;130;81.71
2016.04.18;BUY;AAPL;101;107.48
2013.09.13;BUY;AAPL;153;66.41
2015.01.26;BUY;AAPL;96;113.1
2016.06.10;SELL;AAPL;108;98.83
2015.11.18;BUY;AAPL;94;117.29
2016.05.13;BUY;AAPL;115;90.52
2014.04.16;BUY;AAPL;144;74.14
2015.09.09;BUY;AAPL;99;110.15
2016.03.15;SELL;AAPL;103;104.58
2016.11.22;BUY;AAPL;99;111.8
2016.03.22;BUY;AAPL;101;106.72
2014.08.13;SELL;AAPL;111;97.24
2016.09.12;BUY;AAPL;103;105.44
2016.01.19;SELL;AAPL;111;96.66
2014.02.11;BUY;AAPL;137;76.57
2014.06.20;BUY;AAPL;117;90.91
2016.05.05;BUY;AAPL;112;93.24
2013.08.22;SELL;AAPL;145;71.85
2014.07.30;BUY;AAPL;110;98.15
2016.02.18;BUY;AAPL;110;96.26
2013.04.30;BUY;AAPL;158;63.25
2015.12.01;BUY;AAPL;93;117.34
2014.06.30;BUY;AAPL;116;92.93
2015.12.14;BUY;AAPL;95;112.48
2015.09.21;SELL;AAPL;95;115.21
2013.07.16;SELL;AAPL;164;61.46
2014.01.16;BUY;AAPL;134;79.18
2016.06.28;SELL;AAPL;112;93.59
2015.10.26;SELL;AAPL;98;115.28
2013.05.06;BUY;AAPL;154;65.82
2016.09.27;BUY;AAPL;97;113.09
2015.06.01;BUY;AAPL;83;130.54
2016.10.27;SELL;AAPL;95;114.48
2016.12.02;BUY;AAPL;100;109.9
2016.09.16;BUY;AAPL;95;114.92
2014.07.17;SELL;AAPL;117;93.09
2016.04.26;BUY;AAPL;101;104.35
2016.07.29;BUY;AAPL;103;104.21
2016.11.23;BUY;AAPL;99;111.23
2013.12.10;SELL;AAPL;131;80.79
2014.07.15;BUY;AAPL;115;95.32
2015.08.12;SELL;AAPL;95;115.24
2015.03.27;SELL;AAPL;87;123.25
2013.10.15;BUY;AAPL;145;71.24
2014.01.29;BUY;AAPL;146;71.54
2014.05.06;SELL;AAPL;125;84.92
2016.08.30;BUY;AAPL;100;106.0
2013.08.28;BUY;AAPL;148;70.13
2013.10.03;SELL;AAPL;149;69.06
2015.03.20;SELL;AAPL;85;125.9
2015.05.08;SELL;AAPL;85;127.62
2014.09.23;BUY;AAPL;107;102.64
2015.11.04;BUY;AAPL;93;122.0
2013.08.27;BUY;AAPL;149;69.8
2016.09.29;BUY;AAPL;98;112.18
2016.12.07;BUY;AAPL;99;111.03
2014.03.31;SELL;AAPL;136;76.68
2014.11.05;SELL;AAPL;100;108.86
2015.09.01;SELL;AAPL;101;107.72
2016.02.01;SELL;AAPL;111;96.43
2016.08.22;SELL;AAPL;98;108.51
2016.09.02;BUY;AAPL;99;107.73
2016.09.20;SELL;AAPL;97;113.57
2015.11.17;SELL;AAPL;97;113.69
2013.07.17;SELL;AAPL;164;61.47
2016.02.29;BUY;AAPL;111;96.69
2013.10.31;BUY;AAPL;139;74.67
2016.09.15;BUY;AAPL;95;115.57
2016.11.21;SELL;AAPL;99;111.73
2016.04.19;BUY;AAPL;101;106.91
2014.03.04;SELL;AAPL;137;75.89
2015.09.03;SELL;AAPL;98;110.37
2016.06.07;SELL;AAPL;107;99.03
2015.10.20;BUY;AAPL;99;113.77
2016.09.07;BUY;AAPL;98;108.36
2015.11.19;BUY;AAPL;92;118.78
2014.01.07;SELL;AAPL;138;77.15
2015.03.09;BUY;AAPL;85;127.14
2015.11.05;BUY;AAPL;93;120.92
2016.03.28;BUY;AAPL;103;105.19
2014.11.21;SELL;AAPL;94;116.47
2014.09.12;BUY;AAPL;108;101.66
2013.11.07;SELL;AAPL;141;73.21
2014.04.10;SELL;AAPL;142;74.78
2015.09.30;BUY;AAPL;100;110.3
2014.08.07;BUY;AAPL;114;94.48
2013.11.01;BUY;AAPL;140;74.29
2013.06.14;BUY;AAPL;163;61.44
2014.03.13;BUY;AAPL;137;75.81
2014.06.24;BUY;AAPL;118;90.28
2015.02.18;BUY;AAPL;84;128.72
2014.03.14;BUY;AAPL;139;74.96
2014.05.29;BUY;AAPL;117;90.77
2014.11.24;SELL;AAPL;92;118.62
2014.08.12;SELL;AAPL;113;95.97
2016.02.19;BUY;AAPL;110;96.04
2016.06.06;BUY;AAPL;107;98.63
2016.11.17;BUY;AAPL;100;109.95
2015.08.05;SELL;AAPL;94;115.4
2013.06.26;BUY;AAPL;174;56.87
2013.08.16;BUY;AAPL;145;71.76
2013.12.03;SELL;AAPL;130;80.9
2014.05.16;SELL;AAPL;124;85.36
2014.07.29;BUY;AAPL;110;98.38
2013.12.23;SELL;AAPL;130;81.44
2014.12.23;BUY;AAPL;96;112.54
2016.03.09;BUY;AAPL;106;101.12
2013.10.30;BUY;AAPL;139;74.98
2013.12.06;SELL;AAPL;132;80.0
2013.09.06;BUY;AAPL;146;71.17
2013.08.15;BUY;AAPL;147;71.13
2015.05.13;BUY;AAPL;86;126.01
2016.09.21;SELL;AAPL;97;113.55
2015.04.13;BUY;AAPL;85;126.85
2015.04.28;BUY;AAPL;83;130.56
2015.01.07;BUY;AAPL;100;107.75
2014.03.17;BUY;AAPL;138;75.25
2013.09.24;BUY;AAPL;147;69.87
2015.01.28;BUY;AAPL;94;115.31
2014.08.11;SELL;AAPL;113;95.99
2013.10.16;SELL;AAPL;145;71.59
2015.03.05;BUY;AAPL;86;126.41
2015.06.02;BUY;AAPL;83;129.96
2014.06.13;BUY;AAPL;117;91.28
2016.02.26;BUY;AAPL;110;96.91
2016.06.16;BUY;AAPL;109;97.55
2016.05.10;BUY;AAPL;112;93.42
2016.09.30;BUY;AAPL;97;113.05
2014.09.11;SELL;AAPL;109;101.43
2013.08.09;BUY;AAPL;158;64.92
2016.10.24;BUY;AAPL;94;117.65
2013.05.08;BUY;AAPL;152;66.26
2014.10.02;SELL;AAPL;110;99.9
2015.03.06;BUY;AAPL;85;126.6
2014.09.16;BUY;AAPL;109;100.86
2016.01.26;SELL;AAPL;106;99.99
2013.11.08;SELL;AAPL;139;74.37
2014.04.02;SELL;AAPL;135;77.51
2013.05.24;BUY;AAPL;158;63.59
2014.03.06;BUY;AAPL;137;75.82
2015.12.18;SELL;AAPL;101;106.03
2015.11.20;BUY;AAPL;92;119.3
2015.05.29;BUY;AAPL;83;130.28
2016.12.14;BUY;AAPL;96;115.19
2013.05.03;BUY;AAPL;157;64.28
2015.08.28;SELL;AAPL;96;113.29
2013.10.29;BUY;AAPL;140;73.81
2014.01.03;BUY;AAPL;138;77.28
2014.04.21;SELL;AAPL;142;75.88
2014.05.20;SELL;AAPL;123;86.39
2015.04.10;BUY;AAPL;85;127.1
2015.11.27;BUY;AAPL;93;117.81
2015.05.06;SELL;AAPL;86;125.01
2014.10.28;SELL;AAPL;103;106.74
2014.03.25;BUY;AAPL;134;77.86
2013.05.30;BUY;AAPL;156;64.51
2015.05.21;BUY;AAPL;83;131.39
2014.04.04;SELL;AAPL;139;75.97
2015.08.11;SELL;AAPL;96;113.49
2015.12.31;SELL;AAPL;101;105.26
2014.07.14;SELL;AAPL;113;96.45
2015.06.26;SELL;AAPL;85;126.75
2014.04.14;BUY;AAPL;143;74.53
2015.03.23;SELL;AAPL;84;127.21
2016.02.12;SELL;AAPL;113;93.99
2016.07.22;BUY;AAPL;107;98.66
2015.08.17;SELL;AAPL;93;117.16
2016.06.24;SELL;AAPL;113;93.4
2013.08.20;BUY;AAPL;146;71.58
2013.04.24;SELL;AAPL;174;57.92
2013.11.25;BUY;AAPL;140;74.82
2015.08.06;SELL;AAPL;95;115.13
2014.05.27;BUY;AAPL;119;89.38
2016.09.06;SELL;AAPL;98;107.7
2016.05.27;BUY;AAPL;105;100.35
2013.11.13;BUY;AAPL;139;74.38
2014.01.22;SELL;AAPL;135;78.79
2015.08.31;SELL;AAPL;96;112.76
2013.03.26;SELL;AAPL;155;65.88
2014.06.25;BUY;AAPL;119;90.36
2013.05.07;BUY;AAPL;154;65.52
2014.05.22;BUY;AAPL;121;86.75
2015.08.18;BUY;AAPL;95;116.5
2015.10.16;BUY;AAPL;100;111.04
2016.12.22;SELL;AAPL;95;116.29
2015.10.01;BUY;AAPL;101;109.58
2014.07.18;BUY;AAPL;115;94.43
2016.08.25;BUY;AAPL;99;107.57
2014.03.10;BUY;AAPL;137;75.85
2015.10.13;SELL;AAPL;99;111.79
2016.12.08;SELL;AAPL;98;112.12
2014.05.13;SELL;AAPL;126;84.82
2016.08.01;SELL;AAPL;101;106.05
2015.05.28;BUY;AAPL;83;131.78
2016.05.16;BUY;AAPL;112;93.88
2016.07.18;SELL;AAPL;106;99.83
2016.08.24;BUY;AAPL;99;108.03
2015.11.12;SELL;AAPL;96;115.72
2015.02.06;SELL;AAPL;91;118.93
2014.09.24;BUY;AAPL;108;101.75
2015.03.02;BUY;AAPL;84;129.09
2016.05.24;SELL;AAPL;109;97.9
2014.10.21;BUY;AAPL;107;102.47
2013.12.05;SELL;AAPL;130;81.13
2014.10.24;SELL;AAPL;105;105.22
2013.09.27;BUY;AAPL;149;68.96
2014.12.19;BUY;AAPL;96;111.78
2013.08.21;BUY;AAPL;145;71.77
2015.02.23;SELL;AAPL;81;133.0
2015.03.31;SELL;AAPL;86;124.43
2013.03.19;BUY;AAPL;155;64.93
2014.08.04;BUY;AAPL;113;95.59
2015.01.20;BUY;AAPL;99;108.72
2016.07.15;SELL;AAPL;107;98.78
2013.06.13;BUY;AAPL;161;62.28
2015.12.17;BUY;AAPL;98;108.98
2014.08.29;SELL;AAPL;105;102.5
2013.11.26;SELL;AAPL;138;76.2
2013.03.21;BUY;AAPL;156;64.68
2016.02.03;SELL;AAPL;111;96.35
2014.12.01;BUY;AAPL;95;115.07
2013.12.09;SELL;AAPL;130;80.92
2015.02.04;SELL;AAPL;91;119.56
2016.03.29;BUY;AAPL;101;107.68
2013.12.19;BUY;AAPL;136;77.78
2014.09.09;BUY;AAPL;112;97.99
2013.07.15;SELL;AAPL;165;61.06
2013.06.25;BUY;AAPL;172;57.52
2013.04.11;BUY;AAPL;166;62.05
2014.12.18;SELL;AAPL;96;112.65
2016.12.12;BUY;AAPL;97;113.3
2015.11.13;SELL;AAPL;99;112.34
2014.09.02;SELL;AAPL;105;103.3
2015.04.21;BUY;AAPL;85;126.91
2014.02.25;BUY;AAPL;139;74.58
2013.04.10;BUY;AAPL;166;62.24
2013.11.22;BUY;AAPL;140;74.26
2016.03.31;SELL;AAPL;100;108.99
2015.08.03;SELL;AAPL;91;118.44
2014.07.03;BUY;AAPL;116;94.03
2016.05.25;BUY;AAPL;107;99.62
2013.10.24;BUY;AAPL;137;75.99
2014.11.06;SELL;AAPL;100;108.7
2016.04.04;BUY;AAPL;98;111.12
2015.06.05;BUY;AAPL;84;128.65
2015.06.11;SELL;AAPL;84;128.59
2013.09.18;BUY;AAPL;154;66.38
2016.11.28;BUY;AAPL;99;111.57
2015.08.26;BUY;AAPL;99;109.69
2015.03.11;SELL;AAPL;88;122.24
2014.12.03;BUY;AAPL;94;115.93
2013.04.04;BUY;AAPL;168;61.1
2015.07.20;SELL;AAPL;81;132.07
2014.02.19;BUY;AAPL;136;76.77
2015.12.24;BUY;AAPL;99;108.03
