Date,Open,High,Low,Close
1991-06-26,0.0,3.36,3.12,3.28
1991-06-27,0.0,3.44,3.26,3.32
1991-06-28,0.0,3.4,3.24,3.3
1991-07-01,0.0,3.36,3.28,3.32
1991-07-02,0.0,3.36,3.32,3.36
1991-07-03,0.0,3.36,3.24,3.32
1991-07-05,0.0,3.32,3.2,3.2
1991-07-08,0.0,3.32,3.2,3.2
1991-07-09,0.0,3.48,3.2,3.44
1991-07-10,0.0,3.72,3.48,3.72
1991-07-11,0.0,3.89,3.64,3.78
1991-07-12,0.0,3.85,3.68,3.72
1991-07-15,0.0,3.76,3.68,3.72
1991-07-16,0.0,3.93,3.68,3.93
1991-07-17,0.0,4.21,3.85,4.13
1991-07-18,0.0,4.25,4.05,4.13
1991-07-19,0.0,4.17,3.93,3.93
1991-07-22,0.0,4.05,3.93,3.93
1991-07-23,0.0,3.97,3.7,3.74
1991-07-24,0.0,3.85,3.64,3.64
1991-07-25,0.0,3.72,3.6,3.6
1991-07-26,0.0,3.64,3.56,3.64
1991-07-29,0.0,3.68,3.56,3.68
1991-07-30,0.0,3.99,3.6,3.97
1991-07-31,0.0,4.09,3.93,4.05
1991-08-01,0.0,4.09,4.01,4.09
1991-08-02,0.0,4.13,4.05,4.05
1991-08-05,0.0,4.13,3.97,3.97
1991-08-06,0.0,4.01,3.89,4.01
1991-08-07,0.0,4.01,3.97,4.01
1991-08-08,0.0,4.01,3.97,4.01
1991-08-09,0.0,4.01,3.93,3.95
1991-08-12,0.0,3.93,3.85,3.93
1991-08-13,0.0,3.93,3.85,3.93
1991-08-14,0.0,3.97,3.85,3.97
1991-08-15,0.0,3.97,3.89,3.97
1991-08-16,0.0,4.01,3.89,3.93
1991-08-19,0.0,3.8,3.6,3.74
1991-08-20,0.0,3.89,3.76,3.89
1991-08-21,0.0,3.97,3.85,3.89
1991-08-22,0.0,3.97,3.89,3.97
1991-08-23,0.0,4.05,3.89,4.01
1991-08-26,0.0,4.05,3.97,4.05
1991-08-27,0.0,4.21,3.97,4.21
1991-08-28,0.0,4.41,4.17,4.33
1991-08-29,0.0,4.33,4.25,4.27
1991-08-30,0.0,4.33,4.25,4.29
1991-09-03,0.0,4.29,4.25,4.29
1991-09-04,0.0,4.31,4.25,4.25
1991-09-05,0.0,4.29,4.25,4.25
1991-09-06,0.0,4.29,4.25,4.25
1991-09-09,0.0,4.29,4.25,4.29
1991-09-10,0.0,4.29,4.25,4.25
1991-09-11,0.0,4.37,4.25,4.33
1991-09-12,0.0,4.39,4.33,4.33
1991-09-13,0.0,4.41,4.33,4.37
1991-09-16,0.0,4.45,4.33,4.37
1991-09-17,0.0,4.41,4.33,4.37
1991-09-18,0.0,4.37,4.33,4.33
1991-09-19,0.0,4.37,4.33,4.33
1991-09-20,0.0,4.37,4.33,4.33
1991-09-23,0.0,4.41,4.33,4.41
1991-09-24,0.0,4.41,4.33,4.37
1991-09-25,0.0,4.49,4.33,4.41
1991-09-26,0.0,4.53,4.41,4.49
1991-09-27,0.0,4.53,4.37,4.41
1991-09-30,0.0,4.45,4.37,4.37
1991-10-01,0.0,4.41,4.29,4.33
1991-10-02,0.0,4.41,4.37,4.37
1991-10-03,0.0,4.39,4.05,4.17
1991-10-04,0.0,4.17,4.05,4.13
1991-10-07,0.0,4.09,3.89,4.01
1991-10-08,0.0,4.05,3.89,4.05
1991-10-09,0.0,4.21,3.97,4.17
1991-10-10,0.0,4.25,4.09,4.25
1991-10-11,0.0,4.33,4.21,4.21
1991-10-14,0.0,4.43,4.29,4.37
1991-10-15,0.0,4.49,4.37,4.49
1991-10-16,0.0,4.57,4.41,4.53
1991-10-17,0.0,4.66,4.49,4.57
1991-10-18,0.0,4.61,4.49,4.53
1991-10-21,0.0,4.57,4.49,4.57
1991-10-22,0.0,4.61,4.45,4.45
1991-10-23,0.0,4.57,4.45,4.57
1991-10-24,0.0,4.57,4.33,4.41
1991-10-25,0.0,4.41,4.29,4.29
1991-10-28,0.0,4.37,4.29,4.37
1991-10-29,0.0,4.37,4.29,4.37
1991-10-30,0.0,4.37,4.29,4.33
1991-10-31,0.0,4.37,4.33,4.37
1991-11-01,0.0,4.37,4.29,4.33
1991-11-04,0.0,4.41,4.29,4.37
1991-11-05,0.0,4.41,4.29,4.33
1991-11-06,0.0,4.41,4.33,4.41
1991-11-07,0.0,4.41,4.33,4.33
1991-11-08,0.0,4.41,4.33,4.41
1991-11-11,0.0,4.41,4.33,4.41
1991-11-12,0.0,4.49,4.37,4.37
1991-11-13,0.0,4.45,4.37,4.45
1991-11-14,0.0,4.49,4.39,4.41
1991-11-15,0.0,4.49,4.33,4.37
1991-11-18,0.0,4.33,4.21,4.27
1991-11-19,0.0,4.33,4.17,4.21
1991-11-20,0.0,4.33,4.21,4.21
1991-11-21,0.0,4.29,4.13,4.25
1991-11-22,0.0,4.37,4.21,4.29
1991-11-25,0.0,4.41,4.17,4.17
1991-11-26,0.0,4.25,4.09,4.09
1991-11-27,0.0,4.17,4.05,4.17
1991-11-29,0.0,4.17,4.11,4.11
1991-12-02,0.0,4.25,4.09,4.25
1991-12-03,0.0,4.25,4.17,4.25
1991-12-04,0.0,4.29,4.21,4.21
1991-12-05,0.0,4.33,4.21,4.25
1991-12-06,0.0,4.37,4.21,4.33
1991-12-09,0.0,4.53,4.25,4.45
1991-12-10,0.0,4.53,4.41,4.41
1991-12-11,0.0,4.49,4.15,4.29
1991-12-12,0.0,4.45,4.33,4.45
1991-12-13,0.0,4.61,4.45,4.49
1991-12-16,0.0,4.49,4.41,4.49
1991-12-17,0.0,4.61,4.41,4.49
1991-12-18,0.0,4.74,4.49,4.74
1991-12-19,0.0,4.86,4.61,4.86
1991-12-20,0.0,5.06,4.86,4.98
1991-12-23,0.0,5.06,4.98,5.0
1991-12-24,0.0,5.06,4.9,4.9
1991-12-26,0.0,4.98,4.9,4.9
1991-12-27,0.0,5.1,4.9,5.02
1991-12-30,0.0,5.3,5.1,5.3
1991-12-31,0.0,5.55,5.26,5.55
1992-01-02,0.0,5.46,5.22,5.34
1992-01-03,0.0,5.38,5.22,5.38
1992-01-06,0.0,5.46,5.3,5.46
1992-01-07,0.0,5.51,5.38,5.42
1992-01-08,0.0,5.46,5.34,5.46
1992-01-09,0.0,5.46,5.34,5.38
1992-01-10,0.0,5.46,5.3,5.46
1992-01-13,0.0,5.46,5.34,5.46
1992-01-14,0.0,5.55,5.42,5.51
1992-01-15,0.0,5.55,5.42,5.51
1992-01-16,0.0,5.51,5.42,5.42
1992-01-17,0.0,5.51,5.42,5.42
1992-01-20,0.0,5.55,5.42,5.46
1992-01-21,0.0,5.55,5.38,5.42
1992-01-22,0.0,5.51,5.42,5.51
1992-01-23,0.0,5.59,5.44,5.59
1992-01-24,0.0,5.59,5.46,5.55
1992-01-27,0.0,5.59,5.35,5.38
1992-01-28,0.0,5.51,5.38,5.51
1992-01-29,0.0,5.51,5.38,5.38
1992-01-30,0.0,5.51,5.36,5.36
1992-01-31,0.0,5.51,5.34,5.34
1992-02-03,0.0,5.38,5.3,5.38
1992-02-04,0.0,5.42,5.3,5.42
1992-02-05,0.0,5.42,5.34,5.42
1992-02-06,0.0,5.42,5.34,5.38
1992-02-07,0.0,5.38,5.18,5.18
1992-02-10,0.0,5.22,5.06,5.06
1992-02-11,0.0,5.1,4.94,4.94
1992-02-12,0.0,5.14,4.94,5.14
1992-02-13,0.0,5.14,5.02,5.06
1992-02-14,0.0,5.1,5.06,5.06
1992-02-18,0.0,5.14,5.06,5.06
1992-02-19,0.0,5.22,5.14,5.18
1992-02-20,0.0,5.46,5.18,5.42
1992-02-21,0.0,5.51,5.34,5.42
1992-02-24,0.0,5.42,5.26,5.26
1992-02-25,0.0,5.34,5.14,5.22
1992-02-26,0.0,5.26,5.18,5.2
1992-02-27,0.0,5.26,5.18,5.18
1992-02-28,0.0,5.26,5.18,5.26
1992-03-02,0.0,5.38,5.22,5.32
1992-03-03,0.0,5.63,5.34,5.57
1992-03-04,0.0,5.51,5.3,5.4
1992-03-05,0.0,5.46,5.34,5.42
1992-03-06,0.0,5.46,5.34,5.34
1992-03-09,0.0,5.46,5.34,5.34
1992-03-10,0.0,5.55,5.34,5.55
1992-03-11,0.0,5.55,5.46,5.46
1992-03-12,0.0,5.51,5.34,5.42
1992-03-13,0.0,5.46,5.34,5.34
1992-03-16,0.0,5.42,5.34,5.42
1992-03-17,0.0,5.42,5.34,5.34
1992-03-18,0.0,5.55,5.34,5.51
1992-03-19,0.0,5.79,5.55,5.79
1992-03-20,0.0,5.91,5.75,5.87
1992-03-23,0.0,5.87,5.79,5.87
1992-03-24,0.0,5.87,5.71,5.79
1992-03-25,0.0,5.99,5.71,5.95
1992-03-26,0.0,6.07,5.99,6.05
1992-03-27,0.0,6.07,5.95,5.95
1992-03-30,0.0,6.07,5.99,6.07
