Date,Open,High,Low,Close
2010-12-20,50.49,50.69,48.16,49.17
2010-12-21,49.69,50.39,49.25,50.39
2010-12-22,50.2,50.27,48.72,48.79
2010-12-23,48.8,48.8,47.76,48.1
2010-12-27,47.83,48.52,47.28,48.19
2010-12-28,48.2,48.47,47.62,47.76
2010-12-29,47.84,48.25,47.71,47.92
2010-12-30,47.86,48.2,47.65,47.68
2010-12-31,47.56,47.68,46.92,47.05
2011-01-03,47.61,49.15,47.58,48.26
2011-01-04,48.45,48.73,46.8,47.14
2011-01-05,47.07,49.34,46.69,48.85
2011-01-06,48.96,49.33,48.3,48.45
2011-01-07,48.56,48.92,47.81,48.69
2011-01-10,48.41,49.1,47.39,48.79
2011-01-11,49.46,49.59,48.33,48.75
2011-01-12,49.29,49.41,48.5,49.26
2011-01-13,49.25,51.08,49.2,50.38
2011-01-14,50.34,52.05,50.3,51.75
2011-01-18,51.56,52.72,51.31,52.24
2011-01-19,51.97,52.63,51.09,51.51
2011-01-20,49.91,50.44,48.88,50.34
2011-01-21,50.66,51.08,48.79,48.93
2011-01-24,48.83,49.56,47.72,49.43
2011-01-25,49.06,49.06,47.25,47.82
2011-01-26,47.87,48.37,47.56,48.02
2011-01-27,48.15,49.08,47.88,47.99
2011-01-28,48.45,49.49,47.32,47.75
2011-01-31,47.9,48.58,47.02,48.32
2011-02-01,48.64,49.6,48.56,49.07
2011-02-02,48.97,49.12,47.8,48.06
2011-02-03,47.89,48.74,47.75,48.11
2011-02-04,48.12,48.64,47.66,47.88
2011-02-07,48.25,48.39,47.16,47.39
2011-02-08,47.43,48.38,47.43,48.1
2011-02-09,48.0,49.38,47.83,47.99
2011-02-10,41.69,42.08,39.9,40.75
2011-02-11,41.61,41.84,40.98,41.43
2011-02-14,41.78,42.25,41.45,42.1
2011-02-15,42.29,43.11,42.0,42.95
2011-02-16,43.25,43.58,42.62,42.79
2011-02-17,42.5,43.1,42.36,42.67
2011-02-18,42.71,42.79,41.49,41.57
2011-02-22,40.9,41.41,40.07,40.22
2011-02-23,40.1,40.66,39.12,39.99
2011-02-24,39.87,40.56,39.17,39.66
2011-02-25,40.21,40.7,39.4,39.48
2011-02-28,39.79,40.1,37.17,37.53
2011-03-01,38.0,38.28,36.86,37.36
2011-03-02,37.35,38.35,37.18,38.11
2011-03-03,38.54,39.06,37.7,37.78
2011-03-04,37.85,38.0,37.16,37.37
2011-03-07,37.69,37.74,36.06,36.54
2011-03-08,36.54,37.12,36.28,36.51
2011-03-09,36.39,36.96,36.1,36.57
2011-03-10,36.12,36.75,35.52,36.41
2011-03-11,36.03,36.4,35.75,36.2
2011-03-14,36.02,36.6,35.89,36.06
2011-03-15,34.89,36.11,34.6,35.74
2011-03-16,35.67,36.24,34.85,34.96
2011-03-17,36.13,36.98,35.86,36.47
2011-03-18,36.94,37.08,35.57,36.19
2011-03-21,36.59,36.76,36.2,36.38
2011-03-22,36.96,37.16,36.5,36.56
2011-03-23,36.83,37.0,36.29,36.67
2011-03-24,37.05,37.88,36.9,37.76
2011-03-25,38.66,39.3,38.25,38.45
2011-03-28,38.6,38.65,37.51,37.51
2011-03-29,37.62,38.17,37.25,37.95
2011-03-30,38.36,38.44,37.84,38.1
2011-03-31,38.04,38.27,37.5,38.0
2011-04-01,38.15,38.45,37.39,37.6
2011-04-04,37.72,38.09,37.46,37.7
2011-04-05,37.54,37.6,36.95,37.07
2011-04-06,37.37,37.67,36.7,37.24
2011-04-07,37.15,37.53,36.91,37.37
2011-04-08,37.75,37.93,37.15,37.35
2011-04-11,37.24,37.55,36.17,36.46
2011-04-12,36.68,37.07,36.45,36.98
2011-04-13,37.29,37.73,37.25,37.54
2011-04-14,37.44,37.47,36.82,37.38
2011-04-15,37.44,38.12,36.86,38.09
2011-04-18,37.65,39.97,37.5,39.73
2011-04-19,39.75,40.68,38.9,39.62
2011-04-20,40.26,40.34,39.64,39.94
2011-04-21,40.22,40.56,39.61,39.98
2011-04-25,40.4,40.8,40.05,40.68
2011-04-26,40.78,41.25,40.21,40.36
2011-04-27,40.71,41.19,40.22,40.98
2011-04-28,35.2,35.51,34.46,34.94
2011-04-29,34.9,34.96,34.18,34.43
2011-05-02,34.41,34.75,34.06,34.23
2011-05-03,34.12,34.31,33.42,33.46
2011-05-04,33.38,34.35,32.64,34.35
2011-05-05,33.95,35.83,33.9,35.17
2011-05-06,35.51,35.62,34.44,34.62
2011-05-09,34.72,34.76,34.14,34.59
