Date,Open,High,Low,Close
2001-12-17,32.22,33.32,31.66,31.84
2001-12-18,31.9,31.95,30.46,30.85
2001-12-19,30.98,31.18,30.38,30.67
2001-12-20,30.54,31.68,30.49,30.79
2001-12-21,30.47,31.17,29.92,29.92
2001-12-24,30.02,30.28,29.89,30.02
2001-12-26,29.95,30.73,29.94,30.24
2001-12-27,30.4,31.02,30.04,30.32
2001-12-28,30.44,30.56,29.81,30.06
2001-12-31,30.02,30.48,29.69,30.02
2002-01-02,30.12,30.16,28.99,29.34
2002-01-03,29.18,29.81,29.1,29.51
2002-01-04,29.43,30.48,29.42,30.1
2002-01-07,30.28,30.28,29.48,29.52
2002-01-08,29.85,30.6,29.37,30.23
2002-01-09,30.36,31.08,29.85,29.95
2002-01-10,29.85,30.68,29.73,30.46
2002-01-11,30.58,30.88,30.1,30.36
2002-01-14,30.48,30.68,29.93,29.99
2002-01-15,30.02,30.82,29.36,29.9
2002-01-16,29.77,30.04,29.21,29.31
2002-01-17,29.45,29.47,28.15,29.15
2002-01-18,28.85,29.31,28.59,28.94
2002-01-22,29.08,29.23,28.32,28.59
2002-01-23,28.71,29.71,28.65,29.43
2002-01-24,29.38,29.74,28.95,29.45
2002-01-25,29.48,29.7,29.16,29.57
2002-01-28,29.6,29.91,29.36,29.89
2002-01-29,29.95,30.4,28.85,29.29
2002-01-30,29.48,30.42,29.05,30.42
2002-01-31,30.43,31.28,30.12,31.12
2002-02-01,31.24,31.27,29.86,29.98
2002-02-04,30.01,30.42,29.73,30.01
2002-02-05,30.05,30.52,29.68,30.29
2002-02-06,30.62,30.78,29.98,30.3
2002-02-07,30.1,31.31,30.08,30.85
2002-02-08,30.78,31.4,30.55,31.32
2002-02-11,31.15,31.42,30.6,31.1
2002-02-12,30.87,30.96,30.32,30.37
2002-02-13,30.48,30.71,30.22,30.46
2002-02-14,30.39,30.84,30.09,30.66
2002-02-15,30.59,30.82,29.7,29.92
2002-02-19,29.97,30.15,29.06,29.17
2002-02-20,29.25,31.01,29.24,30.96
2002-02-21,30.81,31.1,29.71,30.23
2002-02-22,30.22,31.76,30.02,31.6
2002-02-25,31.57,32.65,31.39,32.54
2002-02-26,32.38,33.47,31.6,33.06
2002-02-27,33.42,33.7,31.62,32.04
2002-02-28,32.06,32.78,31.82,32.38
2002-03-01,32.51,33.27,32.25,33.18
2002-03-04,33.32,34.58,33.32,34.36
2002-03-05,34.52,34.68,33.48,33.88
2002-03-06,33.83,33.87,32.28,32.88
2002-03-07,32.8,32.8,31.14,31.48
2002-03-08,31.61,32.25,31.52,31.86
2002-03-11,31.68,31.86,30.49,30.72
2002-03-12,30.52,31.55,30.2,31.21
2002-03-13,31.2,31.44,30.53,30.54
2002-03-14,30.63,32.55,30.62,32.42
2002-03-15,32.95,33.02,32.38,32.61
2002-03-18,32.89,33.32,32.28,32.62
2002-03-19,32.82,33.79,32.71,33.16
2002-03-20,33.14,33.15,32.02,32.1
2002-03-21,32.16,32.54,31.46,32.5
2002-03-22,32.54,33.28,32.34,33.06
2002-03-25,32.96,33.03,31.44,31.82
2002-03-26,32.6,34.66,32.52,34.43
2002-03-27,34.62,35.93,34.44,35.55
2002-03-28,35.6,36.24,35.38,35.72
2002-04-01,35.74,35.9,34.26,35.11
2002-04-02,35.09,35.48,34.74,35.14
2002-04-03,35.11,35.25,34.0,34.22
2002-04-04,34.38,35.08,34.37,34.74
2002-04-05,34.86,35.3,34.06,34.12
2002-04-08,34.15,36.35,34.08,36.34
2002-04-09,36.25,36.75,35.68,35.72
2002-04-10,35.95,37.54,35.7,37.47
2002-04-11,37.45,37.64,36.2,36.77
2002-04-12,36.91,37.91,36.89,37.38
2002-04-15,37.49,38.0,36.52,37.53
2002-04-16,37.69,37.85,36.72,37.58
2002-04-17,37.75,38.79,37.69,38.41
2002-04-18,38.05,38.41,37.16,38.23
2002-04-19,37.92,38.38,37.63,37.77
2002-04-22,37.84,37.89,37.01,37.65
2002-04-23,37.75,38.98,37.75,38.51
2002-04-24,38.62,39.21,38.39,38.75
2002-04-25,38.79,39.44,38.11,38.53
2002-04-26,38.7,39.29,37.56,37.58
2002-04-29,38.05,38.23,36.55,37.33
2002-04-30,37.15,38.81,36.9,38.34
2002-05-01,38.82,39.0,36.12,37.77
2002-05-02,37.9,38.36,37.24,37.29
2002-05-03,37.71,37.92,36.66,36.9
2002-05-06,37.11,37.71,36.27,36.32
2002-05-07,36.81,37.89,36.5,37.47
2002-05-08,37.99,38.04,36.71,37.87
2002-05-09,37.68,37.77,34.58,36.47
2002-05-10,36.86,36.87,35.17,35.37
2002-05-13,35.42,37.0,35.22,36.65
2002-05-14,38.52,38.97,36.8,37.56
2002-05-15,37.86,38.83,37.6,37.95
2002-05-16,38.15,38.25,37.5,37.55
2002-05-17,37.65,38.1,37.05,37.67
2002-05-20,37.96,37.99,36.71,36.75
2002-05-21,36.98,37.15,35.8,36.65
2002-05-22,36.4,36.65,34.8,35.49
2002-05-23,35.64,35.92,34.93,35.74
2002-05-24,35.46,35.78,35.06,35.35
2002-05-28,35.61,36.0,34.79,35.57
2002-05-29,35.77,35.96,35.0,35.51
2002-05-30,35.13,35.33,34.12,34.63
2002-05-31,34.56,35.12,33.82,34.48
2002-06-03,34.3,35.05,33.96,34.1
