Date,Open,High,Low,Close
2015-07-27,143.99,145.07,141.51,144.32
2015-07-28,144.93,146.21,142.21,145.94
2015-07-29,147.42,147.42,142.28,144.32
2015-07-30,143.83,144.82,140.18,144.56
2015-07-31,145.44,148.1,144.02,146.27
2015-08-03,146.68,148.3,144.53,147.17
2015-08-04,145.0,147.76,141.92,143.78
2015-08-05,144.76,146.55,142.81,143.66
2015-08-06,143.57,143.79,134.53,134.74
2015-08-07,134.51,134.54,128.95,133.84
2015-08-10,134.41,138.12,134.28,136.23
2015-08-11,134.82,136.99,131.4,136.02
2015-08-12,134.99,138.0,131.7,137.6
2015-08-13,137.64,139.02,135.75,135.84
2015-08-14,135.03,137.8,132.53,135.51
2015-08-17,135.21,139.76,134.12,139.44
2015-08-18,139.39,140.68,136.66,137.23
2015-08-19,135.96,136.84,133.5,135.7
2015-08-20,134.53,137.4,128.96,129.01
2015-08-21,126.8,131.1,125.54,126.17
2015-08-24,115.01,124.84,114.95,119.68
2015-08-25,124.74,126.42,120.93,121.14
2015-08-26,124.95,128.26,120.09,128.1
2015-08-27,129.5,132.51,128.43,130.89
2015-08-28,130.43,133.28,129.66,133.18
2015-08-31,134.05,136.85,128.67,129.24
2015-09-01,126.07,127.82,123.77,124.63
2015-09-02,126.43,129.39,124.43,129.26
2015-09-03,129.5,130.99,126.24,126.45
2015-09-04,124.6,127.56,124.2,126.51
2015-09-08,129.19,133.1,126.82,132.59
2015-09-09,134.27,134.71,129.46,129.87
2015-09-10,129.83,134.16,129.4,133.08
2015-09-11,132.65,133.82,131.12,132.88
2015-09-14,133.75,133.94,130.32,131.49
2015-09-15,131.64,132.9,130.56,131.88
2015-09-16,131.71,132.79,127.26,129.09
2015-09-17,129.19,133.78,128.25,132.13
2015-09-18,130.98,132.82,129.6,130.65
2015-09-21,132.68,132.8,120.91,122.09
2015-09-22,119.27,121.5,117.02,117.97
2015-09-23,118.68,120.61,116.63,117.82
2015-09-24,117.0,117.92,111.08,113.0
2015-09-25,113.05,114.96,105.37,108.69
2015-09-28,106.85,107.38,95.84,99.38
2015-09-29,100.12,104.65,95.09,96.82
2015-09-30,99.5,109.56,99.5,105.32
2015-10-01,103.75,110.06,102.76,109.79
2015-10-02,108.41,113.85,106.01,113.0
2015-10-05,114.77,115.98,109.12,109.93
2015-10-06,107.97,108.87,99.25,103.24
2015-10-07,102.13,103.79,100.28,102.13
2015-10-08,102.38,102.76,96.38,100.72
2015-10-09,99.92,104.2,98.53,102.69
2015-10-12,103.28,103.98,101.45,102.91
2015-10-13,102.01,105.5,99.11,99.34
2015-10-14,101.61,106.72,99.64,103.77
2015-10-15,103.6,111.83,102.67,111.5
2015-10-16,111.61,112.41,106.6,108.84
2015-10-19,108.89,111.48,105.04,107.28
2015-10-20,107.0,107.51,103.25,103.92
2015-10-21,105.27,105.98,99.36,103.94
2015-10-22,103.93,105.81,99.59,101.6
2015-10-23,102.92,105.0,102.02,104.14
2015-10-26,103.87,106.2,102.2,104.68
