Date,Open,High,Low,Close
2001-02-13,62.5,64.62,52.5,53.44
2001-02-14,53.0,55.44,49.62,54.25
2001-02-15,56.88,61.25,53.94,56.06
2001-02-16,52.12,55.12,51.94,53.25
2001-02-20,54.31,54.38,44.5,44.88
2001-02-21,43.5,50.75,42.0,44.69
2001-02-22,34.12,43.36,33.97,41.94
2001-02-23,41.38,47.0,39.73,45.69
2001-02-26,45.12,49.12,43.0,48.62
2001-02-27,47.06,47.31,43.38,43.5
2001-02-28,43.94,44.75,38.0,38.81
2001-03-01,38.12,40.98,36.12,40.31
2001-03-02,38.19,39.0,35.38,35.62
2001-03-05,36.44,37.62,35.0,36.44
2001-03-06,39.38,40.5,38.12,38.5
2001-03-07,40.25,41.19,38.31,38.75
2001-03-08,37.81,38.0,32.12,33.31
2001-03-09,33.38,34.0,26.88,27.38
2001-03-12,26.4,28.77,25.0,27.48
2001-03-13,28.43,30.5,27.63,30.43
2001-03-14,28.82,31.4,28.56,29.23
2001-03-15,31.15,31.25,28.8,28.92
2001-03-16,28.21,30.02,27.87,29.8
2001-03-19,29.68,32.23,28.2,31.99
2001-03-20,31.91,33.06,29.49,29.88
2001-03-21,29.46,31.02,29.25,29.94
2001-03-22,30.48,34.0,29.5,33.41
2001-03-23,34.45,34.45,29.5,29.94
2001-03-26,28.38,28.5,23.5,24.34
2001-03-27,23.84,25.7,23.55,25.0
2001-03-28,24.0,24.22,22.14,22.22
2001-03-29,22.07,22.23,18.5,19.34
2001-03-30,19.59,21.17,19.06,20.89
2001-04-02,20.65,21.28,20.0,20.21
2001-04-03,19.58,19.84,17.06,17.49
2001-04-04,16.88,18.9,16.75,17.97
2001-04-05,19.29,20.8,19.19,20.54
2001-04-06,20.1,22.94,19.9,21.57
2001-04-09,21.98,21.99,19.6,20.88
2001-04-10,21.75,25.15,21.48,24.6
2001-04-11,26.41,27.59,24.4,25.4
2001-04-12,24.29,26.28,23.15,25.72
2001-04-16,24.76,26.36,24.17,24.29
2001-04-17,23.22,24.25,20.6,20.7
2001-04-18,22.9,25.9,21.5,24.83
2001-04-19,24.78,31.43,23.8,31.34
2001-04-20,29.98,39.3,29.9,36.78
2001-04-23,34.31,35.5,31.75,32.4
2001-04-24,32.8,36.16,31.8,33.41
2001-04-25,32.96,36.69,31.53,36.0
2001-04-26,36.65,38.38,32.92,33.76
2001-04-27,35.24,36.0,33.75,35.62
2001-04-30,37.0,40.1,36.56,37.99
2001-05-01,39.54,43.28,38.64,42.96
2001-05-02,47.25,50.13,46.25,49.94
2001-05-03,48.1,48.75,45.2,46.14
2001-05-04,43.5,48.15,43.1,47.65
2001-05-07,47.83,49.27,43.8,44.02
2001-05-08,46.27,47.5,44.22,46.44
2001-05-09,44.86,47.3,43.35,44.53
2001-05-10,45.84,46.0,40.3,40.85
2001-05-11,41.4,42.94,40.0,40.18
2001-05-14,40.03,41.46,38.1,40.09
2001-05-15,39.69,44.73,39.68,42.5
2001-05-16,41.25,47.41,41.1,47.21
2001-05-17,46.91,48.3,45.05,45.36
2001-05-18,45.5,48.0,45.2,45.91
2001-05-21,45.92,53.34,45.0,53.26
2001-05-22,52.86,55.25,51.9,52.39
2001-05-23,50.82,50.99,47.87,48.02
2001-05-24,48.37,50.3,46.64,49.16
2001-05-25,48.75,48.76,45.97,46.47
2001-05-29,45.16,45.5,40.47,41.16
2001-05-30,39.92,40.36,35.8,36.97
2001-05-31,38.59,41.1,38.55,39.0
2001-06-01,40.99,41.55,38.25,38.8
2001-06-04,39.63,40.43,38.25,39.25
2001-06-05,39.72,44.7,39.7,43.49
2001-06-06,44.46,45.91,42.8,43.16
2001-06-07,42.5,48.24,42.2,46.42
2001-06-08,47.15,47.24,43.26,45.09
2001-06-11,44.46,46.7,41.05,46.07
2001-06-12,44.74,47.83,43.71,47.17
2001-06-13,47.83,48.94,41.5,41.93
2001-06-14,40.9,43.69,38.5,39.27
2001-06-15,38.4,40.94,37.39,39.29
2001-06-18,39.23,40.63,36.7,36.83
2001-06-19,39.9,41.0,34.34,35.69
