Date,Open,High,Low,Close
1999-12-31,70.5,70.5,69.1875,69.9375
2000-01-03,71.6875,72.0,69.75,70.0
2000-01-04,69.125,70.5625,67.8125,70.0
2000-01-05,65.25,65.25,61.875,63.0
2000-01-06,63.25,63.75,58.5625,59.0
2000-01-07,60.0,60.5625,58.625,58.75
2000-01-10,60.25,64.0,60.125,62.6875
2000-01-11,63.25,66.375,63.0,65.4375
2000-01-12,67.0,68.75,65.5,68.5625
2000-01-13,68.5625,68.5625,64.0,64.0
2000-01-14,66.0,66.75,64.8125,65.5625
2000-01-18,66.125,66.375,63.75,64.0
2000-01-19,64.125,65.3125,63.875,64.0
2000-01-20,65.25,69.4375,65.125,69.25
2000-01-21,69.9375,71.25,68.125,70.8125
2000-01-24,72.8125,77.0,71.875,74.0
2000-01-25,72.75,75.0,71.125,74.6875
2000-01-26,74.875,76.6875,73.625,75.0
2000-01-27,74.5625,79.4375,71.5,72.5
2000-01-28,71.25,72.375,67.3125,68.75
2000-01-31,68.0,70.25,65.5625,68.5
2000-02-01,68.75,70.5625,66.875,70.375
2000-02-02,71.25,71.4375,68.8125,70.0
2000-02-03,70.875,71.375,69.625,70.25
2000-02-04,70.5,72.5,70.25,70.75
2000-02-07,71.25,71.6875,69.0,69.25
2000-02-08,71.1875,71.9375,70.3125,70.8125
2000-02-09,72.5,72.5,69.875,70.25
2000-02-10,70.3125,71.6875,68.625,68.625
2000-02-11,69.625,70.25,69.0625,69.75
2000-02-14,68.0625,69.875,66.8125,69.3125
2000-02-15,70.625,73.5,69.5,73.0
2000-02-16,73.75,74.375,72.625,72.75
2000-02-17,72.75,73.75,71.375,72.375
2000-02-18,73.75,74.25,71.25,71.25
2000-02-22,71.5,71.8125,67.5625,69.5625
2000-02-23,70.375,70.375,67.75,68.0
2000-02-24,69.375,70.25,65.5,67.8125
2000-02-25,68.25,68.25,64.9375,65.8125
2000-02-28,65.875,66.0625,63.625,64.4375
2000-02-29,65.75,66.375,64.0625,64.25
2000-03-01,66.0,67.25,65.8125,66.3125
2000-03-02,66.3125,66.3125,64.625,64.875
2000-03-03,65.125,65.8125,64.875,65.1875
2000-03-06,66.25,66.5625,63.1875,63.8125
2000-03-07,63.9375,64.625,62.6875,63.0
2000-03-08,62.75,64.1875,59.75,60.25
2000-03-09,60.25,66.0625,60.25,66.0
2000-03-10,66.125,68.0,65.375,66.5
2000-03-13,64.3125,65.4375,64.0,64.8125
2000-03-14,65.25,66.25,62.0,62.25
2000-03-15,64.0,64.125,61.875,62.8125
2000-03-16,62.5625,64.5625,61.5,64.125
2000-03-17,64.0,65.5625,63.0625,65.5625
2000-03-20,66.25,67.8125,64.0,64.0
2000-03-21,65.3125,66.25,64.625,66.0
2000-03-22,66.0,68.25,66.0,66.0
2000-03-23,66.0625,66.25,64.375,65.375
2000-03-24,65.5,66.5625,64.875,66.5625
2000-03-27,66.625,66.625,64.625,65.4375
2000-03-28,64.25,64.625,63.0,63.0
2000-03-29,62.875,63.0,60.6875,61.625
2000-03-30,60.0625,60.75,55.75,57.125
2000-03-31,58.5,60.0625,58.0,58.5
2000-04-03,58.375,58.375,55.5,58.375
2000-04-04,58.25,58.3125,53.375,57.0
2000-04-05,56.625,58.0,55.0,57.0625
2000-04-06,57.25,60.375,57.1875,58.4375
2000-04-07,60.625,62.625,60.25,61.625
