Date,Open,High,Low,Close
1990-01-02,0.0,5.59,5.4,5.4
1990-01-03,0.0,5.55,5.44,5.49
1990-01-04,0.0,5.55,5.4,5.49
1990-01-05,0.0,5.44,5.32,5.4
1990-01-08,0.0,5.49,5.34,5.49
1990-01-09,0.0,5.49,5.4,5.4
1990-01-10,0.0,5.49,5.4,5.42
1990-01-11,0.0,5.49,5.4,5.42
1990-01-12,0.0,5.34,5.3,5.32
1990-01-15,0.0,5.34,5.3,5.34
1990-01-16,0.0,5.44,5.19,5.44
1990-01-17,0.0,5.44,5.3,5.4
1990-01-18,0.0,5.4,5.3,5.34
1990-01-19,0.0,5.4,5.3,5.4
1990-01-22,0.0,5.4,5.25,5.27
1990-01-23,0.0,5.34,5.25,5.3
1990-01-24,0.0,5.25,5.1,5.1
1990-01-25,0.0,5.25,5.0,5.04
1990-01-26,0.0,5.1,4.95,5.04
1990-01-29,0.0,5.04,4.8,4.8
1990-01-30,0.0,5.04,4.75,4.78
1990-01-31,0.0,4.95,4.7,4.95
1990-02-01,0.0,4.95,4.8,4.85
1990-02-02,0.0,4.95,4.8,4.95
1990-02-05,0.0,5.15,4.95,5.15
1990-02-06,0.0,5.15,5.0,5.1
1990-02-07,0.0,5.15,5.0,5.15
1990-02-08,0.0,5.19,5.1,5.19
1990-02-09,0.0,5.34,5.15,5.25
1990-02-12,0.0,5.34,5.25,5.34
1990-02-13,0.0,5.44,5.25,5.44
1990-02-14,0.0,5.64,5.44,5.59
1990-02-15,0.0,5.71,5.49,5.69
1990-02-16,0.0,5.79,5.64,5.74
1990-02-20,0.0,5.69,5.59,5.64
1990-02-21,0.0,5.64,5.47,5.64
1990-02-22,0.0,5.79,5.59,5.74
1990-02-23,0.0,5.74,5.64,5.74
1990-02-26,0.0,5.79,5.69,5.77
1990-02-27,0.0,5.99,5.74,5.79
1990-02-28,0.0,5.89,5.79,5.84
1990-03-01,0.0,5.89,5.79,5.89
1990-03-02,0.0,5.93,5.84,5.89
1990-03-05,0.0,5.93,5.84,5.93
1990-03-06,0.0,6.08,5.89,5.99
1990-03-07,0.0,5.99,5.84,5.96
1990-03-08,0.0,6.04,5.93,5.93
1990-03-09,0.0,6.04,5.84,5.93
1990-03-12,0.0,5.89,5.84,5.89
1990-03-13,0.0,5.89,5.74,5.84
1990-03-14,0.0,5.89,5.74,5.79
1990-03-15,0.0,5.93,5.84,5.93
1990-03-16,0.0,6.08,5.89,6.08
1990-03-19,0.0,6.08,5.93,6.08
1990-03-20,0.0,6.14,6.04,6.08
1990-03-21,0.0,6.33,6.04,6.23
1990-03-22,0.0,6.29,5.99,6.04
1990-03-23,0.0,6.08,5.99,5.99
1990-03-26,0.0,6.19,5.99,6.19
1990-03-27,0.0,6.19,6.08,6.11
1990-03-28,0.0,6.14,6.04,6.14
1990-03-29,0.0,6.14,5.93,6.01
1990-03-30,0.0,6.08,5.99,6.08
1990-04-02,0.0,6.08,5.99,6.08
1990-04-03,0.0,6.31,6.01,6.23
1990-04-04,0.0,6.23,6.01,6.16
1990-04-05,0.0,6.16,6.08,6.12
1990-04-06,0.0,6.16,5.93,6.08
1990-04-09,0.0,6.23,6.08,6.16
1990-04-10,0.0,6.16,6.01,6.16
1990-04-11,0.0,6.23,6.01,6.23
1990-04-12,0.0,6.38,6.16,6.38
1990-04-16,0.0,6.45,6.31,6.45
1990-04-17,0.0,6.45,6.31,6.38
1990-04-18,0.0,6.45,6.23,6.31
1990-04-19,0.0,6.38,6.23,6.23
1990-04-20,0.0,6.31,6.08,6.23
1990-04-23,0.0,6.16,5.93,5.97
1990-04-24,0.0,6.01,5.93,6.01
1990-04-25,0.0,6.01,5.93,5.97
1990-04-26,0.0,6.08,5.93,6.01
1990-04-27,0.0,6.08,5.86,6.01
1990-04-30,0.0,6.01,5.86,6.01
1990-05-01,0.0,6.08,5.93,6.01
1990-05-02,0.0,6.16,6.01,6.16
1990-05-03,0.0,6.31,6.16,6.23
1990-05-04,0.0,6.38,6.23,6.38
1990-05-07,0.0,6.68,6.38,6.68
1990-05-08,0.0,6.68,6.6,6.68
1990-05-09,0.0,6.68,6.6,6.68
1990-05-10,0.0,7.05,6.68,6.82
1990-05-11,0.0,6.97,6.79,6.9
1990-05-14,0.0,7.01,6.82,6.97
1990-05-15,0.0,6.9,6.68,6.9
1990-05-16,0.0,6.9,6.68,6.82
1990-05-17,0.0,7.12,6.82,7.12
1990-05-18,0.0,7.34,7.05,7.2
1990-05-21,0.0,7.27,7.05,7.27
1990-05-22,0.0,7.27,7.05,7.05
1990-05-23,0.0,7.27,7.05,7.27
1990-05-24,0.0,7.27,7.05,7.05
1990-05-25,0.0,7.2,6.97,7.12
1990-05-29,0.0,7.27,7.12,7.27
1990-05-30,0.0,7.42,7.2,7.42
1990-05-31,0.0,7.49,7.27,7.42
1990-06-01,0.0,7.57,7.2,7.2
1990-06-04,0.0,7.34,7.05,7.34
1990-06-05,0.0,7.42,7.2,7.42
1990-06-06,0.0,7.42,7.27,7.31
1990-06-07,0.0,7.42,7.2,7.34
1990-06-08,0.0,7.42,7.2,7.27
1990-06-11,0.0,7.64,7.2,7.49
1990-06-12,0.0,7.57,7.42,7.57
1990-06-13,0.0,7.79,7.49,7.79
1990-06-14,0.0,7.86,7.57,7.86
1990-06-15,0.0,8.31,7.72,8.23
1990-06-18,0.0,8.31,7.94,7.94
1990-06-19,0.0,8.23,7.94,8.16
1990-06-20,0.0,8.23,7.94,8.01
1990-06-21,0.0,8.09,7.79,7.86
1990-06-22,0.0,7.94,7.79,7.94
1990-06-25,0.0,7.94,7.79,7.94
1990-06-26,0.0,8.01,7.79,7.94
1990-06-27,0.0,8.31,7.86,8.2
1990-06-28,0.0,8.23,8.09,8.16
1990-06-29,0.0,8.16,7.86,7.94
1990-07-02,0.0,8.01,7.79,7.86
1990-07-03,0.0,8.01,7.86,7.86
1990-07-05,0.0,8.01,7.72,7.79
1990-07-06,0.0,7.94,7.79,7.86
1990-07-09,0.0,7.94,7.79,7.94
1990-07-10,0.0,8.09,7.79,8.09
1990-07-11,0.0,8.16,7.94,8.16
1990-07-12,0.0,8.31,8.09,8.23
1990-07-13,0.0,8.23,8.09,8.09
1990-07-16,0.0,8.53,8.16,8.46
1990-07-17,0.0,8.46,8.31,8.31
1990-07-18,0.0,8.38,8.31,8.38
1990-07-19,0.0,8.83,8.31,8.53
1990-07-20,0.0,8.61,8.42,8.53
1990-07-23,0.0,8.53,8.09,8.23
1990-07-24,0.0,8.38,8.16,8.31
1990-07-25,0.0,8.38,8.23,8.38
1990-07-26,0.0,8.38,8.23,8.23
1990-07-27,0.0,8.31,8.01,8.16
1990-07-30,0.0,8.09,7.79,7.83
1990-07-31,0.0,7.94,7.79,7.86
1990-08-01,0.0,7.94,7.79,7.79
1990-08-02,0.0,7.72,6.94,6.97
1990-08-03,0.0,7.12,6.31,6.97
1990-08-06,0.0,6.9,6.53,6.82
1990-08-07,0.0,7.12,6.82,7.05
1990-08-08,0.0,7.64,7.05,7.49
1990-08-09,0.0,8.01,7.57,7.86
1990-08-10,0.0,8.16,7.64,7.72
1990-08-13,0.0,7.72,7.2,7.34
1990-08-14,0.0,7.42,7.27,7.27
1990-08-15,0.0,7.57,7.27,7.34
1990-08-16,0.0,7.42,6.97,7.12
1990-08-17,0.0,6.97,6.45,6.82
1990-08-20,0.0,6.82,6.6,6.6
1990-08-21,0.0,6.6,6.31,6.31
1990-08-22,0.0,6.53,6.23,6.38
1990-08-23,0.0,6.23,5.86,6.16
1990-08-24,0.0,6.45,6.08,6.38
1990-08-27,0.0,6.82,6.38,6.71
1990-08-28,0.0,6.82,6.6,6.75
1990-08-29,0.0,6.82,6.6,6.75
1990-08-30,0.0,6.82,6.6,6.6
1990-08-31,0.0,6.68,6.6,6.68
1990-09-04,0.0,6.6,6.49,6.53
1990-09-05,0.0,7.12,6.53,6.97
1990-09-06,0.0,6.97,6.68,6.75
1990-09-07,0.0,6.75,6.53,6.68
1990-09-10,0.0,6.9,6.6,6.6
1990-09-11,0.0,6.75,6.53,6.68
1990-09-12,0.0,6.75,6.6,6.68
1990-09-13,0.0,6.75,6.6,6.75
1990-09-14,0.0,6.68,6.53,6.68
1990-09-17,0.0,6.68,6.53,6.6
1990-09-18,0.0,6.6,6.38,6.53
1990-09-19,0.0,6.45,6.23,6.27
1990-09-20,0.0,6.31,5.93,6.08
1990-09-21,0.0,6.16,5.79,5.86
1990-09-24,0.0,5.93,5.64,5.64
1990-09-25,0.0,5.93,5.49,5.6
1990-09-26,0.0,5.71,5.42,5.56
1990-09-27,0.0,5.79,5.42,5.42
1990-09-28,0.0,5.56,5.19,5.56
1990-10-01,0.0,5.79,5.56,5.79
1990-10-02,0.0,6.08,5.79,5.93
1990-10-03,0.0,6.01,5.86,6.01
1990-10-04,0.0,6.23,5.93,6.08
1990-10-05,0.0,6.27,5.93,6.08
1990-10-08,0.0,6.23,6.08,6.16
1990-10-09,0.0,6.16,6.01,6.08
1990-10-10,0.0,6.16,5.93,5.93
1990-10-11,0.0,6.08,5.56,5.6
1990-10-12,0.0,5.79,5.56,5.79
1990-10-15,0.0,6.01,5.56,5.79
1990-10-16,0.0,5.86,5.64,5.79
1990-10-17,0.0,5.79,5.6,5.71
1990-10-18,0.0,5.86,5.64,5.86
1990-10-19,0.0,6.01,5.93,6.01
1990-10-22,0.0,6.68,6.08,6.53
1990-10-23,0.0,6.9,6.53,6.75
1990-10-24,0.0,6.82,6.53,6.82
1990-10-25,0.0,6.9,6.75,6.75
1990-10-26,0.0,6.75,6.23,6.23
1990-10-29,0.0,6.38,6.08,6.23
1990-10-30,0.0,6.16,5.93,6.16
1990-10-31,0.0,6.31,6.16,6.31
1990-11-01,0.0,6.31,6.08,6.08
1990-11-02,0.0,6.31,6.16,6.31
1990-11-05,0.0,6.6,6.23,6.6
1990-11-06,0.0,7.05,6.6,6.68
1990-11-07,0.0,6.82,6.6,6.82
1990-11-08,0.0,6.9,6.68,6.9
1990-11-09,0.0,7.12,6.68,6.9
1990-11-12,0.0,7.49,7.05,7.49
1990-11-13,0.0,7.49,7.27,7.42
1990-11-14,0.0,7.64,7.34,7.42
1990-11-15,0.0,7.49,7.27,7.31
1990-11-16,0.0,7.49,7.2,7.34
1990-11-19,0.0,7.57,7.34,7.49
1990-11-20,0.0,7.49,7.12,7.2
1990-11-21,0.0,7.49,7.27,7.42
1990-11-23,0.0,7.57,7.34,7.57
1990-11-26,0.0,7.57,7.34,7.53
1990-11-27,0.0,7.64,7.49,7.64
1990-11-28,0.0,7.64,7.42,7.42
1990-11-29,0.0,7.57,7.42,7.57
1990-11-30,0.0,7.75,7.42,7.72
1990-12-03,0.0,7.94,7.64,7.86
1990-12-04,0.0,7.94,7.79,7.94
1990-12-05,0.0,8.23,7.86,8.09
1990-12-06,0.0,8.46,8.23,8.31
1990-12-07,0.0,8.38,8.01,8.09
1990-12-10,0.0,8.16,7.79,8.01
1990-12-11,0.0,8.23,7.79,8.23
1990-12-12,0.0,8.31,8.09,8.23
1990-12-13,0.0,8.31,8.09,8.23
1990-12-14,0.0,8.23,8.01,8.01
1990-12-17,0.0,8.16,7.94,8.16
1990-12-18,0.0,8.35,8.16,8.31
1990-12-19,0.0,8.31,8.16,8.31
1990-12-20,0.0,8.38,8.16,8.27
1990-12-21,0.0,8.38,8.09,8.16
1990-12-24,0.0,8.16,8.09,8.16
1990-12-26,0.0,8.31,8.16,8.16
1990-12-27,0.0,8.23,8.01,8.09
1990-12-28,0.0,8.23,8.01,8.16
1990-12-31,0.0,8.31,8.16,8.27
1991-01-02,0.0,8.23,7.86,8.01
1991-01-03,0.0,8.01,7.57,7.57
1991-01-04,0.0,7.79,7.49,7.75
1991-01-07,0.0,7.72,7.34,7.42
1991-01-08,0.0,7.49,7.27,7.34
1991-01-09,0.0,7.57,7.2,7.2
1991-01-10,0.0,7.42,7.2,7.27
1991-01-11,0.0,7.64,7.27,7.64
1991-01-14,0.0,7.64,7.34,7.57
1991-01-15,0.0,7.72,7.49,7.72
1991-01-16,0.0,7.79,7.57,7.64
1991-01-17,0.0,8.38,8.01,8.09
1991-01-18,0.0,8.23,7.94,8.09
1991-01-21,0.0,8.16,7.86,8.09
1991-01-22,0.0,8.23,8.01,8.16
