Date,Open,High,Low,Close
2005-12-19,17.83,18.05,17.46,17.55
2005-12-20,17.5,17.56,17.16,17.3
2005-12-21,17.4,17.73,17.3,17.52
2005-12-22,17.58,17.63,17.37,17.43
2005-12-23,17.5,17.68,17.18,17.29
2005-12-27,17.33,17.76,17.11,17.28
2005-12-28,17.21,17.4,17.11,17.27
2005-12-29,17.32,17.38,17.04,17.13
2005-12-30,17.18,17.18,16.84,16.92
2006-01-03,16.89,17.01,16.55,16.95
2006-01-04,17.03,17.31,16.96,17.28
2006-01-05,17.22,17.4,17.04,17.12
2006-01-06,17.29,17.37,16.97,17.26
2006-01-09,17.21,17.3,16.94,17.13
2006-01-10,17.13,17.2,16.72,16.86
2006-01-11,16.95,16.98,16.65,16.95
2006-01-12,16.99,17.49,16.9,17.2
2006-01-13,17.24,17.32,17.11,17.25
2006-01-17,17.21,17.34,17.13,17.25
2006-01-18,17.25,17.35,17.06,17.21
2006-01-19,17.19,17.37,17.08,17.24
2006-01-20,17.16,17.23,16.61,16.82
2006-01-23,16.76,16.89,16.4,16.73
2006-01-24,16.69,17.0,16.54,16.86
2006-01-25,16.79,16.91,16.49,16.59
2006-01-26,16.86,17.27,16.59,17.12
2006-01-27,17.15,17.57,17.12,17.44
2006-01-30,17.5,17.62,17.38,17.45
2006-01-31,17.36,17.75,17.17,17.66
2006-02-01,17.42,17.6,16.78,17.46
2006-02-02,17.02,17.6,16.8,17.0
2006-02-03,16.88,17.0,16.65,16.9
2006-02-06,16.83,16.91,16.71,16.8
2006-02-07,16.8,16.93,16.44,16.53
2006-02-08,16.62,16.72,16.33,16.63
2006-02-09,16.65,16.85,16.5,16.74
2006-02-10,16.8,16.94,16.77,16.91
2006-02-13,16.94,16.99,16.75,16.89
2006-02-14,16.95,17.15,16.88,17.12
2006-02-15,17.0,17.2,16.4,17.18
2006-02-16,17.29,17.72,17.17,17.45
2006-02-17,17.38,17.79,17.29,17.55
2006-02-21,17.54,17.68,17.39,17.57
2006-02-22,17.59,17.86,17.55,17.78
2006-02-23,17.71,18.0,17.66,17.8
2006-02-24,17.72,17.96,17.67,17.92
2006-02-27,17.94,18.04,17.81,17.89
2006-02-28,17.8,17.91,17.62,17.75
2006-03-01,17.78,18.03,17.56,18.01
2006-03-02,17.93,18.11,17.91,18.04
2006-03-03,18.01,18.2,17.86,18.16
2006-03-06,18.03,18.23,17.9,18.2
2006-03-07,18.14,18.14,17.58,17.75
2006-03-08,17.7,18.0,17.55,17.85
2006-03-09,17.9,18.0,17.68,17.94
2006-03-10,17.84,18.1,17.6,18.08
2006-03-13,18.05,18.05,17.32,17.86
2006-03-14,17.81,18.25,17.81,18.2
2006-03-15,18.25,18.36,17.99,18.36
2006-03-16,18.28,18.4,18.0,18.03
2006-03-17,17.94,18.12,17.78,18.11
2006-03-20,18.09,18.12,17.82,18.06
2006-03-21,17.97,18.15,17.72,17.82
2006-03-22,17.72,18.14,17.47,17.97
2006-03-23,17.89,18.17,17.74,18.04
2006-03-24,18.04,18.29,17.87,17.98
2006-03-27,17.94,18.2,17.91,17.96
2006-03-28,18.04,18.06,17.79,18.02
2006-03-29,17.97,18.36,17.94,18.36
2006-03-30,18.33,18.5,18.22,18.5
2006-03-31,18.5,18.56,18.35,18.49
2006-04-03,18.45,18.54,18.27,18.51
2006-04-04,18.56,18.7,18.34,18.49
2006-04-05,18.43,18.64,18.31,18.57
2006-04-06,18.51,18.56,18.17,18.41
2006-04-07,18.51,18.59,18.2,18.36
2006-04-10,18.36,18.43,18.17,18.26
2006-04-11,18.35,18.44,17.97,18.16
2006-04-12,18.21,18.22,17.98,18.05
2006-04-13,18.08,18.42,17.91,18.26
2006-04-17,18.21,18.25,17.69,17.97
2006-04-18,18.04,18.3,17.89,18.25
2006-04-19,18.19,18.5,18.1,18.5
2006-04-20,18.44,18.61,18.32,18.41
2006-04-21,18.47,18.6,18.25,18.45
2006-04-24,18.38,18.42,18.06,18.32
2006-04-25,18.25,18.41,17.93,18.13
2006-04-26,18.21,18.44,17.92,18.22
2006-04-27,18.17,18.92,17.96,18.74
2006-04-28,18.81,18.98,18.39,18.93
2006-05-01,18.84,19.08,18.63,18.69
2006-05-02,18.68,19.35,18.54,19.27
2006-05-03,19.27,19.31,19.09,19.21
2006-05-04,19.09,19.6,19.09,19.47
2006-05-05,19.65,19.65,19.31,19.35
2006-05-08,19.38,19.47,19.0,19.07
2006-05-09,18.97,19.37,18.84,19.33
2006-05-10,19.23,19.39,19.13,19.37
2006-05-11,19.32,19.48,19.04,19.1
2006-05-12,19.16,19.58,19.05,19.17
2006-05-15,19.06,19.29,18.78,18.96
2006-05-16,18.94,19.24,18.67,19.11
2006-05-17,19.1,19.2,18.52,18.86
2006-05-18,18.84,18.91,18.57,18.72
2006-05-19,18.6,18.82,18.29,18.5
2006-05-22,18.34,18.47,18.05,18.19
2006-05-23,18.25,18.41,18.0,18.14
2006-05-24,17.94,18.11,17.7,17.83
2006-05-25,17.98,18.2,17.85,18.05
2006-05-26,18.03,18.25,17.85,18.17
2006-05-30,18.04,18.32,17.82,17.87
