Date,Open,High,Low,Close
2003-12-22,37.04,37.19,36.22,36.9
2003-12-23,37.06,38.19,36.3,37.99
2003-12-24,37.89,38.6,37.75,38.5
2003-12-26,38.64,38.98,38.48,38.5
2003-12-29,38.3,40.66,38.26,40.4
2003-12-30,40.0,40.14,39.32,39.91
2003-12-31,40.09,40.83,39.99,40.25
2004-01-02,39.79,42.07,39.75,41.72
2004-01-05,41.8,43.1,41.46,42.62
2004-01-06,42.54,45.46,42.41,44.95
2004-01-07,44.94,47.0,44.36,46.56
2004-01-08,46.95,48.0,44.79,46.33
2004-01-09,45.21,47.75,45.21,47.15
2004-01-12,47.8,49.83,47.42,49.67
2004-01-13,49.97,50.28,48.63,49.01
2004-01-14,49.12,49.74,48.21,48.8
2004-01-15,48.5,49.27,47.78,48.59
2004-01-16,48.35,49.3,48.25,48.45
2004-01-20,48.72,51.0,48.5,50.93
2004-01-21,50.5,51.54,50.01,50.46
2004-01-22,50.71,50.86,49.58,49.65
2004-01-23,49.65,51.31,49.65,50.9
2004-01-26,50.5,51.4,50.4,51.12
2004-01-27,51.25,51.73,50.18,50.48
2004-01-28,49.74,49.75,46.63,47.1
2004-01-29,47.74,51.0,45.7,49.5
2004-01-30,50.05,50.92,47.99,50.36
2004-02-02,50.61,51.61,49.7,50.65
2004-02-03,50.61,50.63,48.5,48.59
2004-02-04,49.4,53.5,48.33,52.0
2004-02-05,51.81,53.3,51.75,51.95
2004-02-06,52.24,53.28,51.59,53.15
2004-02-09,52.01,53.6,51.91,53.25
2004-02-10,53.11,55.29,53.0,54.48
2004-02-11,54.47,54.47,53.66,54.25
2004-02-12,53.71,54.68,53.51,53.79
2004-02-13,53.86,54.73,52.41,52.41
2004-02-17,52.99,53.39,51.76,52.03
2004-02-18,51.77,52.7,51.69,52.5
2004-02-19,52.8,53.35,52.11,52.11
2004-02-20,52.2,52.76,51.5,52.38
2004-02-23,52.18,52.65,50.86,51.0
2004-02-24,50.99,52.24,50.75,51.46
2004-02-25,51.22,51.29,47.17,48.8
2004-02-26,48.9,50.25,47.65,49.2
2004-02-27,48.94,50.12,48.93,49.83
2004-03-01,50.18,51.24,49.73,50.75
2004-03-02,50.49,50.79,49.89,50.45
2004-03-03,50.25,51.13,49.14,50.21
2004-03-04,50.22,51.8,49.94,51.35
2004-03-05,50.76,52.79,50.67,52.17
2004-03-08,52.2,52.86,51.13,51.29
2004-03-09,51.15,51.16,48.85,49.23
2004-03-10,49.14,49.25,47.26,47.5
2004-03-11,47.1,47.49,45.12,46.43
2004-03-12,46.85,48.49,45.11,46.47
2004-03-15,46.1,48.09,46.0,46.68
2004-03-16,47.74,48.57,47.2,48.36
2004-03-17,48.39,48.84,48.01,48.56
2004-03-18,48.55,48.55,47.66,48.03
2004-03-19,46.05,48.21,46.0,47.66
2004-03-22,46.95,47.52,46.55,47.07
2004-03-23,47.62,49.6,47.48,49.0
2004-03-24,49.08,51.43,48.74,50.66
2004-03-25,51.24,54.32,51.17,53.21
2004-03-26,53.31,55.56,53.31,55.16
2004-03-29,55.75,58.69,55.33,57.59
2004-03-30,57.22,57.73,56.4,56.83
2004-03-31,56.75,57.36,56.07,56.55
2004-04-01,56.79,58.39,56.55,58.27
2004-04-02,58.92,59.79,58.33,59.57
2004-04-05,59.55,59.94,58.82,59.76
2004-04-06,59.4,59.66,57.27,57.61
2004-04-07,58.7,59.13,57.75,58.6
2004-04-08,58.95,59.95,57.77,57.9
2004-04-12,57.95,59.41,57.43,59.2
2004-04-13,59.63,60.12,59.1,59.82
2004-04-14,59.46,62.54,59.24,61.52
2004-04-15,61.53,62.85,61.01,62.63
2004-04-16,62.86,64.36,61.9,62.31
2004-04-19,62.24,64.57,61.45,64.12
2004-04-20,64.08,64.74,61.56,62.5
2004-04-21,66.72,70.91,65.06,70.66
2004-04-22,69.77,70.78,69.22,69.94
2004-04-23,68.95,69.18,66.69,67.58
2004-04-26,67.58,69.12,66.98,68.23
