Date,Open,High,Low,Close
2009-07-17,15.87,15.87,15.56,15.7
2009-07-20,15.74,15.92,15.51,15.57
2009-07-21,15.56,15.73,15.33,15.5
2009-07-22,15.47,15.51,15.26,15.4
2009-07-23,15.42,16.06,15.25,16.06
2009-07-24,15.87,16.49,15.76,16.47
2009-07-27,16.24,16.5,16.06,16.25
2009-07-28,16.19,16.38,15.93,16.04
2009-07-29,15.82,16.31,15.75,16.28
2009-07-30,15.68,16.56,15.68,16.39
2009-07-31,16.36,16.46,16.13,16.27
2009-08-03,16.43,16.62,16.18,16.57
2009-08-04,15.64,16.48,15.64,16.41
2009-08-05,16.38,16.4,16.04,16.24
2009-08-06,16.26,16.64,15.69,15.72
2009-08-07,15.98,16.31,15.88,15.96
2009-08-10,16.06,16.06,15.83,16.0
2009-08-11,15.96,15.99,15.64,15.81
2009-08-12,15.86,16.29,15.63,16.15
2009-08-13,16.21,16.21,15.82,16.08
2009-08-14,15.98,16.02,15.69,15.93
2009-08-17,15.44,15.58,15.35,15.52
2009-08-18,15.53,15.7,15.28,15.64
2009-08-19,15.38,15.76,15.25,15.76
2009-08-20,15.82,16.0,15.7,15.91
2009-08-21,16.06,16.25,15.76,16.24
2009-08-24,16.23,16.26,15.92,16.1
2009-08-25,16.18,16.18,15.92,16.07
2009-08-26,16.04,16.13,15.75,16.0
2009-08-27,15.79,16.07,15.62,15.99
2009-08-28,16.11,16.11,15.63,15.68
2009-08-31,15.57,15.66,15.29,15.43
2009-09-01,15.42,15.73,15.25,15.44
2009-09-02,15.29,15.7,15.27,15.55
2009-09-03,15.56,15.9,15.47,15.74
2009-09-04,15.78,15.98,15.62,15.93
2009-09-08,16.0,16.1,15.88,16.0
2009-09-09,16.0,16.47,15.9,16.41
2009-09-10,16.46,16.5,16.3,16.47
2009-09-11,16.48,16.75,16.36,16.72
2009-09-14,16.58,16.92,16.5,16.86
2009-09-15,16.96,17.09,16.63,17.0
2009-09-16,17.03,17.25,16.83,17.22
2009-09-17,17.09,17.35,17.0,17.16
2009-09-18,17.26,17.74,17.24,17.73
2009-09-21,17.62,18.69,17.62,18.47
2009-09-22,18.49,18.85,18.4,18.79
2009-09-23,18.79,18.83,18.44,18.44
2009-09-24,18.35,18.58,18.1,18.26
2009-09-25,18.27,18.39,18.11,18.26
2009-09-28,18.44,18.8,18.34,18.66
2009-09-29,18.67,18.75,18.42,18.49
2009-09-30,18.36,18.75,18.12,18.7
2009-10-01,18.66,18.74,17.98,18.04
2009-10-02,17.78,18.22,17.62,18.12
2009-10-05,18.27,18.5,18.14,18.38
2009-10-06,18.5,19.11,18.3,18.83
