Date,Open,High,Low,Close
1990-01-02,0.0,3.73,3.53,3.73
1990-01-03,0.0,3.78,3.7,3.73
1990-01-04,0.0,3.78,3.67,3.73
1990-01-05,0.0,3.75,3.64,3.73
1990-01-08,0.0,3.7,3.61,3.61
1990-01-09,0.0,3.67,3.56,3.56
1990-01-10,0.0,3.59,3.39,3.39
1990-01-11,0.0,3.5,3.42,3.45
1990-01-12,0.0,3.34,3.17,3.17
1990-01-15,0.0,3.2,3.03,3.06
1990-01-16,0.0,3.25,3.0,3.25
1990-01-17,0.0,3.31,3.2,3.25
1990-01-18,0.0,3.2,3.11,3.17
1990-01-19,0.0,3.36,3.17,3.28
1990-01-22,0.0,3.31,3.17,3.17
1990-01-23,0.0,3.28,3.14,3.23
1990-01-24,0.0,3.11,2.98,3.11
1990-01-25,0.0,3.2,3.03,3.03
1990-01-26,0.0,3.09,3.03,3.09
1990-01-29,0.0,3.17,3.09,3.11
1990-01-30,0.0,3.11,3.0,3.03
1990-01-31,0.0,3.17,3.0,3.17
1990-02-01,0.0,3.2,3.11,3.11
1990-02-02,0.0,3.17,3.06,3.11
1990-02-05,0.0,3.14,3.09,3.11
1990-02-06,0.0,3.11,3.0,3.03
1990-02-07,0.0,3.03,2.98,3.0
1990-02-08,0.0,3.11,3.0,3.09
1990-02-09,0.0,3.2,3.06,3.17
1990-02-12,0.0,3.25,3.11,3.2
1990-02-13,0.0,3.23,3.14,3.23
1990-02-14,0.0,3.28,3.2,3.23
1990-02-15,0.0,3.25,3.17,3.2
1990-02-16,0.0,3.25,3.17,3.23
1990-02-20,0.0,3.17,3.03,3.06
1990-02-21,0.0,3.06,2.98,3.03
1990-02-22,0.0,3.06,3.0,3.0
1990-02-23,0.0,3.0,2.78,2.78
1990-02-26,0.0,2.84,2.72,2.75
1990-02-27,0.0,2.84,2.75,2.81
1990-02-28,0.0,2.98,2.78,2.89
1990-03-01,0.0,2.95,2.89,2.92
1990-03-02,0.0,2.98,2.89,2.92
1990-03-05,0.0,3.06,2.95,3.03
1990-03-06,0.0,3.06,3.0,3.06
1990-03-07,0.0,3.11,3.06,3.11
1990-03-08,0.0,3.25,3.09,3.25
1990-03-09,0.0,3.28,3.14,3.23
1990-03-12,0.0,3.23,3.17,3.2
1990-03-13,0.0,3.2,3.11,3.11
1990-03-14,0.0,3.14,3.09,3.11
1990-03-15,0.0,3.17,3.11,3.17
1990-03-16,0.0,3.23,3.09,3.11
1990-03-19,0.0,3.09,2.98,3.03
1990-03-20,0.0,3.06,2.98,2.98
1990-03-21,0.0,3.09,2.98,3.03
1990-03-22,0.0,3.03,3.0,3.0
1990-03-23,0.0,3.03,3.0,3.0
1990-03-26,0.0,3.09,3.0,3.06
1990-03-27,0.0,3.11,3.03,3.06
1990-03-28,0.0,3.09,2.92,3.0
1990-03-29,0.0,2.98,2.84,2.89
1990-03-30,0.0,2.92,2.84,2.84
1990-04-02,0.0,2.86,2.75,2.78
1990-04-03,0.0,2.86,2.78,2.78
1990-04-04,0.0,2.84,2.72,2.78
1990-04-05,0.0,2.78,2.7,2.72
1990-04-06,0.0,2.75,2.59,2.59
1990-04-09,0.0,2.67,2.59,2.67
1990-04-10,0.0,2.75,2.61,2.75
1990-04-11,0.0,2.78,2.7,2.72
1990-04-12,0.0,2.86,2.75,2.86
1990-04-16,0.0,2.89,2.81,2.84
1990-04-17,0.0,2.89,2.84,2.86
1990-04-18,0.0,2.92,2.84,2.86
1990-04-19,0.0,2.86,2.75,2.75
1990-04-20,0.0,2.78,2.61,2.64
1990-04-23,0.0,2.61,2.47,2.5
1990-04-24,0.0,2.61,2.53,2.56
1990-04-25,0.0,2.61,2.53,2.56
1990-04-26,0.0,2.64,2.56,2.61
1990-04-27,0.0,2.61,2.5,2.56
1990-04-30,0.0,2.61,2.47,2.61
1990-05-01,0.0,2.75,2.61,2.72
1990-05-02,0.0,2.75,2.7,2.7
1990-05-03,0.0,2.72,2.61,2.61
1990-05-04,0.0,2.67,2.61,2.64
1990-05-07,0.0,2.67,2.59,2.59
1990-05-08,0.0,2.61,2.53,2.56
1990-05-09,0.0,2.59,2.5,2.53
1990-05-10,0.0,2.56,2.42,2.47
1990-05-11,0.0,2.53,2.45,2.5
1990-05-14,0.0,2.5,2.47,2.47
1990-05-15,0.0,2.59,2.45,2.56
1990-05-16,0.0,2.61,2.56,2.61
1990-05-17,0.0,2.64,2.59,2.59
1990-05-18,0.0,2.98,2.61,2.98
1990-05-21,0.0,3.2,2.98,3.2
1990-05-22,0.0,3.28,3.17,3.23
1990-05-23,0.0,3.2,3.09,3.11
1990-05-24,0.0,3.17,3.09,3.09
1990-05-25,0.0,3.11,2.98,3.03
1990-05-29,0.0,3.11,2.92,3.09
1990-05-30,0.0,3.11,3.06,3.09
1990-05-31,0.0,3.09,3.03,3.09
1990-06-01,0.0,3.14,3.06,3.11
1990-06-04,0.0,3.14,3.06,3.09
1990-06-05,0.0,3.2,3.06,3.17
1990-06-06,0.0,3.31,3.14,3.25
1990-06-07,0.0,3.45,3.25,3.39
1990-06-08,0.0,3.39,3.25,3.28
1990-06-11,0.0,3.28,3.23,3.28
