Date,Open,High,Low,Close
1999-12-31,45.75,45.75,45.0625,45.625
2000-01-03,45.53125,45.53125,43.96875,44.5
2000-01-04,44.46875,44.5625,41.96875,42.0625
2000-01-05,42.21875,42.9375,41.84375,42.78125
2000-01-06,43.3125,44.5625,43.25,43.640598
2000-01-07,43.4375,46.625,43.40625,46.53125
2000-01-10,46.53125,47.53125,45.90625,47.5
2000-01-11,47.125,47.5625,45.75,45.8125
2000-01-12,46.5625,47.25,44.9375,45.75
2000-01-13,46.28125,48.0625,45.4375,47.46875
2000-01-14,48.125,50.25,48.0,49.0625
2000-01-18,48.75,51.75,48.25,51.25
2000-01-19,51.9375,53.125,50.125,51.875
2000-01-20,52.375,53.125,50.0,50.0
2000-01-21,51.4375,51.5,48.0,48.5
2000-01-24,48.1875,51.25,46.5,47.0
2000-01-25,47.5625,49.75,45.75,49.6875
2000-01-26,49.125,52.0,48.6875,50.4375
2000-01-27,50.5625,51.375,46.5,48.9375
2000-01-28,48.625,49.75,45.875,46.0
2000-01-31,46.0625,49.5,45.0,48.9375
2000-02-01,49.3125,52.125,48.0,51.875
2000-02-02,52.0,54.0,51.0,53.9375
2000-02-03,54.0,55.0,53.25,54.1875
2000-02-04,54.75,55.1875,52.625,53.0
2000-02-07,52.0,52.25,51.0,51.25
2000-02-08,51.9375,53.75,51.75,53.0625
2000-02-09,52.0,53.0,51.4375,52.875
2000-02-10,52.8125,52.875,51.875,52.125
2000-02-11,52.125,52.3125,51.0,51.6875
2000-02-14,51.5625,51.625,50.0,50.75
2000-02-15,50.0625,50.5,48.5,49.375
2000-02-16,49.1875,49.3125,46.375,47.75
2000-02-17,48.0,48.0,43.5,44.0
2000-02-18,43.75,45.9375,41.875,44.9375
2000-02-22,44.8125,45.25,42.625,44.0
2000-02-23,44.375,45.25,43.640598,44.5625
2000-02-24,44.703098,45.0625,43.0,44.375
2000-02-25,44.25,48.3437,43.75,47.5625
2000-02-28,47.25,50.625,47.25,48.9375
2000-02-29,48.875,50.0,48.125,49.625
2000-03-01,49.4375,49.8125,46.125,46.5
2000-03-02,47.5625,51.875,47.5,49.625
2000-03-03,50.1875,51.25,48.875,49.9375
2000-03-06,49.875,50.25,49.125,50.125
