Date,Open,High,Low,Close
1990-01-02,0.0,5.88,5.31,5.88
1990-01-03,0.0,6.25,6.0,6.25
1990-01-04,0.0,6.56,6.12,6.44
1990-01-05,0.0,6.75,6.38,6.44
1990-01-08,0.0,6.44,6.19,6.25
1990-01-09,0.0,6.38,6.25,6.25
1990-01-10,0.0,6.31,6.12,6.25
1990-01-11,0.0,6.25,6.12,6.19
1990-01-12,0.0,6.19,6.0,6.06
1990-01-15,0.0,6.12,5.94,5.94
1990-01-16,0.0,6.12,5.81,6.06
1990-01-17,0.0,6.12,6.0,6.12
1990-01-18,0.0,6.06,5.94,5.94
1990-01-19,0.0,6.0,6.0,6.0
1990-01-22,0.0,6.06,5.56,5.56
1990-01-23,0.0,6.0,5.69,6.0
1990-01-24,0.0,5.94,5.75,5.94
1990-01-25,0.0,6.19,5.94,6.06
1990-01-26,0.0,6.31,6.0,6.19
1990-01-29,0.0,6.38,6.12,6.25
1990-01-30,0.0,6.31,6.06,6.19
1990-01-31,0.0,6.31,6.12,6.19
1990-02-01,0.0,6.25,6.12,6.12
1990-02-02,0.0,6.19,6.0,6.06
1990-02-05,0.0,6.31,6.06,6.31
1990-02-06,0.0,6.25,6.19,6.19
1990-02-07,0.0,6.81,6.19,6.56
1990-02-08,0.0,6.75,6.56,6.75
1990-02-09,0.0,6.94,6.75,6.81
1990-02-12,0.0,6.88,6.56,6.62
1990-02-13,0.0,6.75,6.44,6.56
1990-02-14,0.0,6.62,6.44,6.56
1990-02-15,0.0,6.81,6.44,6.69
1990-02-16,0.0,7.0,6.75,6.88
1990-02-20,0.0,6.94,6.75,6.94
1990-02-21,0.0,6.88,6.75,6.81
1990-02-22,0.0,7.19,6.88,6.88
1990-02-23,0.0,6.88,6.62,6.75
1990-02-26,0.0,6.69,6.5,6.5
1990-02-27,0.0,6.69,6.56,6.69
1990-02-28,0.0,6.69,6.5,6.69
1990-03-01,0.0,7.0,6.56,6.81
1990-03-02,0.0,6.94,6.75,6.88
1990-03-05,0.0,7.06,6.75,6.75
