Date,Open,High,Low,Close
2015-12-21,48.26,48.98,48.17,48.7
2015-12-22,48.8,49.01,48.23,48.53
2015-12-23,48.92,49.3,48.75,49.14
2015-12-24,49.28,49.29,48.47,48.74
2015-12-28,48.45,48.5,47.18,47.95
2015-12-29,48.36,48.6,47.53,48.04
2015-12-30,47.99,48.35,46.54,47.09
2015-12-31,46.75,47.39,46.22,46.33
2016-01-04,44.99,45.93,43.8,45.23
2016-01-05,45.66,48.05,45.12,47.69
2016-01-06,46.74,48.36,46.5,47.89
2016-01-07,46.35,47.12,45.01,45.25
2016-01-08,46.26,46.98,44.95,45.03
2016-01-11,44.57,45.0,43.01,43.62
2016-01-12,44.46,44.71,43.9,44.59
2016-01-13,44.8,44.8,41.17,42.01
2016-01-14,42.5,43.72,41.33,43.34
2016-01-15,41.47,43.0,40.48,41.45
2016-01-19,42.4,43.65,41.6,42.01
2016-01-20,41.01,42.8,39.5,42.41
2016-01-21,41.98,43.82,41.5,42.92
2016-01-22,44.1,45.11,42.86,42.93
2016-01-25,43.0,43.47,42.74,42.92
2016-01-26,42.76,43.34,41.65,42.83
2016-01-27,42.26,43.15,41.33,41.57
2016-01-28,42.25,42.49,40.5,40.84
2016-01-29,41.23,43.1,41.23,42.68
2016-02-01,42.68,43.42,41.88,41.97
2016-02-02,41.76,41.92,39.97,40.36
2016-02-03,40.49,40.91,38.32,39.9
2016-02-04,40.07,41.18,39.64,41.11
2016-02-05,40.91,41.09,38.17,39.13
2016-02-08,38.36,38.6,36.2,37.07
2016-02-09,36.34,38.21,35.62,36.57
2016-02-10,37.06,38.03,36.45,36.88
2016-02-11,36.49,37.18,35.5,36.33
2016-02-12,37.2,38.4,36.62,37.13
2016-02-16,38.54,40.35,38.18,40.33
2016-02-17,41.07,42.25,40.61,41.39
2016-02-18,42.0,42.0,40.36,40.78
2016-02-19,41.0,41.75,40.29,41.69
2016-02-22,42.4,42.45,41.06,42.32
2016-02-23,42.16,42.5,41.05,41.29
2016-02-24,40.44,41.74,39.7,41.53
2016-02-25,40.64,41.35,39.8,41.22
2016-02-26,42.01,42.85,41.39,41.79
2016-02-29,41.04,42.33,40.85,40.92
2016-03-01,41.5,42.46,41.2,41.9
2016-03-02,42.25,42.43,40.02,40.5
2016-03-03,40.5,40.98,38.4,39.24
2016-03-04,39.84,40.44,39.4,40.02
2016-03-07,39.78,40.22,39.09,39.36
2016-03-08,38.97,39.34,38.65,38.89
2016-03-09,39.06,39.42,38.82,39.35
2016-03-10,39.59,39.79,38.56,38.99
2016-03-11,39.02,40.55,39.01,40.45
2016-03-14,41.0,41.95,40.81,41.22
2016-03-15,41.24,41.42,39.96,40.76
2016-03-16,40.76,42.79,40.44,42.61
2016-03-17,40.7,42.87,39.52,42.31
2016-03-18,42.51,44.38,42.5,43.52
2016-03-21,42.84,45.3,42.84,45.16
2016-03-22,44.23,45.2,43.8,44.87
2016-03-23,44.87,45.15,43.88,44.37
2016-03-24,44.25,44.25,43.55,44.16
2016-03-28,44.09,44.15,43.3,43.35
2016-03-29,43.31,44.76,42.88,44.51
2016-03-30,45.0,45.58,44.66,45.02
2016-03-31,45.05,45.05,44.16,44.26
2016-04-01,43.97,45.05,43.84,44.84
2016-04-04,44.6,45.1,43.85,44.39
2016-04-05,44.1,44.2,42.76,43.71
2016-04-06,43.85,44.45,43.34,43.72
2016-04-07,43.5,43.69,42.7,43.36
2016-04-08,43.8,45.18,43.55,44.43
2016-04-11,44.83,46.67,44.68,45.68
2016-04-12,45.95,47.14,45.95,46.87
2016-04-13,47.8,49.0,47.8,48.71
2016-04-14,48.75,49.33,48.43,48.72
2016-04-15,48.72,48.76,47.95,48.06
2016-04-18,47.83,48.79,47.54,48.62
2016-04-19,48.79,48.97,47.41,47.77
2016-04-20,47.85,48.63,47.44,48.39
2016-04-21,48.51,48.92,47.12,47.21
2016-04-22,47.51,47.61,45.85,47.12
2016-04-25,47.0,47.24,45.9,46.02
2016-04-26,46.07,46.45,45.09,45.42
2016-04-27,45.08,45.36,44.1,45.09
2016-04-28,45.09,45.97,44.92,45.07
2016-04-29,44.91,44.95,43.27,43.61
2016-05-02,43.56,44.72,43.56,44.54
2016-05-03,44.23,44.47,43.44,44.0
2016-05-04,43.4,43.66,43.1,43.62
2016-05-05,44.15,44.95,43.54,43.85
2016-05-06,43.48,44.66,43.36,44.5
2016-05-09,44.5,44.86,43.02,43.29
2016-05-10,43.41,44.15,43.12,44.03
2016-05-11,44.11,44.15,43.4,43.51
2016-05-12,43.74,44.47,42.75,43.08
2016-05-13,43.41,43.53,42.66,43.01
2016-05-16,43.25,44.59,43.12,44.29
2016-05-17,43.96,45.28,43.94,44.08
2016-05-18,43.82,44.41,43.25,43.77
2016-05-19,43.39,43.96,42.35,42.67
2016-05-20,42.51,43.53,42.5,43.39
2016-05-23,43.41,43.47,42.18,42.64
2016-05-24,42.97,45.56,42.58,45.42
2016-05-25,45.85,46.33,44.83,44.89
2016-05-26,44.77,45.38,44.0,44.68
2016-05-27,45.45,46.67,44.86,45.9
2016-05-31,46.21,46.5,44.62,45.76
2016-06-01,45.41,45.5,44.1,44.32
2016-06-02,44.85,45.38,43.66,44.68
2016-06-03,44.57,45.09,43.39,43.84
2016-06-06,44.27,45.51,44.0,44.7
2016-06-07,44.95,45.04,44.0,44.3
2016-06-08,43.9,44.2,40.72,42.0
2016-06-09,42.0,42.54,40.73,41.14
2016-06-10,40.37,41.04,39.61,39.93
2016-06-13,39.41,40.18,39.02,39.51
2016-06-14,39.6,40.5,39.41,40.11
2016-06-15,40.62,40.68,39.06,39.25
2016-06-16,40.83,40.96,39.18,39.84
2016-06-17,39.74,40.02,37.78,38.06
2016-06-20,38.5,39.45,38.5,39.13
2016-06-21,39.43,40.14,39.3,39.64
2016-06-22,39.8,40.58,39.56,40.1
2016-06-23,40.51,40.97,40.04,40.65
2016-06-24,39.25,40.15,39.05,39.6
2016-06-27,39.19,39.38,37.36,37.9
2016-06-28,38.47,40.19,38.35,39.91
2016-06-29,39.74,41.0,39.64,40.5
2016-06-30,40.47,41.56,40.33,41.2
2016-07-01,41.21,41.71,40.84,41.13
2016-07-05,40.77,41.09,40.45,40.66
2016-07-06,40.42,40.62,39.58,40.22
2016-07-07,40.27,40.65,39.74,40.06
2016-07-08,40.01,41.01,39.97,40.61
2016-07-11,40.77,41.94,40.62,41.78
2016-07-12,41.93,42.72,41.81,41.95
2016-07-13,42.0,42.24,41.58,42.19
2016-07-14,42.48,43.28,42.06,43.0
2016-07-15,43.25,43.49,42.67,43.08
2016-07-18,43.07,43.93,43.0,43.68
2016-07-19,43.15,43.4,42.8,43.06
2016-07-20,43.06,43.5,42.84,43.48
2016-07-21,43.23,43.79,42.97,43.4
2016-07-22,43.62,43.92,43.33,43.83
2016-07-25,43.63,43.8,43.3,43.73
2016-07-26,43.52,44.1,43.46,44.0
2016-07-27,43.99,44.12,43.68,43.97
2016-07-28,43.91,43.99,43.38,43.79
2016-07-29,43.75,43.83,42.78,43.67
2016-08-01,43.59,43.79,42.99,43.09
2016-08-02,43.0,43.16,42.03,42.56
2016-08-03,42.67,42.77,42.19,42.5
2016-08-04,42.5,43.06,42.39,42.94
2016-08-05,43.35,43.5,43.0,43.05
2016-08-08,42.97,43.9,42.9,43.89
2016-08-09,43.91,45.4,43.76,45.16
2016-08-10,45.24,45.85,45.08,45.53
2016-08-11,45.84,46.21,45.54,45.89
2016-08-12,45.82,46.6,45.69,46.39
2016-08-15,46.6,47.52,46.6,46.98
2016-08-16,47.0,47.15,46.06,46.46
2016-08-17,46.46,46.52,46.01,46.38
2016-08-18,46.26,46.47,45.5,46.29
2016-08-19,46.25,46.33,45.8,46.16
2016-08-22,46.3,46.35,45.65,45.82
2016-08-23,45.83,46.6,45.68,45.94
2016-08-24,46.04,46.4,45.71,45.82
2016-08-25,45.89,46.66,45.8,46.34
2016-08-26,46.54,47.85,46.4,47.44
2016-08-29,47.45,47.5,46.8,47.14
2016-08-30,47.45,47.93,47.11,47.35
2016-08-31,47.57,47.72,47.0,47.35
2016-09-01,47.05,49.16,46.98,48.96
2016-09-02,48.85,49.43,47.64,47.9
2016-09-06,46.5,47.25,44.85,45.96
2016-09-07,45.63,45.82,44.75,44.95
2016-09-08,45.09,45.88,44.9,45.36
2016-09-09,45.1,45.2,43.71,44.14
2016-09-12,43.47,44.46,43.13,44.32
2016-09-13,44.32,44.48,42.76,43.08
2016-09-14,42.88,43.51,42.65,42.83
2016-09-15,43.15,43.97,42.71,43.75
2016-09-16,43.75,43.81,43.13,43.67
2016-09-19,43.99,44.28,43.63,43.77
2016-09-20,43.77,44.3,43.77,44.09
2016-09-21,44.42,45.5,44.15,45.33
2016-09-22,45.35,46.11,45.35,46.1
2016-09-23,46.0,46.34,45.75,46.02
2016-09-26,45.76,46.05,45.41,45.55
2016-09-27,45.76,46.28,45.51,46.25
2016-09-28,46.18,47.0,46.13,46.95
2016-09-29,46.66,47.25,46.63,46.79
2016-09-30,46.8,46.99,46.46,46.57
2016-10-03,46.57,47.03,46.44,46.95
2016-10-04,47.03,47.3,46.62,47.03
2016-10-05,47.29,47.68,47.05,47.45
2016-10-06,47.62,47.78,46.7,47.59
2016-10-07,47.54,47.58,46.95,47.08
2016-10-10,47.0,48.5,46.76,48.16
2016-10-11,47.94,47.96,46.48,46.77
2016-10-12,46.62,47.13,46.23,46.35
2016-10-13,45.85,46.35,45.23,46.31
2016-10-14,46.99,47.45,46.5,46.57
2016-10-17,46.65,46.7,46.18,46.29
2016-10-18,46.96,47.82,46.75,47.06
2016-10-19,47.13,47.52,47.13,47.24
2016-10-20,47.25,47.42,46.81,47.25
