Date,Open,High,Low,Close
2012-12-24,48.05,48.5,48.0,48.36
2012-12-26,48.39,48.63,47.39,47.5
2012-12-27,47.43,47.68,45.95,46.7
2012-12-28,46.64,47.6,46.03,46.65
2012-12-31,46.55,47.46,46.29,47.1
2013-01-02,48.0,49.23,47.91,48.5
2013-01-03,48.17,49.3,48.09,49.26
2013-01-04,49.4,50.27,48.79,50.07
2013-01-07,49.85,52.05,49.68,51.77
2013-01-08,51.99,52.92,51.7,51.95
2013-01-09,52.03,53.07,52.03,52.24
2013-01-10,52.65,53.16,52.45,52.62
2013-01-11,51.75,51.84,50.36,51.4
2013-01-14,51.28,52.43,51.28,52.14
2013-01-15,51.95,52.5,51.76,52.09
2013-01-16,52.06,52.22,51.21,51.27
2013-01-17,51.82,52.6,51.57,52.53
2013-01-18,52.14,52.46,51.75,52.07
2013-01-22,52.28,52.66,51.47,51.97
2013-01-23,52.04,52.22,51.42,52.03
2013-01-24,52.21,53.58,52.12,53.12
2013-01-25,53.15,53.3,52.49,53.23
2013-01-28,53.17,53.44,52.08,52.13
2013-01-29,52.0,52.62,51.75,52.46
2013-01-30,52.46,52.91,52.27,52.71
2013-01-31,52.15,52.18,51.3,51.89
2013-02-01,52.35,53.77,52.3,53.5
2013-02-04,53.38,53.95,52.81,52.95
2013-02-05,52.95,53.68,52.85,53.64
2013-02-06,53.4,53.69,52.82,53.22
2013-02-07,52.95,53.5,52.8,53.22
2013-02-08,53.0,53.9,49.89,51.48
2013-02-11,51.75,51.75,51.1,51.51
2013-02-12,51.7,52.52,51.42,52.17
2013-02-13,53.72,54.52,53.5,53.59
2013-02-14,53.24,53.29,52.69,53.1
2013-02-15,53.1,54.04,52.71,53.65
2013-02-19,53.77,54.33,53.47,54.0
2013-02-20,53.93,55.54,53.93,54.83
2013-02-21,54.68,54.84,53.96,54.25
2013-02-22,54.32,54.85,53.96,54.65
2013-02-25,54.79,56.15,54.79,54.95
2013-02-26,54.94,55.06,54.07,54.49
2013-02-27,54.46,55.78,54.11,55.54
2013-02-28,54.75,54.75,51.36,53.75
2013-03-01,53.44,55.04,52.97,54.89
2013-03-04,54.87,56.01,54.56,55.96
2013-03-05,56.05,57.35,55.78,56.95
2013-03-06,57.0,57.4,55.96,56.25
2013-03-07,56.41,56.81,55.98,56.21
2013-03-08,56.68,56.68,55.17,55.36
2013-03-11,55.21,55.5,54.72,55.0
2013-03-12,54.9,55.05,53.23,53.9
2013-03-13,54.18,54.19,53.24,53.54
2013-03-14,53.56,53.66,52.59,53.0
2013-03-15,52.92,53.1,51.9,51.94
2013-03-18,51.64,52.34,50.64,51.69
2013-03-19,51.7,51.87,50.54,50.71
2013-03-20,51.06,52.34,50.63,52.22
2013-03-21,52.06,52.34,51.54,51.85
2013-03-22,51.91,53.03,51.7,52.27
2013-03-25,52.4,52.89,51.56,51.97
2013-03-26,52.15,53.13,52.15,52.8
2013-03-27,52.62,52.94,52.23,52.66
2013-03-28,52.63,53.12,52.37,53.03
2013-04-01,52.78,53.41,52.59,53.28
2013-04-02,53.41,54.75,53.41,54.38
2013-04-03,54.37,54.59,52.7,53.16
2013-04-04,53.33,53.64,52.58,53.24
2013-04-05,52.73,52.89,52.3,52.85
2013-04-08,52.89,53.24,52.4,53.23
2013-04-09,53.33,53.98,53.07,53.71
2013-04-10,54.0,55.36,54.0,54.8
2013-04-11,54.71,56.03,54.69,55.97
2013-04-12,55.94,55.97,54.24,54.44
2013-04-15,54.12,54.81,53.6,53.69
2013-04-16,54.01,54.91,53.1,54.48
2013-04-17,53.95,54.4,53.58,54.06
2013-04-18,54.15,54.39,53.58,54.32
2013-04-19,54.55,55.63,53.98,55.1
2013-04-22,55.28,55.28,53.4,53.69
2013-04-23,53.94,54.49,53.72,54.42
2013-04-24,54.58,55.62,54.32,55.3
2013-04-25,55.35,57.34,55.18,57.16
2013-04-26,56.91,57.35,56.64,56.65
2013-04-29,56.5,57.11,56.24,56.61
2013-04-30,56.66,58.18,56.11,57.73
2013-05-01,57.9,57.9,56.64,57.01
2013-05-02,53.83,54.83,50.88,52.98
2013-05-03,53.51,53.72,52.38,52.4
2013-05-06,52.63,53.13,52.43,52.59
2013-05-07,52.46,52.46,51.77,52.18
2013-05-08,52.24,52.73,51.86,52.43
2013-05-09,52.61,52.73,51.15,51.31
2013-05-10,51.32,51.82,51.24,51.67
2013-05-13,51.75,51.92,50.92,51.22
2013-05-14,51.05,52.71,51.05,52.68
2013-05-15,52.66,53.61,52.66,53.24
2013-05-16,53.2,53.53,52.36,52.38
2013-05-17,52.26,52.64,50.21,50.98
2013-05-20,51.02,51.29,49.85,49.91
2013-05-21,50.76,50.94,50.01,50.38
2013-05-22,50.3,50.3,46.29,48.57
2013-05-23,48.17,48.41,47.51,48.06
2013-05-24,47.75,48.12,47.32,47.92
2013-05-28,48.51,48.83,47.65,47.87
2013-05-29,47.73,47.73,46.93,47.55
2013-05-30,47.69,48.65,47.12,48.37
2013-05-31,48.06,49.22,47.85,49.22
2013-06-03,49.86,50.06,47.72,48.1
2013-06-04,47.98,48.9,47.84,48.26
2013-06-05,48.61,48.61,47.74,47.97
2013-06-06,47.99,48.46,47.26,48.34
2013-06-07,48.4,50.54,48.27,50.29
