Date,Open,High,Low,Close
2002-01-14,11.48,11.55,11.14,11.22
2002-01-15,11.28,11.48,10.88,11.14
2002-01-16,11.04,11.24,10.57,10.59
2002-01-17,10.97,10.99,9.98,10.28
2002-01-18,9.88,10.0,9.56,9.71
2002-01-22,9.88,10.1,9.74,9.76
2002-01-23,9.9,10.44,9.8,10.16
2002-01-24,9.39,9.5,8.8,8.89
2002-01-25,8.97,9.08,8.62,8.86
2002-01-28,9.04,9.15,8.88,9.0
2002-01-29,9.02,9.18,8.62,8.64
2002-01-30,8.7,8.84,8.28,8.72
2002-01-31,8.77,8.8,8.44,8.62
2002-02-01,8.7,9.1,8.65,8.83
2002-02-04,8.83,8.84,8.25,8.36
2002-02-05,8.3,8.48,8.12,8.2
2002-02-06,8.3,8.39,7.75,7.92
2002-02-07,7.88,8.2,7.68,7.8
2002-02-08,7.92,8.18,7.75,7.96
2002-02-11,8.04,8.25,7.94,8.24
2002-02-12,8.12,8.23,7.89,7.96
2002-02-13,8.06,8.33,8.0,8.26
2002-02-14,8.28,8.62,8.19,8.24
2002-02-15,8.7,8.78,8.1,8.22
2002-02-19,8.15,8.27,7.66,7.84
2002-02-20,7.96,8.03,7.4,7.65
2002-02-21,7.6,7.65,7.0,7.06
2002-02-22,7.04,7.05,6.51,6.75
2002-02-25,7.19,7.6,7.02,7.38
2002-02-26,7.56,7.84,7.45,7.77
2002-02-27,8.02,8.36,7.81,7.81
2002-02-28,7.9,7.98,7.52,7.58
2002-03-01,7.66,7.74,7.48,7.62
2002-03-04,7.74,8.2,7.56,8.08
2002-03-05,8.01,8.5,8.0,8.27
2002-03-06,8.28,8.6,8.08,8.5
2002-03-07,8.77,8.8,8.28,8.56
2002-03-08,8.8,8.84,8.53,8.57
2002-03-11,8.6,9.21,8.4,9.08
2002-03-12,8.83,9.34,8.8,9.17
2002-03-13,9.06,9.34,8.92,9.04
2002-03-14,9.06,9.36,9.03,9.2
2002-03-15,9.32,9.33,8.72,9.0
2002-03-18,9.18,9.24,9.0,9.1
2002-03-19,9.15,9.31,9.08,9.3
2002-03-20,9.24,9.35,8.89,8.9
2002-03-21,8.92,9.22,8.54,9.2
2002-03-22,9.21,9.22,8.81,8.92
2002-03-25,8.98,9.02,8.5,8.58
2002-03-26,8.5,8.8,8.4,8.57
2002-03-27,8.51,8.8,8.5,8.7
2002-03-28,8.74,8.86,8.53,8.64
2002-04-01,8.58,8.72,8.24,8.7
2002-04-02,8.45,8.5,8.26,8.37
2002-04-03,8.42,8.5,7.86,8.02
2002-04-04,8.02,8.14,7.86,8.12
2002-04-05,8.02,8.15,7.86,7.95
2002-04-08,7.82,8.2,7.7,8.13
2002-04-09,7.8,8.1,7.46,7.51
2002-04-10,7.51,7.62,7.12,7.42
2002-04-11,7.34,7.38,7.08,7.14
2002-04-12,7.33,7.34,7.06,7.32
2002-04-15,7.34,7.56,7.3,7.4
2002-04-16,7.52,7.68,7.42,7.58
2002-04-17,7.66,7.67,7.42,7.56
2002-04-18,7.59,7.59,6.13,7.48
2002-04-19,7.5,7.52,7.25,7.28
2002-04-22,7.26,7.4,7.14,7.3
2002-04-23,7.25,7.26,7.0,7.08
2002-04-24,7.14,7.14,6.25,6.3
2002-04-25,6.39,6.4,5.59,5.82
2002-04-26,5.86,5.98,5.59,5.68
2002-04-29,5.72,5.73,5.43,5.58
2002-04-30,5.97,6.02,5.72,5.8
2002-05-01,5.78,5.92,5.46,5.54
2002-05-02,5.54,5.7,5.46,5.52
2002-05-03,5.54,5.56,5.13,5.24
2002-05-06,5.25,5.34,5.13,5.16
2002-05-07,5.25,5.29,4.93,5.18
2002-05-08,5.34,5.63,5.34,5.6
2002-05-09,5.56,5.6,5.3,5.32
