Date,Open,High,Low,Close
1997-12-04,0.0,11.62,11.16,11.43
1997-12-05,0.0,11.81,11.38,11.72
1997-12-08,0.0,12.03,11.74,12.0
1997-12-09,0.0,11.97,11.61,11.74
1997-12-10,0.0,11.55,11.01,11.39
1997-12-11,0.0,11.56,10.91,11.14
1997-12-12,0.0,11.41,10.88,11.03
1997-12-15,0.0,10.98,10.36,10.43
1997-12-16,0.0,10.95,10.36,10.88
1997-12-17,0.0,11.08,10.59,10.59
1997-12-18,0.0,10.61,10.02,10.09
1997-12-19,0.0,9.92,9.41,9.79
1997-12-22,0.0,10.34,9.97,10.2
1997-12-23,0.0,10.34,10.03,10.06
1997-12-24,0.0,10.23,9.62,9.69
1997-12-26,0.0,9.94,9.72,9.8
1997-12-29,0.0,10.38,9.88,10.36
1997-12-30,0.0,10.89,10.31,10.63
1997-12-31,0.0,10.87,10.44,10.5
1998-01-02,0.0,10.75,10.47,10.72
1998-01-05,0.0,11.12,10.61,11.03
1998-01-06,0.0,11.11,10.78,11.05
1998-01-07,0.0,11.06,10.59,10.78
1998-01-08,0.0,10.93,10.53,10.77
1998-01-09,0.0,10.78,10.3,10.4
1998-01-12,0.0,10.91,9.92,10.88
1998-01-13,0.0,11.22,10.81,11.21
1998-01-14,0.0,11.47,11.14,11.42
1998-01-15,0.0,11.66,11.33,11.45
1998-01-16,0.0,11.63,11.5,11.59
1998-01-20,0.0,11.67,11.34,11.61
1998-01-21,0.0,11.86,11.5,11.78
1998-01-22,0.0,11.84,11.55,11.56
1998-01-23,0.0,11.88,11.69,11.85
1998-01-26,0.0,11.98,11.73,11.83
1998-01-27,0.0,12.22,11.81,12.17
1998-01-28,0.0,12.25,12.07,12.14
1998-01-29,0.0,12.63,12.05,12.33
1998-01-30,0.0,12.58,12.28,12.43
1998-02-02,0.0,13.14,12.61,13.07
1998-02-03,0.0,13.5,12.92,13.26
1998-02-04,0.0,13.53,13.09,13.45
1998-02-05,0.0,13.73,13.34,13.38
1998-02-06,0.0,13.62,13.16,13.61
1998-02-09,0.0,13.67,13.39,13.52
1998-02-10,0.0,13.86,13.41,13.86
1998-02-11,0.0,14.06,13.69,13.78
1998-02-12,0.0,13.85,13.52,13.84
1998-02-13,0.0,13.91,13.72,13.86
1998-02-17,0.0,14.06,13.73,13.91
1998-02-18,0.0,14.16,13.84,14.15
1998-02-19,0.0,15.61,14.84,15.34
1998-02-20,0.0,15.95,15.38,15.79
1998-02-23,0.0,16.38,15.88,16.37
1998-02-24,0.0,16.48,16.03,16.05
1998-02-25,0.0,16.25,15.91,16.24
1998-02-26,0.0,16.66,16.18,16.66
1998-02-27,0.0,17.55,16.83,17.48
1998-03-02,0.0,17.98,16.95,16.95
1998-03-03,0.0,16.62,15.95,16.39
1998-03-04,0.0,17.47,16.42,17.38
1998-03-05,0.0,17.0,16.34,16.48
1998-03-06,0.0,17.34,16.66,17.31
1998-03-09,0.0,16.69,15.75,15.78
1998-03-10,0.0,16.47,15.86,16.3
1998-03-11,0.0,16.75,15.88,16.0
1998-03-12,0.0,16.09,15.25,15.75
1998-03-13,0.0,16.17,15.66,15.78
1998-03-16,0.0,16.06,15.77,15.89
1998-03-17,0.0,15.88,15.41,15.58
1998-03-18,0.0,15.94,15.38,15.81
1998-03-19,0.0,16.22,15.88,16.19
1998-03-20,0.0,16.28,15.56,15.61
1998-03-23,0.0,15.81,15.3,15.56
1998-03-24,0.0,16.45,15.56,16.44
1998-03-25,0.0,17.28,16.72,16.98
1998-03-26,0.0,17.31,16.81,17.12
1998-03-27,0.0,17.28,16.8,16.88
1998-03-30,0.0,17.05,16.61,16.8
1998-03-31,0.0,17.22,16.88,16.94
1998-04-01,0.0,17.19,16.62,17.12
1998-04-02,0.0,17.2,16.86,17.03
1998-04-03,0.0,17.19,16.75,16.84
1998-04-06,0.0,16.88,16.16,16.31
1998-04-07,0.0,16.22,15.66,15.78
1998-04-08,0.0,16.77,15.88,16.44
1998-04-09,0.0,17.19,16.81,16.92
1998-04-13,0.0,17.03,16.56,16.91
1998-04-14,0.0,17.41,16.66,17.16
1998-04-15,0.0,17.52,16.94,16.97
1998-04-16,0.0,17.25,16.8,16.91
1998-04-17,0.0,16.97,16.69,16.88
1998-04-20,0.0,17.56,16.81,17.42
1998-04-21,0.0,18.72,17.62,18.59
1998-04-22,0.0,19.91,18.69,19.36
1998-04-23,0.0,19.5,18.78,18.81
1998-04-24,0.0,19.31,18.61,19.08
1998-04-27,0.0,18.62,18.09,18.58
1998-04-28,0.0,19.41,18.66,19.02
