Date,Open,High,Low,Close
2013-12-23,56.92,57.04,56.33,56.6
2013-12-24,56.72,57.36,56.59,57.25
2013-12-26,57.32,57.84,57.13,57.61
2013-12-27,57.69,58.14,57.31,57.68
2013-12-30,57.56,57.76,57.19,57.73
2013-12-31,58.01,58.3,57.32,57.92
2014-01-02,57.99,58.15,57.02,57.75
2014-01-03,57.84,58.21,57.18,57.8
2014-01-06,58.07,58.55,57.84,57.86
2014-01-07,57.83,58.41,56.12,56.93
2014-01-08,57.49,58.07,56.83,57.96
2014-01-09,57.55,57.87,55.82,56.48
2014-01-10,56.77,57.57,56.48,57.21
2014-01-13,57.11,57.5,55.84,55.95
2014-01-14,56.28,56.75,55.57,56.11
2014-01-15,56.32,56.85,55.85,56.63
2014-01-16,56.42,56.6,55.3,55.36
2014-01-17,55.1,55.48,54.65,54.85
2014-01-21,55.02,55.96,54.02,54.1
2014-01-22,54.35,56.98,54.18,56.63
2014-01-23,55.87,56.14,55.06,55.31
2014-01-24,55.1,55.22,54.37,54.6
2014-01-27,54.6,55.21,53.72,54.78
2014-01-28,55.03,55.74,55.0,55.4
2014-01-29,54.94,55.58,54.44,55.49
2014-01-30,56.39,56.9,55.45,56.48
2014-01-31,55.26,57.01,54.67,56.38
2014-02-03,56.06,57.09,54.31,54.6
2014-02-04,55.22,56.81,55.07,56.58
2014-02-05,56.2,57.46,55.75,57.26
2014-02-06,57.6,58.3,57.07,57.26
2014-02-07,57.49,57.83,56.33,56.8
2014-02-10,56.62,57.19,56.27,57.02
2014-02-11,57.16,57.65,56.96,57.07
2014-02-12,57.05,57.52,56.94,57.51
2014-02-13,58.07,58.87,57.6,58.32
2014-02-14,56.56,57.33,56.28,56.9
2014-02-18,56.31,57.48,56.02,57.09
2014-02-19,56.76,57.36,56.39,56.52
2014-02-20,57.1,57.3,56.24,57.07
2014-02-21,58.88,59.95,57.45,57.92
2014-02-24,57.75,58.85,57.33,57.37
2014-02-25,57.4,57.64,57.09,57.43
2014-02-26,57.52,58.06,56.52,57.34
2014-02-27,57.02,57.43,56.61,57.24
2014-02-28,57.26,58.98,57.16,58.84
2014-03-03,58.29,59.0,57.83,58.88
2014-03-04,59.77,59.97,58.83,59.56
2014-03-05,59.65,60.98,59.65,60.48
2014-03-06,60.94,62.35,60.65,62.15
2014-03-07,62.6,62.6,61.72,62.31
2014-03-10,62.14,62.26,60.74,60.96
2014-03-11,61.1,62.24,60.96,61.78
2014-03-12,61.23,62.07,60.59,62.04
2014-03-13,62.43,62.46,60.45,60.7
2014-03-14,60.27,61.68,60.27,61.58
2014-03-17,62.01,62.44,61.4,61.97
2014-03-18,61.78,62.33,61.14,62.08
2014-03-19,61.97,62.26,61.4,61.94
2014-03-20,61.68,63.04,61.55,62.42
2014-03-21,62.85,62.99,61.02,61.07
2014-03-24,61.2,61.22,57.81,59.14
2014-03-25,59.69,59.86,58.37,58.42
2014-03-26,58.73,63.98,57.67,62.09
2014-03-27,61.71,63.23,60.36,61.22
2014-03-28,61.82,62.26,61.4,61.8
2014-03-31,61.89,62.66,61.76,62.21
2014-04-01,62.45,64.28,62.06,63.9
2014-04-02,63.74,64.24,63.38,64.07
2014-04-03,64.12,64.52,63.15,63.85
2014-04-04,64.4,64.4,61.64,62.24
2014-04-07,62.04,62.17,58.3,59.51
2014-04-08,59.78,60.01,58.57,59.67
2014-04-09,59.81,60.96,59.52,60.83
2014-04-10,60.73,61.21,58.6,58.78
2014-04-11,58.37,59.22,57.36,57.49
2014-04-14,58.05,58.96,57.11,57.89
2014-04-15,57.81,58.53,56.85,57.7
2014-04-16,58.01,59.23,57.51,58.98
2014-04-17,58.76,59.97,58.3,59.47
2014-04-21,59.21,60.16,58.98,59.97
2014-04-22,59.84,60.2,59.39,59.42
2014-04-23,59.62,60.36,59.43,59.74
2014-04-24,60.04,60.32,59.31,59.71
2014-04-25,59.63,59.63,57.07,57.98
