Date,Open,High,Low,Close
1998-01-07,0.0,24.26,22.81,23.32
1998-01-08,0.0,23.83,22.97,23.56
1998-01-09,0.0,23.36,21.88,22.03
1998-01-12,0.0,21.8,21.17,21.76
1998-01-13,0.0,22.34,21.56,22.27
1998-01-14,0.0,23.75,22.19,23.71
1998-01-15,0.0,23.87,23.16,23.67
1998-01-16,0.0,25.0,23.67,24.77
1998-01-20,0.0,25.16,23.75,24.96
1998-01-21,0.0,24.65,23.98,24.1
1998-01-22,0.0,24.34,23.63,23.75
1998-01-23,0.0,24.14,23.67,24.14
1998-01-26,0.0,24.77,23.67,23.98
1998-01-27,0.0,25.0,24.26,25.0
1998-01-28,0.0,25.66,24.41,25.59
1998-01-29,0.0,24.92,23.91,24.06
1998-01-30,0.0,24.61,24.06,24.14
1998-02-02,0.0,25.16,24.3,24.69
1998-02-03,0.0,24.77,24.14,24.69
1998-02-04,0.0,25.86,24.77,25.82
1998-02-05,0.0,26.52,25.78,26.21
1998-02-06,0.0,25.94,25.31,25.31
1998-02-09,0.0,25.55,24.8,25.0
1998-02-10,0.0,25.82,25.08,25.55
1998-02-11,0.0,25.94,25.39,25.7
1998-02-12,0.0,27.03,25.59,26.99
1998-02-13,0.0,26.72,26.06,26.37
1998-02-17,0.0,27.5,26.88,27.07
1998-02-18,0.0,27.42,26.72,27.34
1998-02-19,0.0,27.7,26.88,27.5
1998-02-20,0.0,27.5,27.03,27.34
1998-02-23,0.0,28.36,27.66,28.2
1998-02-24,0.0,28.44,27.89,28.24
1998-02-25,0.0,29.26,28.36,29.1
1998-02-26,0.0,29.22,28.59,28.87
1998-02-27,0.0,28.71,27.97,28.32
1998-03-02,0.0,29.26,28.56,28.71
1998-03-03,0.0,28.56,28.09,28.2
1998-03-04,0.0,28.01,27.54,27.97
1998-03-05,0.0,27.46,26.25,26.52
1998-03-06,0.0,28.91,27.46,28.83
1998-03-09,0.0,28.63,27.73,28.01
1998-03-10,0.0,28.71,28.05,28.63
1998-03-11,0.0,28.52,28.05,28.36
1998-03-12,0.0,28.98,28.16,28.75
1998-03-13,0.0,29.45,28.75,29.06
1998-03-16,0.0,29.88,29.45,29.73
1998-03-17,0.0,30.0,29.26,29.45
1998-03-18,0.0,30.08,28.91,29.84
1998-03-19,0.0,30.39,29.45,29.65
1998-03-20,0.0,30.23,29.53,29.88
1998-03-23,0.0,30.39,29.61,30.0
1998-03-24,0.0,30.47,29.53,30.23
1998-03-25,0.0,30.43,29.49,29.77
1998-03-26,0.0,29.96,29.41,29.65
1998-03-27,0.0,30.08,29.38,29.69
1998-03-30,0.0,29.84,29.61,29.73
1998-03-31,0.0,30.2,29.57,29.73
1998-04-01,0.0,30.78,29.69,30.74
1998-04-02,0.0,30.94,30.47,30.74
1998-04-03,0.0,32.81,31.41,32.62
1998-04-06,0.0,33.2,32.34,33.16
1998-04-07,0.0,32.62,31.95,32.42
1998-04-08,0.0,32.73,32.07,32.3
1998-04-09,0.0,33.12,32.77,33.01
1998-04-13,0.0,33.56,32.89,33.36
1998-04-14,0.0,34.38,33.67,34.14
1998-04-15,0.0,34.84,34.06,34.77
1998-04-16,0.0,34.38,33.79,34.22
1998-04-17,0.0,34.45,33.95,34.41
1998-04-20,0.0,35.16,34.53,35.12
1998-04-21,0.0,35.39,34.84,34.92
1998-04-22,0.0,34.69,33.75,33.83
1998-04-23,0.0,33.44,32.03,32.11
1998-04-24,0.0,32.93,32.11,32.81
1998-04-27,0.0,32.73,31.8,32.58
1998-04-28,0.0,33.24,32.23,32.7
1998-04-29,0.0,32.73,30.62,32.4
1998-04-30,0.0,33.44,31.95,32.15
1998-05-01,0.0,32.5,31.95,32.5
1998-05-04,0.0,33.32,32.66,32.85
1998-05-05,0.0,34.3,33.12,34.14
1998-05-06,0.0,34.77,34.14,34.14
1998-05-07,0.0,34.65,33.56,33.67
1998-05-08,0.0,34.14,33.52,33.67
1998-05-11,0.0,34.84,33.91,34.41
1998-05-12,0.0,35.0,34.53,34.84
1998-05-13,0.0,34.61,34.1,34.61
1998-05-14,0.0,34.61,33.83,34.14
1998-05-15,0.0,34.22,33.44,33.59
1998-05-18,0.0,33.44,32.27,32.73
1998-05-19,0.0,33.71,33.05,33.59
1998-05-20,0.0,35.31,34.18,34.84
1998-05-21,0.0,35.16,34.49,34.73
1998-05-22,0.0,35.86,35.0,35.78
1998-05-26,0.0,36.95,35.62,35.7
1998-05-27,0.0,35.86,34.45,35.47
1998-05-28,0.0,35.7,34.61,35.47
1998-05-29,0.0,36.09,34.84,34.84
1998-06-01,0.0,35.0,34.22,34.53
1998-06-02,0.0,35.47,34.84,35.31
1998-06-03,0.0,35.62,34.69,34.69
1998-06-04,0.0,35.94,34.69,35.86
1998-06-05,0.0,37.03,35.7,36.95
1998-06-08,0.0,38.75,37.03,38.28
1998-06-09,0.0,38.75,37.66,38.28
1998-06-10,0.0,37.42,36.02,36.02
1998-06-11,0.0,35.78,34.14,34.14
1998-06-12,0.0,34.84,32.5,33.75
1998-06-15,0.0,32.97,32.19,32.89
1998-06-16,0.0,33.12,31.88,32.97
1998-06-17,0.0,35.0,33.75,34.3
1998-06-18,0.0,33.75,32.03,32.34
1998-06-19,0.0,34.53,31.56,32.58
1998-06-22,0.0,34.14,32.73,33.83
1998-06-23,0.0,35.0,34.06,34.84
