Date,Open,High,Low,Close
2002-12-23,9.5,9.8,9.5,9.78
2002-12-24,9.67,9.72,9.59,9.62
2002-12-26,9.57,9.75,9.48,9.58
2002-12-27,9.47,9.6,9.38,9.39
2002-12-30,9.38,9.47,9.16,9.36
2002-12-31,9.27,9.47,9.24,9.35
2003-01-02,9.34,9.73,9.17,9.69
2003-01-03,9.68,9.71,9.51,9.56
2003-01-06,9.58,9.69,9.39,9.42
2003-01-07,9.38,9.38,9.18,9.25
2003-01-08,9.18,9.22,8.95,8.98
2003-01-09,8.98,9.13,8.88,9.0
2003-01-10,8.92,9.02,8.79,8.94
2003-01-13,9.07,9.07,8.75,8.84
2003-01-14,8.82,9.02,8.79,9.02
2003-01-15,9.03,9.05,8.7,8.72
2003-01-16,8.72,8.92,8.59,8.74
2003-01-17,8.74,8.89,8.55,8.6
2003-01-21,8.64,8.68,8.31,8.5
2003-01-22,8.56,8.79,8.39,8.55
2003-01-23,8.62,8.67,8.42,8.61
2003-01-24,8.56,8.56,8.31,8.44
2003-01-27,8.36,8.5,8.19,8.24
2003-01-28,8.25,8.4,8.24,8.3
2003-01-29,8.28,8.55,8.06,8.44
2003-01-30,8.45,8.52,8.16,8.17
2003-01-31,8.12,8.43,8.06,8.28
2003-02-03,8.25,8.32,8.08,8.29
2003-02-04,8.22,8.24,8.04,8.15
2003-02-05,8.29,8.5,8.13,8.26
2003-02-06,8.25,8.3,8.0,8.07
2003-02-07,8.0,8.12,7.95,7.96
2003-02-10,8.01,8.09,7.85,7.98
2003-02-11,8.0,8.15,7.82,7.88
2003-02-12,7.87,7.94,7.77,7.82
2003-02-13,7.83,7.88,7.66,7.86
2003-02-14,7.87,7.99,7.77,7.94
2003-02-18,8.0,8.18,8.0,8.16
2003-02-19,8.0,8.15,7.97,8.08
2003-02-20,8.1,8.15,7.97,8.05
2003-02-21,8.06,8.2,7.9,8.18
2003-02-24,8.15,8.18,8.05,8.08
2003-02-25,8.04,8.12,7.78,8.1
2003-02-26,8.04,8.2,7.97,8.0
2003-02-27,7.96,8.29,7.82,8.17
2003-02-28,8.22,8.52,8.18,8.32
2003-03-03,8.34,8.38,8.0,8.04
2003-03-04,8.01,8.03,7.61,7.66
2003-03-05,7.61,7.62,7.24,7.48
2003-03-06,7.48,7.48,7.17,7.2
2003-03-07,7.26,7.26,7.03,7.18
2003-03-10,7.18,7.18,6.88,7.01
2003-03-11,6.96,7.12,6.96,6.98
2003-03-12,6.95,7.08,6.94,7.06
2003-03-13,7.19,7.38,7.13,7.36
2003-03-14,7.44,7.51,7.3,7.34
2003-03-17,7.36,7.66,7.06,7.66
2003-03-18,7.67,7.92,7.66,7.92
2003-03-19,7.93,8.0,7.54,7.63
2003-03-20,7.55,7.67,7.34,7.47
2003-03-21,7.5,7.73,7.35,7.68
2003-03-24,7.57,7.62,7.15,7.18
2003-03-25,7.19,7.5,7.09,7.44
2003-03-26,7.42,7.5,7.31,7.38
2003-03-27,7.34,7.5,7.31,7.4
2003-03-28,7.38,7.39,7.3,7.34
2003-03-31,7.29,7.29,7.0,7.05
2003-04-01,7.06,7.14,6.95,7.07
2003-04-02,7.18,7.5,7.18,7.45
2003-04-03,7.52,8.16,7.5,8.0
2003-04-04,8.04,8.18,8.0,8.1
