Date,Open,High,Low,Close
2008-07-21,45.49,45.49,43.24,43.42
2008-07-22,42.53,42.98,39.25,42.75
2008-07-23,42.57,43.17,41.85,42.78
2008-07-24,41.5,41.86,35.09,39.93
2008-07-25,40.0,40.4,39.17,39.82
2008-07-28,39.72,39.96,39.1,39.37
2008-07-29,39.6,40.96,39.54,40.3
2008-07-30,39.77,41.24,39.5,40.94
2008-07-31,40.87,41.47,40.12,40.74
2008-08-01,41.21,41.49,39.59,39.93
2008-08-04,39.74,39.77,37.66,37.86
2008-08-05,38.11,38.77,37.01,38.74
2008-08-06,38.41,38.72,37.47,38.4
2008-08-07,38.21,38.92,37.75,38.61
2008-08-08,38.54,39.2,38.08,38.87
2008-08-11,38.92,38.95,37.71,38.5
2008-08-12,38.3,39.1,37.69,38.34
2008-08-13,38.32,39.12,38.08,38.98
2008-08-14,38.73,39.25,38.6,39.16
2008-08-15,39.26,39.3,38.11,38.8
2008-08-18,38.9,39.12,38.21,38.7
2008-08-19,38.82,39.43,37.78,38.03
2008-08-20,38.08,39.19,37.93,38.39
2008-08-21,38.27,38.38,37.0,37.15
2008-08-22,37.24,37.76,37.1,37.42
2008-08-25,37.2,37.2,35.92,36.1
2008-08-26,35.86,37.17,35.86,36.71
2008-08-27,36.67,37.02,36.09,36.61
2008-08-28,36.79,37.15,36.05,36.89
2008-08-29,36.8,36.8,35.38,35.7
2008-09-02,36.39,36.67,34.8,34.81
2008-09-03,34.69,35.0,33.58,33.82
2008-09-04,34.3,35.88,34.0,34.17
2008-09-05,33.88,34.42,33.11,34.2
2008-09-08,33.3,35.03,33.3,34.34
2008-09-09,34.28,35.26,33.65,33.65
2008-09-10,34.13,35.06,34.01,34.87
2008-09-11,34.19,34.9,33.9,34.83
2008-09-12,34.28,34.66,33.76,34.43
2008-09-15,33.26,34.4,33.14,33.29
2008-09-16,33.92,35.9,33.08,35.32
2008-09-17,34.44,35.6,32.76,33.32
2008-09-18,33.03,36.1,32.17,35.04
2008-09-19,36.0,38.99,35.95,38.01
2008-09-22,37.39,37.65,35.2,35.55
2008-09-23,35.71,37.13,35.33,36.26
2008-09-24,36.5,36.89,35.74,36.07
2008-09-25,36.3,37.73,36.12,37.17
2008-09-26,36.34,38.37,35.68,38.15
2008-09-29,37.6,38.19,35.16,35.51
2008-09-30,36.81,38.7,35.8,38.42
2008-10-01,38.42,39.24,37.7,39.21
2008-10-02,38.89,39.12,36.7,36.9
2008-10-03,37.41,37.93,34.7,34.74
2008-10-06,32.53,33.11,29.6,30.86
2008-10-07,31.47,32.47,30.51,31.28
2008-10-08,30.82,31.93,29.66,30.87
2008-10-09,31.01,31.88,29.18,29.64
2008-10-10,28.95,29.6,24.72,27.9
2008-10-13,29.5,32.5,28.23,32.49
2008-10-14,33.16,33.98,31.33,31.8
2008-10-15,31.42,31.8,28.42,28.45
2008-10-16,28.59,30.27,26.75,30.25
2008-10-17,29.04,31.3,27.86,29.82
2008-10-20,30.31,32.28,30.26,32.22
2008-10-21,31.56,31.9,29.25,29.37
2008-10-22,28.51,29.28,27.25,27.47
2008-10-23,28.49,29.2,26.79,28.73
2008-10-24,26.44,28.57,25.75,27.48
2008-10-27,27.03,28.0,26.0,27.14
2008-10-28,27.34,29.57,26.15,29.49
2008-10-29,29.55,30.56,28.65,30.0
2008-10-30,30.0,31.9,29.23,31.84
2008-10-31,31.42,32.8,30.5,32.1
2008-11-03,32.54,33.0,31.89,32.74
2008-11-04,32.99,33.34,31.87,33.16
2008-11-05,32.58,33.74,32.08,32.9
2008-11-06,31.86,32.21,29.44,29.79
2008-11-07,30.12,30.5,29.07,30.23
2008-11-10,31.18,31.95,29.55,29.92
2008-11-11,29.51,30.38,28.86,29.47
2008-11-12,28.87,29.42,28.65,28.79
2008-11-13,27.65,31.87,27.65,31.81
2008-11-14,31.36,31.52,29.61,29.7
2008-11-17,29.17,30.66,28.72,30.34
2008-11-18,30.58,30.81,29.21,30.75
2008-11-19,30.86,31.72,29.5,29.55
2008-11-20,29.36,30.31,27.63,27.81
2008-11-21,28.26,28.5,27.12,28.5
2008-11-24,29.07,29.31,28.45,28.8
2008-11-25,29.48,29.48,27.93,28.63
2008-11-26,28.32,30.96,27.75,30.74
2008-11-28,30.99,31.03,29.8,31.0
2008-12-01,30.14,30.87,28.59,28.6
2008-12-02,29.6,30.68,29.05,30.6
2008-12-03,29.43,30.47,27.02,28.47
2008-12-04,27.83,28.47,26.0,26.55
2008-12-05,26.73,28.82,26.08,28.72
2008-12-08,28.57,29.67,28.25,28.71
2008-12-09,28.33,28.36,27.18,27.56
2008-12-10,26.6,27.14,25.26,25.56
2008-12-11,25.67,26.03,24.6,24.63
2008-12-12,24.5,25.44,24.08,25.1
2008-12-15,25.48,25.72,24.75,25.4
2008-12-16,25.39,26.98,25.16,26.88
2008-12-17,26.0,26.84,25.55,26.3
2008-12-18,26.84,26.85,25.89,26.44
2008-12-19,26.8,27.22,26.06,26.95
2008-12-22,26.91,27.17,26.3,27.13
2008-12-23,27.15,27.28,26.44,26.77
2008-12-24,27.96,28.39,27.72,28.27
2008-12-26,28.39,28.45,27.83,28.13
2008-12-29,28.19,28.5,27.45,28.18
2008-12-30,28.25,29.8,28.15,29.79
2008-12-31,29.85,32.16,29.7,30.68
