Date,Open,High,Low,Close
1998-09-15,0.0,10.94,10.12,10.5
1998-09-16,0.0,10.81,10.22,10.44
1998-09-17,0.0,10.38,9.75,10.03
1998-09-18,0.0,10.88,9.97,10.69
1998-09-21,0.0,10.75,10.25,10.69
1998-09-22,0.0,11.69,10.69,11.62
1998-09-23,0.0,12.25,11.28,12.12
1998-09-24,0.0,12.0,11.03,11.5
1998-09-25,0.0,11.5,11.03,11.41
1998-09-28,0.0,12.12,11.38,11.75
1998-09-29,0.0,11.75,11.19,11.5
1998-09-30,0.0,11.5,9.69,9.72
1998-10-01,0.0,10.38,9.5,9.91
1998-10-02,0.0,10.19,8.91,9.53
1998-10-05,0.0,9.28,8.81,8.88
1998-10-06,0.0,9.5,8.47,8.69
1998-10-07,0.0,8.84,8.0,8.0
1998-10-08,0.0,7.91,6.91,7.59
1998-10-09,0.0,9.34,7.69,8.53
1998-10-12,0.0,9.62,8.75,9.56
1998-10-13,0.0,9.5,9.06,9.28
1998-10-14,0.0,10.0,9.28,9.5
1998-10-15,0.0,9.84,9.28,9.84
1998-10-16,0.0,10.66,9.94,10.22
1998-10-19,0.0,10.44,10.22,10.31
1998-10-20,0.0,11.19,10.31,10.47
1998-10-21,0.0,10.72,10.31,10.56
1998-10-22,0.0,11.91,10.19,11.8
1998-10-23,0.0,11.88,10.75,11.0
1998-10-26,0.0,11.12,10.41,10.67
1998-10-27,0.0,11.69,10.81,11.28
1998-10-28,0.0,11.81,11.19,11.81
1998-10-29,0.0,11.81,11.41,11.5
1998-10-30,0.0,11.75,11.19,11.25
1998-11-02,0.0,12.34,11.25,12.25
1998-11-03,0.0,12.5,12.06,12.22
1998-11-04,0.0,12.53,12.19,12.38
1998-11-05,0.0,12.53,12.19,12.44
1998-11-06,0.0,12.5,12.19,12.5
1998-11-09,0.0,12.56,12.38,12.56
1998-11-10,0.0,13.12,12.44,12.78
1998-11-11,0.0,12.91,12.75,12.88
1998-11-12,0.0,13.09,12.25,12.25
1998-11-13,0.0,12.88,12.22,12.44
1998-11-16,0.0,13.19,12.59,13.12
1998-11-17,0.0,13.88,12.88,13.88
1998-11-18,0.0,14.28,13.47,14.28
1998-11-19,0.0,14.56,13.81,13.94
1998-11-20,0.0,14.38,13.84,14.12
1998-11-23,0.0,14.78,13.94,14.69
1998-11-24,0.0,15.62,14.44,15.5
1998-11-25,0.0,15.88,14.94,15.25
1998-11-27,0.0,17.5,15.38,17.38
1998-11-30,0.0,18.81,15.75,15.78
1998-12-01,0.0,15.91,14.88,15.91
