Date,Open,High,Low,Close
2017-03-20,152.18,152.42,150.49,151.54
2017-03-21,151.9,152.34,148.61,150.11
2017-03-22,152.22,153.94,150.56,152.88
2017-03-23,152.44,153.69,151.65,152.89
2017-03-24,153.22,154.57,152.87,153.74
2017-03-27,152.98,154.49,151.8,153.96
2017-03-28,153.51,154.41,152.34,153.81
2017-03-29,153.57,154.9,153.57,154.72
2017-03-30,154.45,154.99,153.9,154.52
2017-03-31,154.0,155.65,153.69,154.61
2017-04-03,155.07,155.74,153.59,155.28
2017-04-04,156.54,156.54,153.88,155.12
2017-04-05,155.08,157.03,154.1,154.72
2017-04-06,154.59,155.13,153.33,154.56
2017-04-07,154.84,156.14,154.74,155.48
2017-04-10,155.47,156.36,153.99,154.58
2017-04-11,154.24,154.94,153.75,154.69
2017-04-12,155.27,155.35,153.84,154.2
2017-04-13,153.75,155.19,153.38,153.6
2017-04-17,154.28,155.78,153.24,155.28
2017-04-18,155.1,155.99,154.2,155.68
2017-04-19,156.55,157.65,155.86,157.08
2017-04-20,157.81,159.77,156.75,159.52
2017-04-21,159.61,159.92,158.23,159.12
2017-04-24,161.92,162.99,161.18,161.87
2017-04-25,162.39,163.29,162.21,162.43
2017-04-26,162.7,163.37,161.36,162.82
2017-04-27,162.8,163.39,161.19,162.76
2017-04-28,166.02,172.0,165.25,167.73
2017-05-01,168.3,168.3,162.25,163.73
2017-05-02,164.2,164.2,162.39,163.73
2017-05-03,163.73,164.86,160.18,160.28
2017-05-04,160.47,161.02,158.83,160.46
2017-05-05,161.02,162.76,160.11,162.47
2017-05-08,161.89,162.65,160.56,161.66
2017-05-09,160.8,162.25,160.8,162.06
2017-05-10,162.08,163.63,161.55,163.01
2017-05-11,162.07,163.27,161.83,163.17
2017-05-12,163.17,164.0,162.59,163.22
2017-05-15,163.15,164.56,162.71,164.48
2017-05-16,164.9,164.97,163.7,164.72
2017-05-17,163.92,164.06,160.91,161.04
2017-05-18,161.2,162.76,160.51,161.59
2017-05-19,161.75,162.39,160.98,161.63
2017-05-22,161.13,163.25,161.05,162.97
2017-05-23,163.37,164.44,162.68,164.2
2017-05-24,164.57,165.0,163.2,164.6
2017-05-25,165.05,168.43,164.75,167.4
2017-05-26,166.97,168.12,166.58,167.56
2017-05-30,167.44,168.91,167.31,167.93
2017-05-31,168.13,169.23,166.77,168.39
2017-06-01,166.88,169.06,165.19,168.25
2017-06-02,168.56,170.18,168.0,169.86
2017-06-05,170.55,171.51,169.53,169.99
2017-06-06,170.09,172.25,169.34,170.88
2017-06-07,171.24,173.01,170.9,171.94
2017-06-08,172.02,172.86,170.32,171.34
2017-06-09,171.71,172.18,164.23,164.56
2017-06-12,164.35,164.56,156.02,158.22
2017-06-13,159.35,161.63,158.22,161.3
2017-06-14,162.31,164.26,160.25,160.63
2017-06-15,159.77,160.99,157.88,160.57
2017-06-16,160.21,162.75,159.51,160.71
2017-06-19,161.4,164.62,161.19,164.38
2017-06-20,163.9,167.29,163.84,166.02
2017-06-21,166.02,167.07,165.83,166.61
2017-06-22,166.5,167.98,165.44,166.52
2017-06-23,166.5,168.6,165.98,167.35
2017-06-26,168.28,168.63,165.79,165.97
2017-06-27,165.57,165.78,162.28,162.44
2017-06-28,162.92,164.93,162.44,164.65
2017-06-29,164.22,164.22,159.0,160.54
2017-06-30,161.47,162.84,160.58,161.42
2017-07-03,162.39,163.76,159.17,159.32
2017-07-05,159.51,161.97,159.45,161.38
2017-07-06,160.23,160.99,157.77,159.26
2017-07-07,159.82,162.36,159.55,161.43
