Date,Open,High,Low,Close
2006-02-01,45.85,45.98,42.89,43.22
2006-02-02,43.0,43.85,42.14,42.42
2006-02-03,39.18,41.52,37.12,38.23
2006-02-06,38.17,38.95,32.79,35.56
2006-02-07,34.65,36.2,32.94,33.5
2006-02-08,33.53,33.53,31.37,32.65
2006-02-09,32.56,34.58,32.34,33.83
2006-02-10,33.86,34.82,33.53,34.39
2006-02-13,34.47,34.82,33.28,33.67
2006-02-14,33.78,34.42,33.49,34.07
2006-02-15,33.84,34.5,33.47,34.06
2006-02-16,34.06,34.27,33.05,33.63
2006-02-17,33.42,33.67,32.26,32.31
2006-02-21,32.17,32.26,29.67,30.44
2006-02-22,30.12,31.53,29.85,31.08
2006-02-23,31.19,31.19,30.08,30.3
2006-02-24,29.65,31.98,29.63,31.6
2006-02-27,31.79,32.06,31.06,31.44
2006-02-28,31.55,31.62,29.83,30.07
2006-03-01,29.87,30.99,29.7,30.8
2006-03-02,30.64,31.27,30.18,30.53
2006-03-03,30.5,30.58,30.09,30.12
2006-03-06,30.26,30.94,29.26,29.93
2006-03-07,29.8,29.99,29.04,29.34
2006-03-08,29.07,29.48,28.54,29.33
2006-03-09,29.53,30.0,29.28,29.67
2006-03-10,29.64,31.23,29.45,30.99
2006-03-13,31.0,31.92,30.96,31.36
2006-03-14,31.34,32.0,31.1,31.46
2006-03-15,31.58,31.72,31.25,31.57
2006-03-16,31.71,33.2,31.43,32.79
2006-03-17,32.95,34.95,32.84,34.72
2006-03-20,34.77,35.88,34.17,34.97
2006-03-21,35.0,35.45,34.25,34.45
2006-03-22,34.19,35.86,34.01,35.68
2006-03-23,35.82,36.42,35.37,36.35
2006-03-24,36.51,37.48,36.11,37.35
2006-03-27,37.47,39.93,37.19,39.7
2006-03-28,39.84,40.72,39.02,39.65
2006-03-29,39.83,40.22,38.45,38.9
2006-03-30,38.58,40.01,38.47,39.55
2006-03-31,39.51,40.46,39.0,39.33
2006-04-03,39.95,39.96,37.83,38.0
2006-04-04,37.82,38.79,37.17,37.35
2006-04-05,37.46,37.83,36.85,37.29
2006-04-06,37.16,37.94,37.0,37.21
2006-04-07,37.5,37.83,36.05,36.25
2006-04-10,36.12,37.17,36.12,36.91
2006-04-11,36.9,37.22,35.04,35.34
2006-04-12,35.18,36.23,35.06,35.34
2006-04-13,34.91,35.82,33.71,35.36
2006-04-17,35.26,35.65,34.27,34.79
2006-04-18,34.65,35.98,34.65,35.69
2006-04-19,35.96,36.48,35.09,35.48
2006-04-20,35.42,36.39,35.23,35.99
2006-04-21,36.29,36.29,35.49,35.61
2006-04-24,35.73,36.92,35.6,36.33
2006-04-25,36.19,36.66,35.33,35.88
2006-04-26,36.0,36.23,35.02,35.97
2006-04-27,35.66,35.95,34.06,34.39
2006-04-28,40.54,42.7,39.69,42.33
2006-05-01,42.72,43.29,41.7,41.98
2006-05-02,42.21,43.13,41.28,41.55
2006-05-03,42.11,42.11,40.51,41.11
2006-05-04,40.95,42.91,40.93,42.65
2006-05-05,42.92,43.51,42.42,42.61
2006-05-08,42.84,42.84,42.02,42.18
2006-05-09,41.92,42.93,41.92,42.76
2006-05-10,42.55,44.0,42.38,42.94
2006-05-11,42.84,43.23,41.45,41.67
2006-05-12,41.43,41.66,38.92,39.34
2006-05-15,38.77,40.59,38.76,40.2
2006-05-16,40.38,40.91,39.43,40.26
2006-05-17,39.75,40.1,38.39,38.48
2006-05-18,38.75,39.48,37.5,37.69
2006-05-19,38.0,39.37,37.33,38.64
2006-05-22,38.41,38.45,37.06,37.87
2006-05-23,38.26,38.6,36.39,36.52
2006-05-24,36.45,37.29,34.49,36.34
2006-05-25,36.62,37.73,35.69,36.9
2006-05-26,37.0,37.94,36.52,37.59
2006-05-30,37.5,37.52,35.92,35.98
2006-05-31,36.21,37.27,35.87,37.1
2006-06-01,37.32,37.96,36.61,37.96
2006-06-02,39.09,39.57,38.17,39.03
2006-06-05,38.74,38.98,36.5,36.62
2006-06-06,36.72,37.06,35.33,36.02
2006-06-07,36.55,39.01,36.53,37.67
2006-06-08,37.46,38.23,36.67,38.12
2006-06-09,38.67,38.8,36.85,37.09
2006-06-12,36.93,37.69,36.79,36.83
2006-06-13,36.69,37.1,35.15,35.48
2006-06-14,35.41,36.1,34.71,35.4
2006-06-15,35.89,36.17,35.44,35.95
2006-06-16,35.85,35.92,34.57,34.92
2006-06-19,34.97,34.97,32.84,33.27
