Date,Open,High,Low,Close
1995-12-18,0.0,21.25,20.62,20.62
1995-12-19,0.0,21.19,20.62,20.94
1995-12-20,0.0,22.0,21.0,21.62
1995-12-21,0.0,23.25,21.56,22.5
1995-12-22,0.0,23.88,22.25,23.03
1995-12-26,0.0,24.0,23.0,23.81
1995-12-27,0.0,24.0,23.25,23.25
1995-12-28,0.0,23.38,22.12,23.0
1995-12-29,0.0,24.12,22.0,23.94
1996-01-02,0.0,23.88,23.0,23.31
1996-01-03,0.0,23.62,22.75,23.19
1996-01-04,0.0,23.38,21.12,21.38
1996-01-05,0.0,22.25,21.25,22.06
1996-01-08,0.0,22.38,22.0,22.0
1996-01-09,0.0,22.25,20.25,20.25
1996-01-10,0.0,20.62,19.75,20.38
1996-01-11,0.0,23.12,21.0,23.0
1996-01-12,0.0,23.75,22.12,23.62
1996-01-15,0.0,23.62,22.75,23.0
1996-01-16,0.0,23.88,23.12,23.25
1996-01-17,0.0,23.75,22.12,23.28
1996-01-18,0.0,24.75,23.38,24.38
1996-01-19,0.0,25.12,23.88,25.0
1996-01-22,0.0,26.88,24.88,26.81
1996-01-23,0.0,27.0,25.88,26.0
1996-01-24,0.0,26.38,24.75,26.25
1996-01-25,0.0,26.62,26.0,26.25
1996-01-26,0.0,26.75,25.75,26.5
1996-01-29,0.0,27.75,26.12,27.75
1996-01-30,0.0,29.12,27.62,28.44
1996-01-31,0.0,28.62,27.62,27.62
1996-02-01,0.0,28.38,27.38,27.56
1996-02-02,0.0,28.12,27.38,28.06
1996-02-05,0.0,28.12,27.62,27.88
1996-02-06,0.0,28.25,27.75,27.88
1996-02-07,0.0,28.12,26.75,26.88
1996-02-08,0.0,27.0,25.5,26.25
1996-02-09,0.0,27.38,26.12,27.12
1996-02-12,0.0,27.88,26.62,27.88
1996-02-13,0.0,28.25,27.0,27.62
1996-02-14,0.0,28.38,27.62,28.12
1996-02-15,0.0,28.62,28.0,28.5
1996-02-16,0.0,28.88,28.12,28.72
1996-02-20,0.0,28.88,28.0,28.0
1996-02-21,0.0,28.5,27.88,28.0
1996-02-22,0.0,28.5,27.88,28.0
1996-02-23,0.0,28.88,28.12,28.75
1996-02-26,0.0,29.12,28.12,28.5
1996-02-27,0.0,28.88,27.75,27.75
1996-02-28,0.0,27.88,26.88,27.44
1996-02-29,0.0,27.5,27.0,27.06
1996-03-01,0.0,27.38,25.75,26.38
1996-03-04,0.0,27.38,26.12,26.88
1996-03-05,0.0,27.25,26.5,26.88
1996-03-06,0.0,27.38,26.75,27.12
1996-03-07,0.0,27.62,27.12,27.5
1996-03-08,0.0,27.5,26.25,27.19
1996-03-11,0.0,27.5,26.88,27.25
1996-03-12,0.0,27.5,26.75,27.0
1996-03-13,0.0,28.75,27.0,28.38
1996-03-14,0.0,30.12,28.38,29.75
1996-03-15,0.0,32.0,29.75,32.0
1996-03-18,0.0,33.12,31.88,33.0
1996-03-19,0.0,33.0,31.62,31.62
1996-03-20,0.0,31.75,30.62,31.12
1996-03-21,0.0,32.62,31.0,31.0
1996-03-22,0.0,31.38,30.0,30.25
1996-03-25,0.0,30.25,28.38,28.5
1996-03-26,0.0,31.12,28.38,30.88
1996-03-27,0.0,32.12,30.62,31.25
1996-03-28,0.0,31.38,30.0,30.0
1996-03-29,0.0,31.12,30.0,30.5
1996-04-01,0.0,32.75,30.5,31.75
1996-04-02,0.0,34.88,31.25,32.25
1996-04-03,0.0,34.0,31.5,34.0
1996-04-04,0.0,35.75,33.75,35.5
1996-04-08,0.0,35.5,34.25,34.5
1996-04-09,0.0,35.5,34.75,35.12
1996-04-10,0.0,35.75,34.0,34.5
1996-04-11,0.0,35.25,33.5,35.0
1996-04-12,0.0,36.25,34.75,35.38
1996-04-15,0.0,35.75,33.75,34.0
1996-04-16,0.0,34.75,33.75,34.0
1996-04-17,0.0,35.0,32.25,33.62
1996-04-18,0.0,35.25,34.0,34.25
1996-04-19,0.0,35.25,34.0,35.25
1996-04-22,0.0,35.5,33.25,33.5
1996-04-23,0.0,34.0,32.0,33.5
1996-04-24,0.0,35.0,33.25,34.75
1996-04-25,0.0,34.75,33.5,34.25
1996-04-26,0.0,34.5,33.25,34.25
1996-04-29,0.0,35.25,33.5,34.75
1996-04-30,0.0,34.75,33.5,34.25
1996-05-01,0.0,35.5,34.25,35.0
1996-05-02,0.0,35.25,33.75,34.0
