Date,Open,High,Low,Close
2017-02-07,99.8,100.12,98.23,98.51
2017-02-08,97.94,98.46,96.51,98.19
2017-02-09,98.33,99.6,98.27,98.82
2017-02-10,98.56,100.54,98.56,100.37
2017-02-13,100.6,101.23,99.76,100.36
2017-02-14,100.38,100.74,99.42,99.5
2017-02-15,99.45,100.79,99.45,100.67
2017-02-16,100.73,100.97,99.76,100.71
2017-02-17,100.64,101.07,99.83,101.04
2017-02-21,101.0,101.23,100.47,100.82
2017-02-22,100.79,101.22,98.08,98.34
2017-02-23,98.48,98.82,97.04,97.31
2017-02-24,97.09,100.18,96.66,99.82
2017-02-27,99.43,100.17,99.0,100.12
2017-02-28,100.26,100.26,98.12,98.17
2017-03-01,98.82,100.33,98.82,100.14
2017-03-02,99.87,99.96,97.62,97.85
2017-03-03,97.93,98.19,97.23,97.85
2017-03-06,97.65,98.74,97.4,98.55
2017-03-07,98.19,98.58,96.51,96.6
2017-03-08,96.5,97.26,96.01,96.77
2017-03-09,96.85,97.38,95.71,96.18
2017-03-10,96.79,97.09,96.04,96.65
2017-03-13,96.61,96.98,95.06,95.25
2017-03-14,95.06,95.06,93.36,94.44
2017-03-15,94.77,95.48,94.39,95.09
2017-03-16,95.09,95.41,94.28,94.46
2017-03-17,94.93,94.93,93.42,93.95
2017-03-20,93.99,93.99,92.63,92.91
2017-03-21,93.17,93.19,91.3,91.61
2017-03-22,91.92,92.31,91.19,91.7
2017-03-23,91.61,91.85,90.71,90.81
2017-03-24,91.16,91.75,89.92,90.27
2017-03-27,89.04,90.66,88.7,90.55
2017-03-28,90.6,92.95,89.42,92.34
2017-03-29,91.85,92.26,90.41,91.16
2017-03-30,90.88,92.0,90.88,91.9
2017-03-31,91.42,92.16,90.99,91.74
2017-04-03,92.04,92.52,90.36,90.38
2017-04-04,90.29,92.0,90.21,91.96
2017-04-05,92.29,93.28,92.04,92.36
2017-04-06,92.34,93.06,91.57,92.25
2017-04-07,92.11,92.11,91.02,91.08
2017-04-10,91.59,94.08,91.59,93.22
2017-04-11,91.43,91.64,90.21,91.61
2017-04-12,91.65,91.89,90.09,90.16
