Date,Open,High,Low,Close
2014-05-22,21.75,22.799999,20.24,20.9
2014-05-23,21.25,21.25,19.940001000000002,20.1
2014-05-27,20.1,22.98,20.1,22.969998999999998
2014-05-28,22.98,25.299999,22.799999,24.780001000000002
2014-05-29,25.040001,25.690001000000002,24.24,25.4
2014-05-30,25.27,25.559998999999998,23.790001,25.0
2014-06-02,25.4,25.440001000000002,24.07,24.6
2014-06-03,24.17,25.25,24.030001000000002,25.1
2014-06-04,24.99,25.280001000000002,24.440001000000002,24.540001
2014-06-05,24.799999,26.75,24.6,25.780001000000002
2014-06-06,26.5,27.040001,26.309998999999998,26.58
2014-06-09,27.0,29.09,26.58,28.43
2014-06-10,28.82,28.860001,27.700001,28.35
2014-06-11,28.1,29.49,28.1,29.0
2014-06-12,29.59,29.6,26.34,27.17
2014-06-13,27.68,28.200001,27.129998999999998,27.790001
2014-06-16,27.219998999999998,27.440001000000002,26.379998999999998,26.889999
2014-06-17,27.219998999999998,27.450001,26.629998999999998,27.018998999999997
2014-06-18,27.440001000000002,27.889999,26.030001000000002,26.52
2014-06-19,27.0,27.0,25.799999,25.83
2014-06-20,25.75,25.969998999999998,24.92,25.450001
2014-06-23,25.110001,26.459999,25.1,26.370001000000002
2014-06-24,26.51,27.34,26.51,27.040001
2014-06-25,27.25,27.35,26.450001,27.07
2014-06-26,27.139999,28.35,26.809998999999998,28.299999
2014-06-27,28.360001,28.5,27.709999,28.01
2014-06-30,28.17,28.530001000000002,27.68,28.51
2014-07-01,29.0,31.219998999999998,28.860001,29.690001000000002
2014-07-02,30.4,30.41,28.5,28.959999
2014-07-03,29.280001000000002,29.35,27.530001000000002,27.790001
2014-07-07,28.01,28.73,27.450001,27.629998999999998
2014-07-08,28.08,28.08,25.809998999999998,26.469998999999998
2014-07-09,27.09,27.15,26.049999,26.360001
2014-07-10,25.83,27.796,25.280001000000002,27.700001
2014-07-11,27.51,27.9,26.85,27.040001
2014-07-14,27.629998999999998,28.23,27.5,28.040001
2014-07-15,28.200001,28.4,27.75,28.209999
