Date,Open,High,Low,Close
2013-06-05,124.91,125.54,121.28,121.63
2013-06-06,121.06,124.78,120.14,124.73
2013-06-07,125.06,128.65,124.05,127.68
2013-06-10,128.32,128.32,125.18,125.77
2013-06-11,124.76,125.66,123.71,124.03
2013-06-12,124.41,125.16,120.13,120.85
2013-06-13,120.46,124.53,119.86,123.86
2013-06-14,123.78,126.7,122.95,125.0
2013-06-17,125.48,127.39,124.78,126.75
2013-06-18,127.38,130.64,127.03,130.01
2013-06-19,130.21,130.91,127.83,128.12
2013-06-20,127.79,127.95,123.8,125.0
2013-06-21,125.17,126.31,122.37,123.29
2013-06-24,122.9,123.0,120.39,122.33
2013-06-25,123.74,124.38,122.11,122.74
2013-06-26,124.33,125.03,122.89,124.36
2013-06-27,125.59,127.79,125.26,127.13
2013-06-28,126.05,129.2,126.05,126.76
2013-07-01,127.35,128.55,126.37,127.67
2013-07-02,128.37,130.2,128.27,129.4
2013-07-03,128.58,130.41,127.51,129.21
2013-07-05,130.5,130.64,128.4,129.56
2013-07-08,130.82,132.44,130.09,131.91
2013-07-09,132.8,135.03,132.4,134.14
2013-07-10,134.42,136.71,132.6,135.06
2013-07-11,136.15,140.99,135.24,136.18
2013-07-12,136.73,138.47,136.17,137.96
2013-07-15,137.85,139.31,137.75,139.19
2013-07-16,138.71,140.0,136.58,138.7
2013-07-17,140.73,140.73,137.31,138.12
2013-07-18,137.81,140.92,137.81,140.83
2013-07-19,141.72,142.77,139.84,140.64
2013-07-22,143.06,143.07,140.84,141.79
2013-07-23,141.91,143.35,140.36,141.89
2013-07-24,142.16,143.67,139.42,139.89
2013-07-25,140.24,142.98,139.95,142.77
2013-07-26,142.58,144.51,141.48,144.46
2013-07-29,144.07,145.45,143.33,144.6
2013-07-30,144.75,145.27,141.96,142.55
2013-07-31,144.02,145.0,142.73,143.73
2013-08-01,144.49,145.88,143.58,144.04
2013-08-02,144.5,148.15,143.08,147.84
2013-08-05,148.18,148.18,144.12,145.31
2013-08-06,145.49,149.02,142.47,143.95
2013-08-07,143.94,144.77,141.56,142.66
2013-08-08,144.04,146.99,140.43,144.55
2013-08-09,144.14,145.47,141.65,143.9
2013-08-12,143.39,145.0,141.71,143.96
2013-08-13,144.99,145.22,143.13,143.88
2013-08-14,143.2,144.09,142.11,142.44
2013-08-15,141.03,142.99,138.55,140.03
2013-08-16,139.96,142.09,139.0,140.57
2013-08-19,140.5,142.15,137.99,138.3
2013-08-20,138.73,140.39,137.64,139.42
2013-08-21,139.37,140.2,137.9,138.25
2013-08-22,138.43,141.39,137.4,139.34
2013-08-23,139.79,141.02,137.71,138.87
2013-08-26,139.03,141.76,139.03,140.19
2013-08-27,139.09,139.98,136.2,136.64
2013-08-28,136.69,138.56,136.26,137.42
2013-08-29,136.9,138.59,136.27,137.65
2013-08-30,137.99,139.79,135.82,136.48
2013-09-03,138.37,140.68,138.01,140.36
2013-09-04,140.09,141.99,138.92,141.31
2013-09-05,142.03,144.27,140.71,143.88
2013-09-06,144.17,144.91,141.8,143.87
2013-09-09,144.68,145.35,143.26,144.24
2013-09-10,145.37,145.91,143.85,145.07
2013-09-11,145.65,146.26,144.58,145.7
2013-09-12,145.58,146.04,142.78,143.24
2013-09-13,144.57,147.0,144.33,145.16
2013-09-16,147.69,148.29,144.5,145.25
2013-09-17,145.73,148.17,145.25,147.63
2013-09-18,147.66,149.46,145.72,147.99
2013-09-19,148.37,150.06,147.24,149.15
2013-09-20,149.0,150.8,147.85,148.3
2013-09-23,147.91,148.1,145.06,146.16
2013-09-24,146.14,148.09,144.72,145.01
2013-09-25,145.35,145.8,143.23,145.33
2013-09-26,146.37,148.54,144.78,148.01
2013-09-27,146.74,149.41,145.95,149.02
2013-09-30,146.66,148.56,146.16,147.15
2013-10-01,147.56,149.89,147.56,148.57
2013-10-02,148.28,149.29,146.64,149.04
2013-10-03,149.27,149.66,145.44,147.06
2013-10-04,146.91,148.34,146.51,147.2
2013-10-07,145.84,148.13,143.19,147.72
2013-10-08,147.57,148.54,144.08,145.27
2013-10-09,145.5,145.99,143.01,143.31
2013-10-10,145.0,148.89,145.0,146.08
2013-10-11,146.11,153.51,145.72,149.23
2013-10-14,149.12,149.85,147.37,149.66
2013-10-15,149.89,150.02,146.94,148.28
2013-10-16,149.75,153.34,148.75,152.72
2013-10-17,152.55,155.65,152.04,154.98
2013-10-18,155.47,156.53,154.43,154.96
2013-10-21,154.96,157.38,154.84,157.0
2013-10-22,157.42,159.33,155.56,157.73
2013-10-23,158.1,159.11,155.98,156.35
2013-10-24,152.84,156.2,150.1,154.11
2013-10-25,156.48,156.77,149.26,151.38
2013-10-28,151.25,151.28,149.98,150.15
2013-10-29,150.84,151.69,149.56,150.53
2013-10-30,151.34,152.38,149.88,151.11
2013-10-31,150.72,153.29,149.43,152.91
2013-11-01,154.03,157.14,152.64,156.57
2013-11-04,156.38,156.38,153.08,154.03
2013-11-05,153.89,153.95,150.89,152.09
2013-11-06,152.46,154.2,149.07,150.1
2013-11-07,149.97,150.74,146.84,147.5
2013-11-08,147.79,149.98,147.79,149.44
2013-11-11,149.71,151.04,148.41,148.5
2013-11-12,148.06,148.71,146.78,148.03
2013-11-13,147.5,150.82,146.43,150.18
2013-11-14,150.61,150.89,148.73,149.7
2013-11-15,149.53,151.11,147.65,150.65
2013-11-18,150.63,152.02,147.49,147.5
2013-11-19,146.33,147.51,144.08,144.44
2013-11-20,144.78,144.96,143.66,143.97
2013-11-21,144.36,146.98,143.0,144.81
2013-11-22,145.73,151.26,145.01,149.93
2013-11-25,150.95,152.95,150.0,151.46
2013-11-26,151.52,154.76,151.06,154.41
2013-11-27,154.18,155.9,153.71,154.26
2013-11-29,154.54,154.88,152.66,153.46
2013-12-02,153.23,153.4,151.04,153.25
2013-12-03,152.73,154.69,151.25,151.85
2013-12-04,151.02,151.9,148.0,149.29
2013-12-05,148.7,149.63,146.1,147.49
2013-12-06,149.04,149.89,146.71,149.03
2013-12-09,150.8,150.8,147.96,149.3
2013-12-10,148.5,150.96,147.99,150.08
2013-12-11,150.15,150.98,147.25,147.81
2013-12-12,147.05,149.24,146.15,147.43
2013-12-13,148.43,148.95,146.53,147.02
2013-12-16,147.62,148.57,146.0,146.65
2013-12-17,146.33,146.77,144.88,145.06
2013-12-18,144.93,146.48,139.34,145.55
2013-12-19,144.78,145.99,142.32,143.27
2013-12-20,143.55,146.13,142.92,144.95
2013-12-23,145.67,146.88,144.12,145.26
2013-12-24,145.26,145.46,144.2,145.37
2013-12-26,145.12,145.78,144.11,145.16
2013-12-27,145.77,146.97,144.82,146.9
2013-12-30,147.35,147.91,146.08,146.23
2013-12-31,145.96,147.52,145.69,146.29
2014-01-02,146.0,146.0,142.67,144.44
2014-01-03,144.67,146.34,144.04,145.33
2014-01-06,144.22,145.5,140.9,142.09
2014-01-07,142.8,143.45,140.28,142.71
2014-01-08,142.92,144.55,139.29,139.54
2014-01-09,140.92,140.92,138.73,140.06
2014-01-10,140.59,141.03,137.55,138.2
2014-01-13,137.38,139.13,134.63,135.2
2014-01-14,134.61,137.35,134.01,136.7
2014-01-15,136.58,137.95,135.28,136.76
2014-01-16,136.23,137.54,135.82,136.82
2014-01-17,136.38,137.8,135.96,137.32
2014-01-21,137.9,138.49,136.38,137.13
2014-01-22,137.31,138.37,136.18,138.31
2014-01-23,136.74,137.58,135.5,137.52
2014-01-24,136.94,136.94,133.43,133.8
2014-01-27,134.15,135.35,131.8,134.47
2014-01-28,134.44,135.38,133.05,134.5
2014-01-29,133.65,135.56,131.61,133.02
2014-01-30,134.29,134.51,131.94,132.15
2014-01-31,130.23,132.93,129.75,131.62
2014-02-03,131.54,132.6,127.62,129.56
2014-02-04,130.47,130.7,127.91,129.86
2014-02-05,129.12,129.14,126.32,127.16
2014-02-06,127.59,129.12,126.98,128.96
2014-02-07,129.62,130.85,127.8,129.6
2014-02-10,130.0,130.66,128.9,129.39
2014-02-11,129.22,133.13,129.0,131.85
2014-02-12,131.77,133.64,131.07,133.0
2014-02-13,128.11,133.48,128.11,133.39
2014-02-14,132.63,135.48,132.51,135.25
2014-02-18,136.26,136.76,134.79,135.71
2014-02-19,135.67,136.7,134.49,135.21
2014-02-20,135.44,137.25,135.01,136.48
2014-02-21,136.52,137.89,135.2,135.87
2014-02-24,135.9,136.58,135.5,135.69
2014-02-25,136.26,136.29,134.63,135.0
2014-02-26,135.5,135.71,133.43,134.31
2014-02-27,134.39,136.22,133.8,136.1
2014-02-28,138.95,138.95,135.75,137.16
2014-03-03,135.45,136.96,134.04,135.18
2014-03-04,136.23,137.67,135.19,135.29
2014-03-05,135.29,136.61,134.94,134.98
2014-03-06,134.79,135.57,133.82,134.56
2014-03-07,135.6,136.57,132.92,133.38
2014-03-10,133.15,134.53,130.93,131.87
2014-03-11,132.01,133.07,129.18,129.5
2014-03-12,128.24,130.17,126.72,128.21
2014-03-13,128.58,129.83,125.69,126.14
