Date,Open,High,Low,Close
1990-01-02,0.0,1.28,1.19,1.25
1990-01-03,0.0,1.25,1.19,1.22
1990-01-04,0.0,1.22,1.11,1.11
1990-01-05,0.0,1.17,1.11,1.11
1990-01-08,0.0,1.14,1.08,1.11
1990-01-09,0.0,1.22,1.11,1.17
1990-01-10,0.0,1.19,1.14,1.19
1990-01-11,0.0,1.22,1.14,1.19
1990-01-12,0.0,1.19,1.14,1.19
1990-01-15,0.0,1.19,1.17,1.19
1990-01-16,0.0,1.28,1.17,1.25
1990-01-17,0.0,1.28,1.22,1.25
1990-01-18,0.0,1.25,1.19,1.25
1990-01-19,0.0,1.28,1.22,1.25
1990-01-22,0.0,1.3,1.19,1.19
1990-01-23,0.0,1.25,1.19,1.25
1990-01-24,0.0,1.22,1.17,1.19
1990-01-25,0.0,1.22,1.17,1.17
1990-01-26,0.0,1.19,1.14,1.17
1990-01-29,0.0,1.19,1.14,1.19
1990-01-30,0.0,1.19,1.14,1.19
1990-01-31,0.0,1.22,1.17,1.19
1990-02-01,0.0,1.25,1.17,1.22
1990-02-02,0.0,1.28,1.22,1.28
1990-02-05,0.0,1.28,1.25,1.28
1990-02-06,0.0,1.25,1.22,1.25
1990-02-07,0.0,1.28,1.22,1.28
1990-02-08,0.0,1.3,1.25,1.28
1990-02-09,0.0,1.42,1.28,1.42
1990-02-12,0.0,1.53,1.36,1.47
1990-02-13,0.0,1.5,1.42,1.42
1990-02-14,0.0,1.47,1.36,1.36
1990-02-15,0.0,1.44,1.39,1.44
1990-02-16,0.0,1.44,1.39,1.42
1990-02-20,0.0,1.39,1.3,1.36
1990-02-21,0.0,1.47,1.28,1.42
1990-02-22,0.0,1.5,1.42,1.44
1990-02-23,0.0,1.5,1.44,1.5
1990-02-26,0.0,1.5,1.44,1.5
1990-02-27,0.0,1.5,1.44,1.44
1990-02-28,0.0,1.47,1.39,1.44
1990-03-01,0.0,1.5,1.39,1.44
1990-03-02,0.0,1.44,1.44,1.44
1990-03-05,0.0,1.47,1.44,1.47
1990-03-06,0.0,1.5,1.44,1.5
1990-03-07,0.0,1.5,1.44,1.47
1990-03-08,0.0,1.5,1.47,1.47
1990-03-09,0.0,1.5,1.44,1.47
1990-03-12,0.0,1.47,1.3,1.3
1990-03-13,0.0,1.36,1.22,1.25
