Date,Open,High,Low,Close
2013-11-18,47.07,47.3,46.78,46.98
2013-11-19,46.84,46.89,46.02,46.33
2013-11-20,46.52,46.75,46.03,46.26
2013-11-21,46.49,47.13,46.27,46.91
2013-11-22,47.03,47.17,46.81,46.92
2013-11-25,46.83,47.05,46.53,46.63
2013-11-26,46.46,47.34,46.46,47.18
2013-11-27,47.2,47.3,46.88,46.93
2013-11-29,47.12,47.17,46.86,47.02
2013-12-02,47.0,47.02,46.37,46.5
2013-12-03,46.08,46.5,45.85,46.02
2013-12-04,45.44,46.18,45.25,45.91
2013-12-05,45.92,46.07,45.57,45.62
2013-12-06,46.64,46.7,45.96,46.23
2013-12-09,46.46,46.89,46.42,46.56
2013-12-10,46.61,46.73,46.45,46.57
2013-12-11,46.5,46.56,45.85,46.01
2013-12-12,45.92,46.34,45.83,46.02
2013-12-13,46.35,46.69,46.0,46.57
2013-12-16,46.8,47.45,46.61,47.08
2013-12-17,46.95,47.15,46.42,46.84
2013-12-18,46.88,47.9,46.52,47.87
2013-12-19,47.6,47.87,47.31,47.72
2013-12-20,47.96,48.32,47.87,48.15
2013-12-23,48.09,48.82,48.06,48.28
2013-12-24,48.05,48.69,48.05,48.67
2013-12-26,49.71,49.84,48.59,48.91
2013-12-27,48.99,49.02,48.68,48.78
2013-12-30,49.08,49.12,48.6,49.01
2013-12-31,49.0,49.44,49.0,49.35
2014-01-02,49.03,49.26,48.57,48.96
2014-01-03,49.0,49.17,48.64,48.65
2014-01-06,48.83,48.9,48.25,48.45
2014-01-07,48.65,49.13,48.48,48.66
2014-01-08,48.76,49.18,48.73,49.13
2014-01-09,49.13,49.21,48.81,48.99
2014-01-10,49.14,49.29,48.74,49.28
2014-01-13,49.63,49.63,48.59,48.75
2014-01-14,48.78,49.43,48.56,49.34
2014-01-15,49.36,49.89,48.85,49.82
2014-01-16,49.89,50.6,49.52,50.56
2014-01-17,50.32,50.86,50.22,50.62
2014-01-21,51.44,51.5,50.76,50.79
2014-01-22,51.01,51.53,50.8,51.17
2014-01-23,50.61,51.16,50.32,50.58
