Date,Open,High,Low,Close
1997-06-12,0.0,20.22,19.69,20.0
1997-06-13,0.0,20.41,19.75,20.12
1997-06-16,0.0,20.38,20.0,20.31
1997-06-17,0.0,20.38,20.12,20.12
1997-06-18,0.0,20.31,19.94,20.12
1997-06-19,0.0,20.12,19.19,19.59
1997-06-20,0.0,19.38,18.62,18.69
1997-06-23,0.0,19.31,18.0,19.12
1997-06-24,0.0,19.25,18.75,18.88
1997-06-25,0.0,19.06,17.5,17.78
1997-06-26,0.0,18.5,17.06,17.34
1997-06-27,0.0,18.25,17.31,17.81
1997-06-30,0.0,19.12,17.94,18.0
1997-07-01,0.0,19.44,18.06,19.31
1997-07-02,0.0,20.44,19.44,20.0
1997-07-03,0.0,20.69,20.25,20.38
1997-07-07,0.0,20.5,19.5,19.81
1997-07-08,0.0,20.0,19.5,19.88
1997-07-09,0.0,21.62,20.06,20.38
1997-07-10,0.0,21.22,20.12,21.0
1997-07-11,0.0,21.31,20.84,21.16
1997-07-14,0.0,21.31,20.94,21.06
1997-07-15,0.0,22.69,21.06,22.56
1997-07-16,0.0,24.28,22.44,24.25
1997-07-17,0.0,24.38,23.69,23.97
1997-07-18,0.0,24.06,23.62,23.88
1997-07-21,0.0,24.25,23.75,24.16
1997-07-22,0.0,24.25,23.69,23.78
1997-07-23,0.0,25.0,23.69,25.0
1997-07-24,0.0,24.97,24.31,24.69
1997-07-25,0.0,24.81,24.25,24.56
1997-07-28,0.0,24.56,24.06,24.14
1997-07-29,0.0,24.25,23.69,23.78
1997-07-30,0.0,24.62,23.69,24.56
1997-07-31,0.0,24.94,24.31,24.81
1997-08-01,0.0,25.38,24.75,24.81
1997-08-04,0.0,24.88,24.38,24.62
1997-08-05,0.0,25.38,24.5,24.88
1997-08-06,0.0,25.88,24.88,25.5
1997-08-07,0.0,25.5,24.88,24.91
1997-08-08,0.0,25.0,24.38,24.62
1997-08-11,0.0,24.88,24.25,24.62
1997-08-12,0.0,25.5,24.38,24.81
1997-08-13,0.0,25.12,24.38,24.62
1997-08-14,0.0,25.12,24.44,24.81
1997-08-15,0.0,25.03,24.5,25.0
1997-08-18,0.0,25.19,24.56,24.7
1997-08-19,0.0,25.06,24.56,24.81
1997-08-20,0.0,26.0,24.81,25.81
1997-08-21,0.0,26.06,25.31,25.38
1997-08-22,0.0,25.56,25.0,25.53
1997-08-25,0.0,25.94,25.31,25.44
1997-08-26,0.0,25.62,25.12,25.53
1997-08-27,0.0,25.81,25.38,25.81
1997-08-28,0.0,25.88,25.56,25.75
1997-08-29,0.0,25.88,25.56,25.88
1997-09-02,0.0,26.0,25.75,25.88
1997-09-03,0.0,26.06,25.75,25.88
1997-09-04,0.0,26.38,25.88,26.22
1997-09-05,0.0,26.56,26.19,26.38
1997-09-08,0.0,26.81,26.31,26.56
1997-09-09,0.0,26.62,26.25,26.38
1997-09-10,0.0,26.5,26.12,26.22
1997-09-11,0.0,26.5,26.06,26.5
1997-09-12,0.0,26.62,26.31,26.5
