Date,Open,High,Low,Close
2015-12-21,37.67,37.76,37.2,37.66
2015-12-22,37.76,37.98,37.05,37.3
2015-12-23,37.46,37.81,37.02,37.59
2015-12-24,37.46,38.0,37.46,37.87
2015-12-28,37.81,38.0,37.33,37.84
2015-12-29,37.9,38.93,37.82,38.79
2015-12-30,38.77,38.85,37.91,38.41
2015-12-31,38.24,38.48,38.0,38.0
2016-01-04,37.3,37.42,36.29,36.67
2016-01-05,36.78,37.32,36.19,36.23
2016-01-06,35.74,35.99,35.05,35.18
2016-01-07,34.49,34.57,33.81,34.26
2016-01-08,34.53,34.68,32.21,32.33
2016-01-11,32.45,33.44,32.45,33.06
2016-01-12,33.36,33.64,32.99,33.15
2016-01-13,33.27,33.64,32.09,32.11
2016-01-14,32.36,32.74,32.06,32.31
2016-01-15,30.43,32.01,30.28,31.99
2016-01-19,32.3,32.35,30.88,31.07
2016-01-20,31.0,31.59,30.71,31.16
2016-01-21,31.55,31.79,30.92,31.03
2016-01-22,32.08,33.36,31.84,32.19
2016-01-25,31.85,32.07,31.24,31.63
2016-01-26,31.5,32.62,31.5,32.37
2016-01-27,32.12,32.42,31.69,32.05
2016-01-28,31.21,32.66,30.33,32.22
2016-01-29,32.55,33.42,32.41,33.4
2016-02-01,33.28,33.7,33.0,33.5
2016-02-02,33.1,33.48,32.3,32.39
2016-02-03,32.74,33.13,31.93,32.36
2016-02-04,32.37,32.88,31.75,32.09
2016-02-05,31.99,32.33,30.99,31.27
2016-02-08,30.77,31.33,30.35,30.74
2016-02-09,30.51,31.56,30.31,31.12
2016-02-10,31.19,31.93,31.14,31.15
2016-02-11,30.51,32.19,30.48,32.0
2016-02-12,32.18,32.52,31.56,32.45
2016-02-16,32.23,33.47,32.23,33.42
2016-02-17,33.37,33.98,33.21,33.66
2016-02-18,33.66,33.8,32.99,33.0
2016-02-19,32.95,33.19,32.68,32.99
2016-02-22,33.32,33.6,32.95,33.45
2016-02-23,33.26,33.35,32.72,32.78
2016-02-24,32.51,33.5,32.01,33.48
2016-02-25,33.52,34.03,33.28,34.03
2016-02-26,34.1,34.16,33.81,33.9
2016-02-29,34.01,34.32,33.85,33.86
2016-03-01,34.09,34.35,33.5,34.22
2016-03-02,34.18,34.87,34.0,34.82
2016-03-03,34.77,34.88,34.02,34.15
2016-03-04,34.4,34.78,34.02,34.47
2016-03-07,34.31,34.6,33.68,34.06
2016-03-08,33.95,34.09,33.18,33.2
2016-03-09,33.51,33.95,33.0,33.74
2016-03-10,33.96,34.18,33.3,33.77
2016-03-11,34.25,34.69,33.76,34.64
2016-03-14,34.57,34.7,34.02,34.4
2016-03-15,34.19,34.47,33.82,34.45
2016-03-16,34.36,35.03,34.19,35.0
2016-03-17,34.9,35.44,34.89,35.26
2016-03-18,35.38,35.45,34.98,35.28
2016-03-21,35.13,35.58,35.0,35.32
2016-03-22,35.0,35.57,34.9,35.47
2016-03-23,35.48,35.62,35.01,35.34
2016-03-24,35.21,35.62,35.06,35.62
2016-03-28,35.64,35.81,35.38,35.55
2016-03-29,35.46,36.32,35.35,36.17
2016-03-30,36.28,36.56,36.08,36.54
2016-03-31,36.68,37.13,36.46,36.78
2016-04-01,36.28,36.62,36.04,36.61
2016-04-04,36.68,36.77,36.31,36.63
2016-04-05,36.38,36.88,36.1,36.27
2016-04-06,36.23,36.91,36.02,36.8
2016-04-07,36.7,36.8,36.11,36.37
2016-04-08,36.99,37.38,36.63,36.65
2016-04-11,36.71,37.04,36.51,36.52
2016-04-12,36.63,36.76,36.15,36.35
2016-04-13,36.66,37.47,36.47,37.32
2016-04-14,37.03,37.03,36.08,36.81
2016-04-15,36.73,36.94,36.32,36.56
2016-04-18,36.4,36.91,36.4,36.72
2016-04-19,36.67,36.7,35.49,35.88
2016-04-20,35.85,36.63,35.76,36.33
2016-04-21,36.25,36.64,36.11,36.52
2016-04-22,37.5,37.57,36.63,37.31
2016-04-25,37.31,37.94,37.14,37.57
2016-04-26,37.76,38.27,37.19,37.45
2016-04-27,37.35,37.96,37.09,37.66
2016-04-28,37.36,38.0,36.79,36.89
2016-04-29,36.61,36.62,35.51,35.72
2016-05-02,35.85,36.46,35.48,36.41
2016-05-03,36.05,36.32,35.92,36.07
2016-05-04,35.92,36.02,35.49,35.59
2016-05-05,35.82,35.92,35.12,35.69
