Date,Open,High,Low,Close
2015-03-02,58.0,58.36,57.05,57.89
2015-03-03,56.76,57.2,55.0,55.44
2015-03-04,55.79,55.95,54.89,55.6
2015-03-05,56.26,58.26,56.09,56.68
2015-03-06,56.43,56.64,55.17,55.44
2015-03-09,55.76,56.0,55.14,55.74
2015-03-10,55.27,55.94,54.81,55.3
2015-03-11,55.64,59.92,55.25,59.0
2015-03-12,59.07,62.45,59.05,62.3
2015-03-13,61.26,61.39,59.19,59.76
2015-03-16,60.36,61.3,59.94,61.27
2015-03-17,60.47,62.84,60.47,62.72
2015-03-18,62.41,65.63,62.06,64.96
2015-03-19,64.44,64.75,62.9,63.94
2015-03-20,64.37,64.57,63.06,63.06
2015-03-23,63.15,64.3,62.11,63.28
2015-03-24,63.04,64.06,62.94,63.09
2015-03-25,62.88,63.97,60.93,61.23
2015-03-26,60.41,63.02,60.02,61.88
2015-03-27,61.88,62.45,61.29,61.63
2015-03-30,58.8,60.06,57.62,60.0
2015-03-31,59.56,60.4,58.9,59.35
2015-04-01,58.44,58.52,57.46,57.94
2015-04-02,58.37,58.65,58.02,58.1
2015-04-06,58.12,58.76,58.0,58.48
2015-04-07,58.98,59.74,58.4,59.57
2015-04-08,60.17,70.21,60.0,68.36
2015-04-09,67.95,72.62,67.51,70.1
2015-04-10,69.87,70.44,68.3,70.24
2015-04-13,69.72,71.1,68.32,68.56
2015-04-14,68.36,69.37,67.74,68.62
2015-04-15,68.49,68.74,66.71,66.77
2015-04-16,67.02,68.47,66.15,66.84
2015-04-17,66.48,72.16,66.31,69.82
2015-04-20,69.64,69.81,67.21,68.04
2015-04-21,74.3,74.9,72.99,74.07
2015-04-22,75.0,75.4,71.12,72.4
2015-04-23,72.33,73.82,72.01,73.69
2015-04-24,73.58,76.68,72.71,76.06
2015-04-27,75.4,75.4,71.21,71.72
2015-04-28,72.5,74.13,71.45,72.71
2015-04-29,72.48,74.72,72.07,74.5
2015-04-30,74.45,75.26,71.13,72.26
2015-05-01,72.72,74.61,72.28,73.89
2015-05-04,74.2,74.23,72.94,73.05
2015-05-05,73.23,73.76,72.32,72.89
2015-05-06,73.09,73.85,70.39,71.05
2015-05-07,71.05,71.72,69.62,70.39
2015-05-08,71.1,71.52,69.73,71.31
2015-05-11,71.28,71.95,70.31,71.63
2015-05-12,70.99,71.41,69.85,70.33
2015-05-13,70.37,71.2,70.06,70.85
2015-05-14,71.29,71.68,70.13,71.53
2015-05-15,71.23,71.98,70.59,70.67
2015-05-18,70.45,71.42,69.5,71.38
2015-05-19,70.28,71.69,70.28,71.35
2015-05-20,71.5,71.54,70.24,70.45
2015-05-21,70.16,71.03,69.74,69.94
2015-05-22,70.0,70.55,69.49,69.66
2015-05-26,69.5,71.05,69.49,70.55
2015-05-27,70.59,72.48,70.57,72.04
2015-05-28,72.5,73.15,72.08,72.68
2015-05-29,72.73,73.86,72.56,72.63
2015-06-01,72.42,73.76,72.4,73.32
2015-06-02,72.9,73.3,72.05,72.28
2015-06-03,72.62,73.25,72.15,72.39
2015-06-04,72.0,74.66,71.31,74.28
2015-06-05,74.47,74.62,73.32,74.14
2015-06-08,74.01,74.38,73.48,73.65
2015-06-09,73.78,74.18,73.43,73.8
2015-06-10,73.88,74.25,73.38,74.06
2015-06-11,74.18,74.33,73.63,74.11
2015-06-12,74.02,74.4,73.18,73.7
2015-06-15,73.64,73.77,72.56,73.59
2015-06-16,72.89,73.01,71.58,72.05
2015-06-17,72.24,72.85,71.18,71.23
2015-06-18,71.72,72.99,71.5,72.56
2015-06-19,72.34,72.87,71.44,71.62
2015-06-22,71.95,72.26,71.33,71.42
2015-06-23,71.98,72.0,70.57,71.02
2015-06-24,71.02,71.45,70.6,70.86
2015-06-25,70.9,71.2,69.85,70.36
2015-06-26,70.68,70.86,69.01,69.06
2015-06-29,68.15,68.99,67.33,67.63
2015-06-30,68.28,68.46,67.37,67.86
2015-07-01,68.52,69.76,67.92,69.7
2015-07-02,69.67,70.41,69.34,70.12
2015-07-06,69.14,73.91,69.0,70.75
2015-07-07,71.21,71.58,69.6,71.49
2015-07-08,71.22,71.99,68.89,68.96
2015-07-09,69.71,70.53,68.64,70.35
2015-07-10,71.37,72.99,70.63,71.22
2015-07-13,71.6,71.73,70.11,71.06
2015-07-14,71.08,71.95,70.5,71.42
2015-07-15,71.2,71.42,68.28,70.06
2015-07-16,70.46,70.81,68.04,68.44
2015-07-17,68.4,69.01,68.0,68.47
2015-07-20,68.32,68.45,66.76,66.98
2015-07-21,67.61,67.61,66.6,67.21
2015-07-22,67.2,68.09,66.69,67.9
2015-07-23,66.99,68.04,66.36,66.56
2015-07-24,66.44,67.34,65.46,65.94
2015-07-27,56.04,57.58,55.4,56.37
2015-07-28,56.74,57.0,53.81,56.35
2015-07-29,56.5,58.05,55.62,57.24
2015-07-30,57.4,57.6,56.34,56.35
2015-07-31,56.48,56.64,55.61,55.99
2015-08-03,55.89,56.73,54.98,55.2
2015-08-04,54.93,55.39,53.89,54.67
2015-08-05,55.0,55.16,54.1,54.6
2015-08-06,55.35,55.99,52.59,55.4
2015-08-07,55.9,56.4,55.16,56.35
2015-08-10,56.98,57.81,56.82,57.53
2015-08-11,57.38,57.77,56.42,57.13
2015-08-12,56.25,56.84,54.23,55.36
2015-08-13,55.09,55.4,54.17,54.22
2015-08-14,56.0,56.13,53.68,54.36
2015-08-17,54.37,55.56,54.05,55.49
2015-08-18,55.66,56.44,54.85,55.75
2015-08-19,55.66,55.73,54.68,55.09
2015-08-20,54.5,54.83,53.02,53.03
2015-08-21,52.36,53.14,51.2,51.5
2015-08-24,47.88,51.26,45.5,49.81
2015-08-25,51.98,52.04,49.07,49.11
2015-08-26,50.23,51.42,48.39,51.13
2015-08-27,51.52,52.93,50.42,51.49
2015-08-28,51.64,51.93,49.82,50.37
2015-08-31,50.59,51.66,49.45,49.59
2015-09-01,48.56,49.66,47.9,48.29
2015-09-02,49.0,49.43,47.6,48.62
2015-09-03,49.05,49.51,47.24,47.42
2015-09-04,46.73,48.39,46.55,48.05
2015-09-08,48.75,49.43,48.0,48.72
2015-09-09,48.98,49.34,47.41,47.56
2015-09-10,47.49,48.26,47.01,47.8
2015-09-11,47.43,48.77,47.28,48.65
2015-09-14,48.47,49.07,48.27,49.06
2015-09-15,49.21,50.07,48.95,49.56
2015-09-16,49.81,49.85,48.48,49.01
2015-09-17,49.55,50.16,48.78,49.37
2015-09-18,49.23,49.71,48.56,49.59
2015-09-21,49.4,49.59,47.53,48.16
2015-09-22,47.47,47.7,45.44,46.65
2015-09-23,46.78,47.08,45.33,45.41
2015-09-24,45.1,45.76,44.22,45.56
2015-09-25,45.8,46.09,42.14,43.61
2015-09-28,43.13,43.55,39.51,40.86
2015-09-29,40.79,41.66,39.16,39.8
2015-09-30,40.91,41.26,39.3,40.26
2015-10-01,40.6,41.62,39.63,41.41
2015-10-02,40.3,43.83,40.22,43.66
2015-10-05,43.75,44.43,42.55,43.9
2015-10-06,44.39,44.47,42.25,42.85
2015-10-07,42.89,42.99,41.01,42.23
2015-10-08,42.38,42.94,41.32,42.67
2015-10-09,42.8,43.17,42.07,42.55
2015-10-12,43.18,43.69,42.52,42.9
2015-10-13,42.9,43.54,41.27,41.42
2015-10-14,41.56,42.67,41.5,42.24
2015-10-15,41.78,42.91,41.58,42.73
2015-10-16,43.0,43.77,42.73,43.55
2015-10-19,44.04,44.25,42.76,43.74
2015-10-20,44.2,44.2,42.46,42.55
2015-10-21,42.49,42.52,39.44,40.89
2015-10-22,40.6,40.6,37.59,39.16
2015-10-23,39.74,41.56,38.91,40.96
2015-10-26,40.9,42.16,40.4,41.85
2015-10-27,42.12,44.11,42.01,44.09
2015-10-28,44.38,45.37,43.56,44.89
2015-10-29,46.68,48.04,45.08,45.78
2015-10-30,45.49,46.05,43.43,44.09
2015-11-02,44.87,46.33,44.25,45.81
2015-11-03,45.46,47.49,45.46,46.57
2015-11-04,47.05,47.46,46.4,46.58
2015-11-05,46.42,46.78,44.64,44.79
2015-11-06,45.01,45.45,44.2,44.96
2015-11-09,45.1,46.23,44.4,45.14
2015-11-10,45.34,45.85,44.75,45.44
2015-11-11,45.66,46.43,44.28,44.49
2015-11-12,44.65,44.73,42.56,43.2
2015-11-13,47.6,49.49,46.48,48.78
2015-11-16,48.86,50.51,48.4,50.0
2015-11-17,51.07,51.45,50.1,50.66
2015-11-18,50.85,52.24,50.42,52.02
2015-11-19,52.46,52.46,50.2,51.22
2015-11-20,51.58,51.97,50.35,51.87
2015-11-23,51.86,52.45,50.53,50.88
2015-11-24,50.56,50.97,50.18,50.39
2015-11-25,50.27,51.85,50.24,51.8
2015-11-27,51.85,52.02,51.47,51.74
2015-11-30,51.71,52.0,50.87,51.3
2015-12-01,51.88,53.34,51.51,53.08
2015-12-02,52.78,54.5,51.77,52.08
2015-12-03,52.21,52.42,50.24,51.07
2015-12-04,50.7,51.47,50.15,51.41
2015-12-07,51.23,51.55,50.13,51.09
2015-12-08,50.5,51.53,50.23,51.26
2015-12-09,51.04,52.05,50.26,50.7
2015-12-10,51.0,52.99,50.82,52.93
2015-12-11,52.26,53.28,51.91,52.56
2015-12-14,53.64,53.81,51.85,53.37
2015-12-15,53.88,55.0,53.77,53.99
2015-12-16,54.2,54.74,53.17,54.39
2015-12-17,55.04,55.3,52.94,52.97
2015-12-18,52.44,53.74,52.15,53.17
2015-12-21,53.52,53.85,53.17,53.64
2015-12-22,53.62,54.29,53.41,54.19
2015-12-23,54.26,55.06,54.12,54.79
2015-12-24,55.09,55.15,54.35,54.82
2015-12-28,54.48,54.48,53.58,54.33
2015-12-29,54.61,55.5,54.48,55.28
2015-12-30,55.01,55.5,54.5,54.62
2015-12-31,54.36,54.77,54.02,54.07
2016-01-04,52.88,54.0,52.7,53.28
2016-01-05,53.67,54.42,53.25,54.09
2016-01-06,52.96,54.44,52.78,53.36
2016-01-07,52.52,52.67,51.57,51.61
2016-01-08,51.72,51.93,49.26,49.42
2016-01-11,50.06,50.23,48.33,49.5
2016-01-12,49.73,50.67,48.77,50.09
2016-01-13,50.5,50.99,48.77,48.89
2016-01-14,49.0,51.65,48.41,50.7
2016-01-15,48.9,50.41,48.03,49.71
2016-01-19,50.57,51.78,48.74,50.22
2016-01-20,49.71,52.16,49.54,51.4
2016-01-21,51.86,52.27,50.44,51.44
2016-01-22,52.6,53.41,51.94,53.11
2016-01-25,52.96,53.63,52.4,52.62
2016-01-26,52.73,54.23,52.05,53.93
2016-01-27,53.85,53.92,50.83,51.23
2016-01-28,51.89,51.94,49.5,50.43
2016-01-29,50.84,52.77,50.29,52.69
2016-02-01,51.92,52.67,50.62,52.35
2016-02-02,52.01,53.05,50.53,50.82
2016-02-03,51.38,52.55,49.33,52.26
2016-02-04,51.94,53.21,51.15,52.31
2016-02-05,52.21,52.91,50.95,51.39
2016-02-08,50.81,51.15,49.34,50.45
2016-02-09,49.72,51.59,49.14,50.74
2016-02-10,51.21,51.73,49.14,50.54
2016-02-11,43.95,44.0,40.04,41.42
2016-02-12,41.34,42.0,40.05,41.82
2016-02-16,42.27,43.2,41.94,43.15
2016-02-17,43.8,46.42,43.72,46.27
2016-02-18,46.46,47.05,44.62,44.71
2016-02-19,43.8,45.98,43.8,45.34
2016-02-22,46.35,46.9,45.63,46.81
2016-02-23,46.7,47.97,46.54,46.71
2016-02-24,45.7,46.78,44.86,46.6
2016-02-25,46.98,47.43,46.18,47.42
2016-02-26,47.07,47.77,46.83,47.14
2016-02-29,47.0,47.04,45.04,45.07
2016-03-01,46.46,46.79,45.19,46.06
2016-03-02,45.95,46.17,44.87,46.12
2016-03-03,45.82,46.12,45.17,45.73
2016-03-04,46.0,46.02,44.3,44.78
2016-03-07,44.89,47.02,44.62,46.14
2016-03-08,45.95,46.0,44.56,44.75
2016-03-09,44.98,46.59,44.64,46.55
2016-03-10,47.22,48.71,46.66,47.29
2016-03-11,47.0,48.61,46.95,48.6
2016-03-14,48.4,48.43,46.36,47.87
2016-03-15,47.18,47.3,45.34,45.92
2016-03-16,45.64,47.18,45.61,46.4
2016-03-17,46.08,46.2,43.65,44.22
2016-03-18,44.62,45.28,43.84,45.05
2016-03-21,45.13,46.13,45.1,45.46
2016-03-22,45.29,46.38,45.25,46.21
2016-03-23,46.22,46.45,45.37,45.41
2016-03-24,45.0,46.13,44.47,45.88
2016-03-28,45.98,46.07,44.82,45.2
2016-03-29,45.07,47.2,44.76,47.01
2016-03-30,46.91,47.2,45.95,46.4
2016-03-31,46.21,46.68,45.57,46.35
2016-04-01,46.22,47.66,45.73,47.5
2016-04-04,47.49,48.46,47.06,47.23
2016-04-05,46.25,46.55,45.6,45.92
2016-04-06,45.92,48.39,45.77,48.34
2016-04-07,47.95,48.81,47.66,48.07
2016-04-08,48.91,48.91,46.63,47.0
2016-04-11,47.32,47.47,45.21,45.56
2016-04-12,45.61,46.94,45.61,46.25
2016-04-13,46.71,47.61,46.15,47.22
2016-04-14,47.33,48.0,46.78,47.59
2016-04-15,47.16,47.6,46.64,46.89
2016-04-18,46.95,47.93,46.64,47.6
2016-04-19,47.77,48.96,47.65,47.77
2016-04-20,48.09,48.43,47.5,47.93
2016-04-21,48.04,49.2,48.01,48.8
2016-04-22,48.75,49.42,47.82,48.29
2016-04-25,46.85,47.0,44.98,45.02
2016-04-26,45.5,45.5,43.8,44.99
2016-04-27,44.85,45.13,44.25,44.48
2016-04-28,43.88,43.88,42.46,42.6
2016-04-29,42.37,42.73,41.31,41.71
2016-05-02,42.1,42.76,41.51,42.71
2016-05-03,43.37,44.56,41.85,43.69
2016-05-04,43.4,43.5,41.58,41.94
2016-05-05,41.84,42.03,40.76,41.4
2016-05-06,40.31,41.22,38.46,39.65
2016-05-09,40.52,41.1,40.16,40.77
2016-05-10,40.88,41.37,40.56,40.81
2016-05-11,40.71,40.75,39.57,39.64
2016-05-12,39.65,39.89,38.01,38.62
2016-05-13,38.38,39.32,38.05,39.16
2016-05-16,39.47,40.53,39.2,40.45
2016-05-17,40.4,41.72,40.21,41.02
2016-05-18,41.18,42.76,41.15,42.04
2016-05-19,41.83,42.42,40.5,41.12
2016-05-20,41.17,42.09,41.09,41.51
2016-05-23,41.56,41.66,40.95,41.21
2016-05-24,41.55,42.6,41.5,42.44
2016-05-25,42.47,42.96,42.14,42.68
2016-05-26,42.66,43.0,42.41,42.86
2016-05-27,43.06,43.84,42.89,43.06
2016-05-31,43.21,43.59,42.97,43.34
2016-06-01,43.24,44.86,42.97,44.46
2016-06-02,44.75,45.68,44.55,44.96
2016-06-03,44.95,45.29,43.53,44.52
2016-06-06,45.12,46.55,44.8,46.52
2016-06-07,46.28,46.68,45.42,46.61
2016-06-08,46.67,47.0,46.18,46.51
2016-06-09,46.29,46.71,45.71,45.76
2016-06-10,44.39,44.58,43.0,44.53
2016-06-13,44.15,45.37,44.05,44.77
2016-06-14,44.67,45.43,44.1,44.87
2016-06-15,44.97,45.8,44.66,44.74
2016-06-16,44.4,45.12,44.09,45.05
2016-06-17,45.05,45.58,44.47,45.01
2016-06-20,45.66,46.21,45.09,45.38
2016-06-21,45.56,45.79,44.06,44.88
2016-06-22,44.74,46.29,44.7,45.0
2016-06-23,45.64,46.22,45.46,46.16
2016-06-24,43.68,45.14,43.2,43.56
2016-06-27,43.18,43.19,41.62,41.81
2016-06-28,42.18,43.07,42.14,42.82
2016-06-29,43.17,43.93,42.67,43.22
2016-06-30,43.25,43.36,42.47,43.24
2016-07-01,43.34,43.59,42.84,43.48
2016-07-05,43.3,43.31,42.33,42.67
2016-07-06,42.64,43.6,41.99,43.54
2016-07-07,43.76,43.92,43.14,43.7
2016-07-08,44.18,44.79,43.8,44.54
2016-07-11,44.72,44.88,44.31,44.55
2016-07-12,44.78,45.39,44.74,45.16
2016-07-13,45.94,46.78,45.28,45.3
2016-07-14,45.85,45.97,45.28,45.38
2016-07-15,45.83,45.9,45.15,45.45
2016-07-18,45.56,45.92,45.41,45.53
2016-07-19,45.32,45.75,44.74,44.93
2016-07-20,45.07,47.21,44.99,47.2
2016-07-21,47.02,47.69,45.97,46.86
2016-07-22,47.04,47.06,46.09,46.59
2016-07-25,46.58,47.34,46.51,47.28
2016-07-26,47.13,48.34,46.42,46.48
2016-07-27,46.53,47.01,46.38,46.93
2016-07-28,46.82,46.92,45.82,46.72
2016-07-29,46.7,46.94,46.11,46.79
2016-08-01,46.79,47.12,46.36,46.74
2016-08-02,46.4,46.74,45.68,46.53
2016-08-03,46.33,48.54,46.3,48.41
2016-08-04,48.31,49.19,48.25,48.55
2016-08-05,48.98,49.11,48.3,48.46
2016-08-08,48.42,49.32,48.24,48.53
2016-08-09,48.6,50.4,48.6,49.92
2016-08-10,49.3,49.91,48.01,48.79
2016-08-11,49.09,49.4,48.56,48.71
2016-08-12,48.4,48.52,47.73,48.46
2016-08-15,48.72,48.9,48.5,48.75
2016-08-16,48.71,49.02,48.49,48.53
2016-08-17,48.76,49.16,48.32,48.9
2016-08-18,49.0,49.42,48.86,49.32
2016-08-19,48.99,49.2,48.1,48.66
2016-08-22,48.54,49.09,47.57,47.9
2016-08-23,47.45,47.59,45.53,45.62
2016-08-24,45.5,45.99,42.78,43.15
2016-08-25,44.65,45.11,42.33,42.85
2016-08-26,43.11,43.98,42.63,43.03
2016-08-29,43.99,44.24,42.47,43.22
2016-08-30,43.25,44.1,42.59,42.75
2016-08-31,42.56,42.63,41.87,42.36
2016-09-01,42.52,42.63,41.55,41.92
2016-09-02,42.01,42.09,39.82,39.97
2016-09-06,40.0,40.93,39.9,40.4
2016-09-07,40.84,40.88,40.21,40.31
2016-09-08,40.5,40.78,39.97,40.57
2016-09-09,40.39,40.39,39.75,39.89
2016-09-12,40.03,41.57,40.0,41.33
2016-09-13,41.09,41.17,40.5,40.91
2016-09-14,41.29,41.55,40.55,40.84
2016-09-15,40.91,41.58,40.66,41.49
2016-09-16,41.44,41.86,40.93,41.79
2016-09-19,41.97,42.06,41.25,41.49
2016-09-20,41.56,42.04,41.13,41.26
2016-09-21,41.05,42.07,40.92,41.91
2016-09-22,42.42,43.72,42.29,42.59
2016-09-23,42.69,42.69,41.95,42.06
2016-09-26,41.79,41.9,41.13,41.18
2016-09-27,41.04,41.43,40.82,41.31
2016-09-28,41.2,41.43,40.04,40.22
2016-09-29,40.17,40.22,37.65,38.47
2016-09-30,38.33,38.83,37.85,38.12
2016-10-03,38.1,38.22,37.41,38.2
2016-10-04,38.07,38.35,37.62,37.97
2016-10-05,38.08,38.46,37.82,38.03
2016-10-06,37.75,37.8,36.43,36.84
2016-10-07,36.81,36.84,35.58,35.94
2016-10-10,40.32,40.45,38.71,38.87
2016-10-11,38.69,39.28,38.11,38.31
2016-10-12,38.22,38.35,36.9,37.07
2016-10-13,36.84,38.27,36.77,37.88
2016-10-14,38.0,38.13,36.47,36.49
2016-10-17,36.69,36.8,36.09,36.44
2016-10-18,36.95,37.47,36.69,37.39
2016-10-19,37.79,37.99,37.17,37.2
2016-10-20,37.3,37.88,37.17,37.61
2016-10-21,37.57,37.71,36.82,37.02
2016-10-24,37.25,37.89,37.02,37.56
2016-10-25,37.69,39.39,37.62,38.68
2016-10-26,38.48,38.77,37.65,38.08
2016-10-27,38.24,38.38,37.61,38.02
2016-10-28,37.86,38.75,36.67,37.19
2016-10-31,37.29,37.48,36.48,36.5
2016-11-01,36.54,37.32,36.51,37.16
2016-11-02,37.12,37.56,36.35,36.67
2016-11-03,37.04,37.1,33.6,34.14
2016-11-04,34.01,35.63,34.0,35.0
2016-11-07,35.69,36.81,35.28,36.59
2016-11-08,35.61,37.77,35.45,37.11
2016-11-09,40.0,40.5,38.55,38.92
2016-11-10,39.45,40.41,37.55,38.28
2016-11-11,37.92,38.54,37.41,37.93
2016-11-14,37.56,38.54,37.56,38.44
2016-11-15,38.0,38.78,37.4,38.66
2016-11-16,38.5,38.6,37.7,37.9
2016-11-17,38.08,38.13,37.0,37.56
2016-11-18,37.45,37.59,36.41,36.47
2016-11-21,36.53,37.11,36.42,36.68
2016-11-22,36.62,36.94,35.9,36.32
2016-11-23,35.91,36.9,35.26,36.85
2016-11-25,36.93,37.04,36.58,36.68
2016-11-28,36.72,37.15,36.66,36.74
2016-11-29,36.76,37.0,35.95,36.06
2016-11-30,36.03,36.72,35.69,36.61
2016-12-01,36.62,37.16,35.92,36.03
2016-12-02,36.07,36.42,35.68,35.99
2016-12-05,36.31,36.66,35.37,35.65
2016-12-06,35.45,36.02,34.91,35.86
2016-12-07,35.52,35.52,33.79,34.5
2016-12-08,34.5,36.08,34.24,36.06
2016-12-09,36.08,37.15,36.07,36.51
2016-12-12,36.69,37.3,36.35,37.13
2016-12-13,37.7,38.45,37.64,38.3
2016-12-14,38.15,38.17,37.13,37.69
2016-12-15,37.64,38.1,37.32,37.76
2016-12-16,38.09,38.23,37.63,37.82
2016-12-19,37.63,38.29,37.38,37.49
2016-12-20,37.56,37.83,37.14,37.29
2016-12-21,37.4,37.89,37.05,37.52
2016-12-22,37.39,37.81,37.13,37.31
2016-12-23,37.26,37.55,37.2,37.5
2016-12-27,37.48,38.24,37.46,37.58
2016-12-28,37.69,37.79,36.9,37.21
2016-12-29,37.47,38.0,37.18,37.38
2016-12-30,37.98,38.79,37.84,38.15
2017-01-03,38.48,39.28,38.42,39.11
2017-01-04,39.32,40.08,39.25,39.63
2017-01-05,38.95,39.47,38.77,39.16
2017-01-06,38.87,39.08,37.95,38.5
2017-01-09,38.5,39.13,38.41,38.95
2017-01-10,39.23,39.37,38.67,38.95
2017-01-11,39.55,39.58,37.08,37.28
2017-01-12,37.44,37.44,36.17,36.77
2017-01-13,36.79,37.02,36.35,36.73
2017-01-17,36.86,37.36,36.45,37.07
2017-01-18,37.18,37.38,36.71,37.19
2017-01-19,37.11,37.3,36.71,36.95
2017-01-20,36.93,37.35,36.8,37.07
2017-01-23,36.87,37.19,35.82,36.03
2017-01-24,36.03,36.13,35.16,35.81
2017-01-25,36.0,36.64,35.98,36.48
2017-01-26,36.54,36.59,35.83,36.1
2017-01-27,36.16,36.83,36.01,36.66
2017-01-30,36.57,36.73,35.5,36.34
2017-01-31,37.02,38.09,36.41,38.05
2017-02-01,38.68,38.75,38.07,38.66
2017-02-02,38.26,39.35,38.16,39.0
2017-02-03,39.27,39.5,38.52,39.21
2017-02-06,39.36,40.25,39.34,39.98
