Date,Open,High,Low,Close
1999-12-31,42.59375,42.75,41.0,41.53125
2000-01-03,44.9375,45.0625,40.0,42.5
2000-01-04,41.1875,42.4375,37.0,37.125
2000-01-05,40.375,42.25,35.0,39.1875
2000-01-06,38.5,38.90625,35.0,35.03125
2000-01-07,34.5,42.5,33.875,42.5
2000-01-10,44.28125,45.90625,43.25,44.3125
2000-01-11,45.5,46.8125,40.875,41.25
2000-01-12,41.0,44.375,39.3125,43.5625
2000-01-13,44.0,45.0,41.625,42.859348
2000-01-14,44.0,47.625,43.5,46.84375
2000-01-18,48.9375,60.0,48.5,59.0625
2000-01-19,56.8125,58.5,53.0,54.25
2000-01-20,57.3125,57.625,55.625,57.5
2000-01-21,57.875,60.75,55.0,58.5625
2000-01-24,59.9375,59.96875,50.3125,51.0
2000-01-25,51.875,55.5,49.5,53.59375
2000-01-26,54.125,57.5625,53.3125,54.1875
2000-01-27,55.3125,55.75,49.5625,51.4375
2000-01-28,50.65625,53.5,49.0,49.59375
2000-01-31,50.4375,52.5,45.3125,50.1875
2000-02-01,52.0625,54.3125,50.15625,53.90625
2000-02-02,54.5625,57.625,53.0,56.5625
2000-02-03,57.5,57.5,53.0,57.3125
2000-02-04,58.0625,66.9375,57.75,63.96875
2000-02-07,65.6875,65.90625,60.5,62.6875
2000-02-08,64.03125,66.25,61.5625,66.0
2000-02-09,66.8125,67.125,63.0,64.34375
2000-02-10,65.03125,69.9375,62.9375,69.625
2000-02-11,72.53125,79.5625,71.25,77.46875
2000-02-14,79.9375,80.125,71.5625,74.15625
2000-02-15,74.875,76.5,70.75,75.78125
2000-02-16,80.75,88.15625,78.53125,87.71875
2000-02-17,89.25,89.96875,83.03125,87.1875
2000-02-18,86.0,87.125,83.5,83.625
2000-02-22,84.96875,85.710899,81.5625,84.3125
2000-02-23,83.1875,93.90625,82.40625,89.40625
2000-02-24,90.8125,100.9375,88.125,100.0
2000-02-25,101.25,103.96875,95.25,96.46875
2000-02-28,96.5,98.15625,90.75,92.0
2000-02-29,92.4375,96.0625,90.90625,94.375
2000-03-01,94.625,98.773399,93.375,95.03125
2000-03-02,96.25,98.40625,94.0,94.625
2000-03-03,97.125,102.0,93.5,99.96875
2000-03-06,102.75,111.0,101.0,106.03125
2000-03-07,111.40625,115.0,106.0,106.3125
2000-03-08,109.96875,111.5,105.9375,109.15625
2000-03-09,110.0,120.5,109.0625,120.1875
2000-03-10,123.5,124.0,114.4375,118.4375
2000-03-13,112.9375,117.875,110.4375,114.0625
2000-03-14,116.0,116.0,96.5,98.53125
2000-03-15,98.0,101.625,81.75,86.53125
2000-03-16,90.625,97.25,81.0,91.28125
2000-03-17,93.09375,101.0,93.0625,100.375
2000-03-20,103.75,104.0,87.8125,91.53125
2000-03-21,91.53125,96.0,82.5,92.445297
2000-03-22,95.5625,103.25,92.25,103.0625
2000-03-23,102.875,108.25,96.375,105.375
2000-03-24,109.0,110.25,95.0,100.0
2000-03-27,103.9375,104.4375,96.25,97.25
2000-03-28,96.9375,101.0,94.5,95.5625
2000-03-29,95.0,97.75,87.625,91.8125
2000-03-30,84.0625,92.0,70.625,79.125
2000-03-31,84.078102,86.0,66.0,82.75
2000-04-03,78.125,83.0,66.625,67.875
2000-04-04,70.1875,74.0,45.125,67.0
2000-04-05,60.5,76.0,60.0,69.5625
2000-04-06,74.5,77.5,71.0625,73.0
2000-04-07,77.125,80.25,75.0,79.9375
2000-04-10,81.0,81.9375,65.0,67.625
2000-04-11,63.375,68.25,60.25,63.625
2000-04-12,61.625,65.5,56.5,56.6875
2000-04-13,59.25,64.0,53.875,56.9375
2000-04-14,51.625,58.625,46.125,50.375
2000-04-17,41.25,54.0,41.125,51.9375
2000-04-18,54.375,60.5,53.3125,60.25
2000-04-19,65.125,65.5,60.0,60.5625
2000-04-20,61.234299,63.875,55.0,56.875
2000-04-24,51.5,55.5,43.546799,50.625
2000-04-25,57.0625,69.0,56.0,68.75
2000-04-26,67.75,68.5,61.0,61.125
2000-04-27,56.0,68.5,54.5,67.5625
2000-04-28,70.25,74.6875,68.984299,73.9375
2000-05-01,76.5,77.0,70.03119699999999,71.0
2000-05-02,68.25,72.0,64.875,65.25
2000-05-03,62.25,68.0,61.5,66.75
2000-05-04,67.875,71.5,64.625,67.875
2000-05-05,65.0,71.6875,64.375,69.875
2000-05-08,65.6875,68.1875,62.75,63.1875
2000-05-09,65.125,67.0,61.5,63.4375
2000-05-10,64.0,66.3125,57.75,58.0
2000-05-11,61.484299,62.625,55.5,57.9375
2000-05-12,60.0,62.5,57.25,58.1875
2000-05-15,58.890598,66.5,58.75,66.125
2000-05-16,69.75,73.75,66.5,72.75
2000-05-17,69.0,72.625,68.375,68.75
2000-05-18,70.125,71.5,66.71869699999999,69.0
2000-05-19,65.875,71.0,65.0,65.125
2000-05-22,63.875,65.5,56.0,65.0625
2000-05-23,64.0,67.0,58.0,58.0
2000-05-24,58.0625,66.0,48.75,65.0625
2000-05-25,62.5625,69.5,58.0,61.375
2000-05-26,61.25,63.0,56.0625,58.3125
2000-05-30,60.3125,67.25,59.5,66.8125
2000-05-31,65.25,70.3125,63.125,64.5625
2000-06-01,67.375,70.0,67.375,69.6875
2000-06-02,73.0,76.75,71.0,74.4375
2000-06-05,71.375,78.4375,71.375,76.609299
2000-06-06,77.75,79.375,73.75,73.875
2000-06-07,73.8125,78.375,72.1875,78.125
2000-06-08,79.75,85.6875,79.5,85.3125
2000-06-09,85.875,90.6875,84.25,85.125
2000-06-12,86.5625,86.5625,78.0,78.1875
2000-06-13,77.75,86.25,76.8125,86.0625
2000-06-14,88.125,88.875,75.4375,75.625
2000-06-15,78.375,82.0,75.6875,79.1875
2000-06-16,82.625,82.6875,79.125,79.9375
2000-06-19,80.5,86.0,78.375,85.9375
2000-06-20,87.875,88.5,84.9375,86.6875
2000-06-21,84.75,89.0,84.5,87.5625
2000-06-22,87.75,88.4375,82.0,84.0
2000-06-23,83.5,84.5,76.0,76.9375
2000-06-26,81.0,83.0,77.875,82.0625
2000-06-27,84.6875,86.25,82.5,82.8125
2000-06-28,83.5,83.875,81.0,82.5625
2000-06-29,80.9375,81.5625,77.0,77.8125
2000-06-30,78.75,81.1875,77.5,80.5
2000-07-03,80.0625,83.1875,80.0,82.8125
2000-07-05,82.25,82.875,77.5,78.0625
2000-07-06,78.0,78.25,72.5,78.0625
2000-07-07,79.5,84.5,77.625,81.5625
2000-07-10,81.375,82.9375,79.5,81.25
2000-07-11,80.5,84.875,80.25,83.5
2000-07-12,84.5,90.125,84.5,90.0
2000-07-13,92.1875,97.875,92.0,94.5625
2000-07-14,97.125,97.5,94.0,96.125
2000-07-17,98.125,103.5,96.4375,102.0
2000-07-18,100.25,101.6875,98.5,99.9375
2000-07-19,99.0625,104.75,98.5,100.4375
2000-07-20,101.4375,113.0625,101.4375,112.5625
2000-07-21,107.375,112.0,105.75,109.375
2000-07-24,111.25,111.75,101.125,102.8125
2000-07-25,103.75,108.5,100.625,106.1875
2000-07-26,106.5625,109.3125,100.0625,101.9375
2000-07-27,101.3125,101.375,91.125,95.25
2000-07-28,95.75,97.375,84.9375,85.0
2000-07-31,86.0625,89.6875,76.5,86.1875
2000-08-01,85.0625,86.5,82.0,82.625
2000-08-02,81.0625,83.0,75.25,76.9375
2000-08-03,72.125,80.125,69.6875,78.4375
2000-08-04,83.5,86.5,81.75,84.5625
