Date,Open,High,Low,Close
2016-03-16,145.92,150.78,144.54,150.75
2016-03-17,151.0,155.45,150.93,151.91
2016-03-18,151.28,151.28,145.5,147.84
2016-03-21,147.68,149.99,147.0,148.69
2016-03-22,148.47,150.94,148.04,149.48
2016-03-23,148.65,149.37,144.14,145.76
2016-03-24,145.0,145.0,141.73,144.48
2016-03-28,144.38,144.55,139.65,140.0
2016-03-29,139.88,140.03,136.37,138.86
2016-03-30,139.86,143.3,139.5,142.63
2016-03-31,143.09,146.0,142.65,143.58
2016-04-01,142.32,143.34,140.35,143.02
2016-04-04,142.96,144.16,139.83,141.31
2016-04-05,140.26,142.18,139.1,141.3
2016-04-06,141.7,145.55,140.72,144.7
2016-04-07,144.24,146.03,142.6,144.86
2016-04-08,145.67,146.55,142.01,143.25
2016-04-11,144.76,145.42,138.68,138.91
2016-04-12,139.34,140.33,136.24,137.19
2016-04-13,140.0,143.28,139.12,142.74
2016-04-14,143.49,144.7,140.53,141.44
2016-04-15,141.76,141.83,137.73,138.28
2016-04-18,136.87,139.95,136.87,139.02
2016-04-19,140.09,140.09,135.38,137.78
2016-04-20,137.01,137.98,135.85,135.94
2016-04-21,137.63,137.94,133.21,136.14
2016-04-22,135.01,136.21,132.33,133.07
2016-04-25,133.0,133.18,130.82,133.08
2016-04-26,133.08,134.8,131.99,133.6
2016-04-27,132.91,134.78,132.09,133.14
2016-04-28,133.51,137.91,133.51,134.88
2016-04-29,134.67,140.73,134.67,140.7
2016-05-02,139.39,140.7,138.1,139.38
2016-05-03,138.01,138.91,136.45,137.7
2016-05-04,136.85,140.61,136.85,139.49
2016-05-05,140.04,142.5,139.59,140.48
2016-05-06,139.96,141.78,137.5,140.31
2016-05-09,139.5,140.84,138.09,138.96
2016-05-10,139.0,144.12,138.23,143.4
2016-05-11,143.56,148.2,141.82,145.17
2016-05-12,149.16,150.0,139.57,145.8
2016-05-13,146.73,154.32,146.56,153.4
2016-05-16,155.52,163.14,155.15,161.62
2016-05-17,161.46,166.68,160.41,163.49
2016-05-18,163.77,164.47,160.16,163.56
2016-05-19,162.81,164.47,158.93,161.23
2016-05-20,162.49,168.87,162.49,166.81
2016-05-23,166.01,167.66,163.96,164.2
2016-05-24,166.07,174.13,165.02,174.0
2016-05-25,176.06,176.06,171.01,173.0
2016-05-26,173.01,177.03,172.0,176.83
2016-05-27,177.49,177.87,173.3,175.79
2016-05-31,176.93,179.1,175.34,177.84
2016-06-01,176.01,177.32,172.61,176.16
2016-06-02,175.73,176.94,172.73,173.6
2016-06-03,173.91,177.53,173.6,175.56
2016-06-06,175.8,175.98,173.01,174.52
2016-06-07,173.77,177.29,172.49,174.81
2016-06-08,174.68,175.92,173.27,174.82
2016-06-09,173.51,174.62,169.46,171.48
2016-06-10,169.06,169.47,161.44,161.98
2016-06-13,161.0,166.15,161.0,163.21
2016-06-14,162.76,165.45,162.09,164.46
2016-06-15,164.78,165.34,162.94,164.3
2016-06-16,163.5,165.85,162.5,165.28
2016-06-17,164.21,165.75,161.32,163.11
2016-06-20,166.34,167.39,163.63,164.94
2016-06-21,165.41,167.24,164.73,165.77
2016-06-22,166.61,169.27,165.02,167.53
2016-06-23,169.6,172.99,167.82,172.91
2016-06-24,165.44,173.6,165.15,172.09
2016-06-27,170.49,171.0,165.45,166.66
2016-06-28,168.72,173.24,168.72,173.0
2016-06-29,175.0,183.89,172.45,181.48
2016-06-30,184.82,193.27,184.31,193.22
2016-07-01,193.25,193.44,183.8,184.57
2016-07-05,184.0,190.0,183.37,186.84
2016-07-06,185.78,188.48,185.33,186.12
2016-07-07,185.0,189.41,185.0,188.44
2016-07-08,189.16,189.63,182.86,185.13
2016-07-11,189.16,198.2,188.03,196.62
2016-07-12,199.62,202.7,195.36,197.33
2016-07-13,197.66,197.88,193.0,193.63
2016-07-14,195.16,197.28,193.51,195.5
2016-07-15,195.91,199.78,194.25,195.21
2016-07-18,196.7,201.93,195.2,199.43
2016-07-19,198.24,200.25,196.31,198.78
2016-07-20,200.0,200.0,197.02,199.05
2016-07-21,198.2,199.99,196.5,197.37
2016-07-22,198.0,198.48,194.4,196.02
2016-07-25,196.1,201.57,193.27,201.12
2016-07-26,201.42,206.06,200.96,204.49
2016-07-27,205.59,207.94,204.5,207.17
2016-07-28,207.79,210.27,204.38,206.03
2016-07-29,205.63,206.0,203.22,204.27
2016-08-01,204.25,204.25,198.58,202.71
2016-08-02,202.29,202.56,199.19,200.34
2016-08-03,199.67,202.68,197.0,198.6
2016-08-04,199.18,201.15,197.17,198.42
2016-08-05,200.51,202.0,199.57,201.59
2016-08-08,201.59,203.34,199.64,200.36
2016-08-09,199.57,200.44,197.65,198.99
2016-08-10,200.0,201.39,197.96,199.41
2016-08-11,201.35,202.49,199.7,200.29
2016-08-12,199.96,206.49,199.01,205.87
2016-08-15,209.03,215.97,205.5,211.48
2016-08-16,213.35,217.37,212.47,213.2
2016-08-17,214.27,215.49,212.28,213.33
2016-08-18,217.0,217.01,199.13,207.62
2016-08-19,206.4,210.73,204.2,209.74
2016-08-22,209.0,214.48,208.43,212.57
2016-08-23,213.56,214.98,211.75,213.17
2016-08-24,212.84,214.38,210.48,211.11
2016-08-25,210.0,210.3,206.5,208.49
2016-08-26,209.5,218.77,208.52,217.71
2016-08-29,217.0,217.46,213.05,213.57
2016-08-30,215.67,215.67,209.2,211.0
2016-08-31,211.54,212.77,209.26,211.97
2016-09-01,211.9,217.08,210.92,215.91
2016-09-02,217.0,218.37,212.0,214.91
2016-09-06,217.51,224.18,216.63,222.0
2016-09-07,221.89,222.62,217.9,218.93
2016-09-08,219.0,223.25,217.51,221.68
2016-09-09,220.0,222.44,211.2,213.17
2016-09-12,208.3,230.55,208.02,230.07
2016-09-13,228.69,240.47,228.68,231.27
2016-09-14,232.35,243.15,232.35,234.76
2016-09-15,235.76,239.2,232.57,237.75
2016-09-16,237.5,242.98,236.25,238.03
2016-09-19,242.13,252.42,240.53,248.99
2016-09-20,249.97,252.97,241.1,244.14
2016-09-21,247.99,251.47,246.0,249.54
2016-09-22,251.25,254.48,249.74,252.05
2016-09-23,248.1,249.9,245.82,247.42
2016-09-26,243.21,243.83,237.23,241.21
2016-09-27,243.87,248.57,242.5,244.15
2016-09-28,245.0,246.23,241.55,243.49
2016-09-29,242.45,244.3,241.09,242.06
2016-09-30,243.47,243.98,238.02,240.78
2016-10-03,243.74,247.87,243.31,244.86
2016-10-04,246.72,250.97,246.2,248.6
2016-10-05,248.7,249.75,247.26,248.13
2016-10-06,247.47,256.74,244.89,255.98
2016-10-07,255.02,257.56,250.37,252.95
2016-10-10,254.5,262.72,254.5,261.34
2016-10-11,261.34,261.34,253.3,254.2
2016-10-12,255.16,270.93,254.5,261.42
2016-10-13,258.26,263.5,252.32,261.98
2016-10-14,265.88,272.58,259.82,261.37
2016-10-17,261.48,263.87,258.59,261.1
2016-10-18,264.64,268.99,264.48,265.57
2016-10-19,267.38,268.69,261.98,263.89
2016-10-20,263.89,265.55,262.0,264.5
2016-10-21,263.37,264.99,261.0,263.53
2016-10-24,267.98,268.36,265.0,267.18
2016-10-25,268.13,270.44,265.67,269.6
2016-10-26,268.26,268.26,265.21,265.74
2016-10-27,268.22,271.66,263.27,267.05
2016-10-28,267.0,267.05,263.21,264.97
2016-10-31,265.48,268.98,256.86,256.99
2016-11-01,259.0,259.89,246.64,249.03
2016-11-02,248.77,249.0,241.03,242.94
2016-11-03,243.12,246.15,237.66,243.42
2016-11-04,240.4,245.88,240.2,243.43
2016-11-07,251.43,256.0,250.03,251.18
2016-11-08,251.0,251.9,247.0,248.96
2016-11-09,241.45,255.7,240.66,251.86
2016-11-10,239.76,252.1,224.71,228.62
2016-11-11,229.01,235.88,218.0,234.57
2016-11-14,234.27,235.61,216.39,217.91
2016-11-15,227.61,232.9,225.56,228.1
2016-11-16,226.31,231.98,223.83,230.13
2016-11-17,230.13,237.14,229.61,236.83
2016-11-18,237.04,239.62,229.86,230.81
2016-11-21,231.11,237.24,231.07,234.16
2016-11-22,235.11,236.91,231.02,231.82
2016-11-23,231.27,233.7,229.14,231.58
2016-11-25,233.08,233.88,223.19,227.09
2016-11-28,230.49,235.98,228.63,231.78
2016-11-29,231.16,233.36,227.17,230.04
2016-11-30,230.7,234.7,223.86,224.1
2016-12-01,225.11,225.84,215.01,217.82
2016-12-02,217.57,221.58,215.67,220.59
2016-12-05,217.0,226.88,216.94,226.17
2016-12-06,226.6,226.6,219.06,222.65
2016-12-07,222.77,224.88,218.62,223.16
2016-12-08,222.7,227.39,220.33,225.21
2016-12-09,225.9,227.42,221.76,223.55
2016-12-12,219.0,219.68,211.44,218.58
2016-12-13,218.58,226.1,216.6,220.46
2016-12-14,219.36,223.02,216.83,217.49
2016-12-15,215.01,218.35,212.4,213.33
2016-12-16,213.99,218.5,212.63,213.05
2016-12-19,213.21,218.03,211.11,216.77
2016-12-20,217.0,218.97,215.47,216.9
2016-12-21,217.47,226.24,216.77,223.12
2016-12-22,221.51,221.9,216.15,217.1
2016-12-23,216.0,224.93,216.0,223.67
2016-12-27,224.5,228.8,223.51,223.99
2016-12-28,226.57,228.48,223.13,223.92
2016-12-29,224.32,224.94,221.68,223.0
2016-12-30,222.55,223.0,214.75,215.34
2017-01-03,219.38,220.3,215.63,218.16
2017-01-04,220.0,221.19,216.89,218.7
2017-01-05,219.85,230.71,219.8,229.21
2017-01-06,229.42,230.25,225.27,226.96
2017-01-09,227.81,236.49,227.46,234.9
2017-01-10,237.95,243.97,236.61,239.98
2017-01-11,237.45,241.75,235.63,239.27
2017-01-12,238.9,239.15,232.14,235.43
2017-01-13,236.79,239.49,233.62,237.68
2017-01-17,239.47,243.96,235.71,243.08
2017-01-18,241.63,243.95,233.5,235.78
2017-01-19,236.31,240.39,236.08,238.98
2017-01-20,239.21,244.4,239.21,242.34
2017-01-23,242.09,250.11,242.01,248.59
2017-01-24,252.99,257.68,248.7,254.45
2017-01-25,255.99,256.0,250.71,251.59
2017-01-26,252.0,252.46,245.83,251.94
2017-01-27,251.3,253.17,249.28,252.89
2017-01-30,250.36,251.86,248.29,250.49
2017-01-31,249.6,254.09,248.32,253.9
2017-02-01,256.39,256.76,250.85,253.82
2017-02-02,252.4,256.31,250.14,255.99
2017-02-03,256.86,257.0,253.67,255.0
2017-02-06,254.25,263.33,253.01,258.67
2017-02-07,260.04,260.82,255.51,258.03
2017-02-08,259.27,266.15,258.23,265.52
2017-02-09,261.41,265.84,256.68,257.56
2017-02-10,261.23,261.43,256.19,257.42
2017-02-13,258.78,261.66,252.54,260.78
2017-02-14,260.55,261.29,254.0,256.12
2017-02-15,258.99,263.05,256.21,261.85
2017-02-16,283.39,299.68,278.8,298.73
2017-02-17,295.74,297.93,289.38,297.25
2017-02-21,296.3,297.5,290.02,293.44
2017-02-22,293.54,307.79,292.16,304.07
2017-02-23,305.0,305.42,287.51,298.99
2017-02-24,297.0,306.62,295.61,299.93
2017-02-27,297.56,306.78,297.51,301.76
2017-02-28,302.92,308.5,302.01,305.06
2017-03-01,307.52,308.66,296.21,302.58
2017-03-02,298.5,300.0,284.5,289.38
2017-03-03,288.5,294.74,287.2,293.47
2017-03-06,294.0,294.05,287.26,292.28
2017-03-07,290.71,294.5,289.06,292.08
2017-03-08,294.6,296.5,290.79,291.44
2017-03-09,290.0,292.41,288.58,291.27
2017-03-10,291.3,291.62,288.0,289.4
2017-03-13,290.95,290.99,285.88,289.85
2017-03-14,286.6,289.95,286.13,289.44
2017-03-15,288.96,289.43,284.41,286.86
2017-03-16,288.4,288.44,282.92,283.27
2017-03-17,286.17,292.0,285.01,291.5
2017-03-20,291.5,296.75,291.05,294.12
2017-03-21,295.95,298.39,281.64,282.67
2017-03-22,283.65,287.84,280.31,286.19
2017-03-23,286.57,290.2,284.36,286.27
2017-03-24,287.08,290.88,285.97,288.98
2017-03-27,285.56,292.63,285.04,289.25
2017-03-28,291.75,292.81,288.87,289.35
2017-03-29,289.83,290.17,282.76,283.32
2017-03-30,284.31,286.5,282.13,282.35
2017-03-31,282.0,285.69,280.35,284.0
2017-04-03,283.34,286.88,283.3,285.22
2017-04-04,284.77,286.3,271.57,273.09
2017-04-05,275.19,282.35,272.52,276.46
2017-04-06,277.63,279.17,273.0,276.01
2017-04-07,274.99,280.0,273.51,277.22
2017-04-10,277.88,278.91,271.5,272.33
2017-04-11,272.55,275.88,267.61,268.0
2017-04-12,268.75,271.89,264.35,265.43
2017-04-13,265.0,267.35,262.72,265.68
2017-04-17,266.02,268.15,265.31,266.22
2017-04-18,266.12,268.0,261.38,264.2
2017-04-19,263.47,264.99,255.64,262.88
2017-04-20,264.5,266.53,262.01,266.14
2017-04-21,268.11,269.54,265.46,268.97
2017-04-24,272.69,275.55,271.86,274.14
2017-04-25,276.18,278.82,274.36,277.96
2017-04-26,278.58,278.8,265.07,265.4
2017-04-27,266.9,271.24,264.79,265.69
2017-04-28,266.7,266.85,261.31,265.39
2017-05-01,265.36,271.04,265.36,269.81
2017-05-02,272.03,272.45,264.91,265.59
2017-05-03,266.04,269.37,265.04,268.37
2017-05-04,270.99,270.99,264.32,265.34
2017-05-05,265.0,266.45,259.06,264.5
2017-05-08,266.9,269.78,262.0,268.95
2017-05-09,270.0,275.51,270.0,271.9
2017-05-10,275.27,281.87,274.32,279.05
2017-05-11,287.88,289.7,271.34,276.76
2017-05-12,277.25,279.47,270.31,271.29
2017-05-15,272.47,286.67,271.29,284.25
2017-05-16,284.99,295.33,284.0,289.7
2017-05-17,285.8,286.8,278.5,283.02
2017-05-18,280.97,289.13,276.2,282.74
2017-05-19,285.0,290.96,283.57,286.75
2017-05-22,289.61,296.88,287.92,293.68
2017-05-23,296.69,301.82,291.03,292.28
2017-05-24,291.82,293.64,283.61,288.61
2017-05-25,291.8,296.61,290.0,293.4
2017-05-26,293.46,297.52,291.92,292.35
2017-05-30,292.02,294.25,286.03,288.46
2017-05-31,288.52,289.64,282.24,284.78
2017-06-01,285.19,288.61,283.79,288.57
2017-06-02,287.45,291.77,286.15,291.67
2017-06-05,292.56,299.46,292.01,293.53
2017-06-06,293.73,305.0,293.53,302.88
2017-06-07,303.0,314.99,301.01,314.66
2017-06-08,320.35,323.1,308.26,313.64
2017-06-09,315.09,320.4,297.26,303.62
2017-06-12,301.53,309.37,296.5,306.46
2017-06-13,309.87,310.53,300.51,301.69
2017-06-14,305.0,305.96,291.68,294.77
2017-06-15,292.19,294.5,285.43,292.67
2017-06-16,294.0,297.08,291.25,296.97
2017-06-19,299.81,313.43,298.6,312.93
2017-06-20,311.18,318.0,311.07,316.5
2017-06-21,316.6,327.26,314.52,323.73
2017-06-22,321.8,326.62,318.01,325.28
2017-06-23,320.0,333.78,319.0,333.56
