Date,Open,High,Low,Close
2011-12-19,24.6,24.86,23.89,23.96
2011-12-20,24.89,25.64,24.73,25.63
2011-12-21,25.71,25.82,24.75,24.99
2011-12-22,25.07,25.57,25.06,25.52
2011-12-23,25.58,25.76,25.26,25.71
2011-12-27,25.61,25.8,25.31,25.65
2011-12-28,25.75,25.76,24.85,24.88
2011-12-29,25.1,25.36,25.0,25.28
2011-12-30,25.28,25.39,25.11,25.16
2012-01-03,25.68,26.12,25.19,25.25
2012-01-04,25.13,26.02,25.13,25.98
2012-01-05,26.0,26.78,25.79,26.72
2012-01-06,26.85,26.95,26.5,26.76
2012-01-09,26.62,27.52,26.51,27.38
2012-01-10,28.26,28.61,27.9,28.25
2012-01-11,28.32,29.02,28.27,28.48
2012-01-12,28.75,28.95,28.41,28.75
2012-01-13,28.92,29.4,28.67,29.29
2012-01-17,29.6,29.78,28.51,28.79
2012-01-18,28.75,29.29,28.54,29.16
2012-01-19,29.61,29.61,28.81,28.96
2012-01-20,28.91,29.14,28.86,29.08
2012-01-23,29.06,29.29,27.75,28.16
2012-01-24,28.12,28.22,27.88,27.99
2012-01-25,28.84,29.11,27.55,27.95
2012-01-26,28.21,28.23,27.52,27.69
2012-01-27,27.57,28.07,27.57,27.92
2012-01-30,27.62,28.4,27.39,28.38
2012-01-31,28.55,29.01,28.4,28.52
2012-02-01,29.0,29.52,28.72,29.39
2012-02-02,29.54,29.56,28.86,28.94
2012-02-03,29.39,29.96,29.26,29.42
2012-02-06,29.8,29.89,29.18,29.31
2012-02-07,29.64,29.7,29.04,29.09
2012-02-08,29.26,29.39,28.72,29.33
2012-02-09,29.69,31.15,29.31,30.45
2012-02-10,26.67,27.05,26.11,26.5
2012-02-13,27.29,27.55,26.71,26.84
2012-02-14,26.81,28.0,26.79,28.0
2012-02-15,28.2,28.23,26.73,26.91
2012-02-16,26.79,27.09,26.66,26.87
2012-02-17,27.0,27.11,26.44,26.51
2012-02-21,26.65,26.79,25.56,25.78
2012-02-22,25.54,25.59,24.99,25.19
2012-02-23,24.99,25.62,24.37,25.39
2012-02-24,25.49,25.84,25.0,25.08
2012-02-27,24.94,25.81,24.81,25.66
2012-02-28,25.61,26.31,25.53,26.29
2012-02-29,26.42,26.56,25.8,25.92
2012-03-01,26.09,26.51,25.74,26.51
2012-03-02,26.45,27.37,26.11,26.99
2012-03-05,27.04,27.2,26.32,26.63
2012-03-06,26.2,26.49,25.26,25.5
2012-03-07,25.81,26.57,25.75,26.16
2012-03-08,26.43,26.5,25.8,26.08
2012-03-09,26.08,26.11,25.54,25.86
2012-03-12,25.81,25.98,25.28,25.58
2012-03-13,25.71,26.74,25.65,26.72
2012-03-14,26.46,26.59,25.92,26.08
2012-03-15,26.17,26.37,26.0,26.31
2012-03-16,26.28,26.3,25.95,26.15
2012-03-19,26.09,26.75,26.0,26.47
2012-03-20,26.2,26.27,25.98,26.23
2012-03-21,26.32,26.65,26.05,26.46
2012-03-22,26.37,26.5,25.74,26.0
2012-03-23,25.96,26.02,25.44,25.81
2012-03-26,25.96,26.2,25.77,26.0
2012-03-27,26.11,26.2,25.52,25.61
2012-03-28,25.55,25.67,24.85,25.21
2012-03-29,25.0,25.4,24.78,25.35
2012-03-30,25.55,25.7,25.11,25.58
2012-04-02,25.58,26.85,25.54,26.72
2012-04-03,26.72,26.79,26.0,26.34
2012-04-04,25.99,26.24,25.3,25.43
2012-04-05,25.38,25.58,25.29,25.52
2012-04-09,25.16,25.18,24.51,24.98
2012-04-10,24.94,25.0,23.79,24.03
2012-04-11,24.21,24.42,23.92,24.05
2012-04-12,24.15,24.55,23.93,24.47
2012-04-13,24.45,24.48,23.96,23.98
2012-04-16,24.02,24.12,23.34,23.64
2012-04-17,23.81,24.02,23.7,23.84
