Date,Open,High,Low,Close
2010-08-06,13.0,14.08,12.99,14.0
2010-08-09,14.0,14.0,13.7,14.0
2010-08-10,13.77,13.84,13.58,13.6
2010-08-11,13.25,13.38,12.45,12.75
2010-08-12,12.26,12.51,12.1,12.39
2010-08-13,12.25,12.53,11.85,12.0
2010-08-16,11.79,12.23,11.69,11.78
2010-08-17,11.86,12.3,11.75,12.22
2010-08-18,12.08,12.6,12.0,12.0
2010-08-19,11.95,12.1,11.31,11.55
2010-08-20,11.45,11.5,11.03,11.15
2010-08-23,11.28,11.5,10.46,10.98
2010-08-24,10.76,11.3,10.5,10.68
2010-08-25,10.5,11.13,10.23,10.75
2010-08-26,10.94,11.15,10.8,11.0
2010-08-27,11.15,11.49,10.99,11.11
2010-08-30,11.01,11.27,11.01,11.1
2010-08-31,11.01,11.23,10.87,11.08
2010-09-01,11.08,11.95,10.76,11.73
2010-09-02,11.08,11.91,11.08,11.87
2010-09-03,11.9,12.32,11.58,11.89
2010-09-07,12.0,12.36,11.78,12.03
2010-09-08,11.49,12.18,11.42,12.16
2010-09-09,12.21,12.63,11.51,11.9
2010-09-10,11.98,12.13,11.81,11.98
2010-09-13,12.09,12.24,11.84,11.94
2010-09-14,11.85,12.25,11.85,12.24
2010-09-15,12.52,12.92,12.35,12.47
2010-09-16,12.46,12.64,12.01,12.02
2010-09-17,12.01,12.25,11.82,12.08
2010-09-20,12.21,12.97,12.1,12.69
2010-09-21,12.61,12.85,12.36,12.51
2010-09-22,12.4,12.6,12.01,12.18
2010-09-23,12.0,12.49,11.89,12.0
2010-09-24,12.1,12.37,11.82,12.22
2010-09-27,12.17,12.39,12.02,12.25
2010-09-28,12.21,12.62,12.11,12.61
2010-09-29,12.63,12.88,12.49,12.55
2010-09-30,12.62,12.95,12.26,12.39
2010-10-01,12.47,12.77,12.26,12.36
2010-10-04,12.38,12.71,12.25,12.35
2010-10-05,12.43,12.69,12.22,12.35
2010-10-06,12.32,12.49,12.13,12.47
2010-10-07,12.5,12.5,11.61,11.85
2010-10-08,11.8,12.11,11.72,11.98
2010-10-11,11.95,12.15,11.91,12.05
2010-10-12,12.01,12.3,11.91,12.3
2010-10-13,12.31,12.33,12.02,12.07
2010-10-14,12.07,12.23,12.0,12.15
2010-10-15,12.35,12.35,11.86,11.94
2010-10-18,11.96,12.29,11.65,12.24
2010-10-19,12.06,12.25,12.01,12.11
2010-10-20,12.17,12.45,11.52,12.2
2010-10-21,12.11,12.4,12.11,12.25
2010-10-22,12.2,12.61,12.18,12.33
2010-10-25,12.2,12.59,12.2,12.37
2010-10-26,12.25,12.49,11.91,12.28
2010-10-27,12.28,12.8,12.28,12.77
2010-10-28,12.82,13.35,12.6,13.19
2010-10-29,13.16,13.47,12.88,13.19
2010-11-01,13.27,13.5,12.56,12.69
2010-11-02,12.9,13.43,12.47,13.27
2010-11-03,13.21,13.8,13.11,13.64
2010-11-04,13.74,14.0,13.53,13.97
2010-11-05,13.9,14.0,13.64,13.97
2010-11-08,14.0,14.0,13.61,13.77
2010-11-09,13.72,13.95,13.2,13.63
2010-11-10,13.6,13.73,13.05,13.32
2010-11-11,13.2,13.2,12.58,12.86
2010-11-12,12.69,13.08,12.64,12.82
2010-11-15,12.9,13.14,12.78,12.98
2010-11-16,12.73,13.27,12.63,12.84
2010-11-17,12.8,12.9,12.76,12.8
2010-11-18,13.0,13.0,12.61,12.9
2010-11-19,12.89,12.9,12.7,12.9
2010-11-22,12.85,13.32,12.84,12.99
2010-11-23,12.8,12.9,12.7,12.8
2010-11-24,12.88,12.93,12.5,12.66
2010-11-26,12.56,12.93,12.56,12.83
2010-11-29,12.81,13.11,12.6,12.73
