Date,Open,High,Low,Close
1997-08-20,0.0,42.15,40.58,41.02
1997-08-21,0.0,41.4,39.9,40.02
1997-08-22,0.0,40.9,38.52,40.9
1997-08-25,0.0,41.08,39.58,39.64
1997-08-26,0.0,39.77,38.46,38.64
1997-08-27,0.0,39.27,37.83,38.39
1997-08-28,0.0,38.64,36.14,36.33
1997-08-29,0.0,38.52,36.39,38.14
1997-09-02,0.0,39.21,38.14,38.89
1997-09-03,0.0,39.39,38.39,38.52
1997-09-04,0.0,39.33,38.52,39.08
1997-09-05,0.0,39.96,39.08,39.52
1997-09-08,0.0,40.02,39.21,39.96
1997-09-09,0.0,40.08,39.14,39.83
1997-09-10,0.0,39.64,37.64,37.96
1997-09-11,0.0,39.21,37.21,38.96
1997-09-12,0.0,39.39,37.89,38.71
1997-09-15,0.0,39.46,37.96,38.02
1997-09-16,0.0,39.64,38.02,39.58
1997-09-17,0.0,37.64,35.77,36.08
1997-09-18,0.0,37.58,36.21,36.71
1997-09-19,0.0,37.71,36.39,37.52
1997-09-22,0.0,38.14,37.14,37.18
1997-09-23,0.0,37.96,36.96,37.39
1997-09-24,0.0,39.14,37.89,37.96
1997-09-25,0.0,38.64,37.08,38.27
1997-09-26,0.0,38.52,37.39,37.64
1997-09-29,0.0,37.89,36.89,37.39
1997-09-30,0.0,37.52,36.46,36.46
1997-10-01,0.0,37.02,35.64,36.02
1997-10-02,0.0,36.77,35.52,36.02
1997-10-03,0.0,37.77,36.33,36.89
1997-10-06,0.0,37.77,36.77,37.08
1997-10-07,0.0,37.77,36.82,37.55
1997-10-08,0.0,37.77,36.77,37.27
1997-10-09,0.0,37.52,36.77,37.21
1997-10-10,0.0,37.02,36.02,36.14
1997-10-13,0.0,36.71,36.14,36.39
1997-10-14,0.0,36.64,35.64,36.02
1997-10-15,0.0,35.96,34.64,35.02
1997-10-16,0.0,35.52,34.02,34.46
1997-10-17,0.0,34.58,33.39,34.2
1997-10-20,0.0,34.96,34.2,34.52
1997-10-21,0.0,35.77,34.89,35.71
1997-10-22,0.0,36.39,34.89,35.08
1997-10-23,0.0,34.77,33.27,34.14
1997-10-24,0.0,35.14,33.58,33.95
1997-10-27,0.0,34.02,31.02,31.02
1997-10-28,0.0,34.89,28.76,34.71
1997-10-29,0.0,35.89,34.02,35.08
1997-10-30,0.0,35.89,33.52,33.77
1997-10-31,0.0,35.89,34.52,35.8
1997-11-03,0.0,36.77,35.02,35.89
1997-11-04,0.0,36.89,35.77,36.71
1997-11-05,0.0,37.27,36.27,36.39
1997-11-06,0.0,36.39,35.21,35.39
1997-11-07,0.0,35.14,33.77,34.96
1997-11-10,0.0,36.02,34.52,34.64
1997-11-11,0.0,35.14,34.27,34.96
1997-11-12,0.0,35.02,31.77,32.52
1997-11-13,0.0,33.64,31.95,33.39
1997-11-14,0.0,34.89,33.52,34.46
1997-11-17,0.0,36.14,35.02,35.27
1997-11-18,0.0,35.46,34.64,34.77
1997-11-19,0.0,35.02,34.02,34.83
1997-11-20,0.0,35.83,34.64,35.21
1997-11-21,0.0,35.89,34.39,35.02
1997-11-24,0.0,34.27,32.02,32.52
1997-11-25,0.0,34.02,32.64,33.45
1997-11-26,0.0,34.2,32.64,32.89
1997-11-28,0.0,33.52,32.52,33.33
1997-12-01,0.0,32.39,31.27,31.89
1997-12-02,0.0,31.7,30.02,30.39
1997-12-03,0.0,30.64,29.64,30.27
1997-12-04,0.0,31.39,30.2,30.27
1997-12-05,0.0,31.52,30.2,31.2
1997-12-08,0.0,32.52,31.33,32.39
1997-12-09,0.0,24.26,22.39,22.95
1997-12-10,0.0,23.89,22.76,23.45
1997-12-11,0.0,23.45,21.76,21.95
1997-12-12,0.0,22.98,21.95,22.76
1997-12-15,0.0,23.45,22.82,23.2
1997-12-16,0.0,23.57,23.14,23.32
1997-12-17,0.0,23.76,22.39,22.64
1997-12-18,0.0,23.01,22.01,22.01
1997-12-19,0.0,22.2,21.01,21.64
1997-12-22,0.0,22.76,21.64,21.76
1997-12-23,0.0,21.89,20.95,21.04
1997-12-24,0.0,21.39,21.01,21.07
1997-12-26,0.0,21.45,21.07,21.45
1997-12-29,0.0,22.01,21.45,21.76
1997-12-30,0.0,22.39,21.76,22.39
1997-12-31,0.0,22.51,22.01,22.32
1998-01-02,0.0,23.45,22.14,23.01
1998-01-05,0.0,23.51,22.89,23.39
1998-01-06,0.0,23.39,22.45,22.7
1998-01-07,0.0,22.51,21.01,21.14
1998-01-08,0.0,21.51,20.14,20.32
1998-01-09,0.0,20.26,18.63,18.76
1998-01-12,0.0,18.76,17.76,18.07
1998-01-13,0.0,19.26,18.38,19.07
1998-01-14,0.0,19.89,19.13,19.57
1998-01-15,0.0,19.76,18.88,19.26
1998-01-16,0.0,19.82,19.32,19.45
1998-01-20,0.0,20.26,19.76,20.26
1998-01-21,0.0,20.51,20.01,20.14
1998-01-22,0.0,20.2,19.76,19.95
1998-01-23,0.0,20.26,19.2,19.45
1998-01-26,0.0,19.51,18.88,18.95
1998-01-27,0.0,19.2,18.82,19.01
1998-01-28,0.0,21.51,20.57,21.2
1998-01-29,0.0,22.89,21.51,22.36
1998-01-30,0.0,23.89,22.76,23.26
1998-02-02,0.0,24.89,24.45,24.64
1998-02-03,0.0,24.89,24.14,24.7
1998-02-04,0.0,24.76,24.2,24.45
1998-02-05,0.0,25.26,23.64,23.89
1998-02-06,0.0,27.01,23.76,27.01
1998-02-09,0.0,28.75,27.01,27.7
1998-02-10,0.0,27.95,26.83,27.26
1998-02-11,0.0,27.39,26.58,26.95
1998-02-12,0.0,27.01,25.83,26.89
1998-02-13,0.0,26.76,26.14,26.39
1998-02-17,0.0,27.01,25.45,25.64
1998-02-18,0.0,26.2,25.14,25.95
1998-02-19,0.0,26.14,25.14,25.33
1998-02-20,0.0,25.64,24.32,25.14
1998-02-23,0.0,26.45,25.51,26.39
1998-02-24,0.0,26.83,25.76,26.2
1998-02-25,0.0,26.33,25.33,26.08
1998-02-26,0.0,25.89,25.14,25.58
1998-02-27,0.0,25.45,24.39,24.64
1998-03-02,0.0,24.7,24.14,24.14
1998-03-03,0.0,26.2,24.14,26.08
1998-03-04,0.0,26.76,25.7,26.08
1998-03-05,0.0,25.95,24.98,25.33
1998-03-06,0.0,27.01,25.14,26.89
1998-03-09,0.0,27.09,25.39,25.58
1998-03-10,0.0,27.14,26.09,27.01
1998-03-11,0.0,28.08,27.14,27.95
1998-03-12,0.0,28.26,26.76,27.7
1998-03-13,0.0,31.02,29.01,29.2
1998-03-16,0.0,29.95,29.39,29.64
1998-03-17,0.0,29.7,28.51,28.76
1998-03-18,0.0,29.58,28.26,29.39
1998-03-19,0.0,29.45,28.89,29.26
1998-03-20,0.0,29.26,28.45,28.95
1998-03-23,0.0,30.14,28.51,30.08
1998-03-24,0.0,30.64,29.89,30.33
1998-03-25,0.0,31.02,30.39,30.89
1998-03-26,0.0,31.53,30.39,31.52
1998-03-27,0.0,31.77,30.52,31.08
1998-03-30,0.0,31.39,30.64,31.33
1998-03-31,0.0,31.7,31.27,31.58
1998-04-01,0.0,31.89,30.64,31.39
1998-04-02,0.0,31.2,29.89,30.14
1998-04-03,0.0,29.33,27.76,28.14
1998-04-06,0.0,27.95,26.64,27.14
1998-04-07,0.0,27.2,26.26,27.14
1998-04-08,0.0,27.51,26.64,27.08
1998-04-09,0.0,27.26,26.64,26.95
1998-04-13,0.0,28.64,26.58,28.45
1998-04-14,0.0,28.89,28.01,28.51
1998-04-15,0.0,28.7,27.95,28.26
1998-04-16,0.0,28.14,27.39,27.51
1998-04-17,0.0,27.64,27.01,27.26
1998-04-20,0.0,27.83,27.08,27.51
1998-04-21,0.0,27.58,27.14,27.58
1998-04-22,0.0,27.7,27.33,27.51
1998-04-23,0.0,27.39,26.08,26.08
1998-04-24,0.0,27.01,26.14,26.7
1998-04-27,0.0,26.45,25.83,26.33
1998-04-28,0.0,27.01,26.14,26.26
1998-04-29,0.0,26.51,25.83,26.39
1998-04-30,0.0,26.89,25.89,25.89
1998-05-01,0.0,26.2,25.33,25.58
1998-05-04,0.0,26.64,25.64,26.33
1998-05-05,0.0,26.14,25.29,25.83
1998-05-06,0.0,26.5,25.83,26.33
1998-05-07,0.0,26.45,25.95,26.08
1998-05-08,0.0,26.89,26.01,26.89
1998-05-11,0.0,27.01,26.01,26.01
1998-05-12,0.0,26.2,25.51,26.08
1998-05-13,0.0,26.26,25.83,26.01
1998-05-14,0.0,26.58,25.76,26.26
1998-05-15,0.0,26.14,25.64,25.89
1998-05-18,0.0,26.01,25.51,25.7
1998-05-19,0.0,26.14,25.7,26.08
1998-05-20,0.0,26.26,25.01,25.14
1998-05-21,0.0,25.51,24.26,24.64
1998-05-22,0.0,24.64,23.82,24.39
1998-05-26,0.0,24.64,23.89,24.01
1998-05-27,0.0,24.2,23.45,23.89
1998-05-28,0.0,24.64,23.7,24.64
1998-05-29,0.0,24.95,23.57,23.64
1998-06-01,0.0,24.08,22.51,22.82
1998-06-02,0.0,24.57,22.07,24.39
1998-06-03,0.0,24.64,23.51,23.57
1998-06-04,0.0,24.95,23.64,24.82
1998-06-05,0.0,26.51,24.95,25.95
1998-06-08,0.0,26.2,25.64,25.89
1998-06-09,0.0,26.39,25.83,26.08
1998-06-10,0.0,26.08,24.76,24.89
1998-06-11,0.0,25.08,24.08,24.39
1998-06-12,0.0,25.33,24.2,25.08
1998-06-15,0.0,25.51,24.45,24.57
1998-06-16,0.0,24.89,23.89,24.26
1998-06-17,0.0,25.61,24.14,24.32
1998-06-18,0.0,25.45,24.39,24.64
1998-06-19,0.0,24.76,23.95,24.26
1998-06-22,0.0,24.57,23.76,24.2
1998-06-23,0.0,25.01,24.32,24.45
1998-06-24,0.0,25.26,24.2,25.01
1998-06-25,0.0,25.39,24.51,24.7
1998-06-26,0.0,24.82,24.32,24.64
1998-06-29,0.0,24.89,24.2,24.51
1998-06-30,0.0,24.82,23.95,24.57
1998-07-01,0.0,24.57,24.01,24.08
1998-07-02,0.0,24.01,22.76,22.89
1998-07-06,0.0,23.2,22.89,23.07
1998-07-07,0.0,23.07,22.64,22.89
1998-07-08,0.0,23.64,22.82,23.57
1998-07-09,0.0,24.82,23.7,24.45
1998-07-10,0.0,25.14,23.89,25.08
1998-07-13,0.0,25.76,25.08,25.64
1998-07-14,0.0,26.08,25.64,26.01
1998-07-15,0.0,27.39,26.01,27.08
1998-07-16,0.0,27.89,27.08,27.7
1998-07-17,0.0,27.76,26.83,27.09
1998-07-20,0.0,28.14,26.83,27.58
1998-07-21,0.0,28.51,27.51,27.76
1998-07-22,0.0,27.08,25.64,25.95
1998-07-23,0.0,25.7,25.01,25.14
1998-07-24,0.0,25.45,24.01,24.64
1998-07-27,0.0,26.76,24.26,26.7
1998-07-28,0.0,27.08,26.2,26.95
1998-07-29,0.0,27.01,26.39,26.64
1998-07-30,0.0,26.95,26.58,26.7
1998-07-31,0.0,27.26,26.51,26.51
1998-08-03,0.0,26.95,26.08,26.64
1998-08-04,0.0,27.26,25.26,25.51
1998-08-05,0.0,25.64,24.45,25.2
1998-08-06,0.0,25.7,24.57,25.64
1998-08-07,0.0,25.7,25.08,25.14
1998-08-10,0.0,25.33,24.64,24.64
1998-08-11,0.0,24.64,23.82,24.51
1998-08-12,0.0,25.64,24.51,25.33
1998-08-13,0.0,25.45,24.51,24.51
1998-08-14,0.0,25.01,23.32,23.82
1998-08-17,0.0,24.08,23.39,23.82
1998-08-18,0.0,24.2,23.07,23.32
1998-08-19,0.0,24.64,23.39,24.45
1998-08-20,0.0,24.76,23.76,24.57
1998-08-21,0.0,25.08,23.76,24.95
1998-08-24,0.0,25.2,24.08,24.26
1998-08-25,0.0,24.64,23.7,24.14
1998-08-26,0.0,24.39,23.51,23.82
1998-08-27,0.0,23.45,22.51,22.64
1998-08-28,0.0,22.82,21.01,21.32
1998-08-31,0.0,22.01,19.82,19.95
1998-09-01,0.0,20.76,18.2,20.57
1998-09-02,0.0,21.01,20.07,20.32
1998-09-03,0.0,20.7,18.95,19.07
1998-09-04,0.0,20.82,19.51,20.7
1998-09-08,0.0,21.95,20.89,21.64
1998-09-09,0.0,22.64,21.51,21.82
1998-09-10,0.0,22.2,20.89,22.14
1998-09-11,0.0,25.64,24.51,25.51
1998-09-14,0.0,26.58,25.76,26.58
1998-09-15,0.0,27.14,25.7,27.01
1998-09-16,0.0,27.58,26.89,27.26
1998-09-17,0.0,27.08,26.14,26.83
1998-09-18,0.0,27.33,26.64,27.2
1998-09-21,0.0,28.14,26.45,27.83
1998-09-22,0.0,28.83,27.95,28.64
1998-09-23,0.0,28.95,27.89,28.64
1998-09-24,0.0,28.83,28.01,28.39
1998-09-25,0.0,29.01,27.83,28.95
