Date,Open,High,Low,Close
2002-01-14,37.59,37.75,36.38,36.84
2002-01-15,37.03,38.3,36.91,37.8
2002-01-16,37.91,38.0,37.05,37.05
2002-01-17,37.21,37.98,36.65,37.61
2002-01-18,37.15,37.32,36.16,36.24
2002-01-22,36.79,36.79,35.27,35.35
2002-01-23,35.43,35.94,35.35,35.84
2002-01-24,36.05,36.46,35.75,36.24
2002-01-25,36.31,36.41,35.85,36.06
2002-01-28,36.03,36.35,34.75,35.35
2002-01-29,34.45,34.66,31.85,34.15
2002-01-30,34.4,36.03,34.3,35.89
2002-01-31,35.7,36.7,35.4,36.7
2002-02-01,36.14,36.54,35.21,35.8
2002-02-04,35.8,35.83,34.82,35.14
2002-02-05,35.18,35.87,34.68,35.15
2002-02-06,35.5,35.57,34.42,34.87
2002-02-07,34.76,36.11,34.75,34.95
2002-02-08,34.95,36.09,34.8,35.99
2002-02-11,35.9,36.58,35.83,36.3
2002-02-12,35.84,35.96,35.13,35.4
2002-02-13,35.43,36.21,35.22,35.54
2002-02-14,35.67,36.19,35.0,35.4
2002-02-15,35.35,36.35,35.28,36.1
2002-02-19,35.86,36.05,35.56,35.8
2002-02-20,35.96,36.52,35.7,36.08
2002-02-21,36.19,36.42,35.28,35.3
2002-02-22,35.33,36.6,35.25,36.34
2002-02-25,36.34,37.5,36.34,37.22
2002-02-26,37.22,37.49,36.62,37.14
2002-02-27,37.23,37.3,36.35,36.78
2002-02-28,36.8,37.25,36.63,36.95
2002-03-01,36.96,38.63,36.77,38.4
2002-03-04,38.59,41.55,38.53,41.27
2002-03-05,40.95,41.46,39.75,40.16
2002-03-06,40.01,40.85,39.69,40.64
2002-03-07,41.2,42.15,40.25,40.66
2002-03-08,41.6,41.78,40.68,41.38
2002-03-11,41.0,41.78,39.92,41.56
2002-03-12,41.05,41.75,40.69,41.55
2002-03-13,41.06,41.29,39.75,40.28
2002-03-14,40.0,40.01,38.56,39.55
2002-03-15,39.75,40.78,39.5,40.55
2002-03-18,40.75,41.44,40.61,40.96
2002-03-19,40.65,41.86,40.65,41.4
2002-03-20,41.19,41.2,39.5,39.61
2002-03-21,38.8,39.62,38.33,39.5
2002-03-22,39.27,39.6,38.37,39.26
2002-03-25,38.89,39.24,38.0,38.15
2002-03-26,38.04,38.82,38.0,38.38
2002-03-27,38.21,38.5,38.0,38.32
2002-03-28,38.4,40.07,38.34,39.7
2002-04-01,39.44,39.5,38.46,39.26
2002-04-02,39.04,39.2,38.69,38.79
2002-04-03,39.04,39.6,38.11,38.59
2002-04-04,38.7,38.98,37.87,38.6
2002-04-05,38.74,39.3,38.51,38.94
2002-04-08,38.49,39.57,38.49,39.55
2002-04-09,39.6,39.96,39.23,39.4
2002-04-10,39.7,40.75,39.52,40.61
2002-04-11,40.47,40.77,39.96,39.96
2002-04-12,40.24,41.0,39.5,40.75
2002-04-15,41.3,41.4,40.26,40.5
2002-04-16,40.85,41.36,40.56,41.36
2002-04-17,41.23,41.3,39.73,40.21
2002-04-18,40.15,40.54,39.03,40.0
2002-04-19,40.23,40.5,39.25,39.27
2002-04-22,39.06,39.4,38.2,38.86
2002-04-23,39.0,39.14,38.28,38.46
2002-04-24,38.42,38.88,38.0,38.1
2002-04-25,38.1,38.25,37.13,38.1
2002-04-26,38.3,38.84,37.31,37.33
2002-04-29,37.61,37.69,35.64,36.19
2002-04-30,36.24,38.58,36.15,37.33
2002-05-01,37.5,37.5,35.93,37.04
2002-05-02,36.9,37.62,35.85,36.52
