Date,Open,High,Low,Close
2009-10-29,169.0,169.0,160.42,162.62
2009-10-30,167.67,167.67,154.12,157.79
2009-11-02,157.51,163.59,157.29,162.58
2009-11-03,162.29,166.77,159.3,164.5
2009-11-04,166.0,167.95,162.77,165.52
2009-11-05,167.68,170.5,166.67,168.01
2009-11-06,167.49,172.0,167.25,172.0
2009-11-09,175.2,176.5,172.1,173.73
2009-11-10,194.92,209.19,173.73,204.22
2009-11-11,201.74,202.58,195.25,196.8
2009-11-12,197.64,202.77,196.3,197.15
2009-11-13,198.0,201.96,195.09,201.93
2009-11-16,203.54,208.99,201.41,206.14
2009-11-17,205.25,209.96,203.21,209.29
2009-11-18,208.45,210.4,207.0,209.68
2009-11-19,207.52,208.33,202.21,207.64
2009-11-20,205.62,209.8,204.37,208.75
2009-11-23,211.46,214.47,210.0,211.89
2009-11-24,212.95,213.0,209.38,210.88
2009-11-25,211.96,213.0,209.27,212.9
2009-11-27,207.99,211.0,205.41,208.21
2009-11-30,206.55,214.57,206.25,214.12
2009-12-01,215.17,216.0,212.28,214.8
2009-12-02,214.37,218.51,213.65,218.03
2009-12-03,218.57,223.82,217.5,220.01
2009-12-04,223.89,226.57,217.01,220.72
2009-12-07,221.33,221.99,213.65,216.12
2009-12-08,215.87,218.23,215.0,216.06
2009-12-09,216.48,218.0,212.41,217.74
2009-12-10,219.0,222.96,218.58,221.72
2009-12-11,221.65,224.24,217.15,220.7
2009-12-14,222.25,222.85,219.28,221.46
2009-12-15,220.66,221.05,217.73,218.31
2009-12-16,218.72,222.64,218.72,221.5
2009-12-17,219.02,222.45,214.59,215.48
2009-12-18,215.03,217.14,211.86,216.39
2009-12-21,216.82,219.79,216.16,219.23
2009-12-22,220.2,222.86,218.4,220.31
2009-12-23,221.58,229.35,220.12,229.0
2009-12-24,229.48,231.23,227.58,228.0
2009-12-28,228.5,231.49,227.93,229.24
2009-12-29,227.51,230.49,224.03,224.67
2009-12-30,223.17,225.7,220.66,223.61
2009-12-31,224.59,224.59,218.09,218.41
2010-01-04,222.32,225.3,221.58,223.96
2010-01-05,224.1,228.0,222.16,226.56
2010-01-06,225.12,226.42,218.15,219.08
2010-01-07,219.62,220.5,214.12,216.13
2010-01-08,213.1,218.43,212.13,216.21
2010-01-11,217.8,219.5,212.25,218.91
2010-01-12,216.06,216.99,210.25,213.98
2010-01-13,214.45,215.92,207.76,214.3
2010-01-14,212.97,214.73,206.01,208.77
2010-01-15,208.21,210.5,205.55,208.77
2010-01-19,208.55,212.45,207.79,208.7
2010-01-20,206.53,211.5,203.09,206.31
2010-01-21,205.88,211.11,205.54,208.04
2010-01-22,207.86,209.56,202.81,204.2
2010-01-25,205.41,206.01,199.89,202.84
2010-01-26,202.41,207.21,200.84,204.44
2010-01-27,203.66,208.49,203.18,207.52
2010-01-28,208.12,209.7,201.39,201.68
