Date,Open,High,Low,Close
1999-12-31,10.8125,10.8125,10.625,10.65625
2000-01-03,10.78125,10.78125,10.1875,10.5625
2000-01-04,10.34375,10.5625,9.75,10.03125
2000-01-05,10.0,11.625,9.78125,11.1875
2000-01-06,11.1875,11.5,10.9375,11.15625
2000-01-07,11.125,11.359375,10.953125,11.3125
2000-01-10,11.4375,11.5625,11.0,11.429675
2000-01-11,11.25,11.5,11.25,11.34375
2000-01-12,11.34375,11.375,11.0625,11.125
2000-01-13,11.09375,12.0625,11.09375,12.0
2000-01-14,12.0,12.0,11.65625,11.6875
2000-01-18,11.6328,11.75,11.1875,11.75
2000-01-19,11.65625,11.71875,11.578125,11.625
2000-01-20,11.5703,11.65625,11.3125,11.5
2000-01-21,11.578125,12.0,11.46875,11.703125
2000-01-24,11.71875,11.875,11.453125,11.453125
2000-01-25,11.625,11.71875,11.4375,11.71875
2000-01-26,11.734375,11.839825,11.4375,11.53125
2000-01-27,11.53125,11.640625,11.4375,11.578125
2000-01-28,11.515625,11.671875,11.0039,11.015625
2000-01-31,11.03125,11.5,10.75,10.890625
2000-02-01,11.0,11.0,10.59375,10.671875
2000-02-02,10.75,11.6875,10.5,11.03125
2000-02-03,10.96875,11.6875,10.96875,11.609375
2000-02-04,11.625,11.625,11.09765,11.171875
2000-02-07,11.28125,11.28125,10.6875,10.75
2000-02-08,10.75,10.984375,10.03125,10.1875
2000-02-09,10.25,10.59375,9.984375,9.984375
2000-02-10,10.28125,10.3125,9.625,10.015625
2000-02-11,10.046875,10.046875,9.5625,9.671875
2000-02-14,9.6875,10.109375,9.4375,9.75
2000-02-15,9.6875,9.90625,9.59375,9.671875
2000-02-16,9.8125,9.8125,9.1875,9.21875
2000-02-17,9.296875,9.390625,8.578125,8.890625
2000-02-18,8.640625,9.03125,8.5625,8.75
2000-02-22,8.75,8.875,8.125,8.21875
2000-02-23,8.390625,9.25,8.28125,9.171875
2000-02-24,9.390625,9.8125,9.140625,9.78125
2000-02-25,9.65625,9.65625,8.765625,8.9375
2000-02-28,9.015625,9.03125,8.921875,8.96875
2000-02-29,9.0,9.0625,8.953125,9.0078
2000-03-01,9.015625,9.015625,8.5,8.6953
2000-03-02,8.625,9.03125,8.625,8.75
2000-03-03,8.875,9.03125,8.78125,8.97655
2000-03-06,9.0,9.0,8.75,8.75
2000-03-07,8.96875,8.96875,8.5,8.59375
2000-03-08,8.59375,8.65625,8.375,8.4375
2000-03-09,8.625,8.625,8.25,8.59375
2000-03-10,8.625,8.9375,8.46875,8.46875
2000-03-13,8.8125,9.0625,8.4375,8.875
2000-03-14,8.929675,9.15625,8.75,8.84375
2000-03-15,8.921875,9.3125,8.71875,9.3125
2000-03-16,9.140625,9.71875,9.140625,9.703125
2000-03-17,9.46875,9.78125,9.421875,9.617175
2000-03-20,9.6953,9.78125,9.46875,9.46875
2000-03-21,9.734375,9.78125,9.359375,9.78125
2000-03-22,9.71875,9.78125,9.5,9.734375
2000-03-23,9.765625,9.78125,9.5,9.71875
2000-03-24,9.75,9.78125,9.5,9.6875
2000-03-27,9.75,9.765625,9.5,9.703125
2000-03-28,9.6875,9.78125,9.375,9.40625
2000-03-29,9.75,9.765625,9.34375,9.5
2000-03-30,9.5,9.5,9.25,9.25
2000-03-31,9.25,9.625,9.21875,9.5625
2000-04-03,9.4375,9.5,9.40625,9.421875
2000-04-04,9.5,9.5,9.21875,9.390625
2000-04-05,9.359375,9.625,9.265625,9.59375
2000-04-06,9.5625,9.890625,9.5625,9.859375
2000-04-07,9.875,10.3125,9.875,10.25
2000-04-10,10.25,10.28125,9.8125,9.84375
2000-04-11,9.90625,10.5,9.8125,10.375
2000-04-12,10.8125,11.59375,10.5,11.28125
2000-04-13,11.1875,11.9375,11.15625,11.53125
2000-04-14,11.4375,11.5,11.125,11.203125
2000-04-17,10.90625,11.28125,10.4375,11.125
2000-04-18,11.125,12.0,10.65625,11.8125
2000-04-19,11.75,11.9375,11.609375,11.859375
2000-04-20,11.859375,12.0625,11.6875,11.875
2000-04-24,11.734375,12.03125,11.625,11.8125
2000-04-25,11.734375,12.25,11.484375,12.21875
2000-04-26,12.234375,12.375,12.0,12.375
2000-04-27,12.21875,12.34375,11.765625,12.34375
2000-04-28,12.234375,12.359375,11.734375,12.03125
2000-05-01,11.75,12.375,11.703125,12.1875
2000-05-02,12.1875,12.1875,11.28125,11.328125
2000-05-03,11.3125,11.5625,10.90625,11.390625
2000-05-04,11.46875,11.640625,11.4375,11.59375
2000-05-05,11.671875,12.25,11.421875,12.1875
2000-05-08,11.8125,12.21875,11.75,11.78125
2000-05-09,12.0,12.0,10.71875,11.484375
2000-05-10,11.03125,12.0625,11.03125,11.75
2000-05-11,11.671875,12.25,11.65625,12.140625
2000-05-12,12.25,12.25,11.984375,12.125
2000-05-15,12.0,12.375,12.0,12.3125
2000-05-16,12.3125,12.5,12.21875,12.390625
2000-05-17,12.328125,12.40625,12.0625,12.171875
2000-05-18,12.171875,12.21875,12.15625,12.15625
2000-05-19,12.15625,12.203125,12.03125,12.09375
2000-05-22,12.171875,12.171875,12.0625,12.078125
2000-05-23,12.125,12.1875,11.609375,11.625
2000-05-24,11.65625,12.4375,11.65625,12.375
2000-05-25,12.359375,12.8125,12.3125,12.375
2000-05-26,12.375,12.375,11.5,11.96875
2000-05-30,12.0,13.046875,11.96875,12.90625
2000-05-31,12.625,12.96875,12.59375,12.734375
2000-06-01,12.765625,12.78125,12.625,12.78125
2000-06-02,13.03125,13.0625,12.65625,12.84375
2000-06-05,12.78125,13.5,12.71875,13.4375
2000-06-06,13.0703,13.46875,12.96875,13.09375
2000-06-07,13.09375,13.25,12.875,13.25
2000-06-08,13.0078,13.40625,13.0078,13.34375
2000-06-09,13.421875,13.46875,13.375,13.421875
2000-06-12,13.460925,13.46875,12.625,12.796875
2000-06-13,12.546875,13.359375,12.4375,13.359375
