Date,Open,High,Low,Close
2001-12-24,33.8,34.09,33.36,33.74
2001-12-26,33.98,34.24,32.85,33.34
2001-12-27,33.5,33.75,32.46,33.38
2001-12-28,33.45,34.47,33.45,34.02
2001-12-31,34.1,34.25,31.92,32.8
2002-01-02,32.97,32.97,30.21,31.49
2002-01-03,31.57,32.28,30.1,30.59
2002-01-04,30.8,31.43,28.9,31.14
2002-01-07,31.46,31.75,29.73,30.0
2002-01-08,29.81,30.45,28.05,28.88
2002-01-09,29.42,29.65,28.35,28.36
2002-01-10,28.41,29.5,27.51,29.33
2002-01-11,29.55,29.97,28.65,28.79
2002-01-14,28.5,29.16,26.27,26.27
2002-01-15,26.74,27.18,25.34,25.93
2002-01-16,25.82,27.1,25.0,25.0
2002-01-17,25.67,25.68,23.01,24.03
2002-01-18,23.5,25.27,23.07,23.49
2002-01-22,23.95,24.6,23.26,23.63
2002-01-23,24.1,25.6,23.06,24.94
2002-01-24,25.11,25.22,23.87,24.48
2002-01-25,24.38,24.56,23.3,23.5
2002-01-28,24.1,24.2,22.09,22.71
2002-01-29,22.75,22.93,21.31,21.9
2002-01-30,22.17,22.25,20.82,22.21
2002-01-31,23.25,23.6,22.1,22.26
2002-02-01,22.73,23.79,22.45,23.0
2002-02-04,22.81,22.9,20.92,21.28
2002-02-05,21.1,21.8,20.75,21.11
2002-02-06,21.61,21.61,20.0,20.15
2002-02-07,20.41,20.41,18.84,19.03
2002-02-08,19.48,21.79,19.15,21.71
2002-02-11,21.75,22.2,21.1,22.06
2002-02-12,21.58,24.25,21.55,23.56
2002-02-13,23.93,24.25,22.88,22.98
2002-02-14,22.83,23.39,21.48,21.59
2002-02-15,21.67,21.71,20.3,20.8
2002-02-19,17.95,18.05,16.6,16.99
2002-02-20,17.33,17.95,16.95,17.64
2002-02-21,17.41,18.13,16.89,16.94
2002-02-22,17.0,17.16,15.82,16.51
2002-02-25,16.31,16.6,15.29,15.74
2002-02-26,15.8,17.23,15.6,16.62
2002-02-27,17.28,17.61,16.16,16.17
2002-02-28,16.33,17.03,15.58,15.87
2002-03-01,14.05,15.4,13.75,14.94
2002-03-04,15.1,16.35,15.09,16.18
2002-03-05,16.3,17.3,15.8,16.19
2002-03-06,16.45,18.18,16.4,18.01
2002-03-07,18.54,18.6,17.25,17.53
2002-03-08,17.85,18.25,17.25,17.5
2002-03-11,17.41,17.47,16.35,16.48
2002-03-12,16.49,17.32,16.06,17.0
2002-03-13,17.05,18.42,16.95,18.12
2002-03-14,18.27,18.38,17.2,17.27
2002-03-15,17.5,17.56,16.74,16.95
2002-03-18,17.18,17.2,16.39,16.85
2002-03-19,16.95,17.23,15.77,16.01
2002-03-20,15.91,15.91,14.99,15.02
2002-03-21,16.57,18.37,16.46,18.3
2002-03-22,17.85,18.79,17.81,17.91
2002-03-25,18.01,18.02,16.84,17.01
2002-03-26,17.05,17.65,16.84,17.1
2002-03-27,17.14,17.39,16.95,16.99
2002-03-28,17.08,17.8,17.0,17.13
2002-04-01,17.25,17.3,16.5,17.05
2002-04-02,16.99,17.22,16.0,16.03
2002-04-03,16.15,16.67,16.0,16.22
2002-04-04,16.2,16.73,15.7,15.95
2002-04-05,15.99,16.18,15.28,15.46
2002-04-08,15.07,15.96,14.83,15.63
2002-04-09,15.77,16.08,15.08,15.09
2002-04-10,15.39,16.64,15.39,16.47
2002-04-11,16.54,17.16,15.68,15.95
2002-04-12,16.2,17.4,15.93,17.37
2002-04-15,17.35,17.58,16.72,17.36
2002-04-16,17.59,18.17,17.5,18.02
2002-04-17,18.1,18.56,17.78,18.25
2002-04-18,18.11,20.1,18.05,20.1
2002-04-19,20.42,20.6,19.06,19.72
2002-04-22,19.52,19.57,18.68,18.77
2002-04-23,18.65,19.95,18.54,19.21
2002-04-24,19.33,19.63,18.8,18.9
2002-04-25,18.66,19.41,17.57,18.21
2002-04-26,18.33,18.35,16.75,17.12
2002-04-29,17.2,17.25,16.48,16.67
2002-04-30,16.55,18.6,16.1,17.96
2002-05-01,18.0,18.45,16.82,17.33
2002-05-02,15.04,15.26,13.62,13.9
2002-05-03,13.88,14.37,13.1,13.38
2002-05-06,13.32,13.33,11.9,12.19
2002-05-07,12.23,12.42,10.7,11.35
2002-05-08,11.7,13.32,11.59,13.11
2002-05-09,13.12,13.77,12.25,12.3
2002-05-10,11.81,12.9,11.15,11.82
2002-05-13,12.0,12.77,11.66,11.89
2002-05-14,13.39,13.75,12.88,13.5
2002-05-15,13.0,13.8,12.55,13.1
2002-05-16,12.95,12.96,11.91,12.33
2002-05-17,12.11,12.89,12.06,12.27
2002-05-20,11.05,12.95,10.94,12.28
2002-05-21,12.46,12.75,11.37,11.66
2002-05-22,11.38,12.32,11.25,11.83
2002-05-23,12.08,13.2,11.65,13.05
2002-05-24,12.95,13.13,12.01,12.05
2002-05-28,12.2,12.55,12.0,12.48
2002-05-29,12.37,12.9,11.82,11.86
2002-05-30,11.85,12.35,11.66,12.06
2002-05-31,12.2,12.32,11.24,11.37
2002-06-03,11.57,11.67,10.6,10.62
2002-06-04,10.63,11.15,10.3,10.99
2002-06-05,11.0,11.35,10.56,11.12
2002-06-06,11.06,11.07,9.71,9.73
2002-06-07,9.09,10.46,9.04,10.05
2002-06-10,10.18,10.48,9.91,10.17
2002-06-11,10.21,10.3,8.78,9.01
2002-06-12,8.88,9.4,8.57,9.32
2002-06-13,9.13,9.93,9.1,9.39
2002-06-14,9.19,9.97,8.8,9.6
2002-06-17,9.85,10.3,9.79,10.19
2002-06-18,10.18,10.69,10.11,10.15
2002-06-19,10.16,10.27,9.73,9.77
2002-06-20,9.79,9.83,9.4,9.43
2002-06-21,9.54,9.82,9.2,9.21
2002-06-24,9.31,10.2,9.3,9.67
2002-06-25,9.76,10.35,9.67,9.77
2002-06-26,9.54,10.24,9.49,10.18
2002-06-27,10.25,10.7,9.93,10.7
2002-06-28,10.79,11.01,9.75,10.86
2002-07-01,10.75,10.75,9.66,9.66
2002-07-02,9.54,9.83,8.96,9.5
