Date,Open,High,Low,Close
2002-12-23,17.52,17.8,17.2,17.3
2002-12-24,17.31,17.45,16.75,17.03
2002-12-26,17.12,17.69,17.08,17.19
2002-12-27,17.21,17.53,16.75,16.85
2002-12-30,17.03,17.26,16.56,17.25
2002-12-31,17.34,17.38,16.93,17.13
2003-01-02,17.05,18.04,16.91,17.98
2003-01-03,17.85,18.05,17.75,18.01
2003-01-06,17.9,18.48,17.85,18.24
2003-01-07,18.1,18.5,17.76,18.36
2003-01-08,18.35,18.49,18.0,18.17
2003-01-09,18.33,18.57,18.2,18.38
2003-01-10,18.25,18.35,18.02,18.17
2003-01-13,18.19,18.28,17.45,17.68
2003-01-14,17.35,17.57,16.92,17.05
2003-01-15,17.1,17.1,15.9,16.0
2003-01-16,16.2,16.33,15.95,16.27
2003-01-17,16.16,16.45,15.97,16.16
2003-01-21,15.75,16.15,15.74,15.99
2003-01-22,15.75,15.98,15.27,15.64
2003-01-23,15.6,15.87,15.1,15.15
2003-01-24,15.0,15.01,14.48,14.85
2003-01-27,14.51,15.45,14.5,15.28
2003-01-28,15.4,15.85,15.31,15.42
2003-01-29,15.35,15.75,15.0,15.54
2003-01-30,14.98,15.69,14.98,15.11
2003-01-31,14.98,15.39,14.69,15.0
2003-02-03,15.16,15.28,14.98,15.22
2003-02-04,15.01,15.14,14.74,14.88
2003-02-05,15.04,15.13,14.65,14.8
2003-02-06,14.78,14.91,14.59,14.7
2003-02-07,14.74,15.1,14.69,14.7
2003-02-10,14.72,15.11,14.71,15.01
2003-02-11,15.05,15.16,14.87,15.02
2003-02-12,15.02,15.14,14.77,14.89
2003-02-13,14.99,15.02,14.33,14.58
2003-02-14,14.66,14.97,14.35,14.91
2003-02-18,14.97,15.63,14.97,15.19
2003-02-19,15.14,15.4,14.79,15.07
2003-02-20,15.17,15.4,14.98,15.16
2003-02-21,15.18,15.44,14.98,15.13
2003-02-24,15.24,15.28,14.81,14.84
2003-02-25,14.83,14.96,14.25,14.83
2003-02-26,14.73,14.87,14.45,14.59
2003-02-27,14.65,14.81,14.35,14.44
2003-02-28,14.43,15.25,14.31,14.95
2003-03-03,14.87,14.98,14.18,14.4
2003-03-04,14.34,14.52,14.14,14.25
2003-03-05,11.85,12.25,9.9,11.05
2003-03-06,11.05,11.12,10.56,11.05
2003-03-07,10.61,11.06,10.46,10.62
2003-03-10,10.46,10.67,10.42,10.53
2003-03-11,10.44,10.79,10.41,10.72
