Date,Open,High,Low,Close
2005-12-19,34.0,34.65,33.55,33.6
2005-12-20,33.6,34.41,33.45,34.37
2005-12-21,34.65,34.98,34.17,34.45
2005-12-22,34.46,34.72,34.11,34.24
2005-12-23,33.7,34.25,33.18,34.2
2005-12-27,33.94,33.97,32.25,32.86
2005-12-28,33.24,33.75,32.73,33.36
2005-12-29,33.4,33.82,32.69,32.84
2005-12-30,32.63,33.35,32.35,32.95
2006-01-03,33.12,34.48,32.81,34.24
2006-01-04,34.2,35.27,33.79,35.21
2006-01-05,35.05,35.08,34.03,34.25
2006-01-06,34.78,34.91,34.29,34.42
2006-01-09,34.55,34.6,33.38,34.06
2006-01-10,33.99,34.59,33.92,34.35
2006-01-11,34.26,35.15,33.5,35.01
2006-01-12,35.15,36.64,35.0,35.72
2006-01-13,35.59,36.43,35.15,36.18
2006-01-17,36.69,37.26,36.61,36.92
2006-01-18,36.93,37.09,35.82,36.33
2006-01-19,36.1,38.0,36.05,37.74
2006-01-20,38.05,38.49,36.86,37.47
2006-01-23,37.57,38.41,37.0,38.33
2006-01-24,38.28,38.44,37.6,37.75
2006-01-25,37.85,37.9,36.25,36.45
2006-01-26,36.4,36.59,35.1,36.57
2006-01-27,36.76,37.91,36.44,37.11
2006-01-30,37.4,38.28,37.36,37.85
2006-01-31,37.85,37.85,37.08,37.62
2006-02-01,37.68,38.37,36.48,36.6
2006-02-02,36.46,37.27,35.5,36.25
2006-02-03,36.25,36.67,35.52,35.71
2006-02-06,36.25,37.29,36.04,36.75
2006-02-07,35.67,35.97,33.35,33.64
2006-02-08,33.75,33.94,32.75,33.64
2006-02-09,33.73,34.25,32.13,32.23
2006-02-10,32.28,32.59,30.88,31.97
2006-02-13,31.84,32.62,31.45,31.88
2006-02-14,31.05,31.45,30.23,30.45
2006-02-15,30.34,30.95,29.01,29.45
2006-02-16,29.5,29.86,29.02,29.52
2006-02-17,29.9,30.15,28.68,28.97
2006-02-21,29.78,30.21,29.46,30.05
2006-02-22,29.69,29.7,28.81,29.29
2006-02-23,29.18,29.49,28.5,28.8
2006-02-24,29.19,29.35,28.51,28.66
2006-02-27,28.53,28.66,27.19,27.3
2006-02-28,27.14,27.7,26.66,27.55
2006-03-01,27.84,28.53,27.66,28.48
2006-03-02,28.68,28.86,28.0,28.22
2006-03-03,27.99,28.75,27.87,28.2
2006-03-06,28.03,28.12,26.35,26.5
2006-03-07,26.42,26.61,25.83,26.33
2006-03-08,26.04,26.86,25.61,26.52
2006-03-09,26.84,26.93,25.9,26.23
2006-03-10,26.1,26.72,25.69,26.06
2006-03-13,26.34,27.62,26.15,27.35
2006-03-14,27.6,28.68,27.0,28.62
2006-03-15,28.5,28.57,27.7,28.18
2006-03-16,28.15,28.47,27.31,28.14
2006-03-17,28.8,29.52,27.57,27.69
2006-03-20,27.72,27.94,26.2,26.27
2006-03-21,26.3,27.53,26.01,26.55
2006-03-22,26.84,27.55,26.58,27.01
2006-03-23,27.19,28.04,27.11,27.93
2006-03-24,27.89,28.64,27.81,28.33
2006-03-27,28.25,28.8,28.01,28.66
2006-03-28,29.01,29.58,28.87,29.56
2006-03-29,29.65,30.46,29.4,30.35
2006-03-30,32.03,33.29,31.75,32.54
2006-03-31,32.28,33.0,31.32,31.96
2006-04-03,32.25,33.18,32.07,32.17
2006-04-04,32.05,32.82,31.87,32.59
2006-04-05,33.0,33.07,32.07,32.85
2006-04-06,33.09,33.46,32.44,33.04
2006-04-07,32.8,33.19,32.17,32.76
2006-04-10,33.2,33.33,32.81,32.92
2006-04-11,33.24,33.5,31.9,32.52
2006-04-12,32.44,32.84,31.83,31.99
2006-04-13,31.89,32.0,31.01,31.95
2006-04-17,32.03,32.84,31.8,32.82
2006-04-18,33.06,34.27,32.9,34.01
2006-04-19,33.97,35.17,33.95,35.17
2006-04-20,35.04,35.19,33.4,34.18
2006-04-21,34.13,34.75,33.99,34.35
2006-04-24,34.25,34.38,33.7,33.9
2006-04-25,34.2,34.43,33.12,33.74
2006-04-26,33.92,34.56,33.13,33.22
2006-04-27,32.77,32.87,31.5,32.17
2006-04-28,32.86,33.13,32.07,32.36
2006-05-01,32.79,34.07,32.64,33.52
2006-05-02,33.97,35.14,33.56,34.97
2006-05-03,35.62,35.65,32.63,33.4
2006-05-04,33.35,33.78,32.21,33.22
2006-05-05,33.5,33.82,33.35,33.72
2006-05-08,33.32,33.68,32.88,33.57
2006-05-09,32.86,33.55,32.85,33.3
2006-05-10,33.28,33.89,33.0,33.8
2006-05-11,34.13,34.31,33.02,33.02
2006-05-12,32.95,33.1,31.2,31.8
2006-05-15,31.1,31.42,30.45,30.88
2006-05-16,31.07,31.38,30.35,30.81
2006-05-17,30.69,31.08,29.81,29.99
2006-05-18,30.24,30.3,29.1,29.16
2006-05-19,28.91,29.37,28.5,29.18
2006-05-22,29.0,29.1,27.72,28.37
2006-05-23,28.87,29.54,28.39,28.56
2006-05-24,28.37,28.99,27.16,27.94
2006-05-25,28.2,29.11,27.94,28.92
2006-05-26,28.93,29.44,28.64,28.85
2006-05-30,29.19,29.5,28.65,28.65
2006-05-31,28.65,29.94,28.62,29.9
2006-06-01,29.71,30.79,29.34,30.79
2006-06-02,31.41,31.55,30.4,31.32
2006-06-05,31.62,31.74,29.49,29.72
2006-06-06,29.84,30.0,28.76,29.59
2006-06-07,29.5,29.51,27.85,27.87
2006-06-08,27.63,27.88,26.91,27.75
2006-06-09,28.27,28.49,27.26,27.72
2006-06-12,27.92,28.13,26.3,26.32
2006-06-13,26.13,26.84,25.24,25.51
2006-06-14,25.6,27.05,25.52,26.51
2006-06-15,26.97,28.31,26.84,28.14
2006-06-16,28.0,28.31,27.42,28.05
2006-06-19,27.94,27.94,26.95,27.02
2006-06-20,27.16,27.43,25.75,25.85
2006-06-21,25.99,27.17,25.95,26.59
2006-06-22,26.69,26.99,26.27,26.61
2006-06-23,27.11,27.55,26.94,27.31
2006-06-26,27.05,27.23,26.64,27.0
2006-06-27,27.15,27.35,26.34,26.49
2006-06-28,26.58,26.8,26.01,26.5
2006-06-29,26.92,27.79,26.65,27.77
2006-06-30,28.0,28.41,27.53,28.31
2006-07-03,28.43,28.5,28.2,28.29
2006-07-05,28.25,28.25,27.05,27.9
2006-07-06,27.88,27.99,27.16,27.25
2006-07-07,27.34,27.61,26.18,26.34
2006-07-10,26.29,26.53,25.59,25.69
2006-07-11,25.93,26.2,25.45,26.15
2006-07-12,26.18,26.39,25.65,25.78
2006-07-13,25.32,25.66,25.13,25.19
2006-07-14,25.48,25.62,24.26,24.87
2006-07-17,24.26,24.42,23.33,23.38
2006-07-18,23.56,23.9,22.79,23.49
2006-07-19,23.53,24.26,23.2,24.07
2006-07-20,24.1,24.14,22.9,22.91
2006-07-21,23.02,23.08,22.55,22.55
2006-07-24,22.54,23.84,22.5,23.66
2006-07-25,24.2,25.61,24.15,25.48
2006-07-26,25.41,27.1,25.12,26.73
2006-07-27,27.24,27.25,25.55,25.71
2006-07-28,25.72,26.44,25.46,26.3
2006-07-31,26.87,28.48,26.65,28.32
2006-08-01,28.2,28.4,27.57,28.16
2006-08-02,28.82,29.11,27.75,28.23
2006-08-03,27.82,27.82,26.45,27.26
2006-08-04,27.46,27.6,26.01,26.59
2006-08-07,27.19,27.47,26.64,27.15
2006-08-08,27.1,27.94,26.87,27.13
2006-08-09,27.44,28.14,27.24,27.36
2006-08-10,27.15,27.77,26.96,27.18
2006-08-11,27.27,27.41,26.63,26.9
2006-08-14,26.75,26.75,25.84,26.09
2006-08-15,26.49,26.79,26.1,26.72
2006-08-16,26.8,27.45,26.48,27.04
2006-08-17,26.79,26.88,26.14,26.39
2006-08-18,26.5,27.19,26.18,27.05
2006-08-21,27.26,27.86,27.26,27.65
2006-08-22,27.58,27.94,27.37,27.47
2006-08-23,27.54,27.76,26.68,26.94
2006-08-24,27.1,27.57,26.65,27.49
2006-08-25,27.67,28.25,27.67,27.89
2006-08-28,27.2,27.69,26.91,27.12
2006-08-29,27.07,27.86,26.75,27.73
2006-08-30,27.72,27.73,26.66,27.12
2006-08-31,27.07,27.75,26.86,27.4
2006-09-01,27.4,27.96,27.37,27.89
2006-09-05,27.55,27.96,27.37,27.65
2006-09-06,27.43,27.45,26.32,26.44
2006-09-07,26.32,26.76,25.95,26.38
2006-09-08,26.46,26.64,25.16,25.28
2006-09-11,24.96,25.09,24.2,24.43
2006-09-12,24.43,24.75,23.72,24.23
2006-09-13,24.32,24.77,24.1,24.46
2006-09-14,24.4,24.63,23.1,23.49
2006-09-15,23.57,23.58,22.94,23.08
2006-09-18,23.05,23.81,22.99,23.71
2006-09-19,23.84,23.98,22.73,23.0
2006-09-20,23.0,23.16,21.88,21.93
2006-09-21,22.0,22.9,22.0,22.25
2006-09-22,22.5,22.74,21.84,22.22
2006-09-25,21.92,23.46,21.92,23.1
2006-09-26,23.01,23.84,23.01,23.6
2006-09-27,23.52,24.14,23.2,23.76
2006-09-28,23.86,24.09,23.58,23.73
2006-09-29,23.69,24.18,23.51,23.76
2006-10-02,23.8,23.8,22.38,22.4
2006-10-03,21.95,22.05,21.23,21.37
2006-10-04,21.6,22.01,20.81,21.93
2006-10-05,22.2,22.84,22.18,22.67
2006-10-06,22.56,22.83,21.85,22.22
2006-10-09,22.43,22.69,21.64,21.69
2006-10-10,21.65,22.5,21.47,22.22
2006-10-11,22.24,22.44,21.31,21.6
2006-10-12,21.64,22.3,21.62,22.3
2006-10-13,22.6,22.99,22.52,22.66
2006-10-16,22.43,23.23,22.42,23.07
2006-10-17,23.19,23.32,22.41,22.75
2006-10-18,22.66,23.11,22.25,22.51
2006-10-19,22.56,23.47,22.54,23.45
2006-10-20,23.41,23.63,22.75,22.91
2006-10-23,22.77,23.6,22.58,23.0
2006-10-24,22.9,24.11,22.88,23.96
2006-10-25,23.9,24.61,23.37,24.13
2006-10-26,24.43,24.59,23.77,23.99
2006-10-27,23.85,24.0,23.15,23.22
2006-10-30,23.0,23.2,22.45,22.66
2006-10-31,22.6,23.23,22.34,23.2
2006-11-01,23.96,23.99,22.73,23.15
2006-11-02,22.96,23.32,22.44,22.96
2006-11-03,23.15,23.91,23.13,23.83
2006-11-06,23.91,24.14,23.65,23.98
2006-11-07,24.01,24.55,23.87,24.46
2006-11-08,24.14,25.17,24.05,25.04
2006-11-09,25.24,26.39,25.2,25.69
2006-11-10,25.61,25.75,24.93,25.22
2006-11-13,25.01,25.5,24.81,25.22
2006-11-14,25.26,25.36,24.8,25.11
2006-11-15,25.2,25.76,24.77,25.52
2006-11-16,25.84,25.84,24.36,24.56
2006-11-17,24.38,25.16,24.2,25.12
2006-11-20,24.77,25.87,24.72,25.65
2006-11-21,25.65,26.14,25.61,26.07
2006-11-22,25.99,26.12,25.24,25.76
2006-11-24,25.79,26.14,25.69,26.05
2006-11-27,26.1,26.27,25.41,25.56
2006-11-28,25.73,26.05,25.57,25.6
2006-11-29,25.92,27.36,25.71,27.31
2006-11-30,27.31,28.05,26.97,27.7
2006-12-01,27.6,28.21,27.02,28.14
2006-12-04,27.98,27.98,27.31,27.67
2006-12-05,27.75,27.94,26.54,26.76
2006-12-06,26.61,26.93,26.06,26.6
2006-12-07,26.53,26.54,25.9,25.9
2006-12-08,26.21,26.64,25.99,26.11
2006-12-11,25.8,26.19,25.62,25.82
2006-12-12,25.62,26.1,25.3,25.54
2006-12-13,25.75,25.89,25.22,25.3
2006-12-14,25.73,26.5,25.73,26.08
2006-12-15,25.92,25.99,25.38,25.51
2006-12-18,25.54,25.58,24.29,24.37
2006-12-19,24.17,24.99,23.79,24.82
2006-12-20,24.67,24.82,24.12,24.14
2006-12-21,24.21,24.53,23.6,23.87
2006-12-22,23.95,24.02,23.52,23.53
2006-12-26,23.51,23.84,22.97,23.2
2006-12-27,23.18,23.79,23.11,23.77
2006-12-28,23.75,23.86,23.44,23.57
2006-12-29,23.41,23.73,23.13,23.23
2007-01-03,22.87,22.9,21.67,21.95
2007-01-04,21.62,22.12,21.39,21.74
2007-01-05,21.9,22.13,21.54,21.93
2007-01-08,22.16,22.39,21.71,21.77
2007-01-09,21.52,22.39,21.41,22.08
2007-01-10,21.82,22.4,21.74,22.07
2007-01-11,21.96,23.1,21.91,22.21
2007-01-12,22.43,23.36,22.37,23.27
2007-01-16,23.17,23.54,22.76,23.06
2007-01-17,23.04,23.42,22.87,23.0
2007-01-18,23.1,23.4,22.62,22.73
2007-01-19,22.95,23.68,22.78,23.61
2007-01-22,23.72,24.13,23.64,23.76
2007-01-23,23.76,24.48,23.76,24.14
2007-01-24,24.07,24.26,23.66,23.96
2007-01-25,23.88,23.89,23.0,23.22
2007-01-26,23.43,23.64,23.15,23.21
2007-01-29,23.13,23.7,23.13,23.49
2007-01-30,23.44,24.28,23.44,24.17
2007-01-31,24.17,24.56,23.75,24.15
2007-02-01,24.23,24.73,23.89,24.1
2007-02-02,24.18,24.56,23.79,24.3
2007-02-05,24.51,24.89,24.29,24.3
2007-02-06,24.36,24.41,23.58,23.92
2007-02-07,23.96,24.16,23.48,23.7
2007-02-08,23.62,23.86,23.09,23.66
2007-02-09,23.75,23.85,23.26,23.43
2007-02-12,23.24,23.35,23.04,23.23
2007-02-13,23.33,23.6,23.31,23.42
2007-02-14,23.43,23.71,23.28,23.42
2007-02-15,23.28,23.38,23.06,23.2
2007-02-16,23.31,23.59,23.23,23.49
2007-02-20,23.25,23.27,22.77,23.21
2007-02-21,23.17,23.64,23.09,23.52
2007-02-22,23.59,23.79,23.07,23.53
2007-02-23,23.53,23.72,23.37,23.5
2007-02-26,23.73,24.21,22.6,24.01
2007-02-27,23.22,23.65,22.78,22.87
2007-02-28,22.8,22.82,22.14,22.29
2007-03-01,22.14,22.45,21.62,22.26
2007-03-02,22.2,22.26,21.63,21.78
2007-03-05,21.55,21.81,21.38,21.39
2007-03-06,21.5,22.02,21.44,21.85
2007-03-07,21.79,22.59,21.67,22.23
2007-03-08,22.34,22.57,22.05,22.28
2007-03-09,22.45,22.45,21.95,22.18
2007-03-12,21.96,22.19,21.84,22.04
2007-03-13,22.03,22.13,21.55,21.6
2007-03-14,21.52,21.78,21.13,21.45
2007-03-15,21.44,21.93,21.31,21.61
2007-03-16,21.6,21.84,21.43,21.52
2007-03-19,21.86,22.54,21.85,22.27
2007-03-20,22.37,22.46,21.8,22.04
2007-03-21,22.16,22.8,22.05,22.65
2007-03-22,22.88,23.37,22.8,23.23
2007-03-23,23.21,23.61,23.02,23.15
2007-03-26,23.29,23.7,23.02,23.66
2007-03-27,23.54,23.56,23.11,23.28
2007-03-28,23.36,23.5,22.64,22.77
2007-03-29,22.47,22.89,22.28,22.6
2007-03-30,22.72,22.84,22.29,22.44
2007-04-02,22.29,22.61,22.21,22.58
2007-04-03,22.49,22.5,22.17,22.43
2007-04-04,22.38,22.47,22.2,22.32
2007-04-05,22.39,23.07,22.3,22.96
