Date,Open,High,Low,Close
2002-01-14,23.1,23.88,23.04,23.58
2002-01-15,23.48,23.64,23.08,23.28
2002-01-16,23.08,23.3,22.72,22.75
2002-01-17,23.1,23.7,22.9,23.64
2002-01-18,23.1,23.36,22.42,22.48
2002-01-22,22.57,22.58,20.63,20.7
2002-01-23,21.0,22.07,20.66,21.77
2002-01-24,22.3,22.5,20.91,21.86
2002-01-25,20.92,23.18,20.92,23.02
2002-01-28,23.3,23.42,22.08,22.7
2002-01-29,22.89,23.02,21.49,21.59
2002-01-30,21.83,22.38,21.5,22.34
2002-01-31,22.26,22.35,21.7,22.06
2002-02-01,21.92,22.0,21.06,21.23
2002-02-04,21.2,21.52,20.3,20.4
2002-02-05,19.96,20.62,19.55,19.9
2002-02-06,20.1,20.55,19.4,20.3
2002-02-07,20.25,20.4,19.45,19.56
2002-02-08,19.75,20.07,17.55,18.73
2002-02-11,19.4,20.66,19.29,20.64
2002-02-12,20.34,20.62,20.15,20.25
2002-02-13,20.48,21.05,20.4,20.95
2002-02-14,21.0,21.0,20.02,20.16
2002-02-15,20.04,20.33,18.33,18.7
2002-02-19,18.46,19.05,17.95,18.66
2002-02-20,18.98,19.04,17.22,17.96
2002-02-21,17.84,17.88,16.21,16.25
2002-02-22,16.36,16.78,15.52,16.35
2002-02-25,17.46,17.98,17.15,17.96
2002-02-26,18.3,18.38,17.05,17.38
2002-02-27,17.73,17.84,16.76,16.78
2002-02-28,17.02,17.44,16.52,16.62
2002-03-01,16.9,18.05,16.74,17.98
2002-03-04,18.13,19.5,18.12,19.44
2002-03-05,18.95,19.78,18.85,19.43
2002-03-06,19.55,20.22,19.43,19.98
2002-03-07,20.3,20.94,19.9,20.72
2002-03-08,21.3,22.05,21.22,21.9
2002-03-11,21.76,22.32,21.08,21.82
2002-03-12,20.82,21.35,20.72,21.29
2002-03-13,20.94,21.02,20.3,20.48
2002-03-14,20.7,20.95,20.2,20.21
2002-03-15,20.31,21.0,20.21,21.0
2002-03-18,21.36,22.0,21.3,21.86
2002-03-19,21.94,21.95,21.33,21.52
2002-03-20,20.74,21.0,20.06,20.1
2002-03-21,19.81,20.9,19.51,20.88
2002-03-22,20.7,20.84,20.1,20.24
2002-03-25,20.22,20.48,19.72,19.74
2002-03-26,19.52,20.48,19.29,19.94
2002-03-27,19.22,19.4,18.78,18.94
2002-03-28,19.13,19.19,18.56,18.82
2002-04-01,18.55,19.8,18.4,19.67
2002-04-02,19.26,19.72,18.62,18.64
2002-04-03,19.2,19.29,18.52,18.82
2002-04-04,18.38,18.68,17.91,18.3
2002-04-05,18.32,18.6,17.8,17.96
2002-04-08,17.46,18.18,17.27,18.06
2002-04-09,18.4,18.6,17.48,17.5
2002-04-10,17.72,18.14,17.47,17.65
2002-04-11,17.45,17.5,17.11,17.3
2002-04-12,17.42,18.07,17.05,17.86
2002-04-15,18.0,18.22,17.22,18.1
2002-04-16,18.68,19.82,18.66,19.81
2002-04-17,20.01,20.18,19.3,19.9
2002-04-18,19.02,19.75,18.85,19.2
2002-04-19,19.44,19.44,18.62,18.63
2002-04-22,18.0,18.02,17.26,17.52
2002-04-23,17.34,17.66,15.88,16.12
2002-04-24,16.81,16.94,15.65,16.64
2002-04-25,15.92,16.6,15.9,16.2
2002-04-26,16.32,16.72,15.3,15.32
2002-04-29,15.34,15.77,14.28,14.61
2002-04-30,14.72,15.38,14.62,15.08
