Date,Open,High,Low,Close
2005-12-19,26.11,26.25,25.75,26.03
2005-12-20,26.34,26.5,25.66,25.73
2005-12-21,25.73,26.6,25.5,26.56
2005-12-22,27.38,28.1,26.77,27.8
2005-12-23,28.28,28.29,27.68,27.98
2005-12-27,28.0,28.28,27.84,28.19
2005-12-28,28.18,28.65,28.01,28.22
2005-12-29,28.26,28.48,27.78,27.89
2005-12-30,27.65,27.85,27.22,27.26
2006-01-03,27.15,28.15,27.12,28.05
2006-01-04,27.98,28.83,27.8,28.8
2006-01-05,28.8,29.79,28.8,29.05
2006-01-06,29.41,30.08,29.15,30.08
2006-01-09,30.26,30.26,29.36,29.62
2006-01-10,29.4,30.97,29.4,30.47
2006-01-11,30.45,31.05,30.08,30.82
2006-01-12,30.66,30.8,29.77,29.89
2006-01-13,29.33,29.44,28.43,28.84
2006-01-17,28.25,29.28,28.14,29.27
2006-01-18,28.27,29.06,28.27,28.9
2006-01-19,29.14,29.34,28.85,29.24
2006-01-20,29.67,30.11,28.52,28.59
2006-01-23,28.74,28.74,27.72,27.92
2006-01-24,27.91,28.01,26.7,27.2
2006-01-25,27.22,27.57,26.51,27.31
2006-01-26,27.64,28.56,27.46,28.32
2006-01-27,28.61,29.03,28.25,28.26
2006-01-30,28.14,29.04,27.85,28.66
2006-01-31,28.52,29.06,27.92,28.87
2006-02-01,28.46,29.71,28.37,29.22
2006-02-02,29.22,29.48,28.0,28.08
2006-02-03,28.03,28.64,27.49,28.32
2006-02-06,28.54,28.68,28.13,28.2
2006-02-07,28.1,28.13,26.52,27.04
2006-02-08,27.13,27.5,26.65,27.36
2006-02-09,27.43,27.7,26.74,26.89
2006-02-10,26.9,26.94,26.06,26.5
2006-02-13,26.15,26.73,26.06,26.55
2006-02-14,26.56,27.09,26.25,26.3
2006-02-15,26.23,26.28,25.8,25.99
2006-02-16,25.88,25.97,25.25,25.55
2006-02-17,25.42,25.5,24.92,25.09
2006-02-21,25.0,25.24,24.85,25.05
2006-02-22,25.0,25.35,24.78,25.32
2006-02-23,25.25,26.82,25.25,26.5
2006-02-24,26.5,26.75,26.2,26.43
2006-02-27,26.41,26.91,26.15,26.45
2006-02-28,26.33,26.95,26.2,26.87
2006-03-01,26.94,28.36,26.92,28.14
2006-03-02,28.38,28.99,27.89,28.25
2006-03-03,28.0,29.28,28.0,29.01
2006-03-06,29.0,29.07,28.2,28.48
2006-03-07,28.3,28.34,27.2,27.57
2006-03-08,27.36,28.21,27.35,27.97
2006-03-09,28.08,28.49,27.19,27.2
2006-03-10,26.88,27.56,26.48,27.33
2006-03-13,27.26,27.78,27.26,27.46
2006-03-14,27.43,27.46,26.95,27.34
2006-03-15,27.44,27.82,27.25,27.7
2006-03-16,27.85,28.97,27.71,28.49
2006-03-17,29.0,29.31,28.53,29.31
2006-03-20,29.65,29.77,29.36,29.5
2006-03-21,29.55,29.6,28.33,28.53
2006-03-22,28.41,29.26,28.3,29.11
2006-03-23,29.1,29.65,28.58,29.32
2006-03-24,29.42,29.45,28.5,28.59
2006-03-27,28.5,29.05,28.5,28.8
2006-03-28,28.88,29.48,28.71,28.81
2006-03-29,27.95,28.27,27.53,28.19
2006-03-30,28.05,28.18,27.6,27.76
2006-03-31,27.68,28.1,27.55,27.98
2006-04-03,27.98,28.1,27.8,27.91
2006-04-04,28.0,28.1,27.21,27.4
2006-04-05,27.38,28.2,27.31,28.15
2006-04-06,28.03,28.15,27.77,27.96
2006-04-07,27.95,28.02,27.25,27.43
2006-04-10,27.33,30.35,27.29,29.85
2006-04-11,29.78,30.98,29.35,29.74
2006-04-12,29.7,29.75,29.28,29.68
2006-04-13,29.55,31.03,29.35,30.55
2006-04-17,28.82,29.1,28.16,28.51
2006-04-18,28.32,28.87,27.92,28.81
2006-04-19,28.6,29.85,28.6,29.73
2006-04-20,29.76,30.3,29.63,30.16
2006-04-21,30.09,30.3,29.12,29.26
2006-04-24,29.21,29.99,28.85,29.67
2006-04-25,29.97,31.0,29.8,30.37
2006-04-26,30.32,30.46,29.88,30.25
2006-04-27,30.2,30.39,29.76,29.85
2006-04-28,29.78,30.14,29.23,29.39
2006-05-01,29.55,30.28,29.48,29.92
2006-05-02,30.01,30.05,29.42,29.77
2006-05-03,28.82,30.86,28.82,30.82
2006-05-04,30.76,31.45,30.13,30.97
2006-05-05,31.29,32.09,31.18,31.35
2006-05-08,31.4,32.48,31.25,32.27
2006-05-09,32.06,32.2,31.75,31.97
2006-05-10,31.96,32.01,31.38,31.53
2006-05-11,31.73,31.8,29.7,30.03
2006-05-12,29.85,29.95,29.37,29.52
2006-05-15,29.3,29.81,28.88,29.15
2006-05-16,28.99,29.36,28.74,29.15
2006-05-17,29.18,29.3,28.01,28.14
2006-05-18,28.28,28.42,26.99,27.06
2006-05-19,27.05,28.26,26.84,27.94
2006-05-22,27.77,27.77,26.26,26.61
2006-05-23,26.67,27.36,26.62,26.64
2006-05-24,26.52,26.73,25.24,26.24
2006-05-25,26.01,26.84,25.6,26.64
2006-05-26,26.8,26.8,25.97,26.47
2006-05-30,26.32,27.11,26.06,26.56
2006-05-31,26.6,27.0,26.11,26.22
2006-06-01,26.22,28.87,26.22,28.87
2006-06-02,29.02,29.18,28.18,28.39
2006-06-05,28.31,28.55,27.62,27.66
2006-06-06,27.8,28.0,26.93,27.1
2006-06-07,27.19,27.73,26.49,26.61
2006-06-08,26.42,27.06,25.6,26.95
2006-06-09,27.11,28.19,26.84,26.92
2006-06-12,27.1,27.1,26.0,26.05
2006-06-13,26.05,26.51,25.83,26.12
2006-06-14,26.09,26.39,24.47,25.25
2006-06-15,25.3,26.48,25.29,26.08
2006-06-16,25.96,26.15,25.66,25.93
2006-06-19,25.93,26.3,25.19,25.53
2006-06-20,25.47,25.99,24.96,24.97
2006-06-21,25.05,26.44,24.86,26.02
2006-06-22,25.92,26.16,25.39,26.14
2006-06-23,25.94,26.92,25.85,26.67
2006-06-26,26.7,26.7,25.92,26.18
2006-06-27,26.09,26.48,25.21,25.34
2006-06-28,25.49,25.5,24.54,25.01
2006-06-29,23.01,23.4,21.88,23.4
2006-06-30,23.35,23.6,22.83,23.4
2006-07-03,23.39,23.39,22.83,23.2
2006-07-05,22.92,23.16,21.97,22.27
2006-07-06,22.2,22.27,21.42,21.65
2006-07-07,21.58,22.07,21.24,21.79
2006-07-10,21.88,21.96,21.17,21.5
2006-07-11,21.41,22.23,21.4,21.95
2006-07-12,21.92,22.45,21.68,22.06
2006-07-13,21.95,23.59,21.85,23.0
2006-07-14,22.91,23.5,22.73,23.36
2006-07-17,23.3,23.5,22.97,23.27
2006-07-18,23.27,23.8,22.83,23.21
2006-07-19,23.34,24.3,23.25,24.19
2006-07-20,24.11,24.29,23.48,23.62
2006-07-21,23.43,23.9,22.77,23.37
2006-07-24,23.37,24.47,23.34,24.44
2006-07-25,24.43,24.89,23.92,24.38
2006-07-26,24.25,24.25,23.7,23.77
2006-07-27,23.87,24.35,23.78,23.87
2006-07-28,23.96,24.25,23.71,24.13
2006-07-31,24.0,24.01,23.13,23.68
2006-08-01,23.7,23.7,22.52,22.96
2006-08-02,22.95,23.72,22.79,23.37
2006-08-03,23.12,23.41,22.19,23.1
2006-08-04,23.48,23.83,22.51,22.78
2006-08-07,22.69,22.9,22.14,22.37
2006-08-08,22.46,22.46,21.74,21.98
2006-08-09,22.31,22.88,22.03,22.31
2006-08-10,22.71,22.96,22.45,22.69
2006-08-11,22.7,22.7,21.9,22.47
2006-08-14,22.7,23.27,22.58,22.92
2006-08-15,22.95,23.27,22.22,23.03
2006-08-16,23.31,23.85,22.8,23.05
2006-08-17,23.02,25.85,22.93,25.71
2006-08-18,25.62,25.87,25.05,25.46
2006-08-21,25.38,25.55,24.55,24.7
2006-08-22,24.7,25.49,24.7,25.36
2006-08-23,25.44,25.68,24.92,25.3
2006-08-24,25.5,25.62,24.79,24.93
2006-08-25,25.02,25.65,24.85,25.46
2006-08-28,24.9,25.03,23.9,24.56
2006-08-29,24.43,25.03,24.07,24.84
2006-08-30,24.82,25.1,24.25,24.5
2006-08-31,24.44,24.47,23.18,23.2
2006-09-01,23.29,24.4,23.15,24.19
2006-09-05,24.14,24.87,24.05,24.63
2006-09-06,24.75,24.93,23.79,23.85
2006-09-07,23.74,23.78,22.6,22.68
2006-09-08,22.87,22.93,22.12,22.55
2006-09-11,22.36,22.53,22.0,22.15
2006-09-12,22.05,22.91,21.9,22.62
2006-09-13,22.69,24.07,22.61,23.72
2006-09-14,23.77,23.77,23.15,23.39
2006-09-15,23.57,23.8,23.0,23.47
2006-09-18,23.62,24.75,23.61,24.23
2006-09-19,24.45,24.64,23.75,24.0
2006-09-20,24.66,25.4,24.65,25.07
2006-09-21,25.23,25.26,24.69,24.93
2006-09-22,25.0,25.13,24.67,25.03
2006-09-25,25.27,26.24,25.14,26.07
2006-09-26,26.32,26.4,25.4,26.32
2006-09-27,20.87,20.93,19.82,20.21
2006-09-28,20.62,20.82,20.29,20.59
2006-09-29,20.73,21.44,20.61,21.08
2006-10-02,21.15,21.4,20.58,20.59
2006-10-03,20.6,21.25,20.41,21.2
2006-10-04,21.44,22.2,21.09,22.15
2006-10-05,22.43,22.43,21.79,22.08
2006-10-06,21.88,22.13,21.75,21.78
2006-10-09,21.7,22.0,21.5,21.51
2006-10-10,21.54,21.78,21.5,21.65
2006-10-11,21.51,22.06,21.5,21.6
2006-10-12,21.71,22.0,21.41,21.49
2006-10-13,20.97,21.0,19.71,19.9
2006-10-16,19.85,20.05,19.72,19.84
2006-10-17,19.78,19.82,19.01,19.02
2006-10-18,19.24,19.52,18.93,19.07
2006-10-19,19.0,19.0,18.44,18.62
2006-10-20,18.67,18.68,18.13,18.27
2006-10-23,18.72,19.11,18.6,18.87
2006-10-24,18.85,19.53,18.51,19.41
2006-10-25,19.4,19.52,19.13,19.51
2006-10-26,15.75,15.8,13.7,14.83
2006-10-27,15.0,16.2,14.89,15.63
2006-10-30,15.71,16.74,15.68,16.51
2006-10-31,16.53,16.78,16.22,16.38
2006-11-01,16.59,16.59,16.31,16.43
2006-11-02,16.36,16.47,15.53,16.1
2006-11-03,15.88,16.82,15.75,16.67
2006-11-06,16.55,16.85,16.29,16.75
2006-11-07,16.68,17.17,16.58,16.9
2006-11-08,16.73,17.25,16.73,17.2
2006-11-09,17.5,17.83,17.1,17.16
2006-11-10,17.16,17.92,17.12,17.85
2006-11-13,17.83,17.89,17.49,17.53
2006-11-14,17.37,17.5,16.51,16.88
