Date,Open,High,Low,Close
2002-12-23,20.51,20.53,20.19,20.41
2002-12-24,20.34,20.54,20.31,20.51
2002-12-26,20.56,20.64,20.49,20.55
2002-12-27,20.49,20.58,20.31,20.36
2002-12-30,20.31,20.51,19.7,19.84
2002-12-31,19.78,20.22,19.69,20.08
2003-01-02,20.3,20.67,19.76,20.56
2003-01-03,21.03,21.83,21.03,21.74
2003-01-06,21.64,21.79,21.56,21.62
2003-01-07,21.56,21.89,21.52,21.67
2003-01-08,21.85,22.13,21.46,21.86
2003-01-09,21.86,22.67,21.82,21.93
2003-01-10,21.71,21.96,21.59,21.92
2003-01-13,21.8,21.9,21.24,21.39
2003-01-14,21.41,21.41,21.14,21.28
2003-01-15,21.21,21.21,20.26,20.44
2003-01-16,20.38,20.66,20.28,20.37
2003-01-17,20.41,20.57,19.92,20.0
2003-01-21,19.96,20.33,19.83,19.95
2003-01-22,19.92,20.44,19.87,20.21
2003-01-23,20.15,20.17,19.23,19.49
2003-01-24,19.46,19.46,18.21,18.44
2003-01-27,18.39,18.68,18.18,18.3
2003-01-28,18.18,18.57,18.16,18.57
2003-01-29,18.72,19.89,18.62,19.71
2003-01-30,20.0,21.03,20.0,20.28
2003-01-31,20.26,20.98,20.13,20.28
2003-02-03,20.76,21.0,20.57,20.63
2003-02-04,20.26,20.28,19.82,20.1
2003-02-05,20.01,20.59,19.87,19.99
2003-02-06,19.77,20.31,19.68,20.03
2003-02-07,20.26,20.48,19.79,19.97
2003-02-10,20.07,20.28,19.95,20.14
2003-02-11,20.15,20.57,20.15,20.51
2003-02-12,20.37,20.37,20.08,20.18
2003-02-13,20.05,20.25,20.0,20.16
2003-02-14,20.26,20.29,19.65,20.28
2003-02-18,20.3,20.95,20.3,20.85
2003-02-19,20.88,20.99,20.65,20.79
2003-02-20,20.91,21.13,20.81,20.89
2003-02-21,21.1,21.46,20.78,21.29
2003-02-24,21.16,21.26,20.73,20.96
2003-02-25,19.89,20.77,19.54,20.62
2003-02-26,20.38,20.41,19.23,19.25
2003-02-27,19.05,19.26,18.51,19.21
2003-02-28,19.17,19.62,18.92,19.59
2003-03-03,19.62,19.95,19.31,19.49
2003-03-04,18.92,19.03,18.59,18.71
2003-03-05,18.87,18.97,18.51,18.75
2003-03-06,18.7,18.85,18.27,18.5
2003-03-07,18.45,19.09,18.1,18.95
2003-03-10,18.73,18.9,18.49,18.63
2003-03-11,18.5,18.55,17.7,17.84
2003-03-12,17.75,17.81,16.86,17.63
2003-03-13,17.91,19.58,17.89,19.56
2003-03-14,19.49,19.72,18.9,19.23
