Date,Open,High,Low,Close
2017-01-17,105.03,107.52,105.03,106.39
2017-01-18,105.58,107.99,105.58,107.06
2017-01-19,107.02,107.02,105.04,105.76
2017-01-20,106.35,107.17,104.22,105.53
2017-01-23,105.19,105.57,104.57,104.84
2017-01-24,104.66,104.8,102.94,104.1
2017-01-25,103.47,103.71,102.29,103.5
2017-01-26,103.42,105.61,103.42,104.91
2017-01-27,105.24,105.73,102.87,104.03
2017-01-30,104.06,104.59,103.45,104.3
2017-01-31,104.46,106.07,104.46,105.26
2017-02-01,105.78,106.6,103.3,103.86
2017-02-02,103.91,104.81,103.58,104.39
2017-02-03,105.36,107.06,104.73,105.69
2017-02-06,105.46,105.46,103.83,104.4
2017-02-07,104.41,105.01,104.12,104.79
2017-02-08,104.78,107.18,103.51,106.86
2017-02-09,106.83,107.89,106.37,107.63
2017-02-10,107.68,107.68,105.89,106.96
2017-02-13,107.14,109.68,105.74,109.62
2017-02-14,109.45,109.78,108.14,108.73
2017-02-15,108.32,108.52,107.82,108.3
2017-02-16,108.76,109.18,107.3,108.93
2017-02-17,109.18,109.52,108.07,108.47
2017-02-21,108.79,110.87,108.42,110.71
2017-02-22,111.0,112.08,110.8,111.66
2017-02-23,112.03,112.79,110.16,111.19
2017-02-24,111.24,111.59,110.5,111.16
2017-02-27,110.97,112.95,110.93,112.79
2017-02-28,112.5,116.7,111.77,115.77
2017-03-01,116.16,116.25,113.0,115.36
2017-03-02,115.61,116.29,113.84,115.28
2017-03-03,115.45,115.77,114.77,114.98
2017-03-06,114.14,115.4,112.73,115.17
2017-03-07,114.74,116.31,114.74,115.41
2017-03-08,115.08,115.79,114.31,114.65
2017-03-09,114.36,116.66,114.18,116.59
2017-03-10,117.28,118.38,116.74,117.8
2017-03-13,117.89,118.2,116.59,117.64
2017-03-14,117.59,117.82,115.94,116.12
2017-03-15,116.57,117.53,115.19,116.69
2017-03-16,117.26,117.64,115.68,116.14
2017-03-17,115.77,116.26,115.47,115.65
2017-03-20,115.65,117.65,115.65,117.06
