Date,Open,High,Low,Close
2004-08-19,78.4,78.4,76.58,76.89
2004-08-20,76.52,77.81,76.1,76.55
2004-08-23,78.15,78.22,75.05,76.45
2004-08-24,76.94,78.25,75.84,77.17
2004-08-25,77.33,78.75,76.5,77.39
2004-08-26,77.34,77.79,76.04,76.38
2004-08-27,76.47,77.62,76.07,77.2
2004-08-30,76.99,78.75,76.0,76.06
2004-08-31,76.5,76.85,74.92,76.62
2004-09-01,76.62,78.66,76.0,77.92
2004-09-02,77.52,80.8,77.4,79.39
2004-09-03,80.17,82.88,79.75,82.08
2004-09-07,82.82,84.36,82.37,84.1
2004-09-08,85.0,85.45,81.32,81.58
2004-09-09,81.81,82.4,80.49,80.99
2004-09-10,81.01,83.42,81.0,82.77
2004-09-13,82.99,86.63,82.85,85.34
2004-09-14,88.5,89.75,87.52,89.0
2004-09-15,88.75,89.74,87.16,88.05
2004-09-16,88.39,90.2,87.66,88.27
2004-09-17,88.93,89.2,87.22,87.75
2004-09-20,87.6,87.94,85.32,85.9
2004-09-21,85.61,87.48,85.61,86.3
2004-09-22,86.05,86.58,84.06,84.65
2004-09-23,84.98,86.27,83.6,85.59
2004-09-24,85.25,87.39,84.71,86.3
2004-09-27,85.79,87.04,85.14,85.56
2004-09-28,85.55,87.1,84.07,85.85
2004-09-29,85.68,88.84,85.68,88.06
2004-09-30,87.99,88.3,86.65,87.47
2004-10-01,88.04,89.23,87.22,88.06
2004-10-04,88.69,91.48,88.05,90.53
2004-10-05,90.68,91.07,88.91,89.2
2004-10-06,89.24,89.6,85.21,87.22
2004-10-07,87.44,88.4,86.7,87.75
2004-10-08,87.69,87.91,86.35,86.99
2004-10-11,87.44,89.0,87.36,88.15
2004-10-12,87.7,87.98,85.88,86.98
2004-10-13,87.48,88.25,86.75,87.25
2004-10-14,87.69,87.9,85.55,86.12
2004-10-15,86.38,87.5,84.91,86.71
2004-10-18,86.3,91.23,86.0,91.02
2004-10-19,91.72,91.78,88.4,89.03
2004-10-20,89.03,90.5,87.76,90.31
2004-10-21,90.25,91.94,88.9,91.04
2004-10-22,91.45,92.8,88.8,89.37
2004-10-25,89.12,90.72,88.49,90.28
2004-10-26,90.31,91.99,89.86,91.32
2004-10-27,91.16,93.18,89.81,92.14
2004-10-28,92.5,92.78,91.18,92.18
2004-10-29,92.02,94.32,90.63,92.04
2004-11-01,91.71,92.21,91.25,91.97
2004-11-02,92.04,92.94,90.43,91.15
2004-11-03,91.9,92.0,90.24,91.59
2004-11-04,91.6,91.92,90.73,91.32
2004-11-05,91.61,98.5,91.07,95.03
2004-11-08,95.34,96.75,94.63,95.41
2004-11-09,96.2,97.0,95.01,96.41
2004-11-10,96.0,100.61,95.72,99.09
2004-11-11,100.0,103.22,98.16,102.1
2004-11-12,102.5,106.3,101.32,105.99
2004-11-15,106.5,107.75,101.57,102.73
2004-11-16,102.5,103.62,100.75,101.22
2004-11-17,113.55,119.69,108.21,109.0
2004-11-18,107.98,108.68,100.12,103.71
2004-11-19,105.0,106.0,101.5,104.99
2004-11-22,104.2,104.2,96.98,97.72
2004-11-23,97.83,104.3,97.7,104.3
2004-11-24,104.05,106.16,102.27,105.27
2004-11-26,104.94,107.83,104.9,107.39
2004-11-29,107.19,107.3,100.52,102.01
2004-11-30,102.07,104.05,100.6,102.83
2004-12-01,103.01,104.82,102.0,104.05
2004-12-02,104.8,106.75,102.68,103.92
2004-12-03,103.5,105.0,102.5,103.96
2004-12-06,104.7,105.39,103.25,104.21
2004-12-07,104.25,104.37,101.15,101.16
2004-12-08,100.96,101.78,98.08,101.09
2004-12-09,101.05,104.24,100.32,103.73
2004-12-10,103.94,104.22,102.55,103.48
2004-12-13,103.3,105.73,102.33,102.95
2004-12-14,103.23,103.93,101.88,103.81
2004-12-15,103.7,103.85,101.8,103.27
2004-12-16,103.5,103.87,100.8,101.27
2004-12-17,103.34,103.5,100.0,100.28
2004-12-20,99.95,100.0,96.6,98.4
2004-12-21,98.3,101.5,98.3,100.45
2004-12-22,99.05,101.46,98.98,101.45
2004-12-23,101.25,101.25,99.9,100.29
2004-12-27,100.58,101.85,99.56,100.12
2004-12-28,99.71,100.2,99.27,99.85
2004-12-29,99.65,100.0,99.43,99.94
2004-12-30,100.25,100.4,99.25,99.36
2004-12-31,99.19,99.82,98.7,98.95
2005-01-03,100.94,104.0,99.99,100.1
2005-01-04,101.07,101.97,100.35,100.35
2005-01-05,100.62,100.91,93.56,96.57
2005-01-06,96.99,97.65,93.79,94.29
2005-01-07,94.76,95.64,93.34,93.71
2005-01-10,93.6,94.1,91.75,91.97
2005-01-11,91.86,94.4,91.44,93.44
2005-01-12,93.82,95.55,92.25,95.09
2005-01-13,95.2,95.7,93.59,93.84
2005-01-14,94.32,95.44,93.29,95.06
2005-01-18,95.14,95.43,94.01,94.2
2005-01-19,94.0,94.89,92.97,93.06
2005-01-20,93.0,93.36,91.09,92.38
2005-01-21,92.13,93.65,90.7,91.67
2005-01-24,91.08,92.12,84.51,86.4
2005-01-25,86.84,89.48,85.12,88.27
2005-01-26,88.77,90.99,85.53,90.33
2005-01-27,90.03,94.66,89.37,94.35
2005-01-28,94.07,95.73,93.19,93.94
2005-01-31,94.73,95.61,92.81,94.18
2005-02-01,94.75,94.96,93.52,94.11
2005-02-02,94.65,96.75,93.97,96.58
2005-02-03,96.15,100.65,95.66,100.0
2005-02-04,99.7,104.05,99.45,103.93
2005-02-07,103.9,104.16,101.35,102.17
2005-02-08,102.28,103.81,101.8,102.36
2005-02-09,102.17,102.73,100.27,101.07
2005-02-10,100.99,101.64,99.0,99.72
2005-02-11,100.12,103.12,99.52,103.02
2005-02-14,102.85,102.85,99.39,102.29
2005-02-15,102.08,103.75,101.1,102.97
2005-02-16,102.29,102.85,101.32,101.71
2005-02-17,102.24,102.54,100.22,100.52
2005-02-18,100.6,101.63,100.1,100.21
2005-02-22,99.75,100.25,95.81,96.24
2005-02-23,97.0,98.34,95.89,97.02
2005-02-24,97.18,97.91,94.17,97.44
2005-02-25,97.66,98.0,95.4,96.68
2005-02-28,97.13,97.88,95.25,97.47
2005-03-01,97.71,99.64,97.35,99.15
2005-03-02,99.09,103.32,98.73,101.61
2005-03-03,102.3,105.0,101.1,101.99
2005-03-04,103.2,105.86,102.32,105.01
2005-03-07,105.0,111.46,104.7,109.93
2005-03-08,109.31,113.44,108.46,109.24
2005-03-09,109.29,113.76,107.83,111.66
2005-03-10,111.6,112.44,109.26,112.11
2005-03-11,121.27,128.88,118.81,127.0
2005-03-14,127.38,129.48,125.55,128.75
2005-03-15,129.36,133.85,128.71,130.68
2005-03-16,129.5,129.84,125.5,126.13
2005-03-17,126.1,127.0,124.5,124.61
2005-03-18,127.0,127.79,124.52,125.19
2005-03-21,125.6,128.75,124.83,128.74
2005-03-22,130.68,131.02,127.0,127.15
2005-03-23,127.14,127.53,122.28,124.83
2005-03-24,125.15,132.72,124.82,132.52
2005-03-28,131.05,138.0,128.9,131.11
2005-03-29,131.35,132.89,128.71,129.6
2005-03-30,129.81,130.18,125.9,130.0
2005-03-31,130.69,134.95,130.59,133.17
2005-04-01,134.45,138.75,132.1,135.39
2005-04-04,136.15,145.75,135.45,145.3
2005-04-05,145.4,149.5,141.76,142.58
