Date,Open,High,Low,Close
1990-01-02,0.0,7.38,7.16,7.38
1990-01-03,0.0,7.41,7.31,7.34
1990-01-04,0.0,7.41,7.34,7.41
1990-01-05,0.0,7.41,7.34,7.41
1990-01-08,0.0,7.41,7.34,7.34
1990-01-09,0.0,7.41,7.34,7.34
1990-01-10,0.0,7.41,7.34,7.41
1990-01-11,0.0,7.41,7.31,7.31
1990-01-12,0.0,7.34,7.22,7.22
1990-01-15,0.0,7.28,6.94,7.03
1990-01-16,0.0,7.03,6.88,6.97
1990-01-17,0.0,7.03,6.91,6.91
1990-01-18,0.0,6.94,6.88,6.88
1990-01-19,0.0,6.97,6.88,6.97
1990-01-22,0.0,7.03,6.97,6.97
1990-01-23,0.0,6.97,6.91,6.91
1990-01-24,0.0,6.91,6.81,6.84
1990-01-25,0.0,6.94,6.84,6.91
1990-01-26,0.0,6.91,6.75,6.81
1990-01-29,0.0,6.81,6.62,6.69
1990-01-30,0.0,6.69,6.25,6.38
1990-01-31,0.0,6.53,6.28,6.5
1990-02-01,0.0,6.5,6.34,6.34
1990-02-02,0.0,6.53,6.34,6.53
1990-02-05,0.0,6.62,6.47,6.62
1990-02-06,0.0,6.75,6.5,6.56
1990-02-07,0.0,6.66,6.56,6.59
1990-02-08,0.0,6.75,6.59,6.75
1990-02-09,0.0,6.91,6.78,6.91
1990-02-12,0.0,7.09,6.84,7.0
1990-02-13,0.0,7.22,7.12,7.16
1990-02-14,0.0,7.22,7.12,7.12
1990-02-15,0.0,7.19,7.09,7.19
1990-02-16,0.0,7.34,7.12,7.34
1990-02-20,0.0,7.34,7.22,7.22
1990-02-21,0.0,7.16,7.0,7.0
1990-02-22,0.0,7.09,7.0,7.05
1990-02-23,0.0,7.0,6.88,6.88
1990-02-26,0.0,7.06,6.84,7.06
1990-02-27,0.0,7.09,7.0,7.03
1990-02-28,0.0,7.09,7.0,7.05
1990-03-01,0.0,7.06,7.03,7.06
1990-03-02,0.0,7.06,7.0,7.06
1990-03-05,0.0,7.06,6.84,6.91
1990-03-06,0.0,6.97,6.84,6.97
1990-03-07,0.0,6.97,6.91,6.91
1990-03-08,0.0,7.03,6.94,7.0
1990-03-09,0.0,7.03,6.94,7.0
1990-03-12,0.0,7.12,6.94,7.12
1990-03-13,0.0,7.12,7.06,7.06
1990-03-14,0.0,7.22,7.09,7.16
1990-03-15,0.0,7.25,7.19,7.25
1990-03-16,0.0,7.22,7.16,7.22
1990-03-19,0.0,7.12,7.03,7.12
1990-03-20,0.0,7.16,7.0,7.0
1990-03-21,0.0,7.09,7.0,7.03
1990-03-22,0.0,7.03,6.97,7.0
1990-03-23,0.0,7.06,6.97,7.06
1990-03-26,0.0,7.06,7.0,7.06
1990-03-27,0.0,7.03,7.0,7.03
1990-03-28,0.0,7.09,7.0,7.0
1990-03-29,0.0,7.12,7.03,7.12
1990-03-30,0.0,7.09,7.03,7.09
1990-04-02,0.0,7.09,7.03,7.09
1990-04-03,0.0,7.28,7.03,7.28
1990-04-04,0.0,7.34,7.22,7.34
1990-04-05,0.0,7.34,7.25,7.28
1990-04-06,0.0,7.38,7.25,7.28
1990-04-09,0.0,7.28,7.22,7.22
1990-04-10,0.0,7.34,7.22,7.28
1990-04-11,0.0,7.34,7.28,7.28
1990-04-12,0.0,7.34,7.25,7.25
1990-04-16,0.0,7.34,7.25,7.34
1990-04-17,0.0,7.38,7.28,7.38
1990-04-18,0.0,7.59,7.33,7.47
1990-04-19,0.0,7.56,7.47,7.56
1990-04-20,0.0,7.62,7.5,7.53
1990-04-23,0.0,7.59,7.53,7.53
1990-04-24,0.0,7.59,7.53,7.59
1990-04-25,0.0,7.66,7.53,7.56
1990-04-26,0.0,7.66,7.56,7.59
1990-04-27,0.0,7.66,7.56,7.62
1990-04-30,0.0,7.72,7.56,7.66
1990-05-01,0.0,7.84,7.66,7.84
1990-05-02,0.0,7.78,7.59,7.59
1990-05-03,0.0,7.62,7.5,7.56
1990-05-04,0.0,7.56,7.47,7.56
1990-05-07,0.0,7.59,7.5,7.59
1990-05-08,0.0,7.66,7.59,7.62
1990-05-09,0.0,7.62,7.53,7.56
1990-05-10,0.0,7.62,7.56,7.62
1990-05-11,0.0,7.66,7.59,7.66
1990-05-14,0.0,8.06,7.62,8.06
1990-05-15,0.0,8.22,8.03,8.09
1990-05-16,0.0,8.12,8.03,8.12
1990-05-17,0.0,8.12,8.03,8.03
1990-05-18,0.0,8.22,8.0,8.12
1990-05-21,0.0,8.19,8.12,8.19
1990-05-22,0.0,8.5,8.22,8.38
1990-05-23,0.0,8.34,8.19,8.25
1990-05-24,0.0,8.31,8.22,8.28
1990-05-25,0.0,8.22,8.16,8.19
1990-05-29,0.0,8.28,8.16,8.28
1990-05-30,0.0,8.28,8.19,8.28
1990-05-31,0.0,8.34,8.22,8.25
1990-06-01,0.0,8.34,8.25,8.25
1990-06-04,0.0,8.31,8.22,8.31
1990-06-05,0.0,8.34,8.25,8.34
1990-06-06,0.0,8.38,8.28,8.38
1990-06-07,0.0,8.53,8.31,8.5
1990-06-08,0.0,8.59,8.47,8.59
1990-06-11,0.0,8.77,8.5,8.66
1990-06-12,0.0,8.75,8.66,8.72
1990-06-13,0.0,8.72,8.59,8.62
1990-06-14,0.0,8.59,8.47,8.53
1990-06-15,0.0,8.66,8.5,8.62
1990-06-18,0.0,8.66,8.44,8.44
1990-06-19,0.0,8.47,8.34,8.34
1990-06-20,0.0,8.44,8.34,8.44
1990-06-21,0.0,8.44,8.34,8.44
1990-06-22,0.0,8.44,8.34,8.44
1990-06-25,0.0,8.41,8.25,8.25
1990-06-26,0.0,8.38,8.28,8.34
1990-06-27,0.0,8.38,8.31,8.31
1990-06-28,0.0,8.44,8.31,8.42
1990-06-29,0.0,8.47,8.38,8.47
1990-07-02,0.0,8.47,8.44,8.47
1990-07-03,0.0,8.62,8.42,8.62
1990-07-05,0.0,8.62,8.53,8.62
1990-07-06,0.0,8.75,8.53,8.75
1990-07-09,0.0,8.91,8.72,8.84
1990-07-10,0.0,8.97,8.81,8.84
1990-07-11,0.0,8.88,8.69,8.78
1990-07-12,0.0,8.78,8.5,8.62
1990-07-13,0.0,8.62,8.5,8.59
1990-07-16,0.0,8.62,8.5,8.62
1990-07-17,0.0,8.66,8.56,8.66
1990-07-18,0.0,8.62,8.53,8.62
1990-07-19,0.0,8.62,8.53,8.56
1990-07-20,0.0,8.66,8.56,8.56
1990-07-23,0.0,8.59,8.16,8.22
1990-07-24,0.0,8.25,8.12,8.19
1990-07-25,0.0,8.19,8.06,8.09
1990-07-26,0.0,8.12,8.0,8.06
1990-07-27,0.0,8.03,7.84,7.84
1990-07-30,0.0,7.97,7.72,7.94
1990-07-31,0.0,8.12,7.88,8.12
1990-08-01,0.0,8.19,8.12,8.19
1990-08-02,0.0,8.22,8.06,8.19
1990-08-03,0.0,8.12,7.69,7.88
1990-08-06,0.0,7.75,7.41,7.53
1990-08-07,0.0,7.62,6.88,6.95
1990-08-08,0.0,6.97,6.59,6.88
1990-08-09,0.0,7.41,6.91,7.34
1990-08-10,0.0,7.41,7.19,7.3
1990-08-13,0.0,7.28,7.19,7.22
1990-08-14,0.0,7.25,7.19,7.22
1990-08-15,0.0,7.25,7.22,7.25
1990-08-16,0.0,7.22,7.12,7.22
1990-08-17,0.0,7.16,6.88,7.09
1990-08-20,0.0,7.12,7.03,7.06
1990-08-21,0.0,7.06,6.94,6.97
1990-08-22,0.0,7.0,6.94,6.94
1990-08-23,0.0,6.84,6.5,6.56
1990-08-24,0.0,6.72,6.56,6.59
1990-08-27,0.0,7.16,6.72,7.09
1990-08-28,0.0,7.31,7.09,7.25
1990-08-29,0.0,7.41,7.19,7.31
1990-08-30,0.0,7.38,7.12,7.19
1990-08-31,0.0,7.28,7.06,7.28
1990-09-04,0.0,7.28,7.19,7.28
1990-09-05,0.0,7.5,7.19,7.5
1990-09-06,0.0,7.44,7.34,7.41
1990-09-07,0.0,7.41,7.28,7.38
1990-09-10,0.0,7.44,7.34,7.34
1990-09-11,0.0,7.47,7.34,7.44
1990-09-12,0.0,7.62,7.44,7.53
1990-09-13,0.0,7.62,7.5,7.5
1990-09-14,0.0,7.47,7.22,7.41
1990-09-17,0.0,7.41,7.25,7.34
1990-09-18,0.0,7.28,7.03,7.19
1990-09-19,0.0,7.16,6.97,7.03
1990-09-20,0.0,7.06,6.97,7.06
1990-09-21,0.0,7.06,6.88,6.94
