Date,Open,High,Low,Close
2013-11-15,3.74,3.88,3.73,3.86
2013-11-18,3.88,3.89,3.74,3.76
2013-11-19,3.75,3.75,3.67,3.68
2013-11-20,3.7,3.71,3.63,3.63
2013-11-21,3.65,3.67,3.63,3.64
2013-11-22,3.66,3.72,3.65,3.68
2013-11-25,3.85,3.86,3.65,3.66
2013-11-26,3.69,3.71,3.66,3.68
2013-11-27,3.69,3.71,3.66,3.68
2013-11-29,3.69,3.77,3.68,3.77
2013-12-02,3.79,3.79,3.75,3.77
2013-12-03,3.77,3.82,3.71,3.74
2013-12-04,3.72,3.77,3.69,3.72
2013-12-05,3.7,3.74,3.68,3.69
2013-12-06,3.72,3.75,3.68,3.69
2013-12-09,3.7,3.71,3.63,3.68
2013-12-10,3.67,3.68,3.6,3.6
2013-12-11,3.62,3.64,3.48,3.5
2013-12-12,3.52,3.53,3.38,3.47
2013-12-13,3.5,3.55,3.47,3.53
2013-12-16,3.55,3.59,3.5,3.52
2013-12-17,3.52,3.53,3.41,3.42
2013-12-18,3.37,3.57,3.32,3.47
2013-12-19,3.49,3.53,3.38,3.43
2013-12-20,3.41,3.59,3.4,3.52
2013-12-23,3.55,3.62,3.52,3.52
2013-12-24,3.54,3.61,3.5,3.6
2013-12-26,3.62,3.63,3.55,3.59
2013-12-27,3.6,3.62,3.5,3.52
2013-12-30,3.51,3.53,3.47,3.51
2013-12-31,3.49,3.54,3.48,3.49
2014-01-02,3.46,3.52,3.45,3.5
2014-01-03,3.59,3.64,3.54,3.57
2014-01-06,3.84,3.86,3.75,3.83
2014-01-07,3.86,3.87,3.81,3.86
2014-01-08,3.86,3.89,3.76,3.77
2014-01-09,3.76,3.83,3.74,3.79
2014-01-10,3.82,3.82,3.69,3.7
2014-01-13,3.76,3.76,3.65,3.67
2014-01-14,3.68,3.7,3.64,3.67
2014-01-15,3.68,3.7,3.65,3.69
2014-01-16,3.68,3.72,3.67,3.67
2014-01-17,3.67,3.73,3.67,3.72
2014-01-21,3.75,3.75,3.69,3.71
2014-01-22,3.72,3.74,3.69,3.74
2014-01-23,3.71,3.72,3.69,3.72
2014-01-24,3.7,3.7,3.62,3.64
2014-01-27,3.65,3.66,3.58,3.66
2014-01-28,3.65,3.67,3.6,3.63
2014-01-29,3.59,3.66,3.57,3.59
2014-01-30,3.6,3.63,3.58,3.6
2014-01-31,3.55,3.6,3.52,3.58
2014-02-03,3.59,3.62,3.47,3.55
2014-02-04,3.5,3.54,3.46,3.52
2014-02-05,3.48,3.5,3.35,3.43
2014-02-06,3.42,3.48,3.42,3.45
2014-02-07,3.46,3.5,3.44,3.48
2014-02-10,3.48,3.51,3.47,3.49
2014-02-11,3.5,3.58,3.49,3.57
2014-02-12,3.59,3.61,3.52,3.56
2014-02-13,3.42,3.54,3.42,3.51
2014-02-14,3.5,3.57,3.49,3.56
2014-02-18,3.56,3.58,3.55,3.58
2014-02-19,3.56,3.58,3.55,3.57
2014-02-20,3.56,3.61,3.55,3.6
2014-02-21,3.61,3.61,3.57,3.61
2014-02-24,3.61,3.62,3.57,3.59
2014-02-25,3.59,3.61,3.56,3.58
2014-02-26,3.59,3.59,3.56,3.57
2014-02-27,3.56,3.62,3.56,3.61
2014-02-28,3.62,3.63,3.6,3.61
2014-03-03,3.59,3.61,3.56,3.57
2014-03-04,3.59,3.63,3.57,3.59
2014-03-05,3.61,3.63,3.55,3.55
2014-03-06,3.55,3.58,3.51,3.56
2014-03-07,3.59,3.6,3.51,3.51
2014-03-10,3.51,3.53,3.45,3.47
2014-03-11,3.49,3.5,3.43,3.43
2014-03-12,3.42,3.45,3.37,3.39
2014-03-13,3.41,3.43,3.36,3.37
2014-03-14,3.36,3.52,3.35,3.44
2014-03-17,3.49,3.49,3.39,3.42
2014-03-18,3.43,3.44,3.38,3.39
2014-03-19,3.39,3.44,3.38,3.4
2014-03-20,3.4,3.4,3.36,3.36
2014-03-21,3.38,3.4,3.35,3.35
2014-03-24,3.36,3.36,3.22,3.26
2014-03-25,3.27,3.3,3.09,3.17
2014-03-26,3.22,3.25,3.15,3.16
2014-03-27,3.15,3.2,3.09,3.12
2014-03-28,3.16,3.21,3.15,3.16
2014-03-31,3.18,3.21,3.15,3.2
2014-04-01,3.2,3.24,3.19,3.24
2014-04-02,3.27,3.36,3.26,3.34
2014-04-03,3.36,3.4,3.26,3.28
2014-04-04,3.32,3.34,3.2,3.2
2014-04-07,3.2,3.21,3.11,3.12
2014-04-08,3.14,3.15,3.06,3.06
2014-04-09,3.08,3.16,3.08,3.14
2014-04-10,3.13,3.18,3.05,3.1
2014-04-11,3.13,3.24,3.1,3.16
2014-04-14,3.19,3.2,3.1,3.12
2014-04-15,3.13,3.14,3.0,3.09
2014-04-16,3.09,3.17,3.09,3.17
2014-04-17,3.17,3.19,3.13,3.14
2014-04-21,3.14,3.21,3.14,3.19
2014-04-22,3.2,3.24,3.19,3.22
2014-04-23,3.22,3.24,3.16,3.17
2014-04-24,3.19,3.25,3.12,3.2
2014-04-25,3.18,3.18,3.08,3.12
2014-04-28,3.11,3.12,2.98,3.07
2014-04-29,3.06,3.11,3.0,3.07
2014-04-30,3.05,3.19,3.05,3.19
2014-05-01,3.17,3.23,3.17,3.22
2014-05-02,3.21,3.26,3.21,3.24
2014-05-05,3.22,3.24,3.17,3.23
2014-05-06,3.2,3.23,3.18,3.19
2014-05-07,3.2,3.21,3.12,3.15
2014-05-08,3.14,3.2,3.14,3.15
2014-05-09,3.15,3.16,3.12,3.16
