Date,Open,High,Low,Close
1999-12-31,13.92,14.083,13.709,13.833
2000-01-03,13.83,13.917,13.375,13.75
2000-01-04,13.5,14.333,13.417,13.833
2000-01-05,13.92,15.833,13.875,15.0
2000-01-06,15.13,16.042,15.042,15.959
2000-01-07,16.25,16.875,16.042,16.875
2000-01-10,17.209999,18.209,17.125,18.209
2000-01-11,17.92,18.042,17.75,17.917
2000-01-12,17.629998999999998,17.709,16.542,17.333
2000-01-13,17.2917,18.875,16.875,17.2917
2000-01-14,18.83,19.167,17.083,17.292
2000-01-18,17.09,17.125,15.833,16.125
2000-01-19,16.25,17.333,16.209,17.042
2000-01-20,17.17,17.25,16.25,16.25
2000-01-21,16.2708,16.375,15.3333,16.2917
2000-01-24,16.125,16.125,14.6667,15.125
2000-01-25,15.0,16.417,14.792,16.083
2000-01-26,15.96,16.417,15.459,15.792
2000-01-27,15.75,16.0,14.833,15.209
2000-01-28,15.13,15.875,14.167,14.333
2000-01-31,14.75,16.083,14.417,15.875
2000-02-01,16.0,16.333,15.125,15.709
2000-02-02,16.0,16.833,15.875,16.5
2000-02-03,16.629998999999998,16.709,15.875,16.583
2000-02-04,16.59,17.959,16.583,17.333
2000-02-07,17.290001,17.292,16.667,17.209
2000-02-08,17.33,18.0,16.542,17.833
2000-02-09,17.75,18.209,17.209,17.25
2000-02-10,17.17,18.75,16.833,18.542
2000-02-11,18.33,19.125,15.583,18.709
2000-02-14,18.5,18.583,17.583,18.125
2000-02-15,17.790001,17.792,16.542,16.667
2000-02-16,16.59,16.75,15.833,16.25
2000-02-17,16.42,16.75,15.25,15.917
2000-02-18,16.0,16.0,15.167,15.292
2000-02-22,15.63,15.917,15.292,15.583
2000-02-23,15.54,15.709,14.667,15.042
2000-02-24,15.209,15.209,14.25,14.833
2000-02-25,15.09,15.417,14.333,14.583
2000-02-28,14.59,16.75,14.583,16.583
2000-02-29,16.629998999999998,18.125,16.583,18.0
2000-03-01,17.83,17.959,17.042,17.542
2000-03-02,14.5,16.6667,14.3333,14.5
2000-03-03,14.83,15.042,14.0,14.5
2000-03-06,14.5,14.5,13.417,13.459
2000-03-07,13.79,13.833,12.583,12.917
2000-03-08,13.0,13.167,12.583,12.75
2000-03-09,12.83,13.125,12.75,12.959
2000-03-10,13.09,13.792,12.833,12.917
2000-03-13,12.9167,12.9167,12.2083,12.375
2000-03-14,12.63,12.833,12.25,12.375
2000-03-15,12.33,13.417,12.167,13.333
2000-03-16,13.5,15.583,13.417,15.25
2000-03-17,14.96,15.333,14.292,14.75
2000-03-20,14.667,14.667,13.833,14.083
2000-03-21,14.13,15.0,13.833,14.917
2000-03-22,14.917,14.917,13.833,14.709
2000-03-23,14.625,14.625,13.875,14.0833
2000-03-24,14.17,14.333,13.333,13.917
2000-03-27,13.96,14.0,13.333,13.417
2000-03-28,13.29,13.459,13.125,13.125
2000-03-29,13.21,13.667,13.125,13.25
2000-03-30,13.21,13.709,13.125,13.583
2000-03-31,13.6042,14.0833,13.0833,13.3333
2000-04-03,13.375,14.646,13.375,13.833
2000-04-04,13.87,13.917,12.5,13.0
2000-04-05,13.083,13.083,12.667,12.792
2000-04-06,12.92,13.0,12.542,12.583
2000-04-07,12.75,12.833,12.542,12.667
2000-04-10,12.79,12.833,12.417,12.5
2000-04-11,12.46,12.833,12.042,12.375
2000-04-12,12.46,14.167,12.459,13.333
2000-04-13,13.5,14.625,13.333,13.333
2000-04-14,13.17,13.542,12.667,12.667
2000-04-17,12.46,12.959,11.959,12.083
2000-04-18,12.09,12.5,11.667,12.375
2000-04-19,12.42,12.625,11.792,12.167
2000-04-20,12.25,12.333,11.959,12.042
2000-04-24,12.0,12.5,11.875,12.25
2000-04-25,12.333,13.104,12.333,12.917
2000-04-26,12.79,13.125,12.583,12.667
2000-04-27,12.5,13.333,12.083,13.125
2000-04-28,13.125,13.125,12.417,12.709
2000-05-01,12.75,13.292,12.542,13.209
2000-05-02,13.04,13.25,12.583,12.667
2000-05-03,12.5,12.542,11.209,11.459
2000-05-04,11.5,11.8333,11.3333,11.5833
2000-05-05,11.5,11.667,11.333,11.375
2000-05-08,11.417,11.417,11.209,11.333
2000-05-09,11.37,11.417,10.667,11.042
2000-05-10,11.0625,11.7917,10.9583,11.0417
2000-05-11,11.333,12.0,11.333,11.833
2000-05-12,11.792,12.417,11.792,12.0
2000-05-15,12.6667,13.0,12.125,12.75
2000-05-16,12.83,13.167,11.542,11.542
2000-05-17,11.667,11.667,10.917,11.459
2000-05-18,11.5,11.833,11.5,11.709
2000-05-19,11.5,11.625,11.167,11.292
2000-05-22,11.42,11.583,11.083,11.459
2000-05-23,11.5,12.042,11.5,11.833
2000-05-24,11.79,11.833,11.083,11.667
2000-05-25,11.67,12.083,11.292,11.292
2000-05-26,11.1667,11.1667,10.4167,10.5
2000-05-30,10.5,10.875,9.875,10.0
2000-05-31,10.04,10.063,9.709,9.833
2000-06-01,9.83,10.042,9.709,9.875
2000-06-02,9.91667,10.1667,9.91667,10.125
2000-06-05,10.13,10.167,9.709,9.875
2000-06-06,9.87,9.875,9.167,9.375
2000-06-07,9.37,9.75,9.0,9.709
2000-06-08,9.75,10.209,9.709,10.125
2000-06-09,10.17,10.583,10.167,10.5
2000-06-12,10.44,10.709,10.333,10.583
2000-06-13,10.5,11.125,10.5,11.0
2000-06-14,11.04,11.25,10.75,11.125
2000-06-15,11.0,11.333,10.917,11.333
2000-06-16,11.33,12.417,11.292,12.25
2000-06-19,11.92,12.542,11.625,12.417
2000-06-20,12.25,12.333,11.667,12.083
2000-06-21,11.87,11.959,11.667,11.792
2000-06-22,11.75,11.792,11.083,11.333
2000-06-23,10.54,10.709,10.0,10.125
2000-06-26,10.09,10.667,10.083,10.333
2000-06-27,10.29,10.333,9.833,10.167
2000-06-28,10.25,10.417,10.167,10.292
2000-06-29,10.25,10.292,9.959,10.167
2000-06-30,10.04,10.333,10.0,10.25
2000-07-03,10.33,10.375,10.083,10.25
2000-07-05,10.21,10.5,10.167,10.375
2000-07-06,10.31,10.709,10.209,10.709
2000-07-07,10.75,11.333,10.709,11.25
2000-07-10,11.21,11.917,10.709,11.75
2000-07-11,11.75,11.792,11.125,11.292
2000-07-12,11.2917,11.2917,10.0833,10.1667
2000-07-13,10.63,10.667,10.167,10.375
2000-07-14,10.46,10.542,10.209,10.375
2000-07-17,10.33,10.417,9.959,9.959
2000-07-18,9.96,10.209,9.917,10.0
2000-07-19,10.0,10.417,9.959,10.292
2000-07-20,10.21,10.25,9.917,10.0
2000-07-21,10.0,10.209,9.959,10.125
2000-07-24,10.13,10.333,10.0,10.167
2000-07-25,10.21,10.333,10.0,10.333
2000-07-26,10.08,10.167,9.917,9.959
2000-07-27,10.04,10.042,9.583,9.667
2000-07-28,9.54,9.667,9.209,9.333
2000-07-31,9.37,9.583,9.0,9.209
2000-08-01,9.21,9.5,8.792,8.875
2000-08-02,8.92,9.417,8.875,9.25
2000-08-03,8.96,9.75,8.937,9.667
2000-08-04,9.6875,10.0417,9.58333,9.625
2000-08-07,9.67,10.313,9.375,10.209
2000-08-08,11.8333,12.1667,11.25,11.8333
2000-08-09,12.0,12.25,11.6667,11.9792
2000-08-10,12.04,12.063,11.0,11.25
2000-08-11,11.37,11.959,11.125,11.625
2000-08-14,11.67,12.167,11.583,12.083
2000-08-15,11.75,11.959,11.125,11.625
2000-08-16,11.5,11.5,11.042,11.167
2000-08-17,11.13,11.417,11.125,11.25
2000-08-18,11.21,11.333,11.125,11.125
2000-08-21,11.19,11.209,10.917,11.0
2000-08-22,11.09,11.209,11.042,11.083
2000-08-23,11.25,11.25,10.917,10.917
2000-08-24,10.96,11.042,10.375,10.625
2000-08-25,10.67,11.209,10.459,10.583
2000-08-28,10.63,10.917,10.583,10.625
2000-08-29,10.709,10.709,10.292,10.459
2000-08-30,10.46,10.917,10.417,10.709
2000-08-31,10.75,10.792,10.083,10.25
2000-09-01,10.33,10.583,10.25,10.542
2000-09-05,10.67,10.75,10.459,10.625
2000-09-06,10.7,10.875,10.667,10.709
2000-09-07,10.79,10.792,10.417,10.5
2000-09-08,10.46,10.792,10.417,10.709
2000-09-11,10.71,11.375,10.667,11.167
2000-09-12,11.25,11.375,11.042,11.083
2000-09-13,10.96,11.25,10.417,10.625
2000-09-14,10.63,10.959,10.333,10.375
2000-09-15,10.5,10.542,10.0,10.083
2000-09-18,10.17,10.333,9.583,9.959
2000-09-19,10.09,10.209,9.792,10.042
2000-09-20,9.92,10.209,9.792,9.875
2000-09-21,9.87,9.959,9.125,9.625
2000-09-22,9.59,9.959,9.333,9.583
2000-09-25,9.83,9.917,9.709,9.709
2000-09-26,9.67,9.709,9.167,9.459
2000-09-27,9.46,9.792,9.375,9.542
2000-09-28,9.52,9.833,9.459,9.542
2000-09-29,9.54,9.625,9.209,9.459
2000-10-02,9.5,9.667,9.333,9.417
2000-10-03,9.39,9.5,9.292,9.459
2000-10-04,9.37,9.667,9.25,9.375
2000-10-05,9.04,9.292,8.5,8.833
2000-10-06,8.83,8.917,8.0,8.625
2000-10-09,8.59,8.667,8.5,8.5
2000-10-10,8.54,9.0,8.5,8.959
2000-10-11,8.87,8.917,8.542,8.709
2000-10-12,8.709,8.709,7.959,8.042
2000-10-13,8.09,8.542,8.0,8.292
2000-10-16,8.29,8.333,7.292,7.375
2000-10-17,7.59,7.709,7.292,7.333
2000-10-18,7.08333,7.83333,6.83333,7.625
2000-10-19,7.71,8.396,7.667,8.292
2000-10-20,8.29,8.375,8.0,8.042
2000-10-23,8.09,8.125,7.917,7.959
2000-10-24,7.98,8.0,7.709,7.792
2000-10-25,7.917,7.917,7.625,7.667
2000-10-26,7.67,7.709,7.5,7.709
2000-10-27,7.71,8.625,7.667,8.583
2000-10-30,8.54,8.792,8.5,8.667
2000-10-31,8.92,10.083,8.792,9.5
2000-11-01,9.56,10.083,9.5,9.792
2000-11-02,9.75,10.083,9.75,10.0
2000-11-03,10.0,10.0,8.5,8.792
2000-11-06,8.92,9.125,8.209,8.709
2000-11-07,8.67,9.125,8.209,9.125
2000-11-08,9.083,9.083,8.5,8.833
2000-11-09,8.5,8.667,8.042,8.25
2000-11-10,8.21,8.25,7.625,7.709
2000-11-13,7.54,7.667,7.25,7.583
2000-11-14,7.13,7.459,7.042,7.167
2000-11-15,7.17,8.167,7.125,8.125
2000-11-16,8.0,8.167,7.833,7.959
2000-11-17,8.08333,8.08333,7.875,8.0
2000-11-20,7.92,8.083,7.875,8.0
2000-11-21,7.96,8.125,7.542,7.833
2000-11-22,7.75,8.375,7.667,8.083
2000-11-24,8.02,8.125,7.917,8.0
2000-11-27,8.0,8.167,7.667,7.75
2000-11-28,7.75,8.125,7.709,8.104
2000-11-29,8.09,8.167,7.917,8.083
2000-11-30,8.0,8.083,7.833,8.0
2000-12-01,8.09,8.25,8.0,8.209
2000-12-04,8.21,8.25,7.917,8.083
2000-12-05,8.09,8.583,8.083,8.542
2000-12-06,8.46,8.833,7.917,8.042
2000-12-07,7.92,8.375,7.875,8.25
2000-12-08,8.21,8.792,8.083,8.667
2000-12-11,8.63,8.75,8.5,8.583
2000-12-12,8.56,9.167,8.5,9.042
2000-12-13,9.06,9.167,8.959,8.959
2000-12-14,8.96,9.0,8.625,8.833
2000-12-15,8.59,8.709,8.459,8.583
2000-12-18,8.54,8.583,8.25,8.375
2000-12-19,8.5,8.542,7.583,7.709
2000-12-20,7.5,7.5,7.083,7.417
2000-12-21,7.37,7.625,7.292,7.459
2000-12-22,7.42,7.542,7.25,7.417
2000-12-26,7.29,7.417,7.209,7.333
2000-12-27,7.31,7.583,7.292,7.5
2000-12-28,7.37,7.667,7.333,7.5
2000-12-29,7.46,8.25,7.459,7.875
2001-01-02,7.792,8.375,7.792,8.083
2001-01-03,8.04,9.75,8.0,9.75
2001-01-04,9.72917,10.0,9.20833,9.875
2001-01-05,9.85,9.875,9.417,9.417
2001-01-08,9.46,9.542,8.959,9.167
2001-01-09,9.17,9.459,9.042,9.167
2001-01-10,9.46,9.875,9.417,9.75
2001-01-11,9.70833,9.70833,9.29167,9.54167
2001-01-12,9.5,9.542,8.917,9.0
2001-01-16,9.0,9.417,8.709,9.25
2001-01-17,9.35,9.875,9.333,9.459
2001-01-18,9.61,10.042,9.583,9.875
2001-01-19,9.92,9.959,9.167,9.75
2001-01-22,9.75,9.833,9.5,9.5
2001-01-23,9.54,9.667,9.333,9.583
2001-01-24,9.65,9.792,9.542,9.667
2001-01-25,9.709,9.709,9.25,9.542
2001-01-26,9.0,10.292,8.959,10.292
2001-01-29,10.0,11.167,9.959,10.875
2001-01-30,10.83,10.875,10.25,10.625
2001-01-31,10.59,11.25,10.417,11.042
2001-02-01,10.92,12.042,10.833,12.042
2001-02-02,11.87,12.042,10.542,10.833
2001-02-05,10.87,11.0,10.083,10.667
2001-02-06,10.71,11.292,10.667,10.792
2001-02-07,10.79,11.417,10.75,11.167
2001-02-08,11.02,11.375,10.542,10.917
2001-02-09,10.8333,10.8333,10.125,10.4167
2001-02-12,10.4167,11.2083,10.1667,11.125
2001-02-13,11.09,11.292,11.042,11.125
2001-02-14,11.13,11.417,11.042,11.292
2001-02-15,11.25,11.2917,10.8333,11.0833
2001-02-16,11.0833,11.25,10.7083,10.7917
2001-02-20,10.833,11.333,10.833,11.167
2001-02-21,11.0,11.167,10.167,10.375
2001-02-22,10.48,10.583,9.792,10.0
2001-02-23,10.0,10.5,9.959,10.25
2001-02-26,10.25,10.542,10.25,10.542
2001-02-27,10.4167,10.4167,10.0417,10.125
2001-02-28,10.0833,10.0833,9.70833,9.91667
2001-03-01,9.87,10.0,9.542,9.959
2001-03-02,9.87,9.959,9.667,9.917
2001-03-05,9.92,10.042,9.667,9.875
2001-03-06,10.09,11.042,10.0,10.625
2001-03-07,10.71,11.167,10.625,11.0
2001-03-08,10.96,11.792,10.917,11.709
2001-03-09,11.63,11.75,11.292,11.417
2001-03-12,11.375,11.375,10.25,10.2917
2001-03-13,10.59,11.0,10.459,11.0
2001-03-14,10.83,11.333,10.75,11.083
2001-03-15,11.09,11.167,10.625,10.667
2001-03-16,10.6146,10.6146,10.1667,10.4583
2001-03-19,10.54,10.917,10.333,10.833
2001-03-20,10.92,11.417,10.5,10.5
2001-03-21,10.54,10.709,10.25,10.417
2001-03-22,10.33,10.459,10.0,10.417
2001-03-23,10.46,10.5,9.667,10.083
2001-03-26,10.13,10.25,9.709,9.959
2001-03-27,10.0,10.042,9.542,9.75
2001-03-28,9.67,9.937,9.459,9.917
2001-03-29,9.75,10.042,9.583,9.75
2001-03-30,9.67,9.959,9.667,9.917
2001-04-02,9.91667,10.1667,9.5,9.70833
2001-04-03,9.59,9.709,9.417,9.5
2001-04-04,9.46,9.833,9.375,9.625
2001-04-05,9.63,10.375,9.583,9.979
2001-04-06,9.75,10.042,9.667,9.917
2001-04-09,9.87,10.387,9.867,10.38
2001-04-10,10.513,11.04,10.513,11.027
2001-04-11,11.05,11.06,10.8,10.827
2001-04-12,10.8533,11.0933,10.5567,10.94
2001-04-16,10.87,11.127,10.68,10.893
2001-04-17,10.73,11.02,10.713,10.96
2001-04-18,10.98,11.707,10.907,11.533
