Date,Open,High,Low,Close
1997-08-13,0.0,21.94,21.06,21.25
1997-08-14,0.0,21.25,20.62,20.94
1997-08-15,0.0,20.94,19.25,19.38
1997-08-18,0.0,19.75,19.31,19.56
1997-08-19,0.0,19.56,19.31,19.38
1997-08-20,0.0,20.12,19.31,19.94
1997-08-21,0.0,20.0,19.5,19.56
1997-08-22,0.0,19.69,19.06,19.5
1997-08-25,0.0,19.69,19.5,19.5
1997-08-26,0.0,19.69,19.44,19.5
1997-08-27,0.0,19.62,19.12,19.19
1997-08-28,0.0,19.69,19.19,19.5
1997-08-29,0.0,19.81,19.38,19.75
1997-09-02,0.0,20.0,19.62,19.69
1997-09-03,0.0,20.81,19.94,20.41
1997-09-04,0.0,20.75,20.38,20.69
1997-09-05,0.0,20.75,20.5,20.66
1997-09-08,0.0,20.62,20.5,20.59
1997-09-09,0.0,20.69,20.12,20.66
1997-09-10,0.0,20.75,20.0,20.12
1997-09-11,0.0,20.75,20.12,20.5
1997-09-12,0.0,20.69,20.25,20.69
1997-09-15,0.0,20.88,20.56,20.75
1997-09-16,0.0,20.81,19.75,20.0
1997-09-17,0.0,20.12,18.94,19.38
1997-09-18,0.0,19.69,18.88,19.06
1997-09-19,0.0,19.38,18.19,18.5
1997-09-22,0.0,18.59,18.25,18.25
1997-09-23,0.0,18.75,18.5,18.56
1997-09-24,0.0,19.69,18.78,19.59
1997-09-25,0.0,19.94,19.12,19.12
1997-09-26,0.0,20.69,19.0,20.34
1997-09-29,0.0,21.5,20.5,21.41
1997-09-30,0.0,22.19,21.19,21.88
1997-10-01,0.0,22.75,20.91,22.44
1997-10-02,0.0,22.56,21.41,21.81
1997-10-03,0.0,22.94,21.81,22.56
1997-10-06,0.0,22.75,22.19,22.19
1997-10-07,0.0,22.56,22.06,22.44
1997-10-08,0.0,22.56,21.62,22.19
1997-10-09,0.0,22.62,22.19,22.5
1997-10-10,0.0,22.5,22.19,22.19
1997-10-13,0.0,22.38,21.69,21.81
1997-10-14,0.0,22.03,21.44,21.84
1997-10-15,0.0,22.06,21.25,21.38
1997-10-16,0.0,21.56,21.12,21.22
1997-10-17,0.0,21.75,21.12,21.44
1997-10-20,0.0,21.62,21.31,21.38
1997-10-21,0.0,21.75,21.25,21.38
1997-10-22,0.0,21.41,20.88,20.97
1997-10-23,0.0,21.06,20.75,20.97
1997-10-24,0.0,21.25,20.88,20.94
1997-10-27,0.0,21.0,20.31,20.38
1997-10-28,0.0,21.0,19.38,20.94
1997-10-29,0.0,21.06,20.56,20.75
