Date,Open,High,Low,Close
2015-08-03,95.17,95.75,91.63,92.78
2015-08-04,90.89,91.0,85.07,88.69
2015-08-05,86.63,90.57,86.63,88.96
2015-08-06,89.99,89.99,84.33,85.98
2015-08-07,85.25,88.4,85.01,88.36
2015-08-10,89.9,91.45,88.58,91.03
2015-08-11,88.53,91.14,87.68,88.97
2015-08-12,86.88,90.59,86.5,89.9
2015-08-13,90.12,91.53,89.42,89.64
2015-08-14,89.04,89.38,87.6,89.1
2015-08-17,88.59,91.0,88.16,90.93
2015-08-18,90.8,90.9,85.15,85.7
2015-08-19,86.54,88.22,85.35,87.23
2015-08-20,85.89,86.88,82.42,82.44
2015-08-21,80.17,82.0,78.22,79.07
2015-08-24,71.01,84.8,70.8,80.51
2015-08-25,85.38,86.65,80.31,80.56
2015-08-26,83.52,86.28,81.56,86.15
2015-08-27,88.94,90.08,86.62,89.77
2015-08-28,88.37,89.97,87.57,88.62
2015-08-31,87.87,89.79,87.29,87.35
2015-09-01,84.48,86.33,82.4,83.05
2015-09-02,85.45,85.74,83.51,85.74
2015-09-03,86.31,87.44,85.04,85.34
2015-09-04,84.03,85.55,83.08,83.37
2015-09-08,85.74,87.9,84.87,87.73
2015-09-09,88.8,89.77,86.17,86.42
2015-09-10,86.99,89.43,86.51,88.07
2015-09-11,87.4,88.64,86.55,88.16
2015-09-14,90.06,90.67,89.09,89.5
2015-09-15,89.82,91.86,89.7,91.66
2015-09-16,91.64,91.88,90.13,91.52
2015-09-17,91.17,92.63,90.23,90.74
2015-09-18,89.0,90.84,88.64,89.37
2015-09-21,90.22,91.09,88.58,89.22
2015-09-22,87.58,88.48,86.3,86.7
2015-09-23,86.73,89.04,86.17,88.12
2015-09-24,87.31,87.79,84.43,86.35
2015-09-25,88.6,89.72,86.5,87.77
2015-09-28,87.43,88.1,82.67,82.71
2015-09-29,82.5,84.99,82.0,82.85
2015-09-30,84.11,85.25,82.73,84.21
2015-10-01,83.98,84.03,81.51,83.37
2015-10-02,81.89,84.08,81.11,84.06
2015-10-05,84.49,84.75,81.8,81.87
2015-10-06,81.84,82.49,74.51,80.71
2015-10-07,81.16,83.65,79.84,83.61
2015-10-08,82.91,83.04,77.3,79.43
2015-10-09,79.56,80.26,78.45,79.5
