Date,Open,High,Low,Close
1998-01-07,0.0,39.75,38.12,39.25
1998-01-08,0.0,39.38,38.0,38.12
1998-01-09,0.0,38.25,36.12,36.88
1998-01-12,0.0,40.5,35.5,40.38
1998-01-13,0.0,41.12,39.75,40.62
1998-01-14,0.0,41.12,40.0,40.62
1998-01-15,0.0,40.88,37.0,38.31
1998-01-16,0.0,38.25,36.12,36.5
1998-01-20,0.0,36.75,35.5,36.69
1998-01-21,0.0,40.38,36.0,39.75
1998-01-22,0.0,39.69,38.62,38.62
1998-01-23,0.0,40.88,39.0,40.25
1998-01-26,0.0,41.75,37.12,38.5
1998-01-27,0.0,40.38,38.12,38.38
1998-01-28,0.0,41.75,38.38,41.62
1998-01-29,0.0,42.12,40.75,41.88
1998-01-30,0.0,42.38,41.41,42.38
1998-02-02,0.0,45.0,42.25,44.5
1998-02-03,0.0,44.0,42.62,43.0
1998-02-04,0.0,43.25,42.12,43.06
1998-02-05,0.0,44.38,43.0,43.62
1998-02-06,0.0,44.12,42.12,43.0
1998-02-09,0.0,43.88,41.62,43.0
1998-02-10,0.0,44.12,42.75,43.94
1998-02-11,0.0,47.12,43.38,47.0
1998-02-12,0.0,48.5,45.38,47.19
1998-02-13,0.0,47.75,46.12,47.12
1998-02-17,0.0,47.75,46.12,47.12
1998-02-18,0.0,47.0,45.5,46.38
1998-02-19,0.0,48.5,46.25,48.31
1998-02-20,0.0,49.12,47.38,48.0
1998-02-23,0.0,48.62,47.12,47.88
1998-02-24,0.0,47.88,45.5,45.56
1998-02-25,0.0,48.0,45.25,46.88
1998-02-26,0.0,46.88,45.5,45.5
1998-02-27,0.0,47.5,45.5,46.5
1998-03-02,0.0,47.62,46.38,47.12
1998-03-03,0.0,47.5,46.0,47.0
1998-03-04,0.0,47.5,46.0,47.12
1998-03-05,0.0,44.38,41.25,41.25
1998-03-06,0.0,44.69,42.0,44.0
1998-03-09,0.0,44.12,40.12,40.5
1998-03-10,0.0,42.25,41.12,42.0
1998-03-11,0.0,43.38,41.62,42.56
1998-03-12,0.0,43.25,41.88,42.94
1998-03-13,0.0,44.0,42.5,42.88
1998-03-16,0.0,43.12,41.97,42.5
1998-03-17,0.0,43.06,42.0,42.5
1998-03-18,0.0,42.5,41.12,41.88
1998-03-19,0.0,42.62,41.62,41.75
1998-03-20,0.0,41.0,38.38,38.38
1998-03-23,0.0,40.62,38.38,38.75
1998-03-24,0.0,39.25,37.5,38.0
1998-03-25,0.0,39.25,37.69,38.25
1998-03-26,0.0,40.12,36.38,40.12
1998-03-27,0.0,40.62,39.5,39.94
1998-03-30,0.0,40.12,37.62,38.22
1998-03-31,0.0,39.75,38.38,38.5
1998-04-01,0.0,39.81,38.38,39.12
1998-04-02,0.0,39.38,38.25,38.25
1998-04-03,0.0,39.75,38.69,38.75
1998-04-06,0.0,39.44,37.31,37.62
1998-04-07,0.0,38.0,36.12,36.44
1998-04-08,0.0,38.62,37.0,38.25
1998-04-09,0.0,39.88,38.38,39.31
1998-04-13,0.0,39.5,37.88,38.12
1998-04-14,0.0,39.0,37.0,38.88
1998-04-15,0.0,50.62,41.25,47.69
1998-04-16,0.0,48.88,45.0,47.12
1998-04-17,0.0,48.0,46.5,47.12
1998-04-20,0.0,49.69,46.88,48.5
1998-04-21,0.0,49.12,48.12,48.75
1998-04-22,0.0,48.88,47.75,48.12
1998-04-23,0.0,47.75,45.88,47.0
1998-04-24,0.0,48.0,46.62,47.25
1998-04-27,0.0,47.12,44.56,46.12
1998-04-28,0.0,47.88,45.75,47.62
1998-04-29,0.0,50.12,48.0,49.44
1998-04-30,0.0,50.12,49.25,49.88
