Date,Open,High,Low,Close
2002-11-07,19.08,19.08,18.24,18.42
2002-11-08,18.45,18.72,18.37,18.42
2002-11-11,18.52,18.55,17.9,18.0
2002-11-12,18.11,18.35,18.01,18.18
2002-11-13,17.69,18.11,17.62,18.08
2002-11-14,18.24,18.72,18.24,18.64
2002-11-15,18.65,19.0,18.62,18.89
2002-11-18,18.91,19.16,18.82,18.83
2002-11-19,18.74,19.37,18.65,18.97
2002-11-20,19.0,19.3,18.89,19.25
2002-11-21,19.28,19.54,19.25,19.46
2002-11-22,19.44,19.47,18.99,19.1
2002-11-25,18.99,19.42,18.95,19.32
2002-11-26,19.32,19.52,19.16,19.24
2002-11-27,19.48,19.78,19.33,19.75
2002-11-29,19.86,20.09,19.71,19.76
2002-12-02,20.0,20.0,19.35,19.35
2002-12-03,19.31,19.67,19.12,19.6
2002-12-04,19.54,19.78,19.44,19.67
2002-12-05,19.75,19.88,19.29,19.3
2002-12-06,19.15,19.6,18.9,19.44
2002-12-09,19.47,19.6,19.25,19.3
2002-12-10,19.48,19.54,19.06,19.28
2002-12-11,19.35,19.47,19.06,19.22
2002-12-12,19.32,19.4,19.02,19.4
2002-12-13,19.34,19.5,19.12,19.38
2002-12-16,19.63,19.95,19.33,19.44
2002-12-17,19.38,19.74,19.25,19.67
2002-12-18,19.58,20.0,19.29,19.78
2002-12-19,19.7,20.0,19.2,19.22
2002-12-20,19.38,19.4,18.42,18.62
2002-12-23,18.84,18.9,18.52,18.74
2002-12-24,18.73,18.73,18.34,18.5
2002-12-26,18.48,18.77,18.32,18.4
2002-12-27,18.4,18.55,18.26,18.28
2002-12-30,18.51,18.8,18.47,18.66
2002-12-31,18.73,19.3,18.6,19.3
2003-01-02,19.08,19.69,19.05,19.64
2003-01-03,19.65,19.74,19.18,19.54
2003-01-06,19.32,19.89,19.0,19.04
2003-01-07,18.66,19.87,18.8,19.6
2003-01-08,19.42,19.59,19.21,19.22
2003-01-09,19.3,19.32,18.82,19.25
2003-01-10,19.08,19.26,18.82,19.08
2003-01-13,19.1,19.2,18.93,18.95
2003-01-14,18.85,18.92,18.44,18.58
2003-01-15,18.64,18.75,18.48,18.53
2003-01-16,18.7,19.4,18.68,19.19
2003-01-17,19.06,19.42,19.0,19.15
2003-01-21,19.19,19.58,19.07,19.2
2003-01-22,19.09,19.24,18.74,18.92
2003-01-23,18.92,19.09,18.67,18.91
2003-01-24,18.88,18.98,18.62,18.72
2003-01-27,18.7,19.16,18.62,19.0
2003-01-28,19.08,19.23,18.84,18.9
2003-01-29,18.88,19.24,18.78,19.04
2003-01-30,19.12,19.32,18.66,18.7
2003-01-31,18.71,19.24,18.64,19.2
2003-02-03,19.06,19.25,18.95,19.04
2003-02-04,18.68,18.8,18.06,18.12
2003-02-05,18.3,18.3,17.9,17.94
2003-02-06,17.91,17.99,17.62,17.75
2003-02-07,17.86,18.0,17.68,17.88
2003-02-10,17.89,18.18,17.7,18.13
2003-02-11,18.23,18.3,17.98,18.22
2003-02-12,18.22,18.28,17.55,17.73
2003-02-13,17.52,17.57,17.28,17.34
2003-02-14,17.47,18.08,17.25,18.08
2003-02-18,18.9,18.95,18.26,18.6
2003-02-19,18.54,18.85,18.5,18.68
2003-02-20,18.69,18.87,18.42,18.56
2003-02-21,18.67,18.98,18.48,18.78
2003-02-24,18.49,18.72,18.34,18.4
2003-02-25,18.13,18.6,18.13,18.48
2003-02-26,18.5,18.7,18.4,18.48
2003-02-27,18.57,18.82,18.5,18.5
2003-02-28,18.52,18.9,18.45,18.89
2003-03-03,18.97,19.12,18.76,18.92
2003-03-04,18.76,18.86,18.5,18.56
2003-03-05,18.42,18.6,18.24,18.38
2003-03-06,18.55,18.74,18.3,18.6
2003-03-07,18.32,18.67,18.25,18.35
2003-03-10,18.25,18.32,17.76,17.9
2003-03-11,18.1,18.28,17.75,18.21
2003-03-12,18.14,18.48,17.78,18.4
2003-03-13,18.42,18.8,17.87,18.71
2003-03-14,18.93,19.09,18.8,19.05
2003-03-17,19.0,19.48,18.78,19.48
2003-03-18,19.38,19.72,19.22,19.56
2003-03-19,19.6,20.31,19.58,20.08
2003-03-20,19.97,20.18,19.66,19.96
2003-03-21,20.24,20.94,20.1,20.87
2003-03-24,20.44,20.62,20.27,20.36
2003-03-25,20.56,21.44,0.5,21.08
2003-03-26,21.82,21.98,21.38,21.52
