Date,Open,High,Low,Close
1992-07-06,0.0,0.8,0.75,0.75
1992-07-07,0.0,0.76,0.73,0.76
1992-07-08,0.0,0.76,0.74,0.75
1992-07-09,0.0,0.79,0.75,0.77
1992-07-10,0.0,0.8,0.77,0.79
1992-07-13,0.0,0.79,0.76,0.78
1992-07-14,0.0,0.78,0.76,0.77
1992-07-15,0.0,0.78,0.76,0.77
1992-07-16,0.0,0.78,0.76,0.78
1992-07-17,0.0,0.78,0.76,0.78
1992-07-20,0.0,0.78,0.76,0.78
1992-07-21,0.0,0.81,0.78,0.8
1992-07-22,0.0,0.81,0.79,0.8
1992-07-23,0.0,0.8,0.78,0.78
1992-07-24,0.0,0.79,0.78,0.79
1992-07-27,0.0,0.79,0.77,0.78
1992-07-28,0.0,0.8,0.78,0.79
1992-07-29,0.0,0.81,0.79,0.81
1992-07-30,0.0,0.8,0.79,0.8
1992-07-31,0.0,0.8,0.77,0.79
1992-08-03,0.0,0.83,0.78,0.82
1992-08-04,0.0,0.83,0.79,0.81
1992-08-05,0.0,0.81,0.78,0.78
1992-08-06,0.0,0.79,0.77,0.77
1992-08-07,0.0,0.79,0.76,0.77
1992-08-10,0.0,0.79,0.74,0.79
1992-08-11,0.0,0.79,0.77,0.78
1992-08-12,0.0,0.78,0.77,0.78
1992-08-13,0.0,0.79,0.77,0.78
1992-08-14,0.0,0.81,0.79,0.8
1992-08-17,0.0,0.81,0.79,0.8
1992-08-18,0.0,0.81,0.78,0.78
1992-08-19,0.0,0.8,0.78,0.8
1992-08-20,0.0,0.8,0.78,0.8
1992-08-21,0.0,0.81,0.78,0.8
1992-08-24,0.0,0.81,0.76,0.76
1992-08-25,0.0,0.75,0.7,0.72
1992-08-26,0.0,0.75,0.71,0.73
1992-08-27,0.0,0.75,0.71,0.71
1992-08-28,0.0,0.72,0.7,0.7
1992-08-31,0.0,0.72,0.7,0.71
1992-09-01,0.0,0.74,0.7,0.72
1992-09-02,0.0,0.74,0.71,0.71
1992-09-03,0.0,0.72,0.7,0.7
1992-09-04,0.0,0.72,0.7,0.7
1992-09-08,0.0,0.71,0.68,0.7
1992-09-09,0.0,0.71,0.69,0.71
1992-09-10,0.0,0.72,0.7,0.72
1992-09-11,0.0,0.72,0.7,0.72
1992-09-14,0.0,0.78,0.72,0.78
1992-09-15,0.0,0.79,0.77,0.78
1992-09-16,0.0,0.75,0.68,0.72
1992-09-17,0.0,0.74,0.71,0.72
1992-09-18,0.0,0.78,0.74,0.78
1992-09-21,0.0,0.79,0.75,0.76
1992-09-22,0.0,0.77,0.74,0.75
1992-09-23,0.0,0.77,0.74,0.77
1992-09-24,0.0,0.79,0.75,0.79
1992-09-25,0.0,0.79,0.72,0.74
1992-09-28,0.0,0.73,0.71,0.73
1992-09-29,0.0,0.74,0.73,0.74
1992-09-30,0.0,0.76,0.73,0.74
1992-10-01,0.0,0.76,0.74,0.75
1992-10-02,0.0,0.76,0.74,0.75
1992-10-05,0.0,0.75,0.71,0.73
1992-10-06,0.0,0.76,0.74,0.76
1992-10-07,0.0,0.76,0.75,0.76
1992-10-08,0.0,0.79,0.74,0.78
1992-10-09,0.0,0.78,0.76,0.76
1992-10-12,0.0,0.77,0.76,0.77
1992-10-13,0.0,0.78,0.76,0.78
1992-10-14,0.0,0.84,0.77,0.84
1992-10-15,0.0,0.9,0.82,0.88
1992-10-16,0.0,0.91,0.88,0.91
1992-10-19,0.0,0.91,0.89,0.9
1992-10-20,0.0,0.91,0.8,0.8
1992-10-21,0.0,0.83,0.8,0.81
1992-10-22,0.0,0.83,0.81,0.83
1992-10-23,0.0,0.87,0.83,0.83
1992-10-26,0.0,0.84,0.83,0.84
1992-10-27,0.0,0.84,0.83,0.83
1992-10-28,0.0,0.88,0.83,0.88
1992-10-29,0.0,0.91,0.87,0.87
1992-10-30,0.0,0.87,0.81,0.83
1992-11-02,0.0,0.83,0.79,0.81
1992-11-03,0.0,0.81,0.76,0.77
1992-11-04,0.0,0.77,0.76,0.77
1992-11-05,0.0,0.79,0.74,0.76
1992-11-06,0.0,0.82,0.76,0.8
1992-11-09,0.0,0.9,0.79,0.88
1992-11-10,0.0,0.91,0.87,0.9
1992-11-11,0.0,0.91,0.89,0.9
1992-11-12,0.0,0.91,0.87,0.87
1992-11-13,0.0,0.89,0.87,0.89
1992-11-16,0.0,0.91,0.87,0.91
1992-11-17,0.0,0.91,0.89,0.89
1992-11-18,0.0,0.92,0.89,0.92
1992-11-19,0.0,0.97,0.91,0.95
1992-11-20,0.0,0.99,0.95,0.99
1992-11-23,0.0,0.98,0.95,0.96
1992-11-24,0.0,0.96,0.95,0.96
1992-11-25,0.0,0.98,0.95,0.96
1992-11-27,0.0,0.98,0.96,0.96
1992-11-30,0.0,1.0,0.96,0.99
1992-12-01,0.0,1.0,0.97,1.0
1992-12-02,0.0,1.01,0.98,1.0
1992-12-03,0.0,1.01,0.99,1.01
1992-12-04,0.0,1.01,0.95,0.95
1992-12-07,0.0,0.97,0.94,0.96
1992-12-08,0.0,0.96,0.94,0.95
1992-12-09,0.0,0.96,0.94,0.96
1992-12-10,0.0,0.96,0.93,0.95
