Date,Open,High,Low,Close
1990-01-02,0.0,8.42,8.3,8.38
1990-01-03,0.0,8.5,8.38,8.42
1990-01-04,0.0,8.46,8.3,8.38
1990-01-05,0.0,8.5,8.34,8.42
1990-01-08,0.0,8.46,8.34,8.42
1990-01-09,0.0,8.42,8.3,8.34
1990-01-10,0.0,8.38,8.21,8.34
1990-01-11,0.0,8.46,8.0,8.05
1990-01-12,0.0,8.05,7.8,7.92
1990-01-15,0.0,7.96,7.8,7.88
1990-01-16,0.0,8.13,7.75,8.05
1990-01-17,0.0,8.21,8.05,8.05
1990-01-18,0.0,8.05,7.96,8.0
1990-01-19,0.0,8.13,8.0,8.05
1990-01-22,0.0,8.13,7.96,8.09
1990-01-23,0.0,8.34,8.13,8.25
1990-01-24,0.0,8.3,8.13,8.21
1990-01-25,0.0,8.34,8.21,8.21
1990-01-26,0.0,8.25,8.09,8.17
1990-01-29,0.0,8.21,7.88,8.0
1990-01-30,0.0,8.0,7.8,7.96
1990-01-31,0.0,8.21,7.92,8.17
1990-02-01,0.0,8.34,8.17,8.3
1990-02-02,0.0,8.34,8.17,8.3
1990-02-05,0.0,8.25,8.13,8.13
1990-02-06,0.0,8.21,8.05,8.13
1990-02-07,0.0,8.13,8.0,8.0
1990-02-08,0.0,8.0,7.59,7.71
1990-02-09,0.0,7.75,7.67,7.75
1990-02-12,0.0,7.84,7.67,7.75
1990-02-13,0.0,7.88,7.75,7.88
1990-02-14,0.0,8.13,7.8,8.05
1990-02-15,0.0,8.34,8.0,8.34
1990-02-16,0.0,8.59,8.3,8.5
1990-02-20,0.0,8.46,8.3,8.34
1990-02-21,0.0,8.59,8.13,8.59
1990-02-22,0.0,9.13,8.5,8.88
1990-02-23,0.0,8.92,8.63,8.75
1990-02-26,0.0,8.8,8.59,8.67
1990-02-27,0.0,8.8,8.67,8.75
1990-02-28,0.0,9.25,8.71,9.21
1990-03-01,0.0,9.38,9.13,9.3
1990-03-02,0.0,9.34,9.17,9.3
1990-03-05,0.0,9.3,9.21,9.21
1990-03-06,0.0,9.3,9.09,9.13
1990-03-07,0.0,9.17,9.0,9.05
1990-03-08,0.0,9.05,8.96,9.05
1990-03-09,0.0,9.21,9.0,9.21
1990-03-12,0.0,9.21,9.05,9.09
1990-03-13,0.0,9.09,8.88,8.92
1990-03-14,0.0,9.05,8.96,8.96
1990-03-15,0.0,9.05,8.92,8.96
1990-03-16,0.0,9.0,8.92,8.96
1990-03-19,0.0,9.0,8.84,8.96
1990-03-20,0.0,9.05,8.96,8.96
1990-03-21,0.0,9.0,8.92,9.0
1990-03-22,0.0,9.09,8.92,8.96
1990-03-23,0.0,9.05,8.96,9.05
1990-03-26,0.0,9.09,9.0,9.05
1990-03-27,0.0,9.25,9.0,9.21
1990-03-28,0.0,9.25,9.17,9.21
1990-03-29,0.0,9.38,9.21,9.34
1990-03-30,0.0,9.55,9.34,9.46
1990-04-02,0.0,9.59,9.3,9.55
1990-04-03,0.0,9.96,9.59,9.8
1990-04-04,0.0,9.8,9.63,9.71
1990-04-05,0.0,9.75,9.63,9.63
1990-04-06,0.0,9.92,9.63,9.88
1990-04-09,0.0,10.13,9.8,9.96
1990-04-10,0.0,10.05,9.88,9.96
1990-04-11,0.0,10.0,9.55,9.75
1990-04-12,0.0,9.96,9.71,9.96
1990-04-16,0.0,10.17,9.92,10.05
1990-04-17,0.0,10.05,9.96,9.96
1990-04-18,0.0,10.09,9.92,9.96
1990-04-19,0.0,10.09,9.92,10.0
1990-04-20,0.0,10.13,9.96,10.05
1990-04-23,0.0,10.13,9.8,9.92
1990-04-24,0.0,10.05,9.71,9.84
1990-04-25,0.0,9.88,9.8,9.8
1990-04-26,0.0,9.88,9.75,9.88
1990-04-27,0.0,9.92,9.84,9.84
1990-04-30,0.0,9.88,9.75,9.84
1990-05-01,0.0,9.88,9.8,9.8
1990-05-02,0.0,10.09,9.8,9.92
1990-05-03,0.0,10.05,9.92,10.0
1990-05-04,0.0,10.13,9.96,9.96
1990-05-07,0.0,10.05,9.92,9.96
1990-05-08,0.0,10.05,9.96,10.05
1990-05-09,0.0,10.21,10.0,10.21
1990-05-10,0.0,10.55,10.17,10.46
1990-05-11,0.0,10.59,10.3,10.42
1990-05-14,0.0,10.59,10.42,10.55
1990-05-15,0.0,10.55,10.42,10.46
1990-05-16,0.0,10.63,10.46,10.55
1990-05-17,0.0,10.71,10.59,10.71
1990-05-18,0.0,10.71,10.59,10.71
1990-05-21,0.0,10.96,10.67,10.92
1990-05-22,0.0,11.05,10.88,10.96
1990-05-23,0.0,11.21,10.88,11.17
1990-05-24,0.0,11.59,11.13,11.51
1990-05-25,0.0,11.51,11.3,11.3
1990-05-29,0.0,11.42,11.26,11.42
1990-05-30,0.0,11.51,11.3,11.38
1990-05-31,0.0,11.38,11.26,11.3
1990-06-01,0.0,11.46,11.34,11.46
1990-06-04,0.0,11.63,11.34,11.59
1990-06-05,0.0,11.8,11.46,11.46
1990-06-06,0.0,11.46,11.09,11.13
1990-06-07,0.0,11.17,10.63,10.84
1990-06-08,0.0,10.96,10.76,10.92
1990-06-11,0.0,10.92,10.8,10.84
1990-06-12,0.0,10.96,10.8,10.96
1990-06-13,0.0,11.09,10.92,11.05
1990-06-14,0.0,11.09,10.96,11.01
1990-06-15,0.0,11.05,10.88,10.92
1990-06-18,0.0,10.92,10.59,10.63
1990-06-19,0.0,10.59,10.38,10.55
1990-06-20,0.0,10.67,10.51,10.59
1990-06-21,0.0,10.67,10.51,10.67
1990-06-22,0.0,10.96,10.63,10.92
1990-06-25,0.0,10.88,10.46,10.51
1990-06-26,0.0,10.59,10.34,10.51
1990-06-27,0.0,10.46,10.09,10.26
1990-06-28,0.0,10.34,10.05,10.17
1990-06-29,0.0,10.3,10.17,10.3
1990-07-02,0.0,10.3,10.17,10.26
1990-07-03,0.0,10.21,10.13,10.13
1990-07-05,0.0,10.38,10.09,10.3
1990-07-06,0.0,10.42,10.21,10.42
1990-07-09,0.0,10.46,10.34,10.46
1990-07-10,0.0,10.59,10.46,10.59
1990-07-11,0.0,10.71,10.51,10.63
1990-07-12,0.0,10.76,10.59,10.76
1990-07-13,0.0,10.76,10.55,10.63
1990-07-16,0.0,10.76,10.55,10.63
1990-07-17,0.0,10.76,10.0,10.67
1990-07-18,0.0,10.76,10.63,10.71
1990-07-19,0.0,10.71,10.59,10.67
1990-07-20,0.0,10.84,10.63,10.71
1990-07-23,0.0,10.76,10.42,10.46
1990-07-24,0.0,10.59,10.3,10.38
1990-07-25,0.0,10.38,10.13,10.17
1990-07-26,0.0,10.21,10.0,10.13
1990-07-27,0.0,10.13,10.0,10.05
