Date,Open,High,Low,Close
2012-04-23,32.2,32.26,31.81,31.89
2012-04-24,32.71,32.75,31.2,31.36
2012-04-25,31.5,31.98,31.37,31.97
2012-04-26,31.62,32.0,31.62,31.95
2012-04-27,32.0,32.22,31.85,32.17
2012-04-30,32.02,32.09,31.85,31.94
2012-05-01,31.64,32.04,31.63,31.85
2012-05-02,31.65,32.15,31.61,32.09
2012-05-03,32.13,32.2,31.37,31.39
2012-05-04,31.01,31.1,30.48,30.59
2012-05-07,30.48,30.93,30.48,30.61
2012-05-08,30.36,30.71,29.94,30.63
2012-05-09,30.31,30.73,29.98,30.6
2012-05-10,30.69,30.87,30.34,30.78
2012-05-11,30.75,31.29,30.66,30.74
2012-05-14,30.47,30.8,30.27,30.63
2012-05-15,30.64,30.84,30.22,30.29
2012-05-16,30.35,30.56,29.93,29.96
2012-05-17,30.01,30.08,29.28,29.35
2012-05-18,29.5,29.54,28.64,28.73
2012-05-21,28.83,29.51,28.6,29.48
2012-05-22,29.51,29.51,29.13,29.36
2012-05-23,29.08,29.19,28.59,29.14
2012-05-24,29.18,29.27,28.68,28.89
2012-05-25,28.9,29.14,28.78,28.94
2012-05-29,29.13,29.39,28.99,29.36
2012-05-30,29.02,29.13,28.84,28.95
2012-05-31,28.81,28.87,28.3,28.48
2012-06-01,28.09,28.14,26.97,27.0
2012-06-04,27.03,27.29,26.77,27.09
2012-06-05,27.04,27.64,27.04,27.48
2012-06-06,27.72,28.63,27.57,28.6
2012-06-07,28.89,29.01,28.11,28.23
2012-06-08,28.07,28.55,27.99,28.52
2012-06-11,28.64,28.8,27.62,27.65
2012-06-12,27.84,28.41,27.72,28.24
2012-06-13,28.08,28.17,27.7,27.82
2012-06-14,27.93,28.02,27.39,27.73
2012-06-15,27.91,28.0,27.66,27.86
2012-06-18,27.76,28.22,27.65,28.02
2012-06-19,28.2,28.36,28.0,28.27
2012-06-20,28.38,28.55,28.06,28.54
2012-06-21,28.61,28.61,27.52,27.6
2012-06-22,27.75,28.13,27.57,28.05
2012-06-25,27.71,27.78,26.94,26.98
2012-06-26,26.98,27.12,26.61,27.03
2012-06-27,27.07,27.33,26.93,27.07
2012-06-28,26.94,27.0,26.55,26.87
2012-06-29,27.4,28.7,27.39,28.69
2012-07-02,28.69,28.79,28.1,28.28
2012-07-03,28.21,28.56,28.13,28.56
2012-07-05,28.5,28.52,28.09,28.41
2012-07-06,28.22,28.32,27.38,27.72
2012-07-09,27.67,27.72,27.26,27.41
2012-07-10,27.3,27.79,27.09,27.39
2012-07-11,27.35,27.75,27.15,27.3
2012-07-12,27.01,27.08,26.57,26.74
2012-07-13,26.74,27.12,26.67,27.02
2012-07-16,26.49,26.72,26.37,26.43
2012-07-17,26.59,26.68,26.06,26.59
2012-07-18,26.59,27.68,26.45,27.65
2012-07-19,27.92,28.15,27.71,28.04
2012-07-20,28.02,28.02,27.22,27.25
2012-07-23,26.67,27.0,26.14,26.82
2012-07-24,26.5,27.08,26.21,26.57
2012-07-25,26.52,27.13,26.38,26.63
2012-07-26,27.12,27.74,26.83,27.05
2012-07-27,27.18,27.49,26.79,27.34
2012-07-30,27.45,27.6,27.01,27.21
2012-07-31,27.22,27.45,27.12,27.24
2012-08-01,27.48,27.8,27.32,27.63
2012-08-02,27.38,27.84,27.0,27.25
2012-08-03,27.61,28.38,27.61,28.27
2012-08-06,28.27,28.68,28.18,28.24
2012-08-07,28.32,29.36,28.3,29.23
2012-08-08,29.11,29.4,29.06,29.36
2012-08-09,29.31,29.79,29.23,29.54
2012-08-10,29.52,29.75,29.33,29.75
2012-08-13,29.72,29.75,29.15,29.54
2012-08-14,29.74,29.85,29.35,29.48
2012-08-15,29.54,29.94,29.43,29.9
2012-08-16,30.0,30.38,29.82,30.27
2012-08-17,30.38,30.38,29.82,29.86
2012-08-20,29.97,29.99,29.47,29.53
2012-08-21,29.64,29.87,29.49,29.64
2012-08-22,29.58,29.74,29.17,29.38
2012-08-23,29.22,29.5,29.01,29.32
2012-08-24,29.21,29.68,29.12,29.56
2012-08-27,29.6,29.65,29.26,29.32
2012-08-28,29.21,29.56,29.16,29.24
2012-08-29,29.31,29.56,29.15,29.4
2012-08-30,29.17,29.38,28.93,29.01
2012-08-31,29.31,29.38,28.88,29.04
2012-09-04,28.92,29.01,28.5,28.78
2012-09-05,28.7,28.89,28.47,28.52
2012-09-06,28.69,29.57,28.64,29.56
2012-09-07,29.3,29.34,29.04,29.18
2012-09-10,29.17,29.29,28.64,28.67
2012-09-11,28.61,28.85,28.52,28.58
2012-09-12,28.47,28.81,28.24,28.59
2012-09-13,28.51,29.15,28.33,28.9
2012-09-14,29.05,29.7,29.02,29.56
2012-09-17,29.63,29.71,28.98,29.1
2012-09-18,28.94,28.98,28.58,28.66
2012-09-19,28.68,28.78,28.38,28.69
2012-09-20,28.49,28.91,28.41,28.85
2012-09-21,28.97,29.29,28.96,28.99
2012-09-24,28.64,28.73,28.48,28.68
2012-09-25,28.8,28.95,27.78,27.83
2012-09-26,27.46,27.58,26.94,27.57
2012-09-27,27.72,27.95,27.43,27.88
2012-09-28,27.72,27.82,27.4,27.56
2012-10-01,27.55,27.81,27.47,27.61
2012-10-02,27.75,27.8,27.51,27.61
2012-10-03,27.35,27.7,27.35,27.47
2012-10-04,27.59,27.91,27.43,27.9
2012-10-05,28.06,28.53,27.98,28.16
2012-10-08,27.94,28.23,27.78,27.99
2012-10-09,27.95,27.99,27.27,27.32
2012-10-10,27.39,27.44,27.06,27.17
2012-10-11,27.15,27.53,27.0,27.3
2012-10-12,27.28,27.53,27.06,27.28
2012-10-15,27.79,28.61,27.73,28.22
2012-10-16,28.32,28.78,28.25,28.72
2012-10-17,28.19,28.74,28.12,28.47
2012-10-18,28.46,28.86,28.32,28.76
2012-10-19,28.76,28.77,27.74,27.81
2012-10-22,27.69,28.24,27.62,27.79
2012-10-23,27.34,27.98,27.21,27.84
2012-10-24,27.91,27.98,27.42,27.7
2012-10-25,28.0,28.2,27.87,28.13
2012-10-26,28.09,28.92,28.06,28.92
2012-10-31,28.9,28.9,28.06,28.09
2012-11-01,28.3,29.23,28.17,29.21
2012-11-02,29.27,29.3,28.48,28.53
2012-11-05,28.66,29.51,28.46,29.47
2012-11-06,29.49,30.02,29.39,29.94
2012-11-07,29.62,29.73,28.97,29.29
2012-11-08,29.26,29.5,29.12,29.14
2012-11-09,29.13,29.9,29.0,29.51
2012-11-12,29.56,29.69,29.34,29.5
2012-11-13,29.31,29.74,29.29,29.38
2012-11-14,29.43,29.64,28.7,28.76
2012-11-15,28.75,29.08,28.65,28.79
2012-11-16,28.82,28.95,28.05,28.32
2012-11-19,28.7,28.94,28.45,28.9
2012-11-20,28.76,29.31,28.6,29.31
2012-11-21,29.3,29.42,29.06,29.2
2012-11-23,29.44,29.84,29.17,29.59
2012-11-26,29.52,29.78,29.29,29.62
2012-11-27,29.64,29.78,29.4,29.46
2012-11-28,29.34,29.83,29.05,29.78
2012-11-29,29.8,30.1,29.65,30.05
2012-11-30,30.06,30.2,29.44,29.47
