Date,Open,High,Low,Close
2013-10-31,10.74,,,11.05
2013-11-01,11.65,,,10.3
2013-11-04,10.1,,,9.5
2013-11-05,9.9,,,9.7
2013-11-06,10.25,,,10.25
2013-11-07,9.5,,,9.95
2013-11-08,10.25,,,10.23
2013-11-11,10.23,,,10.1
2013-11-12,10.08,,,10.1
2013-11-13,9.77,,,9.32
2013-11-14,9.02,,,9.02
2013-11-15,9.08,,,8.08
2013-11-18,8.07,,,7.74
2013-11-19,8.16,,,7.68
2013-11-20,8.17,,,9.02
2013-11-21,9.15,,,8.77
2013-11-22,8.7,,,8.7
2013-11-25,8.2,,,8.2
2013-11-26,8.8,,,8.8
2013-11-27,,,,8.8
2013-11-28,8.5,,,8.0
2013-11-29,8.12,,,8.0
2013-12-02,7.4,,,8.0
2013-12-03,7.5,,,7.5
2013-12-04,,,,7.5
2013-12-05,7.5,,,6.5
2013-12-06,7.05,,,7.05
2013-12-09,7.0,,,6.15
2013-12-10,5.8,,,6.03
2013-12-11,6.06,,,6.25
2013-12-12,6.65,,,6.5
2013-12-13,6.5,,,6.5
2013-12-16,6.95,,,7.0
2013-12-17,6.72,,,7.0
2013-12-18,,,,7.0
2013-12-19,6.9,,,6.9
2013-12-20,6.58,,,6.58
2013-12-23,6.89,,,7.0
2013-12-24,,,,7.0
2013-12-27,6.9,,,7.0
2013-12-30,7.64,,,7.08
2013-12-31,6.85,,,6.56
2014-01-02,6.55,,,6.38
2014-01-03,6.12,,,6.12
2014-01-06,6.16,,,6.5
2014-01-07,6.55,,,6.75
2014-01-08,6.75,,,8.85
2014-01-09,9.0,,,8.5
2014-01-10,8.5,,,8.25
2014-01-13,7.8,,,7.5
2014-01-14,7.75,,,7.5
2014-01-15,7.36,,,7.1
2014-01-16,7.1,,,7.0
2014-01-17,6.75,,,7.25
2014-01-20,6.6,,,6.3
2014-01-21,6.7,,,6.7
2014-01-22,6.33,,,6.33
2014-01-23,6.62,,,6.95
2014-01-24,6.35,,,6.33
2014-01-27,6.34,,,6.25
2014-01-28,,,,6.25
2014-01-29,6.25,,,6.26
2014-01-30,6.25,,,6.05
2014-01-31,6.5,,,6.5
2014-02-03,6.25,,,6.25
2014-02-04,6.0,,,6.0
2014-02-05,6.0,,,6.0
2014-02-06,,,,6.0
2014-02-07,6.24,,,5.75
2014-02-10,6.23,,,6.18
2014-02-11,6.18,,,6.5
2014-02-12,6.2,,,7.0
2014-02-13,7.15,,,6.3
2014-02-14,6.5,,,6.72
2014-02-17,6.6,,,6.56
2014-02-18,6.26,,,6.5
2014-02-19,6.3,,,6.68
2014-02-20,6.05,,,6.05
2014-02-21,6.05,,,6.25
2014-02-24,6.4,,,6.0
2014-02-25,6.5,,,6.6
2014-02-26,6.95,,,6.75
2014-02-27,6.88,,,7.25
2014-02-28,6.88,,,7.0
2014-03-03,7.58,,,7.12
2014-03-04,7.2,,,7.2
2014-03-05,,,,7.2
2014-03-06,7.2,,,7.2
2014-03-07,7.2,,,7.02
2014-03-10,7.11,,,7.0
2014-03-11,7.1,,,7.4
2014-03-12,7.25,,,7.25
2014-03-13,,,,7.25
2014-03-14,7.25,,,7.25
2014-03-17,7.25,7.5,7.15,7.5
2014-03-18,7.25,7.25,7.2,7.2
2014-03-19,7.0,7.0,7.0,7.0
2014-03-20,7.25,7.25,7.0,7.0
2014-03-21,6.8,7.1,6.8,7.1
2014-03-24,6.82,6.82,6.82,6.82
2014-03-25,,,,6.82
2014-03-26,6.82,7.0,6.82,7.0
2014-03-27,6.93,6.93,6.93,6.93
2014-03-28,6.82,6.82,6.82,6.82
2014-03-31,,,,6.82
2014-04-01,6.82,6.93,6.75,6.78
2014-04-02,6.82,6.92,6.82,6.92
2014-04-03,,,,6.92
2014-04-04,6.82,6.82,6.82,6.82
2014-04-07,6.75,6.75,6.75,6.75
2014-04-08,,,,6.75
2014-04-09,,,,6.75
2014-04-10,6.99,7.0,6.98,7.0
2014-04-11,6.75,6.94,6.75,6.8
2014-04-14,6.75,6.75,6.75,6.75
2014-04-15,6.75,7.0,6.75,7.0
2014-04-16,,,,7.0
2014-04-17,,,,7.0
2014-04-22,,,,7.0
2014-04-23,,,,7.0
2014-04-24,,,,7.0
2014-04-25,,,,7.0
2014-04-28,6.75,6.75,6.75,6.75
2014-04-29,6.9,6.9,6.85,6.85
2014-04-30,6.8,6.98,6.8,6.98
2014-05-01,,,,6.98
2014-05-02,6.8,6.8,6.8,6.8
2014-05-06,,,,6.8
2014-05-07,6.38,6.38,6.38,6.38
2014-05-08,6.75,6.75,6.75,6.75
