Date,Open,High,Low,Close
2009-12-21,16.91,17.26,16.86,17.18
2009-12-22,17.3,17.5,17.11,17.31
2009-12-23,17.39,17.47,17.09,17.34
2009-12-24,17.4,17.68,17.32,17.63
2009-12-28,17.71,17.72,17.38,17.46
2009-12-29,17.53,17.68,17.03,17.06
2009-12-30,16.98,17.06,16.82,16.88
2009-12-31,16.94,16.95,16.71,16.83
2010-01-04,17.23,17.49,17.0,17.46
2010-01-05,17.09,17.68,17.09,17.36
2010-01-06,17.55,17.71,17.2,17.38
2010-01-07,17.29,17.38,16.93,17.0
2010-01-08,16.94,17.41,16.83,17.04
2010-01-11,17.05,17.24,16.94,17.14
2010-01-12,17.08,17.19,16.54,16.61
2010-01-13,16.72,17.17,16.72,17.11
2010-01-14,17.04,17.51,17.04,17.42
2010-01-15,17.31,17.7,16.97,17.13
2010-01-19,17.45,17.58,17.19,17.26
2010-01-20,17.09,17.09,16.55,16.69
2010-01-21,16.64,16.69,15.64,15.66
2010-01-22,15.55,15.66,14.95,15.11
2010-01-25,15.35,15.58,14.98,15.43
2010-01-26,15.36,15.89,15.18,15.85
2010-01-27,15.26,15.61,14.71,14.87
2010-01-28,14.88,14.98,14.26,14.66
2010-01-29,14.76,14.94,14.09,14.19
2010-02-01,14.47,15.07,14.47,15.04
2010-02-02,15.0,15.21,14.85,15.08
2010-02-03,14.96,15.09,14.76,14.89
2010-02-04,14.73,14.74,14.15,14.17
2010-02-05,14.21,14.31,13.48,14.03
2010-02-08,13.99,14.37,13.71,14.04
2010-02-09,14.19,14.75,14.19,14.53
2010-02-10,14.26,14.47,14.14,14.37
2010-02-11,14.38,14.67,14.05,14.59
2010-02-12,14.35,14.6,14.08,14.21
2010-02-16,14.3,15.0,14.28,14.97
2010-02-17,15.1,15.15,14.95,14.97
2010-02-18,15.01,15.3,14.96,15.24
2010-02-19,15.21,15.34,15.08,15.3
2010-02-22,15.29,15.48,15.12,15.44
2010-02-23,15.34,15.44,14.79,15.04
2010-02-24,15.16,15.5,15.04,15.47
2010-02-25,15.61,16.37,15.47,16.25
2010-02-26,16.22,16.33,16.07,16.2
2010-03-01,16.32,17.04,16.32,16.97
2010-03-02,16.94,17.07,16.52,16.59
2010-03-03,16.7,16.91,16.48,16.55
2010-03-04,16.61,16.85,16.48,16.7
2010-03-05,16.71,17.03,16.71,16.98
2010-03-08,16.91,16.96,16.53,16.79
2010-03-09,16.72,16.95,16.43,16.87
2010-03-10,16.87,17.2,16.73,17.15
2010-03-11,17.15,17.25,16.98,17.24
2010-03-12,17.27,17.48,17.05,17.45
2010-03-15,16.94,17.48,16.94,17.2
2010-03-16,17.43,17.5,17.22,17.38
2010-03-17,17.4,17.48,17.24,17.44
2010-03-18,17.41,17.45,17.09,17.29
2010-03-19,17.4,17.45,16.78,16.79
2010-03-22,16.76,17.12,16.53,17.03
2010-03-23,17.02,17.23,16.93,17.11
2010-03-24,17.08,17.17,16.82,16.89
2010-03-25,17.0,17.24,16.52,16.54
2010-03-26,16.62,16.96,16.58,16.89
2010-03-29,16.9,17.06,16.76,16.96
2010-03-30,17.01,17.09,16.85,16.97
2010-03-31,16.95,17.48,16.86,17.26
2010-04-05,17.81,17.94,17.76,17.88
2010-04-06,17.75,17.91,17.73,17.82
2010-04-07,17.67,17.8,17.21,17.32
2010-04-08,17.2,17.5,16.99,17.29
2010-04-09,17.23,17.74,17.23,17.61
2010-04-12,17.63,17.67,17.38,17.45
2010-04-13,17.39,17.48,17.14,17.35
2010-04-14,17.3,17.93,17.27,17.88
2010-04-15,17.68,17.88,17.52,17.82
2010-04-16,17.78,17.9,17.2,17.41
2010-04-19,17.37,17.66,17.15,17.52
2010-04-20,17.62,17.9,17.51,17.88
2010-04-21,17.81,18.81,17.76,18.75
2010-04-22,18.57,19.13,18.47,19.0
2010-04-23,18.94,18.95,18.41,18.76
2010-04-26,18.73,18.85,18.45,18.52
2010-04-27,18.44,18.44,17.46,17.52
2010-04-28,17.42,18.14,17.32,17.53
2010-04-29,17.62,18.12,17.49,18.0
2010-04-30,18.1,18.18,17.54,17.56
2010-05-03,17.75,18.37,17.69,18.36
2010-05-04,18.24,18.3,17.72,18.1
2010-05-05,17.89,17.91,17.06,17.16
2010-05-06,17.13,17.3,15.6,16.43
2010-05-07,16.47,16.49,15.26,15.68
2010-05-10,16.48,17.24,16.48,17.0
2010-05-11,16.83,17.23,16.61,16.83
2010-05-12,17.01,17.24,16.82,17.11
2010-05-13,17.13,17.13,16.57,16.71
2010-05-14,16.52,16.72,15.92,16.15
2010-05-17,16.18,16.25,15.6,16.08
2010-05-18,16.25,16.35,15.53,15.64
2010-05-19,15.61,15.87,15.21,15.62
2010-05-20,15.19,15.36,14.75,14.8
2010-05-21,14.76,15.67,14.65,15.41
2010-05-24,15.28,15.44,15.1,15.18
2010-05-25,14.72,15.47,14.7,15.46
2010-05-26,15.49,15.96,15.43,15.69
2010-05-27,15.98,16.28,15.85,16.28
2010-05-28,16.3,16.53,15.98,16.16
2010-06-01,16.09,16.32,15.81,15.83
2010-06-02,15.82,16.23,15.73,16.2
2010-06-03,16.05,16.49,15.91,16.43
2010-06-04,16.15,16.54,15.91,16.08
2010-06-07,16.21,16.24,15.48,15.53
2010-06-08,15.64,15.85,15.22,15.73
2010-06-09,15.87,16.27,15.59,16.03
2010-06-10,16.23,16.9,16.19,16.86
2010-06-11,16.78,17.54,16.72,17.49
2010-06-14,17.61,17.8,16.97,17.0
2010-06-15,17.25,17.32,16.94,17.28
2010-06-16,17.05,17.49,16.93,17.39
2010-06-17,17.38,17.54,17.04,17.5
2010-06-18,17.4,17.59,17.25,17.5
2010-06-21,17.71,17.78,17.29,17.42
2010-06-22,17.41,17.7,16.99,17.07
2010-06-23,17.02,17.5,16.98,17.27
2010-06-24,17.26,17.51,17.12,17.25
2010-06-25,17.29,17.3,17.0,17.15
2010-06-28,17.13,17.33,17.0,17.01
2010-06-29,16.76,17.0,16.69,16.89
2010-06-30,16.86,17.0,16.63,16.69
2010-07-01,16.65,16.81,16.24,16.61
2010-07-02,16.31,16.67,16.31,16.59
2010-07-06,16.85,16.85,16.25,16.55
2010-07-07,17.24,17.27,16.63,17.21
2010-07-08,17.31,17.99,17.28,17.9
2010-07-09,17.79,17.82,17.57,17.8
2010-07-12,17.8,18.1,17.57,17.94
2010-07-13,18.15,18.31,17.74,18.22
2010-07-14,18.22,18.3,17.95,18.04
2010-07-15,18.03,18.23,17.83,18.19
2010-07-16,18.15,18.16,17.56,17.68
2010-07-19,17.69,18.18,17.69,18.06
2010-07-20,17.73,18.14,17.68,18.08
2010-07-21,18.11,18.23,17.76,17.91
2010-07-22,18.17,18.9,18.11,18.85
2010-07-23,18.75,19.81,18.61,19.73
2010-07-26,19.7,19.89,19.48,19.6
2010-07-27,19.7,19.78,19.14,19.52
2010-07-28,19.61,20.25,19.5,20.22
2010-07-29,20.24,21.38,20.19,21.01
2010-07-30,20.61,21.73,20.48,21.53
2010-08-02,21.83,22.45,21.75,22.15
2010-08-03,22.02,22.32,21.44,21.64
2010-08-04,21.67,21.96,21.21,21.6
2010-08-05,21.51,22.02,21.51,21.83
2010-08-06,21.53,21.78,20.9,21.74
2010-08-09,21.57,21.87,21.54,21.72
2010-08-10,21.4,21.58,21.05,21.25
2010-08-11,20.78,20.89,20.35,20.56
2010-08-12,20.26,20.7,20.15,20.61
2010-08-13,20.47,20.55,20.17,20.32
2010-08-16,20.31,20.61,20.11,20.38
2010-08-17,20.48,20.99,20.46,20.65
2010-08-18,20.56,21.14,20.37,20.82
2010-08-19,20.72,20.74,20.16,20.47
2010-08-20,20.39,20.64,20.09,20.5
2010-08-23,20.66,20.76,20.03,20.07
2010-08-24,19.8,20.17,19.52,20.0
2010-08-25,19.62,20.07,19.38,20.01
2010-08-26,20.07,20.17,19.49,19.59
2010-08-27,19.76,20.36,19.34,20.23
2010-08-30,20.24,20.31,19.89,19.97
2010-08-31,19.75,20.82,19.38,20.8
2010-09-01,21.1,22.01,21.08,21.91
2010-09-02,21.87,21.87,21.48,21.76
2010-09-03,21.82,22.0,21.61,21.93
2010-09-07,21.82,21.82,21.23,21.33
2010-09-08,21.43,21.71,20.91,20.97
2010-09-09,21.21,21.47,20.92,21.44
2010-09-10,21.57,21.84,21.53,21.73
2010-09-13,21.81,21.95,21.63,21.76
2010-09-14,21.62,21.79,21.35,21.75
2010-09-15,21.7,21.81,21.39,21.76
2010-09-16,21.7,21.85,21.51,21.75
2010-09-17,21.85,21.92,21.64,21.7
2010-09-20,21.13,22.12,21.13,22.0
2010-09-21,22.12,22.12,21.59,21.96
2010-09-22,22.02,22.34,21.73,21.92
2010-09-23,21.84,22.27,21.76,22.17
2010-09-24,22.52,23.17,22.45,22.74
2010-09-27,22.69,22.77,22.47,22.67
2010-09-28,22.8,23.13,22.38,22.91
2010-09-29,22.72,23.01,22.63,22.88
2010-09-30,22.97,23.33,22.89,23.06
2010-10-01,23.24,23.52,23.06,23.35
2010-10-04,23.37,23.44,23.16,23.35
2010-10-05,23.37,24.13,23.37,23.94
2010-10-06,23.83,23.93,23.2,23.27
2010-10-07,23.47,23.59,23.23,23.54
2010-10-08,23.61,24.03,23.47,23.96
2010-10-11,23.85,24.01,23.65,23.83
2010-10-12,23.78,23.95,23.48,23.91
2010-10-13,24.1,24.13,23.86,23.91
2010-10-14,23.87,24.26,23.87,24.1
2010-10-15,24.25,24.26,23.75,24.23
2010-10-18,24.18,24.27,23.88,23.94
2010-10-19,23.71,24.03,23.46,23.83
