Date,Open,High,Low,Close
2010-12-20,25.32,25.48,25.03,25.3
2010-12-21,25.42,25.71,25.34,25.68
2010-12-22,25.72,25.88,25.32,25.55
2010-12-23,25.46,25.54,25.28,25.38
2010-12-27,25.2,25.34,24.99,25.25
2010-12-28,25.24,25.42,24.72,24.86
2010-12-29,24.92,25.22,24.88,25.02
2010-12-30,25.0,25.36,24.9,25.3
2010-12-31,25.31,25.32,25.1,25.3
2011-01-03,25.48,25.66,25.26,25.38
2011-01-04,24.97,25.04,24.24,24.52
2011-01-05,24.45,24.82,24.4,24.56
2011-01-06,24.52,24.56,23.97,24.05
2011-01-07,24.05,24.35,23.92,24.3
2011-01-10,24.12,24.44,23.95,24.37
2011-01-11,24.37,24.98,24.15,24.76
2011-01-12,24.91,25.36,24.84,25.0
2011-01-13,25.15,26.5,25.13,26.16
2011-01-14,26.11,26.53,26.04,26.52
2011-01-18,26.5,26.73,26.45,26.59
2011-01-19,26.5,26.68,26.06,26.12
2011-01-20,25.94,26.52,25.88,26.13
2011-01-21,26.14,26.34,25.75,25.92
2011-01-24,26.0,26.26,25.97,26.07
2011-01-25,25.9,26.24,25.68,26.24
2011-01-26,26.22,26.32,25.68,25.98
2011-01-27,25.98,26.25,25.72,25.98
2011-01-28,26.04,26.12,25.13,25.22
2011-01-31,25.34,25.89,25.32,25.86
2011-02-01,26.06,26.5,25.92,26.46
2011-02-02,26.35,26.48,25.69,25.86
2011-02-03,25.9,26.1,25.39,25.83
2011-02-04,25.88,26.53,25.84,26.5
2011-02-07,26.51,26.58,26.26,26.42
2011-02-08,26.44,26.92,26.36,26.46
2011-02-09,26.51,26.92,26.26,26.88
2011-02-10,29.38,30.47,29.24,30.02
2011-02-11,29.68,30.0,29.68,29.84
2011-02-14,29.75,29.91,29.62,29.64
2011-02-15,29.56,29.83,29.52,29.62
2011-02-16,29.64,30.1,29.51,30.07
2011-02-17,29.96,30.3,29.77,30.23
2011-02-18,30.23,30.23,29.75,30.02
2011-02-22,29.76,30.0,29.05,29.12
2011-02-23,29.1,29.12,28.14,28.53
2011-02-24,28.47,29.08,28.33,28.7
2011-02-25,28.81,29.14,28.72,28.94
2011-02-28,29.09,29.5,28.92,29.28
2011-03-01,29.48,29.49,28.18,28.31
2011-03-02,28.42,29.41,28.38,28.94
2011-03-03,29.24,29.63,29.17,29.21
2011-03-04,29.16,29.8,29.08,29.52
2011-03-07,29.6,29.6,28.42,28.94
2011-03-08,28.93,29.44,28.57,29.14
2011-03-09,29.08,29.44,28.58,29.44
2011-03-10,29.07,29.32,28.77,29.14
2011-03-11,28.98,29.52,28.92,29.44
2011-03-14,29.2,29.59,29.1,29.5
2011-03-15,28.84,29.98,28.79,29.69
2011-03-16,29.6,30.42,29.5,30.04
2011-03-17,30.3,30.38,29.92,30.2
2011-03-18,30.54,30.72,29.6,30.22
2011-03-21,30.5,31.07,30.39,30.86
2011-03-22,30.92,30.99,30.66,30.68
2011-03-23,30.68,31.12,30.2,30.94
2011-03-24,31.08,31.76,30.77,31.59
2011-03-25,31.72,32.08,31.48,31.98
2011-03-28,31.98,32.16,31.6,31.68
2011-03-29,31.74,32.18,31.64,32.18
2011-03-30,32.23,33.0,32.2,32.96
2011-03-31,32.94,33.1,32.76,32.95
2011-04-01,33.22,33.44,32.96,33.36
2011-04-04,33.36,33.44,33.02,33.05
2011-04-05,33.0,33.04,32.52,32.84
2011-04-06,33.0,33.0,31.8,31.88
