Date,Open,High,Low,Close
2004-12-20,70.13,72.99,68.2,68.64
2004-12-21,68.7,69.34,65.86,66.85
2004-12-22,67.0,69.81,66.65,67.82
2004-12-23,67.63,67.78,66.65,67.43
2004-12-27,67.65,67.71,65.92,66.84
2004-12-28,66.95,68.64,66.59,68.41
2004-12-29,68.37,68.6,67.09,67.39
2004-12-30,68.1,68.7,66.92,67.28
2004-12-31,67.2,67.73,66.77,66.92
2005-01-03,66.85,67.89,64.97,65.55
2005-01-04,65.74,66.7,64.44,65.41
2005-01-05,65.79,67.0,64.85,66.15
2005-01-06,66.87,69.48,65.89,68.83
2005-01-07,66.99,67.88,66.2,66.54
2005-01-10,67.14,67.91,66.62,66.8
2005-01-11,66.1,67.12,65.57,66.72
2005-01-12,66.99,67.44,63.62,65.63
2005-01-13,65.61,66.28,65.06,65.26
2005-01-14,65.32,66.26,65.01,65.44
2005-01-18,65.21,68.46,65.21,67.99
2005-01-19,67.95,69.02,67.0,68.04
2005-01-20,68.02,68.44,64.22,64.9
2005-01-21,64.72,65.5,61.37,62.65
2005-01-24,63.88,64.73,60.4,61.8
2005-01-25,61.75,63.79,60.7,61.43
2005-01-26,61.48,62.82,60.59,62.35
2005-01-27,62.34,62.49,60.9,61.41
2005-01-28,62.47,63.17,61.24,62.87
2005-01-31,63.5,65.72,63.24,65.56
2005-02-01,65.97,67.57,65.49,67.26
2005-02-02,67.5,68.74,67.18,68.0
2005-02-03,67.68,68.18,66.76,67.4
2005-02-04,67.41,69.5,67.14,69.5
2005-02-07,70.0,71.5,69.55,71.3
2005-02-08,71.08,71.48,69.73,70.71
2005-02-09,70.6,71.29,68.72,69.25
2005-02-10,69.72,70.2,68.32,69.68
2005-02-11,69.63,71.22,69.44,70.59
2005-02-14,70.65,72.22,70.03,71.4
2005-02-15,72.0,75.0,71.77,74.45
2005-02-16,75.05,75.05,73.5,73.9
2005-02-17,74.05,75.0,73.05,73.23
2005-02-18,73.22,74.4,72.21,72.74
2005-02-22,72.58,73.0,69.99,70.17
2005-02-23,70.93,71.26,69.8,70.39
2005-02-24,70.0,72.14,68.14,71.9
2005-02-25,71.95,72.25,69.63,72.06
2005-02-28,72.47,73.14,70.29,71.57
2005-03-01,71.99,72.88,71.05,71.96
2005-03-02,71.88,73.31,71.64,72.95
2005-03-03,73.35,73.39,71.4,72.35
2005-03-04,72.25,72.52,71.09,71.65
2005-03-07,72.1,74.36,71.95,74.25
2005-03-08,74.46,74.59,71.9,72.29
2005-03-09,72.15,72.19,69.76,70.02
2005-03-10,70.27,70.79,68.69,69.83
2005-03-11,69.71,72.62,69.71,70.59
2005-03-14,71.2,72.33,70.32,71.78
2005-03-15,72.29,73.42,71.53,72.86
2005-03-16,73.7,76.45,71.21,71.88
2005-03-17,72.07,73.55,71.9,73.02
2005-03-18,72.8,73.52,71.05,71.93
2005-03-21,71.93,72.75,70.73,71.6
2005-03-22,71.38,72.0,69.75,69.9
2005-03-23,69.72,70.67,68.19,69.14
2005-03-24,69.44,71.01,69.1,70.49
2005-03-28,71.06,71.82,70.5,71.25
2005-03-29,70.99,71.19,67.75,68.04
2005-03-30,67.89,69.39,67.42,69.24
2005-03-31,69.28,69.3,67.5,67.74
2005-04-01,67.79,68.0,65.02,66.04
2005-04-04,66.29,66.42,63.36,63.67
2005-04-05,63.8,65.32,62.69,63.65
2005-04-06,63.65,65.39,63.65,64.05
2005-04-07,64.86,66.71,64.06,64.99
2005-04-08,65.32,65.48,63.0,63.13
2005-04-11,63.13,64.1,62.23,62.54
2005-04-12,63.57,64.5,62.25,64.49
2005-04-13,64.0,66.59,63.78,64.77
2005-04-14,65.02,65.29,61.89,62.16
2005-04-15,62.0,62.32,58.0,59.82
2005-04-18,60.17,60.7,58.46,59.11
2005-04-19,59.95,61.45,58.55,59.25
2005-04-20,56.22,57.74,55.08,55.32
2005-04-21,55.75,56.2,53.03,55.65
2005-04-22,55.64,56.49,52.02,53.01
2005-04-25,53.77,55.9,53.15,54.86
2005-04-26,54.86,58.13,54.86,56.35
2005-04-27,56.0,56.88,53.83,54.69
2005-04-28,55.89,56.75,52.5,53.5
2005-04-29,55.03,55.47,51.7,52.94
2005-05-02,53.23,53.3,49.53,50.62
2005-05-03,49.33,49.52,47.15,47.3
2005-05-04,46.47,49.95,46.06,49.58
2005-05-05,49.6,50.67,48.17,49.17
2005-05-06,49.54,49.73,48.29,48.42
2005-05-09,47.0,47.98,46.25,47.61
2005-05-10,47.31,48.0,46.45,46.83
2005-05-11,47.0,47.5,44.87,46.17
2005-05-12,45.89,46.16,44.13,44.62
2005-05-13,44.95,45.2,43.61,43.82
